time,open,high,low,close,tick_volume
1993-04-27,0.7201,0.7265,0.713,0.715,2191
1993-04-28,0.7144,0.7185,0.7103,0.7135,1551
1993-04-29,0.7143,0.716,0.7095,0.7103,901
1993-04-30,0.7106,0.7126,0.7035,0.7075,1511
1993-05-03,0.7065,0.7078,0.706,0.7078,231
1993-05-04,0.7057,0.708,0.697,0.699,1531
1993-05-05,0.6985,0.7038,0.695,0.7038,1231
1993-05-06,0.7026,0.7065,0.702,0.7049,671
1993-05-07,0.7045,0.7105,0.7037,0.7095,861
1993-05-10,0.709,0.7095,0.7005,0.7025,1151
1993-05-11,0.702,0.7042,0.6978,0.7035,1131
1993-05-12,0.7023,0.7046,0.6985,0.7025,1201
1993-05-13,0.7012,0.707,0.6973,0.7038,1681
1993-05-14,0.7034,0.7072,0.7,0.7035,1431
1993-05-17,0.7024,0.704,0.6995,0.703,841
1993-05-18,0.7002,0.7014,0.688,0.693,1961
1993-05-19,0.6917,0.6955,0.69,0.6925,1021
1993-05-20,0.69,0.6958,0.69,0.6958,581
1993-05-21,0.6943,0.6962,0.692,0.6953,741
1993-05-24,0.694,0.6955,0.6882,0.695,1361
1993-05-25,0.6948,0.7015,0.6948,0.7005,771
1993-05-26,0.7003,0.7008,0.695,0.699,1031
1993-05-27,0.6966,0.6975,0.691,0.692,841
1993-05-28,0.6922,0.6928,0.685,0.6875,1091
1993-05-31,0.6881,0.6886,0.674,0.6785,1961
1993-06-01,0.6747,0.682,0.6708,0.679,1811
1993-06-02,0.6792,0.6827,0.675,0.6775,1371
1993-06-03,0.6763,0.683,0.6753,0.6805,1121
1993-06-04,0.6795,0.68,0.673,0.6759,1041
1993-06-07,0.673,0.6767,0.671,0.673,1141
1993-06-08,0.6731,0.6745,0.668,0.6698,971
1993-06-09,0.6705,0.6775,0.6695,0.6758,1071
1993-06-10,0.6745,0.6775,0.6723,0.6768,811
1993-06-11,0.6735,0.681,0.6731,0.6795,981
1993-06-14,0.6785,0.6798,0.673,0.675,1011
1993-06-15,0.6735,0.6785,0.6725,0.6755,1001
1993-06-16,0.6768,0.6805,0.675,0.677,1081
1993-06-17,0.6764,0.6792,0.672,0.675,1301
1993-06-18,0.6733,0.6791,0.6695,0.6765,1601
1993-06-21,0.6774,0.688,0.6758,0.6847,1711
1993-06-22,0.6855,0.6883,0.682,0.6828,991
1993-06-23,0.6823,0.684,0.6725,0.6755,1621
1993-06-24,0.6729,0.6751,0.6647,0.6684,1631
1993-06-25,0.6669,0.6737,0.6668,0.6715,921
1993-06-28,0.6679,0.6712,0.6654,0.6695,1001
1993-06-29,0.6685,0.6725,0.667,0.671,851
1993-06-30,0.6685,0.6737,0.662,0.6685,2341
1993-07-01,0.6659,0.671,0.6632,0.6693,1221
1993-07-02,0.6698,0.6718,0.6655,0.6718,1061
1993-07-05,0.6711,0.6768,0.6708,0.6768,631
1993-07-06,0.6749,0.6793,0.6712,0.6793,1181
1993-07-07,0.6772,0.683,0.6735,0.6805,1571
1993-07-08,0.6801,0.687,0.6785,0.6837,1341
1993-07-09,0.6849,0.6855,0.6794,0.6815,881
1993-07-12,0.6814,0.683,0.6775,0.681,1061
1993-07-13,0.678,0.681,0.6755,0.6775,1051
1993-07-14,0.6769,0.6828,0.6755,0.6785,1301
1993-07-15,0.6776,0.682,0.677,0.6805,711
1993-07-16,0.6807,0.6826,0.6764,0.6797,1141
1993-07-19,0.6776,0.6793,0.674,0.676,901
1993-07-20,0.6753,0.6795,0.6747,0.6785,641
1993-07-21,0.678,0.6825,0.6765,0.679,1101
1993-07-22,0.6772,0.6807,0.6725,0.6755,1471
1993-07-23,0.6744,0.68,0.6744,0.68,561
1993-07-26,0.6783,0.6799,0.6772,0.6799,381
1993-07-27,0.6781,0.679,0.676,0.6776,551
1993-07-28,0.6771,0.68,0.6755,0.6764,831
1993-07-29,0.6761,0.6828,0.6743,0.6828,1031
1993-07-30,0.6801,0.691,0.6795,0.69,1311
1993-08-02,0.6885,0.694,0.6863,0.6911,1281
1993-08-03,0.69,0.6915,0.688,0.69,701
1993-08-04,0.6892,0.69,0.685,0.6889,971
1993-08-05,0.6886,0.6905,0.6785,0.6813,1671
1993-08-06,0.6804,0.684,0.6765,0.6807,1471
1993-08-09,0.6907,0.6919,0.68,0.682,1511
1993-08-10,0.6813,0.6885,0.6812,0.6875,841
1993-08-11,0.6857,0.6871,0.682,0.6834,791
1993-08-12,0.6833,0.6855,0.675,0.677,1471
