time,open,high,low,close,tick_volume
2022-01-03,1875.47,1906.93,1813.87,1814.85,20568
2022-01-04,1804.86,1894.34,1804.33,1865.37,22218
2022-01-05,1849.08,1922.18,1840.83,1858.49,15293
2022-01-06,1854.67,1893.63,1833.07,1867.1,22858
2022-01-07,1857.59,1947.85,1855.04,1924.21,23989
2022-01-10,1926.75,1966.18,1887.91,1903.15,22884
2022-01-11,1900.94,1937.42,1855.69,1917.03,26446
2022-01-12,1912.27,1949.31,1895.99,1913.27,23814
2022-01-13,1901.33,1919.38,1861.71,1886.7,24694
2022-01-14,1874.65,1914.47,1852.14,1856.29,24927
2022-01-17,1875.84,1900.42,1864.54,1870.28,7878
2022-01-18,1865.88,1927.01,1865.88,1896.8,18513
2022-01-19,1865.37,2037.75,1865.32,2002.52,29580
2022-01-20,1986.19,2081.01,1979.62,2063.48,47685
2022-01-21,2041.43,2147.25,2029.21,2087.79,41640
2022-01-24,2104.01,2154.69,2088.6,2142.85,53065
2022-01-25,2131.27,2212.84,2128.05,2195.46,62233
2022-01-26,2154.78,2381.21,2154.1,2326.8,70724
2022-01-27,2289.7,2392.42,2238.44,2371.92,67232
2022-01-28,2331.15,2384.6,2255.43,2363.15,73677
2022-01-31,2362.39,2449.57,2342.13,2346.96,73135
2022-02-01,2301.76,2395.28,2300.54,2348.4,68396
2022-02-02,2276.62,2425.65,2276.62,2371.16,75916
2022-02-03,2340.37,2391.48,2279.5,2324.02,78117
2022-02-04,2271.87,2357.95,2255.04,2260.35,81349
2022-02-07,2261.49,2307.77,2172.99,2264.02,64401
2022-02-08,2198.87,2286.3,2198.87,2242.02,94279
2022-02-09,2213.12,2297.89,2210.95,2277.27,56816
2022-02-10,2227.37,2330.92,2227.01,2254.12,51335
2022-02-11,2219.12,2359.94,2179.64,2287.01,81824
2022-02-14,2265.02,2390.76,2256.55,2365.02,62064
2022-02-15,2320.87,2374.35,2186.96,2249.27,32096
2022-02-16,2198.87,2311.59,2198.87,2285.33,41910
2022-02-17,2212.37,2419.0,2212.37,2367.52,48223
2022-02-18,2329.62,2382.0,2290.37,2313.62,29008
2022-02-21,2331.3,2379.21,2289.88,2340.7,34845
2022-02-22,2333.68,2429.06,2325.3,2329.68,103032
2022-02-23,2289.8,2482.51,2282.42,2470.39,52835
2022-02-24,2409.4,2701.34,2289.75,2361.9,54483
2022-02-25,2343.36,2478.13,2313.39,2334.1,89167
2022-02-28,2407.83,2535.47,2407.83,2467.53,73817
2022-03-01,2436.25,2720.19,2436.25,2573.2,60509
2022-03-02,2454.57,2675.34,2454.57,2666.23,55459
2022-03-03,2646.77,2790.67,2622.77,2773.23,41753
2022-03-04,2751.75,3004.81,2750.57,2992.3,78593
2022-03-07,3021.64,3437.69,2815.08,2983.35,113241
2022-03-08,2875.62,3211.2,2870.33,3107.8,90365
2022-03-09,3050.94,3298.96,2874.73,2903.01,54818
2022-03-10,2870.89,2979.63,2852.77,2912.92,58526
2022-03-11,2840.44,2974.36,2694.08,2786.85,58454
2022-03-14,2677.33,2766.71,2330.08,2368.73,41333
2022-03-15,2283.07,2497.01,2283.07,2390.24,41986
2022-03-16,2404.27,2489.88,2315.11,2376.4,34276
2022-03-17,2318.09,2535.67,2309.77,2505.93,85012
2022-03-18,2427.72,2628.77,2427.72,2459.49,84106
2022-03-21,2432.49,2602.54,2432.01,2558.78,98640
2022-03-22,2478.22,2587.42,2449.85,2464.46,80654
2022-03-23,2436.14,2574.99,2436.14,2509.34,76023
2022-03-24,2443.29,2550.63,2439.18,2512.34,49750
2022-03-25,2458.14,2532.72,2240.63,2283.95,49333
2022-03-28,2353.36,2381.08,2152.23,2220.83,72068
2022-03-29,2172.77,2289.3,2030.31,2114.07,42882
2022-03-30,2085.07,2263.21,2084.32,2246.12,47594
2022-03-31,2193.24,2291.5,2190.12,2241.35,39005
2022-04-01,2174.79,2337.08,2174.79,2239.27,61340
2022-04-04,2282.01,2335.96,2255.56,2257.23,45759
2022-04-05,2236.64,2317.99,2193.68,2194.28,35947
2022-04-06,2161.2,2272.03,2156.9,2191.38,43529
2022-04-07,2114.14,2278.23,2114.14,2231.0,27465
2022-04-08,2190.14,2472.79,2189.9,2399.66,23509
2022-04-11,2391.04,2546.05,2383.27,2429.17,38824
2022-04-12,2365.14,2467.32,2314.3,2327.97,21246
2022-04-13,2260.66,2421.78,2247.75,2317.05,42890
2022-04-14,2247.16,2389.02,2247.16,2363.04,36961
2022-04-19,2403.82,2448.98,2349.1,2370.61,23451
2022-04-20,2346.47,2491.62,2339.53,2451.13,26055
2022-04-21,2422.61,2490.03,2375.19,2422.6,13866
2022-04-22,2343.02,2458.9,2336.27,2337.02,26788
2022-04-25,2345.29,2363.51,2068.87,2141.61,26959
2022-04-26,2093.95,2250.96,2083.27,2184.5,21398
2022-04-27,2110.82,2260.82,2110.82,2205.61,27381
2022-04-28,2157.02,2289.51,2155.55,2229.09,26269
2022-04-29,2200.01,2325.59,2199.86,2299.27,26362
2022-05-02,2260.16,2278.46,2149.09,2207.95,28780
2022-05-03,2114.47,2285.43,2113.5,2253.21,30702
2022-05-04,2205.54,2288.81,2204.49,2248.08,26996
2022-05-05,2195.79,2274.99,2167.1,2185.27,47670
2022-05-06,2128.42,2189.56,1996.58,1996.58,38749
2022-05-09,1999.99,2144.11,1991.66,2080.51,32881
2022-05-10,2045.13,2157.35,2036.31,2058.86,53288
2022-05-11,2005.94,2085.03,2001.17,2025.94,35676
2022-05-12,1986.79,2047.46,1856.1,1896.93,34095
2022-05-13,1812.27,1971.48,1812.27,1924.31,21344
2022-05-16,1908.29,2033.09,1861.58,2016.53,34337
2022-05-17,1946.79,2091.19,1929.17,2046.49,26442
2022-05-18,1988.79,2120.89,1987.59,2011.97,20065
2022-05-19,1923.79,2030.52,1923.79,2000.75,20382
2022-05-20,1956.29,2036.25,1927.91,1945.02,23112
2022-05-23,1876.89,2039.91,1874.81,1993.0,17782
2022-05-24,1990.79,2020.27,1972.81,2002.7,10813
2022-05-25,1927.95,2043.11,1927.95,2001.58,20812
2022-05-26,1971.37,2017.15,1970.95,2014.5,14903
2022-05-27,1973.79,2069.09,1973.04,2025.32,24362
2022-05-31,1955.49,2092.94,1951.27,1997.02,36620
2022-06-01,1952.08,2037.96,1944.86,1991.02,40582
2022-06-02,1951.83,2059.21,1951.83,2038.89,31432
2022-06-03,2023.37,2069.26,1952.63,1952.9,41898
2022-06-06,1893.83,2029.15,1891.35,2001.92,52725
2022-06-07,1971.79,2027.42,1938.73,1980.54,33929
2022-06-08,1948.79,1999.99,1931.22,1934.37,32131
2022-06-09,1898.04,1963.25,1898.04,1919.58,50314
2022-06-10,1883.69,1943.89,1864.14,1905.4,63483
2022-06-13,1900.6,1939.46,1787.28,1789.84,40257
2022-06-14,1750.05,1850.96,1750.05,1811.33,37510
2022-06-15,1768.54,1876.49,1767.79,1850.61,51914
2022-06-16,1796.54,1887.49,1791.15,1879.59,27622
2022-06-17,1854.57,1912.77,1797.52,1797.52,41697
2022-06-20,1802.73,1879.67,1792.88,1858.94,30531
2022-06-21,1748.71,1911.3,1748.71,1874.77,29281
2022-06-22,1850.39,1890.95,1843.89,1859.27,56577
