time,open,high,low,close,tick_volume
2022-01-02,1875.47,1947.85,1804.33,1924.21,104926
2022-01-09,1926.75,1966.18,1852.14,1856.29,122765
2022-01-16,1875.84,2147.25,1864.54,2087.79,145296
2022-01-23,2104.01,2392.42,2088.6,2363.15,326931
2022-01-30,2362.39,2449.57,2255.04,2260.35,376913
2022-02-06,2261.49,2359.94,2172.99,2287.01,348655
2022-02-13,2265.02,2419.0,2186.96,2313.62,213301
2022-02-20,2331.3,2701.34,2282.42,2334.1,334362
2022-02-27,2407.83,3004.81,2407.83,2992.3,310131
2022-03-06,3021.64,3437.69,2694.08,2786.85,375404
2022-03-13,2677.33,2766.71,2283.07,2459.49,286713
2022-03-20,2432.49,2602.54,2240.63,2283.95,354400
2022-03-27,2353.36,2381.08,2030.31,2239.27,262889
2022-04-03,2282.01,2472.79,2114.14,2399.66,176209
2022-04-10,2391.04,2546.05,2247.16,2363.04,139921
2022-04-17,2403.82,2491.62,2336.27,2337.02,90160
2022-04-24,2345.29,2363.51,2068.87,2299.27,128369
2022-05-01,2260.16,2288.81,1996.58,1996.58,172897
2022-05-08,1999.99,2157.35,1812.27,1924.31,177284
2022-05-15,1908.29,2120.89,1861.58,1945.02,124338
2022-05-22,1876.89,2069.09,1874.81,2025.32,88672
2022-05-29,1955.49,2092.94,1944.86,1952.9,150532
2022-06-05,1893.83,2029.15,1864.14,1905.4,232582
2022-06-12,1900.6,1939.46,1750.05,1797.52,199000
2022-06-19,1802.73,1911.3,1748.71,1836.42,184420
2022-06-26,1864.2,2018.61,1853.26,1924.77,212628
2022-07-03,1932.54,2165.62,1877.72,2137.65,162462
2022-07-10,2109.58,2185.04,1798.96,1799.08,245907
2022-07-17,1832.35,2048.12,1825.74,2000.15,261558
2022-07-24,2017.08,2135.37,1968.86,2090.52,308058
2022-07-31,2107.33,2221.03,1986.74,2106.29,338057
2022-08-07,2096.98,2294.0,2096.98,2178.27,232867
2022-08-14,2199.27,2223.1,2097.77,2099.52,227947
2022-08-21,2101.96,2204.23,1957.64,2085.02,223794
2022-08-28,2066.45,2167.82,1973.44,1983.81,228747
2022-09-04,1989.29,2191.71,1933.49,2152.02,211919
2022-09-11,2169.64,2274.05,2067.56,2118.24,226783
2022-09-18,2110.33,2234.32,2045.6,2045.6,176735
2022-09-25,2051.52,2247.64,2008.97,2146.02,201995
2022-10-02,2151.39,2346.45,2149.03,2158.52,236548
2022-10-09,2155.83,2269.22,1978.79,1979.01,339195
2022-10-16,1984.27,2092.26,1957.04,1992.77,306307
2022-10-23,2006.08,2072.33,1876.8,1879.02,297093
2022-10-30,1882.33,1952.09,1765.76,1853.35,230031
2022-11-06,1832.89,2044.19,1808.65,2019.11,248962
2022-11-13,2014.16,2112.04,1925.62,1926.63,138126
2022-11-20,1870.57,1942.15,1802.62,1832.64,113497
2022-11-27,1784.96,1945.99,1779.74,1865.64,134167
2022-12-04,1832.08,1965.41,1759.41,1920.72,134652
2022-12-11,1918.9,1992.88,1693.41,1694.77,142184
2022-12-18,1698.69,1754.31,1641.7,1727.91,111095
2022-12-25,1742.02,1841.23,1739.17,1768.97,87509
2023-01-01,1740.4,1824.75,1673.79,1778.61,93694
2023-01-08,1774.4,1840.41,1732.2,1777.99,111919
2023-01-15,1787.66,1794.17,1669.26,1717.97,113064
2023-01-22,1718.38,1755.26,1594.3,1594.52,113466
2023-01-29,1553.9,1703.91,1553.9,1600.0,132091
2023-02-05,1618.89,1685.44,1525.16,1525.26,120813
2023-02-12,1514.47,1590.45,1379.84,1477.44,110679
2023-02-19,1470.21,1538.43,1362.28,1398.51,126843
2023-02-26,1400.41,1466.24,1390.28,1449.46,104679
2023-03-05,1428.92,1451.95,1343.46,1363.08,97283
2023-03-12,1355.87,1533.89,1355.54,1416.39,135713
2023-03-19,1415.47,1463.87,1367.53,1398.4,111433
2023-03-26,1399.73,1503.95,1382.15,1435.73,97645
2023-04-02,1448.08,1494.02,1407.73,1452.23,79503
2023-04-09,1455.86,1528.05,1405.95,1500.48,113501
2023-04-16,1491.16,1644.09,1479.65,1580.33,123243
2023-04-23,1585.89,1604.47,1460.99,1479.34,113157
2023-04-30,1486.24,1517.76,1404.53,1470.82,112440
2023-05-07,1476.11,1615.87,1476.11,1503.27,166928
2023-05-14,1471.03,1545.59,1449.86,1495.78,90913
2023-05-21,1506.42,1524.77,1382.95,1404.1,78998
2023-05-28,1414.76,1446.73,1352.84,1412.37,59719
2023-06-04,1399.36,1447.16,1300.19,1321.45,61714
2023-06-11,1314.27,1426.26,1304.96,1409.67,56566
2023-06-18,1399.09,1417.46,1271.33,1284.87,48289
2023-06-25,1278.17,1345.66,1211.34,1226.37,68390
2023-07-02,1223.67,1276.09,1217.66,1247.37,61254
2023-07-09,1235.86,1306.69,1194.16,1271.37,57077
2023-07-16,1255.74,1325.16,1253.1,1293.67,46927
2023-07-23,1282.56,1300.66,1190.71,1245.07,69929
2023-07-30,1218.86,1288.06,1217.76,1256.07,65424
2023-08-06,1241.39,1339.56,1202.46,1291.07,82565
2023-08-13,1287.76,1311.83,1199.37,1252.97,63218
2023-08-20,1248.75,1294.36,1208.49,1227.67,54471
2023-08-27,1218.17,1262.76,1211.97,1219.07,58008
2023-09-03,1210.98,1233.76,1173.0,1195.37,47793
2023-09-10,1184.99,1276.56,1184.99,1245.12,51015
2023-09-17,1191.47,1292.56,1191.47,1252.27,46933
2023-09-24,1245.72,1289.85,1206.52,1235.01,53523
2023-10-01,1238.36,1251.98,1136.81,1157.95,66716
2023-10-08,1122.77,1187.66,1118.29,1147.85,60093
2023-10-15,1140.6,1157.16,1096.96,1099.41,61771
2023-10-22,1094.97,1142.96,1075.79,1121.89,61335
2023-10-29,1113.49,1155.4,1099.22,1116.77,50093
2023-11-05,1104.41,1131.15,941.06,941.15,48193
2023-11-12,954.72,1059.7,948.95,1052.33,54985
2023-11-19,1041.01,1094.66,1034.58,1074.36,38011
2023-11-26,1059.39,1086.83,989.65,999.39,44838
2023-12-03,993.73,1011.8,922.46,934.13,44993
2023-12-10,937.49,1196.16,935.56,1172.14,45938
2023-12-17,1163.1,1245.26,1148.99,1200.89,42705
2023-12-24,1186.74,1215.96,1089.16,1090.03,25612
2023-12-31,1095.75,1114.49,1016.66,1025.16,26378
2024-01-07,1023.95,1034.36,969.75,971.52,36466
2024-01-14,960.79,994.66,903.86,948.26,44951
2024-01-21,941.36,974.76,913.59,955.45,30040
2024-01-28,948.2,995.86,930.46,941.63,29601
2024-02-04,941.79,963.56,858.06,858.44,36786
2024-02-11,852.74,979.3,851.29,947.55,33094
2024-02-18,947.91,996.46,928.56,970.53,29049
2024-02-25,974.01,974.01,909.26,952.13,35357
2024-03-03,951.81,1062.51,933.66,1017.47,38017
2024-03-10,1020.54,1106.76,1001.26,1078.05,51629
2024-03-17,1079.73,1080.76,974.16,985.51,59009
2024-03-24,985.06,1027.76,966.46,1009.66,34877
2024-03-31,1012.59,1042.76,985.76,1000.61,48877
2024-04-07,1005.9,1098.96,991.56,1041.23,65435
2024-04-14,1049.93,1059.73,996.76,1027.29,82776
2024-04-21,1025.49,1030.36,951.96,953.5,65269
2024-04-28,956.03,982.56,918.76,942.76,75162
2024-05-05,942.89,1002.75,935.56,973.77,49838
2024-05-12,973.66,1018.73,956.03,1004.08,70076
2024-05-19,1001.01,1043.86,961.06,963.74,86372
2024-05-26,962.77,1001.96,904.23,913.26,72532
2024-06-02,907.23,945.75,896.86,912.23,76167
2024-06-09,885.25,931.26,875.57,881.77,64262
2024-06-16,890.76,1021.26,870.44,941.57,47161
2024-06-23,914.66,1008.99,914.66,971.03,55853
2024-06-30,965.72,1054.55,964.63,1014.29,59772
2024-07-07,1014.65,1027.29,956.18,956.29,44105
2024-07-14,958.9,982.06,905.75,907.45,51394
2024-07-21,907.43,948.16,888.83,899.94,65685
2024-07-28,895.63,936.76,883.76,891.65,64143
2024-08-04,877.31,935.26,834.16,904.65,93704
2024-08-11,899.92,954.26,899.92,948.89,72055
2024-08-18,939.23,971.26,918.56,958.79,59675
2024-08-25,950.33,994.66,935.8,965.92,44005
2024-09-01,965.16,981.31,907.96,914.14,52210
2024-09-08,902.78,1076.16,902.78,1064.57,59451
2024-09-15,1043.65,1121.86,1041.06,1054.44,70853
2024-09-22,1050.3,1074.06,1008.18,1008.31,65031
2024-09-29,1012.04,1026.78,980.26,1002.3,75737
2024-10-06,1005.68,1088.07,992.56,1064.37,61999
2024-10-13,1058.13,1087.26,1002.39,1078.78,55067
2024-10-20,1078.41,1213.26,1045.98,1189.2,60591
2024-10-27,1180.68,1245.96,1093.13,1098.76,62138
2024-11-03,1098.07,1121.22,986.96,988.31,66913
2024-11-10,964.02,1001.46,918.5,946.23,61492
2024-11-17,957.81,1045.26,957.31,1005.59,68583
2024-11-24,1001.74,1024.75,954.22,972.02,57473
2024-12-01,974.19,997.48,954.74,955.49,171220
2024-12-08,952.17,998.57,947.26,947.26,110100
2024-12-15,930.43,961.84,897.49,911.73,59285
2024-12-22,907.28,953.01,905.09,908.97,37733
2024-12-29,910.5,932.52,893.36,913.94,94126
2025-01-05,889.13,960.12,889.13,941.28,267754
2025-01-12,944.02,969.56,927.18,937.52,282440
2025-01-19,941.78,1011.14,931.07,975.22,253136
2025-01-26,970.95,1029.75,934.96,1012.35,271513
2025-02-02,966.53,1027.58,958.6,964.45,294097
2025-02-09,968.59,1009.21,958.03,969.5,257586
2025-02-16,973.15,992.28,962.07,964.9,241271
2025-02-23,968.52,973.27,909.45,917.6,254444
2025-03-02,909.4,960.75,909.22,946.0,228558
2025-03-09,926.95,978.95,926.83,963.9,258955
2025-03-16,966.6,981.53,942.64,954.7,237799
2025-03-23,945.37,990.26,945.37,968.7,239289
2025-03-30,954.33,995.64,905.32,905.63,297198
2025-04-06,831.11,933.36,831.11,915.75,381093
2025-04-13,891.5,982.09,891.5,959.75,213228
2025-04-20,932.05,962.05,926.92,939.2,251692
2025-04-27,942.96,960.23,913.56,954.75,175807
2025-05-04,932.5,984.86,931.34,977.35,252794
2025-05-11,960.55,985.48,935.46,961.75,254590
2025-05-18,944.88,1042.32,944.88,997.15,237516
2025-05-25,973.8,1004.71,958.69,971.85,210635
2025-06-01,955.38,1049.65,955.38,1048.75,233881
2025-06-08,1017.8,1085.31,1016.16,1029.9,267715
2025-06-15,967.96,1060.97,967.96,1045.95,251813
2025-06-22,998.27,1177.35,998.27,1132.4,295287
2025-06-29,1118.89,1162.38,1085.71,1134.46,238785
2025-07-06,1113.31,1217.29,1078.01,1171.43,250588
2025-07-13,1186.2,1330.75,1139.16,1241.31,237889
2025-07-20,1200.81,1293.69,1197.03,1222.77,255720
2025-07-27,1163.39,1273.16,1163.39,1209.27,275896
2025-08-03,1169.06,1220.84,1112.56,1123.87,279779
2025-08-10,1082.64,1160.57,1082.64,1114.97,229179
2025-08-17,1094.17,1135.93,1075.15,1128.17,241678
2025-08-24,1078.59,1131.05,1060.61,1103.35,234926
2025-08-31,1077.25,1159.35,1075.92,1111.27,236220
2025-09-07,1072.75,1228.95,1072.75,1192.47,256546
2025-09-14,1177.77,1215.32,1134.89,1146.9,263753
2025-09-21,1090.66,1281.74,1090.66,1257.64,303268
2025-09-28,1224.69,1298.22,1209.23,1263.07,310343
2025-10-05,1219.14,1501.3,1214.1,1363.68,358324
2025-10-12,1342.92,1632.5,1342.08,1449.5,443237
2025-10-19,1439.8,1517.16,1357.6,1392.17,398851
2025-10-26,1339.9,1481.18,1339.9,1424.07,347288
2025-11-02,1396.94,1467.54,1335.0,1375.67,348605
2025-11-09,1337.12,1497.58,1332.6,1393.27,358386
2025-11-16,1367.48,1431.71,1342.08,1370.97,397064
2025-11-23,1344.47,1466.92,1343.31,1450.63,252635
2025-11-30,1392.55,1496.78,1388.12,1439.82,387669
2025-12-07,1411.1,1541.46,1411.1,1466.8,379715
2025-12-14,1469.06,1719.6,1467.95,1696.05,437808
2025-12-21,1684.31,1959.93,1664.51,1919.47,402900
2025-12-28,1894.92,1982.93,1483.53,1614.45,410370
2026-01-04,1618.96,1866.49,1618.96,1794.14,485238
2026-01-11,1764.85,1910.44,1720.37,1797.67,489570
2026-01-18,1811.55,2030.4,1782.71,2008.47,446629
2026-01-25,1986.91,2165.87,1578.41,1680.39,691831
2026-02-01,1672.11,1839.6,1550.26,1681.57,784596
2026-02-08,1645.6,1769.84,1548.9,1683.47,576262
2026-02-15,1656.17,1753.72,1630.65,1737.37,419106
2026-02-22,1696.03,1865.98,1670.25,1781.57,537758
2026-03-01,1755.8,1838.64,1562.96,1623.77,808127
2026-03-08,1577.59,1707.17,1539.05,1541.19,440062
2026-03-15,1487.95,1632.36,1391.12,1394.94,504102
2026-03-22,1358.74,1477.89,1326.61,1377.48,630551
2026-03-29,1361.67,1515.81,1322.71,1502.91,419050
2026-04-05,1445.17,1623.64,1408.81,1512.32,398134
2026-04-12,1503.17,1606.4,1416.16,1555.29,350761
2026-04-19,1493.12,1577.69,1453.05,1462.99,398659
2026-04-26,1407.94,1555.8,1395.47,1522.62,334892
2026-05-03,1455.9,1561.81,1409.27,1488.22,387466
2026-05-10,1469.17,1526.0,1405.9,1406.22,407517
2026-05-17,1408.17,1435.73,1338.42,1347.62,397260
2026-05-24,1363.2,1400.21,1334.52,1352.02,308025
2026-05-31,1357.54,1394.33,1209.82,1209.82,345688
2026-06-07,1234.26,1315.31,1191.39,1281.32,421974
2026-06-14,1285.17,1372.48,1237.03,1260.19,337131
2026-06-21,1246.49,1290.48,1150.9,1199.22,375496
2026-06-28,1190.3,1247.54,1175.71,1211.97,223551
2026-07-05,1279.29,1279.29,1279.29,1279.29,1
