time,open,high,low,close,tick_volume
2019-07-31,863.92,864.79,863.75,864.75,416
2019-08-01,864.11,865.87,842.59,853.22,45436
2019-08-02,852.86,858.22,841.97,844.21,46983
2019-08-05,842.69,859.96,842.52,855.52,47839
2019-08-06,855.49,858.95,843.91,852.26,41122
2019-08-07,852.34,869.89,845.85,864.11,52536
2019-08-08,864.12,869.28,851.46,865.14,42263
2019-08-09,865.28,868.66,857.81,860.94,38840
2019-08-12,858.0,862.4,853.53,857.54,34826
2019-08-13,858.2,866.82,837.08,854.95,43889
2019-08-14,854.11,855.75,843.42,845.19,45613
2019-08-15,844.35,848.33,833.38,841.04,43770
2019-08-16,840.88,850.57,833.08,848.86,34813
2019-08-19,848.83,857.73,842.48,850.73,35379
2019-08-20,851.17,855.78,844.54,848.75,84488
2019-08-21,849.56,856.0,840.21,851.98,37035
2019-08-22,852.14,860.83,845.46,857.32,33451
2019-08-23,857.41,869.45,849.66,856.68,41330
2019-08-26,855.41,866.48,852.59,855.88,46549
2019-08-27,856.19,868.9,854.74,865.25,40979
2019-08-28,865.69,908.27,865.18,900.09,42840
2019-08-29,902.28,935.49,893.95,916.3,52133
2019-08-30,916.42,940.12,912.83,930.55,41866
2019-09-02,933.58,938.71,924.44,928.79,22702
2019-09-03,929.28,960.21,926.45,958.11,38788
2019-09-04,957.52,991.19,955.26,986.37,43053
2019-09-05,984.41,997.64,944.16,959.79,45623
2019-09-06,959.93,964.85,926.83,949.86,45092
2019-09-09,949.99,961.7,942.55,947.01,36339
2019-09-10,946.77,947.02,928.6,930.23,37267
2019-09-11,930.36,945.98,930.05,944.31,33478
2019-09-12,943.42,960.51,942.06,950.83,43097
2019-09-13,950.27,964.07,946.15,947.58,34813
2019-09-16,954.69,959.76,926.36,937.02,41010
2019-09-17,938.35,945.32,929.5,941.12,39095
2019-09-18,941.62,943.76,921.2,931.95,34594
2019-09-19,932.16,942.88,923.57,938.26,35864
2019-09-20,938.28,948.82,936.12,944.92,32479
2019-09-23,943.45,962.74,943.28,958.7,37520
2019-09-24,958.4,962.99,947.82,953.11,37354
2019-09-25,954.41,958.29,924.07,927.2,37658
2019-09-26,926.06,937.51,926.06,930.41,25598
2019-09-27,929.78,936.65,920.34,929.82,40936
2019-09-30,929.51,934.76,875.09,882.92,40168
2019-10-01,882.4,888.65,874.27,876.95,37860
2019-10-02,877.58,892.06,870.83,887.14,37352
2019-10-03,887.03,898.21,885.32,887.47,35234
2019-10-04,888.76,889.27,871.12,879.43,33802
2019-10-07,881.16,888.42,873.96,877.09,27380
2019-10-08,877.21,892.31,875.73,889.55,36667
2019-10-09,889.78,896.43,882.45,891.89,30642
2019-10-10,892.56,903.15,882.57,898.35,39910
2019-10-11,898.08,905.18,883.62,894.09,41487
2019-10-14,893.41,900.7,889.41,892.87,28384
2019-10-15,892.83,901.59,882.5,884.99,33245
2019-10-16,885.07,890.19,875.77,885.66,34202
2019-10-17,885.94,889.26,879.53,886.51,35282
2019-10-18,887.13,893.71,882.51,889.4,30072
2019-10-21,891.85,898.29,884.59,887.91,22068
2019-10-22,888.31,892.21,884.05,891.15,18817
2019-10-23,891.13,919.17,889.9,916.14,22304
2019-10-24,915.99,932.01,915.99,922.49,24102
2019-10-25,921.73,938.93,921.71,924.88,23926
2019-10-28,925.23,933.75,913.42,918.64,22884
2019-10-29,919.03,921.74,908.79,920.52,22296
2019-10-30,919.73,927.44,913.95,925.03,28223
2019-10-31,926.07,938.72,921.99,931.97,29855
2019-11-01,932.07,954.63,928.73,949.25,27033
2019-11-04,949.76,955.09,931.99,936.16,23341
2019-11-05,936.3,939.32,924.8,929.14,28316
2019-11-06,929.17,932.99,922.5,929.34,24531
2019-11-07,929.28,934.24,903.47,909.37,32513
2019-11-08,909.85,911.13,886.11,886.2,31813
2019-11-11,887.18,891.98,873.44,875.38,23077
2019-11-12,875.56,880.88,865.77,869.02,32143
2019-11-13,868.66,877.66,867.93,875.23,28246
2019-11-14,875.39,884.59,870.25,880.77,27059
2019-11-15,880.77,896.03,874.68,889.28,26539
2019-11-18,889.42,899.23,878.85,893.98,30549
