time,open,high,low,close,tick_volume
2019-07-28,863.92,865.87,841.97,844.21,92835
2019-08-04,842.69,869.89,842.52,860.94,222600
2019-08-11,858.0,866.82,833.08,848.86,202911
2019-08-18,848.83,869.45,840.21,856.68,231683
2019-08-25,855.41,940.12,852.59,930.55,224367
2019-09-01,933.58,997.64,924.44,949.86,195258
2019-09-08,949.99,964.07,928.6,947.58,184994
2019-09-15,954.69,959.76,921.2,944.92,183042
2019-09-22,943.45,962.99,920.34,929.82,179066
2019-09-29,929.51,934.76,870.83,879.43,184416
2019-10-06,881.16,905.18,873.96,894.09,176086
2019-10-13,893.41,901.59,875.77,889.4,161185
2019-10-20,891.85,938.93,884.05,924.88,111217
2019-10-27,925.23,954.63,908.79,949.25,130291
2019-11-03,949.76,955.09,886.11,886.2,140514
2019-11-10,887.18,896.03,865.77,889.28,137064
2019-11-17,889.42,926.55,878.85,890.86,199904
2019-11-24,891.01,915.65,888.64,894.19,227498
2019-12-01,895.21,915.66,884.44,895.66,345179
2019-12-08,896.51,948.3,888.22,927.87,292053
2019-12-15,926.92,939.12,909.76,910.71,206465
2019-12-22,912.26,960.34,911.3,945.73,161738
2019-12-29,944.67,995.38,944.67,980.79,183108
2020-01-05,982.58,992.91,948.09,977.94,292196
2020-01-12,976.71,1041.52,963.74,1022.11,254905
2020-01-19,1021.93,1030.84,989.99,1005.97,291101
2020-01-26,1010.02,1012.9,956.39,960.4,367701
2020-02-02,959.94,988.8,951.99,966.74,347268
2020-02-09,966.91,976.46,953.91,965.21,292185
2020-02-16,964.94,1018.2,964.51,975.05,344190
2020-02-23,974.85,979.72,847.99,865.46,455453
2020-03-01,858.34,906.11,850.06,904.52,517682
2020-03-08,902.37,916.22,738.51,760.81,413828
2020-03-15,769.19,773.62,561.34,611.85,335640
2020-03-22,609.88,756.21,593.53,742.53,228074
2020-03-29,743.57,744.68,701.36,723.18,153828
2020-04-05,722.39,758.56,719.69,747.16,125907
2020-04-12,750.45,797.11,739.05,774.73,107553
2020-04-19,775.05,787.84,713.2,762.21,140915
2020-04-26,766.71,789.68,751.49,762.5,116712
2020-05-03,747.43,778.21,743.21,767.28,122251
2020-05-10,767.19,789.81,753.67,784.01,140068
2020-05-17,795.36,863.58,795.36,832.49,202285
2020-05-24,813.76,849.08,813.76,829.51,162524
2020-05-31,834.06,859.57,806.89,820.55,218201
2020-06-07,819.86,845.31,798.63,815.22,229500
2020-06-14,805.01,831.87,784.99,812.86,290643
2020-06-21,803.99,834.83,792.05,799.87,277556
2020-06-28,797.71,836.63,796.21,815.37,144625
2020-07-05,799.79,860.58,794.27,821.92,175837
2020-07-12,821.54,849.76,816.04,835.18,199866
2020-07-19,828.11,931.73,827.83,917.09,391753
2020-07-26,907.84,963.85,880.97,899.98,541428
2020-08-02,894.39,1004.51,894.39,959.66,381637
2020-08-09,953.31,1004.12,913.63,943.77,449288
2020-08-16,937.79,973.4,897.58,917.45,330038
2020-08-23,907.81,948.31,907.81,924.98,226356
2020-08-30,921.64,962.15,885.47,903.61,300508
2020-09-06,897.81,944.4,891.97,927.09,250565
2020-09-13,919.79,982.17,919.79,928.28,332353
2020-09-20,921.26,943.98,828.88,844.37,468365
2020-09-27,837.16,909.72,837.16,879.93,420763
2020-10-04,873.14,903.5,851.76,890.27,324606
2020-10-11,879.86,893.58,842.2,862.52,397639
2020-10-18,863.01,918.99,853.4,904.02,391368
2020-10-25,903.29,904.78,843.92,847.57,657759
2020-11-01,855.97,914.0,849.37,894.02,400259
2020-11-08,903.07,906.88,850.44,891.46,358610
2020-11-15,894.55,964.46,890.28,947.37,241804
2020-11-22,947.4,971.86,918.3,966.47,168960
2020-11-29,966.7,1081.95,955.93,1057.22,218911
2020-12-06,1060.51,1066.64,993.16,1008.75,230023
2020-12-13,1013.23,1060.17,998.51,1036.75,140759
2020-12-20,1035.46,1055.71,949.48,1025.75,129552
2020-12-27,1025.88,1081.55,1025.02,1067.18,91893
2021-01-03,1077.7,1130.84,1045.03,1065.97,197524
2021-01-10,1065.44,1123.86,1009.12,1074.04,192806
2021-01-17,1075.99,1154.07,1065.94,1099.24,238207
2021-01-24,1101.06,1118.21,1051.78,1073.63,239905
2021-01-31,1092.42,1132.71,1077.53,1124.68,266394
2021-02-07,1129.42,1271.42,1126.04,1251.8,254215
2021-02-14,1269.59,1315.66,1223.04,1269.3,230199
2021-02-21,1280.78,1302.48,1166.87,1189.38,314752
2021-02-28,1183.18,1228.44,1109.06,1130.3,326849
2021-03-07,1132.62,1228.96,1119.28,1206.31,317198
2021-03-14,1205.54,1237.02,1171.03,1196.72,327865
2021-03-21,1193.26,1194.74,1143.81,1181.22,372294
2021-03-28,1182.72,1212.84,1153.79,1211.39,236161
2021-04-04,1213.15,1246.79,1190.06,1201.87,174868
2021-04-11,1202.43,1210.65,1154.68,1201.86,216201
2021-04-18,1202.73,1252.99,1184.25,1227.45,166565
2021-04-25,1231.02,1255.84,1173.78,1198.08,184783
2021-05-02,1198.07,1268.79,1194.45,1253.57,206561
2021-05-09,1253.52,1277.82,1200.02,1225.92,249988
2021-05-16,1228.3,1248.96,1166.57,1170.0,296518
2021-05-23,1163.77,1215.11,1161.84,1180.3,272631
2021-05-30,1184.4,1207.26,1142.67,1166.46,255570
2021-06-06,1168.87,1178.74,1128.54,1146.89,267836
2021-06-13,1146.56,1173.68,1040.21,1040.47,317691
2021-06-20,1043.37,1111.73,1026.46,1107.05,228091
2021-06-27,1109.2,1113.46,1051.72,1089.24,226799
2021-07-04,1089.57,1119.52,1066.98,1101.24,222487
2021-07-11,1100.59,1145.95,1090.05,1101.79,251011
2021-07-18,1104.15,1110.72,1044.01,1061.27,293879
2021-07-25,1060.83,1082.09,1037.08,1048.13,303708
2021-08-01,1046.54,1069.0,977.18,981.03,272127
2021-08-08,979.72,1033.67,955.88,1028.89,267400
2021-08-15,1029.16,1031.62,962.2,995.0,322519
2021-08-22,993.89,1024.11,979.32,1009.53,279445
2021-08-29,1008.65,1029.8,992.77,1022.82,269234
2021-09-05,1025.92,1030.46,950.35,956.0,245838
2021-09-12,953.94,965.69,924.06,939.42,263884
2021-09-19,940.65,1012.99,902.71,981.46,277169
2021-09-26,981.65,1001.69,944.74,974.93,255833
2021-10-03,976.78,1041.07,944.2,1025.67,305129
2021-10-10,1025.46,1063.68,1004.21,1056.88,310543
2021-10-17,1057.68,1078.02,1034.17,1042.12,289285
2021-10-24,1039.75,1064.72,1005.52,1018.97,303305
2021-10-31,1019.67,1067.38,1016.93,1036.08,249060
2021-11-07,1033.02,1093.82,1032.73,1083.58,183244
