time,open,high,low,close,tick_volume
2014-08-27,507.0,515.0,502.0,504.0,4627
2014-08-28,504.0,510.0,495.0,500.0,3724
2014-08-29,500.0,505.0,493.0,502.0,2981
2014-08-31,474.0,479.0,472.0,473.0,430
2014-09-01,473.0,485.0,467.0,470.0,4028
2014-09-02,469.0,479.0,462.0,469.0,3563
2014-09-03,469.0,473.0,466.0,466.0,2440
2014-09-04,466.0,490.0,458.0,484.0,3200
2014-09-05,484.0,484.0,474.0,475.0,1592
2014-09-07,474.0,477.0,473.0,475.0,237
2014-09-08,475.0,476.0,457.0,468.0,4833
2014-09-09,469.0,470.0,456.0,463.0,3431
2014-09-10,463.0,480.0,462.0,471.0,3476
2014-09-11,471.0,476.0,464.0,470.0,2673
2014-09-12,470.0,471.0,462.0,467.0,2647
2014-09-14,467.0,467.0,465.0,467.0,351
2014-09-15,467.0,468.0,462.0,463.0,2918
2014-09-16,462.0,465.0,449.0,452.0,3896
2014-09-17,453.0,456.0,431.0,443.0,4309
2014-09-18,442.0,445.0,387.0,412.0,8576
2014-09-19,412.0,418.0,367.0,380.0,7611
2014-09-21,378.0,382.0,373.0,381.0,599
2014-09-22,381.0,395.0,377.0,384.0,3878
2014-09-23,383.0,443.0,378.0,422.0,5655
2014-09-24,423.0,427.0,404.0,408.0,4188
2014-09-25,407.0,408.0,392.0,399.0,3379
2014-09-26,399.0,409.0,385.0,392.0,2929
2014-09-28,371.0,372.0,361.0,366.0,849
2014-09-29,366.0,382.0,357.0,366.0,5228
2014-09-30,366.0,386.0,361.0,378.0,4056
2014-10-01,377.0,382.0,369.0,371.0,3105
2014-10-02,371.0,375.0,360.0,363.0,2690
2014-10-03,364.0,366.0,339.0,340.0,3218
2014-10-05,301.0,321.0,292.0,313.0,1336
2014-10-06,313.0,340.0,296.0,322.0,8403
2014-10-07,322.0,335.0,310.0,327.0,5798
2014-10-08,327.0,350.0,321.0,348.0,5152
2014-10-09,348.0,379.0,340.0,358.0,7239
2014-10-10,358.0,368.0,343.0,348.0,4879
2014-10-12,363.0,375.0,363.0,372.0,1212
2014-10-13,372.0,390.0,359.0,382.0,7297
2014-10-14,382.0,405.0,380.0,394.0,7106
2014-10-15,394.0,394.0,377.0,384.0,5031
2014-10-16,384.0,389.0,359.0,373.0,6094
2014-10-17,373.0,378.0,364.0,374.0,3296
2014-10-19,380.0,383.0,379.0,379.0,448
2014-10-20,379.0,382.0,369.0,373.0,3821
2014-10-21,374.0,383.0,370.0,378.0,3784
2014-10-22,379.0,380.0,372.0,374.0,3260
2014-10-23,374.0,376.0,348.0,351.0,5365
2014-10-24,351.0,357.0,346.0,349.0,4054
2014-10-26,348.0,350.0,347.0,347.0,556
2014-10-27,347.0,352.0,339.0,345.0,5258
2014-10-28,345.0,353.0,344.0,347.0,3309
2014-10-29,347.0,348.0,326.0,327.0,4338
2014-10-30,327.0,349.0,325.0,338.0,4887
2014-10-31,338.0,342.0,329.0,334.0,3774
2014-11-02,322.0,323.0,321.0,321.0,245
2014-11-03,321.0,332.0,317.0,319.0,5177
2014-11-04,318.0,326.0,315.0,323.0,4512
2014-11-05,322.0,336.0,321.0,332.0,4549
2014-11-06,332.0,346.0,329.0,341.0,4161
2014-11-07,341.0,347.0,334.0,336.0,4084
2014-11-09,353.0,360.0,351.0,359.0,575
2014-11-10,359.0,372.0,353.0,360.0,5558
2014-11-11,360.0,370.0,355.0,360.0,4379
2014-11-12,361.0,427.0,361.0,419.0,9497
2014-11-13,419.0,451.0,382.0,410.0,11883
2014-11-14,409.0,411.0,375.0,386.0,8061
2014-11-16,378.0,382.0,376.0,381.0,540
2014-11-17,381.0,403.0,370.0,379.0,6673
2014-11-18,379.0,385.0,364.0,366.0,5796
2014-11-19,366.0,383.0,365.0,373.0,4567
2014-11-20,373.0,375.0,350.0,352.0,4952
2014-11-21,352.0,354.0,337.0,345.0,5725
2014-11-23,362.0,365.0,358.0,361.0,722
2014-11-24,361.0,383.0,360.0,371.0,5508
2014-11-25,371.0,387.0,365.0,369.0,5474
2014-11-26,368.0,372.0,358.0,361.0,4072
2014-11-27,361.0,367.0,359.0,363.0,3817
2014-11-28,363.0,378.0,351.0,373.0,4098
2014-11-30,371.0,372.0,369.0,371.0,289
2014-12-01,371.0,379.0,370.0,374.0,4293
2014-12-02,374.0,379.0,370.0,375.0,3832
2014-12-03,375.0,376.0,365.0,367.0,4383
2014-12-04,367.0,372.0,359.0,360.0,3792
2014-12-05,360.0,367.0,357.0,366.0,2959
2014-12-07,365.0,366.0,365.0,365.0,120
2014-12-08,365.0,367.0,353.0,353.0,4100
2014-12-09,352.0,355.0,334.0,343.0,6046
2014-12-10,343.0,345.0,337.0,337.0,3799
2014-12-11,336.0,353.0,329.0,337.0,6301
2014-12-12,337.0,347.0,337.0,345.0,3672
2014-12-14,341.0,342.0,338.0,339.0,671
2014-12-15,340.0,341.0,332.0,335.0,5071
2014-12-16,335.0,336.0,317.0,317.0,5670
2014-12-17,317.0,326.0,309.0,315.0,5848
2014-12-18,316.0,319.0,301.0,308.0,7648
2014-12-19,311.0,315.0,302.0,309.0,4405
2014-12-21,313.0,316.0,312.0,314.0,530
2014-12-22,314.0,329.0,313.0,326.0,4927
2014-12-23,326.0,332.0,323.0,327.0,4691
2014-12-24,327.0,328.0,321.0,322.0,2723
2014-12-26,314.0,324.0,312.0,321.0,4296
2014-12-28,309.0,312.0,309.0,311.0,399
2014-12-29,311.0,314.0,307.0,308.0,4851
2014-12-30,308.0,311.0,304.0,305.0,4066
2014-12-31,306.0,313.0,305.0,311.0,3693
2015-01-01,310.0,310.0,308.0,310.0,112
2015-01-02,308.0,312.0,308.0,310.0,2483
2015-01-04,263.0,264.0,259.0,262.0,776
2015-01-05,262.0,276.0,262.0,269.0,7693
2015-01-06,269.0,284.0,267.0,282.0,6321
2015-01-07,281.0,298.0,278.0,290.0,5445
2015-01-08,291.0,291.0,280.0,280.0,6186
2015-01-09,280.0,289.0,275.0,285.0,4403
2015-01-11,260.0,263.0,257.0,260.0,791
2015-01-12,260.0,267.0,255.0,261.0,7225
2015-01-13,261.0,262.0,209.0,218.0,14253
2015-01-14,218.0,218.0,160.0,167.0,18456
2015-01-15,166.0,223.0,164.0,204.0,17535
2015-01-16,204.0,217.0,193.0,200.0,11436
2015-01-18,201.0,204.0,200.0,203.0,661
2015-01-19,203.0,212.0,202.0,208.0,8199
2015-01-20,208.0,209.0,200.0,205.0,6024
2015-01-21,205.0,222.0,205.0,220.0,6588
2015-01-22,220.0,231.0,219.0,225.0,8332
2015-01-23,226.0,228.0,218.0,227.0,4977
2015-01-25,244.0,248.0,243.0,247.0,928
2015-01-26,247.0,301.0,246.0,260.0,15142
2015-01-27,260.0,262.0,238.0,251.0,10092
2015-01-28,251.0,255.0,211.0,221.0,9649
2015-01-29,221.0,232.0,212.0,225.0,9529
2015-01-30,225.0,234.0,217.0,221.0,6619
2015-02-01,224.0,226.0,219.0,220.0,815
2015-02-02,221.0,238.0,218.0,233.0,7918
2015-02-03,232.0,240.0,220.0,223.0,9912
2015-02-04,223.0,227.0,217.0,224.0,6948
2015-02-05,223.0,224.0,210.0,214.0,5682
2015-02-06,213.0,222.0,212.0,220.0,5363
2015-02-08,220.0,221.0,219.0,220.0,312
2015-02-09,220.0,222.0,213.0,218.0,6602
2015-02-10,218.0,220.0,212.0,216.0,6077
2015-02-11,217.0,221.0,214.0,216.0,4547
2015-02-12,216.0,218.0,214.0,218.0,3542
2015-02-13,217.0,235.0,216.0,233.0,6540
2015-02-15,228.0,231.0,226.0,230.0,530
2015-02-16,231.0,237.0,224.0,230.0,7680
2015-02-17,229.0,242.0,229.0,238.0,6272
2015-02-18,238.0,241.0,227.0,232.0,5302
2015-02-19,232.0,238.0,230.0,234.0,4276
2015-02-20,234.0,240.0,230.0,235.0,5599
2015-02-22,228.0,229.0,226.0,229.0,377
2015-02-23,229.0,233.0,224.0,232.0,5170
2015-02-24,232.0,233.0,227.0,231.0,4264
2015-02-25,231.0,232.0,228.0,230.0,3212
2015-02-26,230.0,231.0,227.0,230.0,3304
2015-02-27,230.0,251.0,230.0,248.0,6811
2015-03-01,250.0,254.0,248.0,252.0,1027
2015-03-02,251.0,269.0,247.0,268.0,7017
2015-03-03,268.0,283.0,261.0,277.0,8067
2015-03-04,276.0,279.0,260.0,267.0,7167
2015-03-05,267.0,275.0,258.0,271.0,7054
2015-03-06,271.0,275.0,265.0,270.0,4729
2015-03-08,270.0,272.0,269.0,271.0,161
2015-03-09,271.0,289.0,270.0,285.0,6059
2015-03-10,285.0,298.0,284.0,287.0,7042
2015-03-11,286.0,293.0,284.0,293.0,5723
2015-03-12,293.0,294.0,289.0,290.0,3471
2015-03-13,290.0,290.0,284.0,285.0,3861
2015-03-15,280.0,281.0,278.0,279.0,272
2015-03-16,280.0,290.0,280.0,287.0,5147
2015-03-17,286.0,289.0,279.0,281.0,3767
2015-03-18,280.0,281.0,243.0,250.0,8034
2015-03-19,250.0,259.0,242.0,255.0,7810
2015-03-20,255.0,260.0,253.0,255.0,4229
2015-03-22,265.0,268.0,264.0,265.0,676
2015-03-23,265.0,269.0,256.0,262.0,4710
2015-03-24,262.0,264.0,242.0,244.0,6389
2015-03-25,245.0,249.0,235.0,245.0,6381
2015-03-26,245.0,252.0,240.0,243.0,5624
2015-03-27,243.0,247.0,242.0,245.0,3278
2015-03-29,237.0,240.0,235.0,240.0,870
2015-03-30,239.0,246.0,233.0,244.0,5315
2015-03-31,244.0,247.0,237.0,240.0,5151
2015-04-01,240.0,244.0,236.0,242.0,4803
2015-04-02,243.0,252.0,238.0,247.0,5171
2015-04-03,248.0,252.0,247.0,251.0,3548
2015-04-05,252.0,256.0,252.0,255.0,509
2015-04-06,255.0,257.0,247.0,249.0,4204
2015-04-07,249.0,250.0,242.0,248.0,5257
2015-04-08,248.0,250.0,240.0,242.0,4772
2015-04-09,242.0,244.0,235.0,241.0,4044
2015-04-10,241.0,241.0,228.0,231.0,4730
2015-04-12,231.0,232.0,230.0,231.0,355
2015-04-13,232.0,234.0,219.0,220.0,4498
