time,open,high,low,close,tick_volume
2014-08-24,507.0,515.0,493.0,502.0,11332
2014-08-31,474.0,490.0,458.0,475.0,15253
2014-09-07,474.0,480.0,456.0,467.0,17297
2014-09-14,467.0,468.0,367.0,380.0,27661
2014-09-21,378.0,443.0,373.0,392.0,20628
2014-09-28,371.0,386.0,339.0,340.0,19146
2014-10-05,301.0,379.0,292.0,348.0,32807
2014-10-12,363.0,405.0,359.0,374.0,30036
2014-10-19,380.0,383.0,346.0,349.0,20732
2014-10-26,348.0,353.0,325.0,334.0,22122
2014-11-02,322.0,347.0,315.0,336.0,22728
2014-11-09,353.0,451.0,351.0,386.0,39953
2014-11-16,378.0,403.0,337.0,345.0,28253
2014-11-23,362.0,387.0,351.0,373.0,23691
2014-11-30,371.0,379.0,357.0,366.0,19548
2014-12-07,365.0,367.0,329.0,345.0,24038
2014-12-14,341.0,342.0,301.0,309.0,29313
2014-12-21,313.0,332.0,312.0,321.0,17167
2014-12-28,309.0,314.0,304.0,310.0,15604
2015-01-04,263.0,298.0,259.0,285.0,30824
2015-01-11,260.0,267.0,160.0,200.0,69696
2015-01-18,201.0,231.0,200.0,227.0,34781
2015-01-25,244.0,301.0,211.0,221.0,51959
2015-02-01,224.0,240.0,210.0,220.0,36638
2015-02-08,220.0,235.0,212.0,233.0,27620
2015-02-15,228.0,242.0,224.0,235.0,29659
2015-02-22,228.0,251.0,224.0,248.0,23138
2015-03-01,250.0,283.0,247.0,270.0,35061
2015-03-08,270.0,298.0,269.0,285.0,26317
2015-03-15,280.0,290.0,242.0,255.0,29259
2015-03-22,265.0,269.0,235.0,245.0,27058
2015-03-29,237.0,252.0,233.0,251.0,24858
2015-04-05,252.0,257.0,228.0,231.0,23516
2015-04-12,231.0,234.0,213.0,221.0,44255
2015-04-19,224.0,238.0,222.0,231.0,73250
2015-04-26,220.0,242.0,217.0,234.0,37668
2015-05-03,240.0,244.0,229.0,243.0,19325
2015-05-10,239.0,243.0,232.0,237.0,18787
2015-05-17,234.0,242.0,230.0,240.0,16459
2015-05-24,241.0,242.0,232.0,234.0,6949
2015-05-31,235.0,236.0,222.0,227.0,4816
2015-06-07,227.0,234.0,225.0,234.0,4250
2015-06-14,234.0,257.0,233.0,245.0,9967
2015-06-21,245.0,249.0,240.0,246.0,6007
2015-06-28,247.0,269.0,246.0,256.0,8493
2015-07-05,256.0,299.0,256.0,290.0,16514
2015-07-12,290.0,310.0,195.0,265.0,32039
2015-07-19,265.0,289.0,264.0,283.0,9379
2015-07-26,283.0,290.0,275.0,278.0,7180
2015-08-02,278.0,282.0,261.0,261.0,7116
2015-08-09,261.0,269.0,252.0,258.0,9498
2015-08-16,257.0,258.0,211.0,224.0,14671
2015-08-23,223.0,231.0,193.0,225.0,15580
2015-08-30,225.0,232.0,221.0,229.0,6762
2015-09-06,229.0,246.0,229.0,231.0,8837
2015-09-13,231.0,234.0,225.0,229.0,5904
2015-09-20,229.0,236.0,224.0,234.0,5114
2015-09-27,234.0,238.0,231.0,236.0,4055
2015-10-04,236.0,245.0,235.0,243.0,4380
2015-10-11,243.0,273.0,240.0,264.0,9026
2015-10-18,264.0,275.0,257.0,274.0,8471
2015-10-25,274.0,321.0,274.0,301.0,16583
2015-11-01,301.0,459.0,298.0,372.0,57829
