time,open,high,low,close,tick_volume
2016-05-01,8.7,10.4,8.7,9.1,7364
2016-05-08,9.1,11.2,8.9,10.2,7589
2016-05-15,10.1,15.1,9.8,13.8,15452
2016-05-22,13.8,14.5,10.2,11.0,15031
2016-05-29,11.0,14.0,10.8,13.5,9062
2016-06-05,13.4,14.7,13.2,13.5,4944
2016-06-12,13.6,20.5,9.6,11.2,32160
2016-06-19,11.2,15.4,10.1,13.5,25029
2016-06-26,13.5,13.7,11.2,11.7,10117
2016-07-03,11.7,11.9,7.8,10.8,12389
2016-07-10,10.8,12.3,10.0,11.7,6271
2016-07-17,11.6,14.9,10.8,14.2,12218
2016-07-24,14.2,14.2,11.6,12.4,12188
2016-07-31,12.4,12.4,7.5,10.6,12860
2016-08-07,10.6,12.4,10.6,11.5,6034
2016-08-14,11.5,11.6,10.6,11.1,4271
2016-08-21,11.1,11.4,10.9,11.1,3108
2016-08-28,11.2,12.7,10.7,11.8,5928
2016-09-04,11.9,12.0,10.9,11.6,4300
2016-09-11,11.6,12.8,11.5,12.6,4802
2016-09-18,12.7,14.4,11.0,12.8,12568
2016-09-25,12.8,13.4,12.7,13.0,3627
2016-10-02,13.0,13.4,12.0,12.1,3637
2016-10-09,12.1,12.3,11.5,11.8,4669
2016-10-16,11.8,12.9,11.7,11.9,4233
2016-10-23,12.0,12.0,9.4,10.1,5573
2016-10-30,10.1,11.3,10.0,10.9,6615
2016-11-06,10.9,10.9,9.7,9.9,4259
2016-11-13,9.9,10.4,9.2,9.5,4921
2016-11-20,9.5,10.2,8.7,9.3,5334
2016-11-27,9.3,9.3,7.3,7.9,6186
2016-12-04,7.9,8.8,5.9,7.9,9524
2016-12-11,8.0,8.5,7.3,7.5,3157
2016-12-18,7.5,7.9,6.9,7.2,3602
2016-12-25,7.1,8.3,6.8,7.7,5196
2017-01-01,7.7,11.0,7.7,9.2,11241
2017-01-08,9.2,10.4,9.1,9.5,6984
2017-01-15,9.5,10.8,9.4,10.7,4342
2017-01-22,10.7,10.8,10.2,10.3,2380
2017-01-29,10.3,11.2,10.3,11.1,2938
2017-02-05,11.1,11.4,10.3,11.1,4514
2017-02-12,11.1,13.0,11.0,12.5,5907
2017-02-19,12.4,13.6,11.9,13.4,4669
2017-02-26,13.3,20.3,13.1,18.6,16076
2017-03-05,18.6,21.0,16.0,20.3,18723
2017-03-12,20.3,52.6,20.3,34.8,85128
2017-03-19,34.8,54.9,31.1,53.0,57854
2017-03-26,53.0,53.8,46.6,51.1,37152
2017-04-02,51.1,51.2,40.1,44.2,51460
2017-04-09,44.2,50.9,42.2,48.4,29695
2017-04-16,48.4,51.1,46.3,47.6,22571
2017-04-23,47.6,69.9,47.2,68.4,39462
2017-04-30,68.5,91.2,66.2,86.9,94769
2017-05-07,86.8,92.0,75.0,84.4,83248
2017-05-14,84.4,128.0,80.1,122.7,97067
2017-05-21,122.7,209.7,107.8,143.8,456935
2017-05-28,143.8,230.3,135.5,214.9,246751
2017-06-04,214.9,320.0,214.9,315.2,206316
2017-06-11,314.8,415.0,288.0,353.2,530087
2017-06-18,353.1,370.1,300.0,309.5,325939
2017-06-25,310.3,314.8,216.5,252.1,410506
2017-07-02,252.1,282.7,231.7,239.7,208618
2017-07-09,239.7,246.0,173.5,173.5,283002
2017-07-16,173.5,255.9,134.6,215.2,370555
2017-07-23,215.2,224.1,176.9,197.8,149248
2017-07-30,197.8,259.0,188.3,250.0,203307
2017-08-06,250.0,319.1,242.7,307.4,266457
2017-08-13,307.3,312.0,272.3,292.3,213557
2017-08-20,292.3,346.8,286.9,332.1,256577
2017-08-27,332.0,395.0,327.9,328.4,215997
2017-09-03,328.4,368.0,267.6,299.1,443157
2017-09-10,299.1,316.2,198.5,253.3,462327
2017-09-17,253.3,299.8,238.9,282.9,287727
2017-09-24,282.9,314.9,275.3,304.5,190807
2017-10-01,304.5,313.7,286.0,308.0,129857
2017-10-08,307.9,349.8,287.0,343.2,201297
2017-10-15,343.2,353.4,287.2,296.5,241751
2017-10-22,296.5,311.6,273.4,292.6,165067
2017-10-29,292.7,312.0,275.2,298.4,154837
2017-11-05,298.4,328.7,286.1,315.0,230907
2017-11-12,315.0,344.1,293.2,343.7,211377
2017-11-19,343.7,482.9,342.2,468.3,332867
2017-11-26,468.3,516.9,385.3,459.4,595747
2017-12-03,458.9,486.0,389.1,459.3,481109
2017-12-10,459.2,755.7,412.1,682.9,1030565
2017-12-17,682.9,861.0,491.0,711.1,1468041
2017-12-24,711.2,764.9,559.0,696.0,944627
2017-12-31,696.0,1019.3,674.7,1001.7,912267
2018-01-07,1001.7,1421.1,964.3,1394.9,2055027
2018-01-14,1394.9,1403.5,768.1,1124.2,1989279
2018-01-21,1096.1,1123.1,903.1,1118.1,1207887
2018-01-28,1117.3,1262.6,770.0,958.2,1617165
2018-02-04,958.5,970.5,566.2,820.5,1686527
2018-02-11,820.5,970.3,776.7,963.0,610551
2018-02-18,963.0,977.1,785.1,816.9,805887
2018-02-25,816.8,893.1,811.1,853.0,355427
2018-03-04,853.0,868.0,640.0,678.5,608745
2018-03-11,678.5,737.9,566.3,611.0,343729
2018-03-18,504.8,587.9,502.7,522.4,140379
2018-03-25,524.0,532.9,365.4,383.7,123717
2018-04-01,379.3,416.0,361.1,367.1,63038
2018-04-08,394.5,526.4,385.4,491.0,65138
2018-04-15,523.7,595.0,498.9,592.5,74448
2018-04-22,639.4,711.6,594.6,647.6,89664
2018-06-17,496.2,545.0,455.5,460.5,126101
2018-06-24,455.2,470.3,402.6,411.3,121763
2018-07-01,449.0,484.2,441.7,466.0,141468
2018-07-08,485.3,488.3,415.4,428.4,49859
2018-07-15,450.6,512.7,441.1,442.8,107683
2018-07-22,461.2,482.2,444.8,465.0,205215
2018-07-29,463.0,466.9,395.4,412.9,163773
2018-08-05,409.7,410.8,340.5,340.6,208915
2018-08-12,317.3,320.2,248.9,298.8,148838
2018-08-19,299.5,302.3,258.0,278.4,195873
2018-08-26,271.3,296.3,270.2,281.9,118478
2018-09-02,292.4,295.0,210.4,216.0,250896
