time,open,high,low,close,tick_volume
2024-11-08 00:00:00,196.35,196.94,194.48,195.26,1733
2024-11-08 01:00:00,195.32,196.54,194.15,196.34,2736
2024-11-08 02:00:00,196.35,200.98,196.35,198.89,4565
2024-11-08 03:00:00,198.9,200.36,197.73,198.35,3726
2024-11-08 04:00:00,198.34,198.57,195.71,196.0,3116
2024-11-08 05:00:00,196.0,198.63,195.8,198.21,2002
2024-11-08 06:00:00,198.22,198.96,197.65,197.88,1517
2024-11-08 07:00:00,197.82,200.21,197.78,199.18,1972
2024-11-08 08:00:00,199.24,199.83,197.79,198.81,1706
2024-11-08 09:00:00,198.78,200.91,197.43,200.5,2078
2024-11-08 10:00:00,200.49,200.62,198.21,199.31,3086
2024-11-08 11:00:00,199.34,202.89,198.96,202.35,2934
2024-11-08 12:00:00,202.33,204.18,201.1,203.28,3070
2024-11-08 13:00:00,203.29,204.86,203.0,203.1,2995
2024-11-08 14:00:00,203.1,204.15,202.38,202.68,2355
2024-11-08 15:00:00,202.67,205.05,202.18,204.61,3005
2024-11-08 16:00:00,204.63,205.05,199.38,199.57,4039
2024-11-08 17:00:00,199.58,201.99,198.41,200.96,5241
2024-11-08 18:00:00,200.97,201.55,196.99,197.08,4527
2024-11-08 19:00:00,197.05,199.56,196.26,199.12,4232
2024-11-08 20:00:00,199.12,202.13,198.52,199.66,3512
2024-11-08 21:00:00,199.63,201.65,199.59,199.68,3234
2024-11-08 22:00:00,199.65,200.29,197.71,198.5,3004
2024-11-08 23:00:00,198.48,199.12,197.12,198.87,1954
2024-11-09 00:00:00,198.78,199.66,197.63,198.91,1673
2024-11-09 01:00:00,198.94,199.98,198.16,199.85,1457
2024-11-09 02:00:00,199.87,200.13,198.65,199.66,1911
2024-11-09 03:00:00,199.66,200.07,198.69,199.36,2348
2024-11-09 04:00:00,199.33,199.84,197.23,199.53,2011
2024-11-09 05:00:00,199.52,200.21,198.18,198.95,1817
2024-11-09 06:00:00,198.95,200.06,198.91,199.62,1448
2024-11-09 07:00:00,199.64,201.7,199.45,200.69,1919
2024-11-09 08:00:00,200.68,202.4,200.33,200.8,2210
2024-11-09 09:00:00,200.81,200.89,199.53,200.26,1621
2024-11-09 10:00:00,200.27,202.49,199.9,200.99,2194
2024-11-09 11:00:00,200.97,202.54,200.95,201.58,1457
2024-11-09 12:00:00,201.59,203.39,201.36,202.98,1246
2024-11-09 13:00:00,203.01,203.1,201.0,202.07,1488
2024-11-09 14:00:00,202.06,202.45,199.68,199.71,1718
2024-11-09 15:00:00,199.72,200.94,199.34,199.53,1606
2024-11-09 16:00:00,199.52,199.54,197.4,198.16,2371
2024-11-09 17:00:00,198.2,198.66,196.77,198.33,1738
2024-11-09 18:00:00,198.34,198.65,196.07,196.7,2188
2024-11-09 19:00:00,196.66,198.03,194.91,197.98,2451
2024-11-09 20:00:00,197.97,198.92,197.74,198.78,1380
2024-11-09 21:00:00,198.76,199.54,197.44,197.73,2170
2024-11-09 22:00:00,197.72,198.59,196.84,198.45,1528
2024-11-09 23:00:00,198.42,199.34,197.96,198.46,1389
2024-11-10 00:00:00,198.28,200.02,198.1,199.99,1223
2024-11-10 01:00:00,200.0,201.9,199.29,199.88,2915
2024-11-10 02:00:00,199.89,201.79,198.7,200.34,3384
2024-11-10 03:00:00,200.54,200.74,198.78,200.08,3364
2024-11-10 04:00:00,200.07,204.69,199.98,202.39,3591
2024-11-10 05:00:00,202.39,203.28,201.42,201.42,2825
2024-11-10 06:00:00,201.4,205.23,200.94,204.87,4065
2024-11-10 07:00:00,204.83,208.98,204.24,206.76,5426
2024-11-10 08:00:00,206.77,207.14,204.09,205.68,3549
2024-11-10 09:00:00,205.69,206.69,204.93,204.96,1800
2024-11-10 12:00:00,205.29,206.01,203.98,204.88,1980
2024-11-10 13:00:00,204.89,207.37,204.13,206.48,3108
2024-11-10 14:00:00,206.46,207.52,203.5,205.49,4595
2024-11-10 15:00:00,205.47,206.42,204.82,206.33,2377
2024-11-10 16:00:00,206.31,209.09,204.35,206.57,4649
2024-11-10 17:00:00,206.59,213.28,205.61,211.93,5030
2024-11-10 18:00:00,211.96,212.52,209.03,211.07,4795
2024-11-10 19:00:00,211.08,215.19,210.59,212.92,4535
2024-11-10 20:00:00,212.9,214.96,212.01,212.35,5894
2024-11-10 21:00:00,212.38,213.12,206.31,208.48,5127
2024-11-10 22:00:00,208.42,209.49,203.58,203.88,3321
2024-11-10 23:00:00,200.82,207.93,198.79,207.9,4145
2024-11-11 00:00:00,207.05,212.58,206.39,210.48,4030
2024-11-11 01:00:00,210.5,211.04,208.56,210.08,4520
2024-11-11 02:00:00,210.1,211.07,209.45,210.63,4772
2024-11-11 03:00:00,210.64,212.38,209.41,210.48,4383
2024-11-11 04:00:00,210.48,211.67,209.51,211.48,4065
2024-11-11 05:00:00,211.49,211.53,207.95,210.03,3744
2024-11-11 06:00:00,210.05,210.26,206.49,207.91,2721
2024-11-11 07:00:00,207.92,208.16,204.17,206.16,4550
2024-11-11 08:00:00,206.14,208.18,205.05,207.07,5053
2024-11-11 09:00:00,207.09,208.66,206.51,208.03,3789
2024-11-11 10:00:00,208.02,209.42,206.62,208.78,2811
2024-11-11 11:00:00,208.78,211.21,208.03,211.08,3626
2024-11-11 12:00:00,211.08,216.8,210.95,215.7,5297
2024-11-11 13:00:00,215.71,217.7,214.73,217.65,3857
2024-11-11 14:00:00,217.62,219.42,215.42,216.05,5214
2024-11-11 15:00:00,216.11,217.18,214.55,217.03,4084
2024-11-11 16:00:00,217.02,220.82,216.39,218.91,6337
2024-11-11 17:00:00,218.92,220.76,216.76,219.18,6930
2024-11-11 18:00:00,219.18,222.16,217.8,218.13,6753
2024-11-11 19:00:00,218.12,220.67,217.6,219.27,4832
2024-11-11 20:00:00,219.24,219.89,216.77,219.51,4689
2024-11-11 21:00:00,219.5,221.17,216.37,218.12,5372
2024-11-11 22:00:00,218.12,223.26,217.87,218.97,5354
2024-11-11 23:00:00,218.96,221.37,217.5,219.15,5041
2024-11-12 00:00:00,219.04,220.56,216.84,220.39,3497
2024-11-12 01:00:00,220.39,224.13,219.73,222.29,6514
2024-11-12 02:00:00,222.29,222.72,215.14,220.57,6878
2024-11-12 03:00:00,220.58,221.58,218.44,219.12,6136
2024-11-12 04:00:00,219.1,220.05,215.64,217.74,5148
2024-11-12 05:00:00,217.74,221.02,216.53,220.81,4255
2024-11-12 06:00:00,220.82,221.66,218.58,218.58,4294
2024-11-12 07:00:00,218.58,220.29,216.21,217.83,4295
2024-11-12 08:00:00,217.82,221.12,217.52,220.01,3996
2024-11-12 09:00:00,220.01,222.04,218.72,221.93,4301
2024-11-12 10:00:00,221.96,225.03,220.79,224.97,4348
2024-11-12 11:00:00,224.95,225.26,215.81,215.81,5745
2024-11-12 12:00:00,215.83,217.55,208.76,213.17,8369
2024-11-12 13:00:00,213.15,215.8,211.01,211.25,6814
2024-11-12 14:00:00,211.22,213.96,207.4,208.96,6672
2024-11-12 15:00:00,208.96,210.22,204.76,209.61,8006
2024-11-12 16:00:00,209.56,213.43,206.78,213.35,8053
2024-11-12 17:00:00,213.36,213.66,210.03,210.59,6587
2024-11-12 18:00:00,210.62,212.66,206.61,211.62,6621
2024-11-12 19:00:00,211.63,212.8,209.68,209.72,4569
2024-11-12 20:00:00,209.73,214.5,209.73,213.45,4692
2024-11-12 21:00:00,213.39,215.55,213.06,213.32,4664
2024-11-12 22:00:00,213.31,213.93,211.78,212.98,4624
2024-11-12 23:00:00,212.95,213.68,210.12,212.79,3993
2024-11-13 00:00:00,212.82,215.46,211.81,215.07,3377
2024-11-13 01:00:00,215.04,215.09,211.51,211.7,4397
2024-11-13 02:00:00,211.72,213.28,210.42,210.68,5972
2024-11-13 03:00:00,210.65,212.02,207.98,210.55,6205
2024-11-13 04:00:00,210.53,210.88,204.63,207.57,2816
2024-11-13 05:00:00,207.57,208.29,203.35,203.37,5482
2024-11-13 06:00:00,203.37,205.81,200.92,205.46,6356
2024-11-13 07:00:00,205.43,207.4,203.97,204.72,5786
2024-11-13 08:00:00,204.72,206.6,201.85,202.37,4994
