time,open,high,low,close,tick_volume
2024-11-08 00:00:00,196.35,196.94,194.48,195.03,1044
2024-11-08 00:30:00,195.05,195.8,194.9,195.26,689
2024-11-08 01:00:00,195.32,195.99,194.15,194.76,1617
2024-11-08 01:30:00,194.76,196.54,194.76,196.34,1119
2024-11-08 02:00:00,196.35,199.3,196.35,199.29,2292
2024-11-08 02:30:00,199.27,200.98,198.72,198.89,2273
2024-11-08 03:00:00,198.9,200.36,198.51,200.02,1834
2024-11-08 03:30:00,200.02,200.28,197.73,198.35,1892
2024-11-08 04:00:00,198.34,198.57,196.43,196.5,1589
2024-11-08 04:30:00,196.53,197.47,195.71,196.0,1527
2024-11-08 05:00:00,196.0,197.43,195.8,197.38,1211
2024-11-08 05:30:00,197.42,198.63,197.11,198.21,791
2024-11-08 06:00:00,198.22,198.96,198.04,198.44,765
2024-11-08 06:30:00,198.45,198.82,197.65,197.88,752
2024-11-08 07:00:00,197.82,199.96,197.78,199.86,880
2024-11-08 07:30:00,199.86,200.21,199.08,199.18,1092
2024-11-08 08:00:00,199.24,199.83,198.66,199.41,903
2024-11-08 08:30:00,199.4,199.44,197.79,198.81,803
2024-11-08 09:00:00,198.78,199.04,197.43,198.69,915
2024-11-08 09:30:00,198.64,200.91,198.4,200.5,1163
2024-11-08 10:00:00,200.49,200.62,198.21,199.58,1649
2024-11-08 10:30:00,199.61,200.13,199.16,199.31,1437
2024-11-08 11:00:00,199.34,202.05,198.96,201.97,1337
2024-11-08 11:30:00,201.95,202.89,201.89,202.35,1597
2024-11-08 12:00:00,202.33,202.43,201.1,202.12,1323
2024-11-08 12:30:00,202.13,204.18,201.48,203.28,1747
2024-11-08 13:00:00,203.29,204.86,203.23,203.85,1961
2024-11-08 13:30:00,203.89,204.27,203.0,203.1,1034
2024-11-08 14:00:00,203.1,203.98,202.76,203.05,1055
2024-11-08 14:30:00,203.08,204.15,202.38,202.68,1300
2024-11-08 15:00:00,202.67,203.57,202.18,203.54,1603
2024-11-08 15:30:00,203.51,205.05,202.72,204.61,1402
2024-11-08 16:00:00,204.63,205.05,203.56,204.13,1572
2024-11-08 16:30:00,204.14,204.24,199.38,199.57,2467
2024-11-08 17:00:00,199.58,201.71,198.41,201.17,2749
2024-11-08 17:30:00,201.16,201.99,198.62,200.96,2492
2024-11-08 18:00:00,200.97,201.55,199.69,199.94,2177
2024-11-08 18:30:00,199.96,200.03,196.99,197.08,2350
2024-11-08 19:00:00,197.05,197.98,196.26,197.28,2286
2024-11-08 19:30:00,197.29,199.56,197.0,199.12,1946
2024-11-08 20:00:00,199.12,200.06,198.52,199.99,1295
2024-11-08 20:30:00,199.96,202.13,199.5,199.66,2217
2024-11-08 21:00:00,199.63,201.65,199.59,200.48,1782
2024-11-08 21:30:00,200.47,201.12,199.61,199.68,1452
2024-11-08 22:00:00,199.65,200.29,198.42,198.53,1550
2024-11-08 22:30:00,198.55,198.83,197.71,198.5,1454
2024-11-08 23:00:00,198.48,198.74,197.12,198.2,1174
2024-11-08 23:30:00,198.19,199.12,198.03,198.87,780
2024-11-09 00:00:00,198.78,199.66,197.63,199.11,987
2024-11-09 00:30:00,199.11,199.11,197.68,198.91,686
2024-11-09 01:00:00,198.94,198.95,198.16,198.78,799
2024-11-09 01:30:00,198.78,199.98,198.78,199.85,658
2024-11-09 02:00:00,199.87,200.13,199.18,199.45,938
2024-11-09 02:30:00,199.46,199.99,198.65,199.66,973
2024-11-09 03:00:00,199.66,200.07,198.9,199.05,1163
