time,open,high,low,close,tick_volume
2024-08-10,0.581,0.6007,0.5776,0.5931,21658
2024-08-11,0.5938,0.5941,0.5451,0.5511,26591
2024-08-12,0.5506,0.5781,0.544,0.5636,44012
2024-08-13,0.5638,0.5822,0.5587,0.5747,31084
2024-08-14,0.5747,0.5811,0.5624,0.568,25324
2024-08-15,0.5682,0.5729,0.5479,0.5533,23122
2024-08-16,0.5554,0.5695,0.5507,0.5652,23080
2024-08-17,0.5628,0.5696,0.5606,0.5651,6692
2024-08-18,0.5649,0.5826,0.5629,0.5715,9222
2024-08-19,0.572,0.6078,0.5593,0.5935,26530
2024-08-20,0.5935,0.6138,0.5863,0.5956,21962
2024-08-21,0.5954,0.6043,0.5819,0.6001,22082
2024-08-22,0.6002,0.603,0.5897,0.595,16680
2024-08-23,0.5953,0.6085,0.5895,0.6066,18971
2024-08-24,0.6061,0.6297,0.6033,0.6235,5562
2024-08-25,0.609,0.6126,0.5941,0.6012,11700
2024-08-26,0.5988,0.6035,0.5764,0.5846,18491
2024-08-27,0.5845,0.5989,0.5818,0.5894,16134
2024-08-28,0.5888,0.5903,0.5487,0.5708,35504
2024-08-29,0.5707,0.5755,0.5572,0.561,18142
2024-08-30,0.5615,0.5662,0.5422,0.561,20621
2024-08-31,0.565,0.5707,0.5608,0.5659,5219
2024-09-01,0.5661,0.567,0.5462,0.5586,12653
2024-09-02,0.5586,0.5672,0.542,0.5657,17687
2024-09-03,0.5656,0.571,0.5558,0.5646,14844
2024-09-04,0.5645,0.5654,0.5225,0.5557,20368
2024-09-05,0.5556,0.5597,0.5385,0.5419,16274
2024-09-06,0.5416,0.5458,0.5031,0.5055,27515
2024-09-07,0.5216,0.5315,0.5182,0.5259,7574
2025-01-01,2.081,2.3335,2.0621,2.3117,252054
2025-01-02,2.2973,2.4436,2.2881,2.3829000000000002,241087
2025-01-03,2.3805,2.4761,2.3805,2.4455,179377
2025-01-04,2.4526,2.5065,2.3979,2.4215999999999998,165390
2025-01-05,2.4184,2.431,2.3237,2.3908,159375
2025-01-06,2.3862,2.4564,2.3636,2.4118,181482
2025-01-07,2.407,2.4653,2.2532,2.2717,236301
2025-01-08,2.2669,2.3736,2.197,2.338,277078
2025-01-09,2.3463,2.3956,2.232,2.2604,245188
2025-01-10,2.2688,2.368,2.2425,2.3361,198695
2025-01-11,2.3391,2.5989,2.3225,2.5675,203980
2025-01-12,2.5506,2.5801,2.465,2.5129,192455
2025-01-13,2.5099,2.5602,2.3262,2.5267,256823
2025-01-14,2.5295,2.6944,2.5087,2.6624,219611
2025-01-15,2.662,3.0672,2.6421,3.0559,265543
2025-01-16,3.034,3.4009,2.9164,3.2897,302916
2025-01-17,3.2716,3.3506,3.1603,3.2828,238849
2025-01-18,3.266,3.3161,3.056,3.1976,239277
2025-01-19,3.1938,3.2881,3.0293,3.0668,212104
2025-01-20,3.0579,3.3625,2.8192,3.0605,331669
2025-01-21,3.0259,3.2372,3.0079,3.1817,292708
2025-01-22,3.1679,3.2819,3.126,3.1704,238987
2025-01-23,3.1647,3.1922,3.0347,3.081,282021
2025-01-24,3.0751,3.2024,3.0535,3.1083,211705
2025-01-25,3.0925,3.1438,3.0751,3.1344,141944
2025-01-26,3.132,3.1419,3.0965,3.0997,120021
2025-01-27,3.0965,3.0965,2.6482,3.0159,264756
2025-01-28,3.0094,3.2116,2.9916,3.0134,226177
2025-01-29,3.0099,3.1337,2.9633000000000003,3.0903,209429
2025-01-30,3.0877,3.1534,3.0446,3.1246,159363
2025-01-31,3.1242,3.1524,2.9974,3.0336,177410
2025-02-01,3.035,3.0721,2.8958,2.9158,164809
2025-02-02,2.9093999999999998,2.9556,2.4951,2.5906000000000002,249177
2025-02-03,2.6036,2.7839,1.7583,2.7020999999999997,377722
2025-02-04,2.697,2.7901,2.4168,2.4433,311378
2025-02-05,2.4453,2.5701,2.3387000000000002,2.4006,259207
2025-02-06,2.4026,2.4691,2.2769,2.3371,278261
2025-02-07,2.3395,2.5406,2.2635,2.3692,302736
2025-02-08,2.3781,2.4342,2.3483,2.4195,154395
2025-02-09,2.4196,2.5074,2.3084,2.3159,173531
2025-02-10,2.3331,2.4708,2.3133,2.4248,232037
2025-02-11,2.4248,2.527,2.3674,2.4307,238437
2025-02-12,2.4307,2.4676,2.327,2.4557,212532
2025-02-13,2.4562,2.526,2.4121,2.4992,211899
2025-02-14,2.4981,2.8334,2.4931,2.7426,256841
2025-02-15,2.7079,2.8317,2.6967,2.7401999999999997,225679
2025-02-16,2.7412,2.8036,2.6871,2.7555,155569
2025-02-17,2.7561,2.7634,2.6033,2.6809,219029
2025-02-18,2.6823,2.6835,2.4654,2.5276,251113
2025-02-19,2.5286,2.6943,2.5084,2.6714,225835
2025-02-20,2.6696999999999997,2.7461,2.6615,2.6733000000000002,179677
2025-02-21,2.6732,2.7132,2.5029,2.5331,180269
2025-02-22,2.583,2.608,2.5613,2.5776,87475
2025-02-23,2.5773,2.6001,2.5172,2.567,105698
2025-02-24,2.5707,2.6042,2.3525,2.3606,229980
2025-02-25,2.3609,2.3622,2.0593,2.3285,311492
2025-02-26,2.3258,2.3621,2.1458,2.1994,245302
2025-02-27,2.2074,2.2537,2.1382,2.1854,216076
2025-02-28,2.1871,2.2045,1.9461,2.1456,296918
2025-03-01,2.1335,2.2171,2.118,2.1951,223937
2025-03-02,2.1946,2.9993,2.1713,2.8965,259153
2025-03-03,2.9026,2.9653,2.2935,2.3024,315507
2025-03-04,2.3165,2.5354,2.2074,2.4702,309880
2025-03-05,2.4697,2.5383,2.4037,2.4975,267585
2025-03-06,2.497,2.6435,2.467,2.5953,275108
2025-03-07,2.6014,2.6234,2.3681,2.3925,283803
2025-03-08,2.4023,2.4055,2.2982,2.3477,182398
2025-03-09,2.3459,2.3499,2.0798,2.1919,190912
2025-03-10,2.1917,2.2602,1.9878,2.0777,271246
2025-03-11,2.071,2.2115,1.8957000000000002,2.1931,283088
2025-03-12,2.1895,2.2628,2.1289,2.2271,245165
2025-03-13,2.2263,2.3448,2.2083,2.2228,248534
2025-03-14,2.2174,2.3872999999999998,2.214,2.3458,201259
2025-03-15,2.3511,2.4734,2.3421,2.407,139092
2025-03-16,2.408,2.415,2.2635,2.3027,173385
2025-03-17,2.3064999999999998,2.3766,2.2792,2.3438,178529
2025-03-18,2.3461,2.3535,2.2189,2.2549,178270
2025-03-19,2.2548,2.5868,2.2499000000000002,2.4851,201483
2025-03-20,2.4873,2.5639,2.385,2.4448,162706
2025-03-21,2.4426,2.4634,2.3525,2.4008,187326
2025-03-22,2.3947,2.4127,2.3646,2.3724,86430
2025-03-23,2.3691,2.4258,2.3554,2.4011,100789
2025-03-24,2.3987,2.5021,2.3851,2.4552,124970
2025-03-25,2.4561,2.4756,2.4044,2.4493,168308
2025-03-26,2.4499,2.4761,2.3561,2.3788,127291
2025-03-27,2.3787,2.3881,2.2993,2.3366,155823
2025-03-28,2.3359,2.3572,2.1492,2.17,151638
2025-03-29,2.1878,2.1952,2.0575,2.1004,160511
2025-03-30,2.0995,2.2119,2.0936,2.1321,123760
2025-03-31,2.1341,2.1608,2.0209,2.0851,183144
2025-04-01,2.0829,2.1963,2.0616,2.1384,169125
2025-04-02,2.137,2.2287,2.0643,2.1234,204932
2025-04-03,2.1238,2.1279,1.9569999999999999,2.0519,195688
2025-04-04,2.0525,2.1573,2.0126,2.1341,210907
2025-04-05,2.1173,2.1738,2.1102,2.1266,103182
2025-04-06,2.1258,2.1563,1.9367,1.9468999999999999,140202
2025-04-07,1.9441000000000002,2.0031,1.6075,1.9223,296854
2025-04-08,1.9279,1.9726,1.8007,1.8258,223973
2025-04-09,1.8279999999999998,2.0819,1.718,2.068,255084
2025-04-10,2.0677,2.0868,1.9183,1.9817,230215
2025-04-11,1.9843,2.0622,1.9436,2.0402,140031
2025-04-12,2.0194,2.182,2.0,2.1522,94271
2025-04-13,2.1506,2.2443,2.0947,2.1068,97094
2025-04-14,2.1081,2.1773,2.0695,2.1475,131139
2025-04-15,2.1446,2.1829,2.0979,2.1075,113517
2025-04-16,2.1068,2.125,2.033,2.0887000000000002,124191
2025-04-17,2.0919,2.1122,2.0498,2.0698,111499
2025-04-18,2.0709,2.0866,2.0412,2.0718,90029
2025-04-19,2.0771,2.0956,2.0631,2.0858,52041
2025-04-20,2.0845,2.0918,2.0362999999999998,2.0794,59094
2025-04-21,2.0785,2.1391999999999998,2.0573,2.0805,106357
2025-04-22,2.0816,2.1906,2.0602,2.1566,110686
2025-04-23,2.1551,2.2996,2.1513,2.219,142249
2025-04-24,2.2152,2.2326,2.115,2.2021,112801
2025-04-25,2.2,2.2182,2.1617,2.1944,105696
2025-04-26,2.1808,2.2469,2.1747,2.1861,84031
2025-04-27,2.1841,2.293,2.1584,2.2794,89603
2025-04-28,2.2806,2.3585,2.2168,2.2885,127506
2025-04-29,2.2852,2.3141,2.2624,2.2774,89212
2025-04-30,2.2768,2.2782,2.1211,2.1968,109887
2025-05-01,2.196,2.2553,2.184,2.2133,86142
2025-05-02,2.2136,2.2394,2.1897,2.2132,83643
2025-05-03,2.2082,2.219,2.1739,2.1892,62335
2025-05-04,2.1902,2.2171,2.1617,2.1786,68746
2025-05-05,2.1819,2.1977,2.1031,2.1235,107494
