time,open,high,low,close,tick_volume
2024-08-10 04:00:00,0.581,0.5822,0.5785,0.5787,599
2024-08-10 05:00:00,0.5787,0.5828,0.5776,0.5827,907
2024-08-10 06:00:00,0.5826,0.5931,0.5811,0.5881,1828
2024-08-10 07:00:00,0.588,0.5908,0.5835,0.5863,1276
2024-08-10 08:00:00,0.5863,0.5869,0.5829,0.5834,827
2024-08-10 09:00:00,0.5833,0.5884,0.5824,0.5872,760
2024-08-10 10:00:00,0.5873,0.5878,0.583,0.5853,838
2024-08-10 11:00:00,0.5853,0.5868,0.5835,0.5855,739
2024-08-10 12:00:00,0.5855,0.5869,0.5832,0.585,640
2024-08-10 13:00:00,0.5851,0.5895,0.5847,0.586,906
2024-08-10 14:00:00,0.586,0.5891,0.5855,0.5881,607
2024-08-10 15:00:00,0.5882,0.6007,0.5878,0.5997,1933
2024-08-10 16:00:00,0.5996,0.6007,0.5917,0.5928,1958
2024-08-10 17:00:00,0.5928,0.5983,0.5922,0.5956,1247
2024-08-10 18:00:00,0.5956,0.6005,0.5931,0.596,1231
2024-08-10 19:00:00,0.5963,0.5998,0.5923,0.5943,1322
2024-08-10 20:00:00,0.5941,0.5969,0.5933,0.5946,1057
2024-08-10 21:00:00,0.5946,0.5951,0.5859,0.5925,1287
2024-08-10 22:00:00,0.5925,0.5943,0.5886,0.5899,993
2024-08-10 23:00:00,0.5898,0.5935,0.5897,0.5931,703
2024-08-11 00:00:00,0.5938,0.5941,0.5862,0.5891,645
2024-08-11 01:00:00,0.589,0.5892,0.5841,0.5857,1012
2024-08-11 02:00:00,0.5856,0.5859,0.5797,0.5827,885
2024-08-11 03:00:00,0.5827,0.5894,0.5816,0.5879,1117
2024-08-11 04:00:00,0.5878,0.59,0.5861,0.59,738
2024-08-11 05:00:00,0.59,0.5921,0.5884,0.5892,700
2024-08-11 06:00:00,0.5892,0.5914,0.5872,0.5876,792
2024-08-11 07:00:00,0.5876,0.5888,0.5848,0.5859,728
2024-08-11 08:00:00,0.5859,0.5896,0.5856,0.589,530
2024-08-11 09:00:00,0.5889,0.592,0.5885,0.5894,670
2024-08-11 10:00:00,0.5894,0.5908,0.5872,0.5902,724
2024-08-11 13:00:00,0.5792,0.5816,0.5764,0.5792,1184
2024-08-11 14:00:00,0.5792,0.5803,0.5723,0.5747,1834
2024-08-11 15:00:00,0.5746,0.5751,0.5672,0.5743,1558
2024-08-11 16:00:00,0.5743,0.5744,0.5689,0.5723,1562
2024-08-11 17:00:00,0.5723,0.5742,0.5629,0.5662,1452
2024-08-11 18:00:00,0.5661,0.5684,0.5617,0.5654,1849
2024-08-11 19:00:00,0.5655,0.5695,0.5642,0.5676,1344
2024-08-11 20:00:00,0.5675,0.57,0.5658,0.5689,1037
2024-08-11 21:00:00,0.5688,0.5697,0.567,0.5677,966
2024-08-11 22:00:00,0.5678,0.5678,0.5577,0.5581,1914
2024-08-11 23:00:00,0.5583,0.5583,0.5451,0.5511,3350
2024-08-12 00:00:00,0.5506,0.5552,0.5476,0.5539,1798
2024-08-12 01:00:00,0.5538,0.5553,0.544,0.5507,2259
2024-08-12 02:00:00,0.5507,0.5526,0.5469,0.5516,1138
2024-08-12 03:00:00,0.5515,0.5567,0.5488,0.5545,2209
2024-08-12 04:00:00,0.5545,0.5601,0.5531,0.5591,1341
2024-08-12 05:00:00,0.5591,0.5605,0.5568,0.5595,1158
2024-08-12 06:00:00,0.5595,0.565,0.5576,0.563,974
2024-08-12 07:00:00,0.5631,0.5642,0.5584,0.5584,1082
2024-08-12 08:00:00,0.5583,0.5638,0.5583,0.5622,1002
2024-08-12 09:00:00,0.5621,0.5631,0.5588,0.5611,973
2024-08-12 10:00:00,0.5611,0.5697,0.5555,0.5664,2505
2024-08-12 11:00:00,0.5664,0.5756,0.5662,0.5699,2020
2024-08-12 12:00:00,0.5698,0.5743,0.5675,0.5686,1679
2024-08-12 13:00:00,0.5684,0.5734,0.5656,0.5724,1643
2024-08-12 14:00:00,0.5724,0.5781,0.572,0.5749,1920
2024-08-12 15:00:00,0.5749,0.5759,0.5717,0.5745,1475
2024-08-12 16:00:00,0.5745,0.5757,0.5565,0.5589,2668
2024-08-12 17:00:00,0.5589,0.5761,0.5539,0.5739,4743
2024-08-12 18:00:00,0.5739,0.5757,0.565,0.5702,3474
2024-08-12 19:00:00,0.5702,0.5775,0.568,0.5707,2221
2024-08-12 20:00:00,0.5705,0.5737,0.5683,0.5685,1321
2024-08-12 21:00:00,0.5686,0.5699,0.5597,0.5611,1760
2024-08-12 22:00:00,0.5613,0.5698,0.5613,0.568,1492
2024-08-12 23:00:00,0.568,0.5688,0.561,0.5636,1157
2024-08-13 00:00:00,0.5638,0.5651,0.5587,0.563,870
2024-08-13 01:00:00,0.563,0.5667,0.5629,0.5645,907
2024-08-13 02:00:00,0.5644,0.5709,0.5641,0.5671,1337
2024-08-13 03:00:00,0.5671,0.5708,0.5656,0.5696,1580
2024-08-13 04:00:00,0.5696,0.5712,0.567,0.5702,1050
2024-08-13 05:00:00,0.5702,0.5705,0.5645,0.5689,905
2024-08-13 06:00:00,0.5689,0.5709,0.5621,0.564,1386
2024-08-13 07:00:00,0.564,0.5656,0.5614,0.5655,777
2024-08-13 08:00:00,0.5655,0.5668,0.5637,0.5645,697
2024-08-13 09:00:00,0.5646,0.5686,0.5627,0.568,924
2024-08-13 10:00:00,0.568,0.5722,0.5671,0.5715,1043
2024-08-13 11:00:00,0.5715,0.5738,0.5684,0.5717,1072
2024-08-13 12:00:00,0.5717,0.5717,0.5653,0.5675,1065
2024-08-13 13:00:00,0.5674,0.5779,0.5641,0.5744,1634
