time,open,high,low,close,tick_volume
2024-08-04,0.581,0.6007,0.5776,0.5931,21658
2024-08-11,0.5938,0.5941,0.544,0.5651,179905
2024-08-18,0.5649,0.6297,0.5593,0.6235,121009
2024-08-25,0.609,0.6126,0.5422,0.5659,125811
2024-09-01,0.5661,0.571,0.5031,0.5259,116915
2024-12-29,2.081,2.5065,2.0621,2.4215999999999998,837908
2025-01-05,2.4184,2.5989,2.197,2.5675,1502099
2025-01-12,2.5506,3.4009,2.3262,3.1976,1715474
2025-01-19,3.1938,3.3625,2.8192,3.1344,1711138
2025-01-26,3.132,3.2116,2.6482,2.9158,1321965
2025-02-02,2.9093999999999998,2.9556,1.7583,2.4195,1932876
2025-02-09,2.4196,2.8334,2.3084,2.7401999999999997,1550956
2025-02-16,2.7412,2.8036,2.4654,2.5776,1298967
2025-02-23,2.5773,2.6042,1.9461,2.1951,1629403
2025-03-02,2.1946,2.9993,2.1713,2.3477,1893434
2025-03-09,2.3459,2.4734,1.8957000000000002,2.407,1579296
2025-03-16,2.408,2.5868,2.2189,2.3724,1168129
2025-03-23,2.3691,2.5021,2.0575,2.1004,989330
2025-03-30,2.0995,2.2287,1.9569999999999999,2.1266,1190738
2025-04-06,2.1258,2.182,1.6075,2.1522,1380630
2025-04-13,2.1506,2.2443,2.033,2.0858,719510
2025-04-20,2.0845,2.2996,2.0362999999999998,2.1861,720914
2025-04-27,2.1841,2.3585,2.1211,2.1892,648328
2025-05-04,2.1902,2.4479,2.0747,2.4189,788277
2025-05-11,2.4215,2.6542,2.2971,2.358,1065270
2025-05-18,2.3566,2.4784,2.2817,2.3473,911485
2025-05-25,2.3479,2.3581,2.0767,2.1929,845180
2025-06-01,2.1911,2.2813,2.0572,2.1803,755910
2025-06-08,2.1804,2.3367,2.0825,2.1266,934591
2025-06-15,2.1254,2.3359,2.0654,2.0864,952814
2025-06-22,2.0852,2.2285,1.9066999999999998,2.1808,1005558
2025-06-29,2.1781,2.3253,2.1435,2.2091,603606
2025-07-06,2.209,2.974,2.2063,2.6866,876259
2025-07-13,2.6818999999999997,3.6635,2.6793,3.4194,1458007
2025-07-20,3.4153000000000002,3.6505,2.9512,3.1828,1151207
2025-07-27,3.1809,3.3292,2.7316000000000003,2.7911,658449
2025-08-03,2.7941000000000003,3.3808,2.7212,3.257,577735
2025-08-10,3.255,3.3496,2.9978,3.1034,544564
2025-08-17,3.1031,3.1457,2.7804,3.0286,382279
2025-08-24,3.0282,3.1239,2.7577,2.7994,409189
2025-08-31,2.8025,2.8855,2.6976,2.7996,365391
2025-09-07,2.8018,3.1879,2.7994,3.1212,362378
2025-09-14,3.1186,3.14,2.9533,2.9745,604621
2025-09-21,2.9723,3.0143,2.6872,2.7971,705974
2025-09-28,2.7981,3.1019,2.7663,2.9508,693267
2025-10-05,2.9488,3.0677,2.2551,2.35,458236
2025-10-12,2.3542,2.6470000000000002,2.1865,2.3642,1210316
2025-10-19,2.3583,2.6521,2.324,2.5998,707041
2025-10-26,2.5997,2.6962,2.3743,2.5060000000000002,936355
2025-11-02,2.5063,2.5524,2.0637,2.2845,1514164
2025-11-09,2.2843,2.5785,2.2082,2.2245,1337301
2025-11-16,2.224,2.3028,1.8169,1.9344999999999999,1408226
2025-11-23,1.9337,2.2848,1.9271,2.2062,922274
2025-11-30,2.2057,2.2184,1.9816,2.0337,806380
2025-12-07,2.0327,2.1758,1.9667,2.0202,886963
2025-12-14,2.0209,2.0236,1.7681,1.9279,1013903
2025-12-21,1.9287999999999998,1.947,1.821,1.8591,632810
2025-12-28,1.8589,2.0538,1.807,2.0069,504208
2026-01-04,2.0063,2.4153000000000002,2.0006,2.0872,890422
2026-01-11,2.0868,2.1894,2.0232,2.0657,665627
2026-01-18,2.0659,2.0664,1.8386,1.9131,507446
2026-01-25,1.9134,1.9425,1.4987,1.6164,735147
2026-02-01,1.6162999999999998,1.6732,1.1128,1.4253,1319763
2026-02-08,1.4266,1.5062,1.3394,1.4953,806739
2026-02-15,1.4953,1.6482,1.3752,1.4383,742640
2026-02-22,1.4389,1.4923,1.2686,1.3758,767219
2026-03-01,1.3759000000000001,1.4716,1.3313,1.3548,949857
2026-03-08,1.3549,1.4517,1.3199,1.3918,746423
2026-03-15,1.3917,1.6057000000000001,1.3874,1.4392,816708
2026-03-22,1.4391,1.4645000000000001,1.3149,1.3443,693361
2026-03-29,1.3435000000000001,1.3662,1.2793,1.3157,448645
2026-04-05,1.3157,1.3951,1.2777,1.3615,486134
2026-04-12,1.361,1.5103,1.3185,1.4293,428794
2026-04-19,1.4279,1.4622,1.3913,1.4213,357209
2026-04-26,1.4214,1.446,1.3441,1.3923,261941
2026-05-03,1.3921999999999999,1.4562,1.3768,1.4203000000000001,285581
2026-05-10,1.4203000000000001,1.5491000000000001,1.3944,1.4141,415584
2026-05-17,1.4143,1.4278,1.2999,1.367,372121
2026-05-24,1.3692,1.3734,1.2648,1.3447,304674
2026-05-31,1.345,1.3488,1.0484,1.0838,608476
2026-06-07,1.0832,1.1851,1.0745,1.1455,477852
2026-06-14,1.1453,1.2913000000000001,1.1174,1.1432,409340
2026-06-21,1.1432,1.1616,1.0066,1.0519,411336
2026-06-28,1.0525,1.0747,1.0273,1.0444,136172
2026-07-05,1.1522000000000001,1.1576,1.1407,1.1413,2306
2026-07-12,1.0865,1.0865,1.0865,1.0865,1
2026-07-19,1.0916,1.0964,1.0901,1.0919,2851
2026-07-26,1.0961,1.0993,1.0944,1.0977,1650
