time,open,high,low,close,tick_volume
2022-01-03,75.579,76.407,74.237,75.944,43585
2022-01-04,75.954,77.596,75.662,77.134,50099
2022-01-05,77.124,78.537,76.477,77.134,47473
2022-01-06,77.169,80.202,76.687,79.589,58632
2022-01-07,79.554,80.427,78.487,78.907,50321
2022-01-10,78.829,79.407,77.797,78.379,58156
2022-01-11,78.379,81.547,78.337,81.239,50935
2022-01-12,81.314,83.057,81.132,82.704,50130
2022-01-13,82.749,82.897,81.357,81.624,46976
2022-01-14,81.669,84.402,81.537,84.237,58329
2022-01-17,84.309,84.714,83.467,84.262,31681
2022-01-18,83.669,85.914,83.542,85.829,60526
2022-01-19,85.824,86.747,84.934,84.979,61800
2022-01-20,84.984,87.057,84.144,84.424,60008
2022-01-21,84.489,85.517,82.747,84.787,86709
2022-01-24,84.869,86.047,81.867,84.039,99610
2022-01-25,84.059,85.667,82.947,85.084,85204
2022-01-26,85.189,87.907,84.967,87.109,75617
2022-01-27,87.109,88.507,86.167,87.204,94146
2022-01-28,87.369,88.787,86.397,87.282,88294
2022-01-31,87.384,88.357,86.307,88.044,59122
2022-02-01,88.094,88.827,86.517,88.279,60388
2022-02-02,88.314,89.687,87.072,87.924,60552
2022-02-03,87.934,90.384,86.717,90.084,59075
2022-02-04,90.104,93.127,90.009,91.902,68425
2022-02-07,91.754,92.682,90.697,91.594,76034
2022-02-08,91.569,91.596,88.467,89.674,70427
2022-02-09,89.799,90.532,88.377,89.964,56313
2022-02-10,89.959,91.702,88.987,89.979,67067
2022-02-11,89.934,94.617,89.157,93.872,80003
2022-02-14,93.844,95.767,92.067,94.749,100696
2022-02-15,94.779,95.132,90.627,92.079,81079
2022-02-16,92.159,94.977,89.944,90.609,78974
2022-02-17,90.874,93.317,90.554,91.614,84654
2022-02-18,89.964,91.027,87.417,90.661,81573
2022-02-21,91.149,92.677,89.032,92.652,59359
2022-02-22,93.839,94.887,91.007,91.544,102279
2022-02-23,91.694,93.857,90.612,92.214,77210
2022-02-24,92.474,100.487,91.422,92.934,163667
2022-02-25,93.239,95.592,90.037,91.857,115487
2022-02-28,94.764,99.034,94.397,95.809,100617
2022-03-01,96.044,106.737,95.259,106.264,120271
2022-03-02,107.114,112.442,105.167,111.289,141452
2022-03-03,111.279,116.502,106.422,108.029,148715
2022-03-04,107.914,115.977,107.227,114.992,123859
2022-03-07,121.344,130.449,115.512,120.294,150102
2022-03-08,120.639,129.397,117.112,124.654,149172
2022-03-09,124.609,126.782,103.752,109.464,152840
2022-03-10,110.394,114.827,105.474,105.764,138019
2022-03-11,105.849,110.237,104.462,109.127,99946
2022-03-14,109.354,109.569,99.762,101.944,97939
2022-03-15,102.214,102.519,93.497,95.079,119622
