time,open,high,low,close,tick_volume
2022-01-02,75.579,80.427,74.237,78.907,250110
2022-01-09,78.829,84.402,77.797,84.237,264526
2022-01-16,84.309,87.057,82.747,84.787,300724
2022-01-23,84.869,88.787,81.867,87.282,442871
2022-01-30,87.384,93.127,86.307,91.902,307562
2022-02-06,91.754,94.617,88.377,93.872,349844
2022-02-13,93.844,95.767,87.417,90.661,426976
2022-02-20,91.149,100.487,89.032,91.857,518002
2022-02-27,94.764,116.502,94.397,114.992,634914
2022-03-06,121.344,130.449,103.752,109.127,690079
2022-03-13,109.354,109.569,93.497,103.352,476405
2022-03-20,103.584,116.597,102.459,112.587,491009
2022-03-27,112.429,112.429,97.757,99.437,545672
2022-04-03,98.834,105.557,93.772,97.837,405563
2022-04-10,98.344,107.596,92.897,106.444,286084
2022-04-17,107.329,109.762,99.846,101.707,343500
2022-04-24,101.334,107.937,95.252,104.167,401468
2022-05-01,103.899,111.312,100.242,110.517,367269
2022-05-08,110.299,110.596,98.167,110.102,463436
2022-05-15,111.134,115.517,103.212,110.267,431707
2022-05-22,110.579,115.257,108.567,114.977,345459
2022-05-29,114.869,120.407,111.177,120.277,378873
2022-06-05,120.789,123.132,117.107,120.467,398577
2022-06-12,120.104,123.637,106.379,108.779,470715
2022-06-19,108.669,111.117,101.502,107.057,448236
2022-06-26,107.214,113.992,104.527,108.402,489411
2022-07-03,108.787,111.402,95.077,104.742,530400
2022-07-10,104.737,104.997,90.522,97.492,558300
2022-07-17,97.277,102.757,94.202,95.072,476012
2022-07-24,95.082,101.846,92.967,98.267,437336
2022-07-31,98.417,98.557,86.977,88.477,474714
2022-08-07,88.402,95.012,87.217,91.842,423279
2022-08-14,91.877,92.057,85.697,89.602,388085
2022-08-21,89.567,95.697,86.257,92.952,423862
2022-08-28,92.927,97.612,85.947,87.187,500046
2022-09-04,86.807,90.347,81.162,86.082,425097
2022-09-11,86.177,90.137,83.827,84.962,430361
2022-09-18,84.837,86.647,78.087,79.332,444088
2022-09-25,79.207,82.899,76.209,79.682,467373
2022-10-02,81.022,93.267,81.007,93.222,404547
2022-10-09,93.432,93.597,84.207,84.542,467271
2022-10-16,84.587,87.097,81.287,85.059,413625
2022-10-23,85.096,89.759,82.617,88.329,334587
2022-10-30,88.359,92.809,85.269,92.539,265583
2022-11-06,90.959,93.709,84.689,88.839,254567
2022-11-13,88.979,89.799,77.559,80.239,189832
2022-11-20,80.219,82.319,75.259,76.259,165420
2022-11-27,75.899,83.299,73.569,80.279,203104
2022-12-04,79.959,82.679,70.069,71.539,214460
2022-12-11,71.759,77.719,70.219,74.599,195397
2022-12-18,74.579,80.279,73.999,79.309,166663
2022-12-25,79.859,81.139,76.779,80.459,118790
2023-01-01,80.539,81.449,72.439,73.649,153150
2023-01-08,73.419,80.069,73.419,80.009,169884
2023-01-15,80.059,82.619,78.429,81.679,143087
2023-01-22,81.739,82.579,79.009,79.359,139476
2023-01-29,79.999,80.449,73.079,73.199,164260
2023-02-05,73.239,80.289,72.219,79.719,163572
2023-02-12,79.899,80.569,75.289,76.539,149705
2023-02-19,76.599,77.699,73.769,76.429,137030
2023-02-26,76.379,79.859,74.959,79.819,134152
2023-03-05,79.879,80.899,74.739,76.619,143701
2023-03-12,76.519,77.419,65.419,66.499,227845
2023-03-19,66.859,71.629,64.329,69.179,187285
2023-03-26,69.379,75.679,69.099,75.659,130370
2023-04-02,80.059,81.739,78.969,80.429,115885
2023-04-09,80.459,83.499,79.349,82.639,109426
2023-04-16,82.439,82.669,76.699,77.919,109522
2023-04-23,77.899,79.139,73.899,76.619,121406
2023-04-30,76.619,76.649,63.919,71.299,146183
2023-05-07,71.319,73.849,69.909,70.039,138900
2023-05-14,69.999,73.529,69.369,71.849,132448
2023-05-21,71.839,74.689,70.639,72.859,145460
2023-05-28,73.199,73.519,67.009,71.839,147101
2023-06-04,74.999,74.999,68.999,70.299,163687
2023-06-11,70.239,71.989,66.769,71.629,159619
2023-06-18,71.619,72.679,67.319,69.479,133432
2023-06-25,69.799,70.999,67.019,70.399,168534
2023-07-02,70.419,73.879,69.659,73.659,126847
2023-07-09,73.819,77.299,72.699,75.219,120857
2023-07-16,74.979,77.249,73.799,76.779,120629
2023-07-23,76.979,80.659,76.399,80.629,124937
2023-07-30,80.619,83.199,78.659,82.599,132791
2023-08-06,82.779,84.859,79.889,83.029,135489
2023-08-13,83.059,83.159,78.569,80.719,141604
2023-08-20,80.749,81.699,77.559,79.999,123262
2023-08-27,80.119,86.019,79.329,85.999,111536
2023-09-03,86.019,88.039,84.977,87.179,122978
2023-09-10,87.359,90.749,86.679,90.379,117713
