time,open,high,low,close,tick_volume
1993-04-25,0.9109,0.9109,0.899,0.899,4
1993-05-02,0.8955,0.9003,0.888,0.9003,5
1993-05-09,0.8916,0.8965,0.8916,0.8965,5
1993-05-16,0.8959,0.8959,0.8745,0.8795,5
1993-05-23,0.8761,0.8833,0.8748,0.8748,5
1993-05-30,0.8626,0.8682,0.8611,0.8643,5
1993-06-06,0.8625,0.8701,0.8592,0.8701,5
1993-06-13,0.8639,0.8675,0.8588,0.8631,5
1993-06-20,0.8726,0.8736,0.8579,0.861,5
1993-06-27,0.8568,0.8652,0.8533,0.8652,5
1993-07-04,0.8698,0.8733,0.8668,0.8706,5
1993-07-11,0.8688,0.8728,0.8676,0.8684,5
1993-07-18,0.8645,0.8704,0.8645,0.8704,5
1993-07-25,0.8704,0.8874,0.8689,0.8874,5
1993-08-01,0.8922,0.8922,0.8798,0.8807,5
1993-08-08,0.8811,0.8932,0.8811,0.8899,5
1993-08-15,0.8919,0.8949,0.8862,0.8917,5
1993-08-22,0.8818,0.8839,0.8798,0.8798,5
1993-08-29,0.8871,0.8887,0.8619,0.8619,5
1993-09-05,0.8615,0.8676,0.8542,0.8542,5
1993-09-12,0.8564,0.8575,0.8524,0.8575,5
1993-09-19,0.8607,0.8664,0.8607,0.8646,5
1993-09-26,0.8609,0.8659,0.8575,0.8659,5
1993-10-03,0.8662,0.8767,0.8655,0.8767,5
1993-10-10,0.8801,0.8825,0.8799,0.8825,5
1993-10-17,0.8761,0.8815,0.8745,0.8745,5
1993-10-24,0.8794,0.8804,0.8783,0.8802,5
1993-10-31,0.8841,0.8856,0.8723,0.8723,5
1993-11-07,0.8659,0.871,0.8659,0.8659,5
1993-11-14,0.8661,0.8807,0.8655,0.8807,5
1993-11-21,0.8791,0.8848,0.8791,0.8811,5
1993-11-28,0.8771,0.8896,0.8771,0.889,5
1993-12-05,0.8874,0.8934,0.8833,0.8925,5
1993-12-12,0.8908,0.9099,0.8908,0.9099,5
