time,open,high,low,close,tick_volume
2024-01-02,0.5712,0.57833,0.5704,0.57452,70417
2024-01-03,0.57443,0.57598,0.57109,0.57109,76177
2024-01-04,0.57125,0.57408,0.56947,0.57019,67144
2024-01-05,0.56999,0.57131,0.56824,0.56943,71167
2024-01-08,0.57023,0.57232,0.56759,0.56981,58158
2024-01-09,0.5697,0.57036,0.56665,0.56985,59189
2024-01-10,0.56981,0.57225,0.56911,0.56994,53025
2024-01-11,0.56991,0.57171,0.56839,0.56964,68556
2024-01-12,0.56949,0.5721,0.5687,0.56967,69175
2024-01-15,0.56813,0.57142,0.56788,0.56983,38373
2024-01-16,0.56971,0.57003,0.56637,0.56721,79152
2024-01-17,0.56693,0.56802,0.56388,0.56632,77690
2024-01-18,0.56625,0.57067,0.56415,0.57047,68152
2024-01-19,0.57027,0.57364,0.56912,0.57242,59402
2024-01-22,0.57085,0.57389,0.57068,0.57089,63170
2024-01-23,0.57087,0.57343,0.56972,0.57252,59620
2024-01-24,0.57242,0.57261,0.5672,0.56722,68753
2024-01-25,0.56698,0.5719,0.5657,0.57076,70697
2024-01-26,0.57069,0.57164,0.56669,0.56669,59062
2024-01-29,0.56592,0.56992,0.56538,0.56933,51348
2024-01-30,0.56933,0.57041,0.56775,0.56892,63550
2024-01-31,0.5689,0.56903,0.56529,0.56565,86020
2024-02-01,0.56565,0.56718,0.5618,0.56367,77140
2024-02-02,0.56333,0.56582,0.56165,0.5644,62473
2024-02-05,0.56308,0.56605,0.56291,0.56442,63385
2024-02-06,0.5644,0.56775,0.56376,0.56732,62552
2024-02-07,0.56733,0.57041,0.56682,0.56985,57181
2024-02-08,0.56976,0.57064,0.56672,0.56713,50429
2024-02-09,0.5668,0.57088,0.56572,0.57033,45379
2024-02-12,0.56937,0.57272,0.56843,0.57184,41795
2024-02-13,0.57166,0.57442,0.56884,0.57245,62585
2024-02-14,0.57244,0.57532,0.57026,0.57469,52737
2024-02-15,0.57473,0.57541,0.57296,0.57406,55678
2024-02-16,0.57403,0.57608,0.57243,0.57441,48164
2024-02-19,0.57276,0.57713,0.57259,0.57679,33205
2024-02-20,0.57666,0.57907,0.57441,0.57748,56662
2024-02-21,0.57733,0.57884,0.57542,0.576,49298
2024-02-22,0.57589,0.5782,0.57404,0.57685,54643
2024-02-23,0.5765,0.57927,0.57571,0.57819,45674
2024-02-26,0.57659,0.57869,0.57498,0.57506,42982
2024-02-27,0.57363,0.57685,0.57363,0.57462,50315
2024-02-28,0.57391,0.57577,0.57026,0.57026,50001
2024-02-29,0.57055,0.57478,0.56906,0.57404,52933
2024-03-01,0.57433,0.57819,0.57277,0.57614,51464
2024-03-04,0.57608,0.57732,0.57443,0.57593,40665
2024-03-05,0.57523,0.57638,0.57366,0.5745,48120
2024-03-06,0.57383,0.57985,0.57381,0.57892,53682
2024-03-07,0.57827,0.5817,0.57827,0.58093,53045
2024-03-08,0.58015,0.58259,0.57991,0.58131,51416
2024-03-11,0.57844,0.58145,0.57844,0.58015,46579
2024-03-12,0.57939,0.58084,0.57834,0.57947,55896
2024-03-13,0.57875,0.58199,0.57872,0.5819,50240
2024-03-14,0.58178,0.58286,0.58049,0.58157,48313
2024-03-15,0.58103,0.58178,0.57898,0.57953,46103
2024-03-18,0.57878,0.58249,0.57802,0.58229,42496
2024-03-19,0.58094,0.58281,0.57731,0.57998,49415
2024-03-20,0.57981,0.58412,0.57946,0.58402,48839
2024-03-21,0.58395,0.59325,0.58297,0.58966,59493
2024-03-22,0.58963,0.59028,0.58388,0.5845,50500
2024-03-25,0.58365,0.58817,0.58323,0.58816,44791
2024-03-26,0.58731,0.59215,0.5873,0.59057,44472
2024-03-27,0.59035,0.59191,0.58868,0.5905,45477
2024-03-28,0.59021,0.59151,0.587,0.58746,49430
2024-03-29,0.58707,0.58887,0.58567,0.58671,33812
2024-04-01,0.58684,0.58956,0.58614,0.58681,39080
2024-04-02,0.5863,0.59182,0.5862,0.59178,44581
2024-04-03,0.59164,0.59364,0.59059,0.59256,46844
2024-04-04,0.59234,0.59919,0.59206,0.59371,43652
2024-04-05,0.59369,0.59525,0.5917,0.59345,51878
2024-04-08,0.59076,0.59829,0.59058,0.59785,51335
2024-04-09,0.59755,0.59951,0.59675,0.59884,45395
2024-04-10,0.59817,0.59891,0.59332,0.59439,70253
2024-04-11,0.59372,0.5965,0.59237,0.5948,81289
