time,open,high,low,close,tick_volume
2023-07-25,95.336,95.854,95.174,95.694,96372
2023-07-26,95.636,95.729,94.421,94.758,109067
2023-07-27,94.725,95.415,92.957,93.493,128045
2023-07-28,93.487,94.21,91.798,93.831,149281
2023-07-31,93.872,95.827,93.684,95.561,105763
2023-08-01,95.559,95.807,94.553,94.788,99752
2023-08-02,94.788,94.896,93.588,93.706,109632
2023-08-03,93.704,94.081,92.963,93.338,104748
2023-08-04,93.342,93.923,92.984,92.99,107292
2023-08-07,93.021,93.687,93.017,93.653,92101
2023-08-08,93.649,93.976,92.897,93.808,104663
2023-08-09,93.807,94.108,93.52,93.82,93798
2023-08-10,93.802,94.933,93.7,94.286,102828
2023-08-11,94.286,94.585,94.015,94.148,97110
2023-08-14,94.048,94.434,93.57,94.408,98151
2023-08-15,94.408,94.861,93.923,93.95,105366
2023-08-16,93.945,94.284,93.632,94.0,96111
2023-08-17,93.992,93.999,93.21,93.374,110221
2023-08-18,93.374,93.553,92.786,93.09,105783
2023-08-21,93.043,93.906,92.826,93.773,92537
2023-08-22,93.774,94.055,93.501,93.694,95801
2023-08-23,93.696,93.952,93.219,93.858,91298
2023-08-24,93.855,94.172,93.506,93.57,94560
2023-08-25,93.569,93.973,93.432,93.73,95651
2023-08-28,93.761,94.328,93.737,94.203,78580
2023-08-29,94.198,94.595,94.042,94.513,99174
2023-08-30,94.509,95.058,94.168,94.681,97029
2023-08-31,94.681,94.936,94.03,94.361,97750
2023-09-01,94.36,94.42,93.85,94.289,94564
2023-09-04,94.108,94.715,94.108,94.583,52565
2023-09-05,94.628,94.703,93.587,94.218,96130
2023-09-06,94.214,94.33,93.853,94.139,93989
2023-09-07,94.058,94.314,93.704,93.898,87265
2023-09-08,93.867,94.453,93.587,94.239,86166
2023-09-11,93.848,94.456,93.602,94.228,103347
2023-09-12,94.142,94.556,94.051,94.501,83533
2023-09-13,94.507,94.823,94.173,94.685,92796
2023-09-14,94.679,95.039,94.498,94.967,90729
2023-09-15,94.925,95.541,94.781,95.059,84798
2023-09-18,95.11,95.249,94.787,95.006,74572
2023-09-19,94.976,95.633,94.913,95.414,65516
2023-09-20,95.414,96.062,95.298,95.638,72684
2023-09-21,95.633,95.671,94.531,94.674,77194
2023-09-22,94.673,95.824,94.536,95.556,72142
2023-09-25,95.578,95.709,95.175,95.622,68666
2023-09-26,95.618,95.767,95.219,95.353,89411
2023-09-27,95.347,95.46,94.718,95.049,85501
2023-09-28,95.062,95.965,94.802,95.937,86379
2023-09-29,95.739,96.918,95.716,96.016,92723
2023-10-02,96.115,96.411,95.273,95.35,79037
2023-10-03,95.339,95.405,93.033,93.886,87192
2023-10-04,93.876,94.395,93.781,94.315,88549
2023-10-05,94.273,94.694,94.098,94.599,85593
2023-10-06,94.57,95.551,94.331,95.294,83476
2023-10-09,94.684,95.261,94.617,95.193,63867
2023-10-10,95.198,95.655,95.117,95.638,76607
2023-10-11,95.432,95.729,95.363,95.666,73679
2023-10-12,95.488,95.823,94.454,94.583,70243
2023-10-13,94.575,94.884,94.048,94.157,68872
2023-10-16,94.124,94.899,94.042,94.818,63533
2023-10-17,94.807,95.5,94.546,95.346,80350
2023-10-18,95.324,95.663,94.834,94.992,78318
2023-10-19,94.971,95.162,94.314,94.789,90215
2023-10-20,94.765,94.797,94.421,94.582,71755
2023-10-23,94.698,95.02,94.316,94.849,64868
2023-10-24,94.857,95.372,94.727,95.261,75823
2023-10-25,95.179,95.895,94.568,94.775,71928
2023-10-26,94.753,95.199,94.244,95.061,91857
2023-10-27,95.041,95.365,94.673,94.757,83667
2023-10-30,94.837,95.522,94.651,95.013,73551
2023-10-31,94.921,96.16,94.838,96.051,94027
2023-11-01,95.929,96.517,95.605,96.507,84160
2023-11-02,96.5,96.926,96.388,96.773,80672
2023-11-03,96.754,97.318,96.573,97.253,81937
2023-11-06,97.166,97.504,97.087,97.373,67137
2023-11-07,97.378,97.583,96.404,96.75,73757
2023-11-08,96.609,97.092,96.609,96.65,69111
2023-11-09,96.653,97.002,96.305,96.349,77456
2023-11-10,96.349,96.416,96.034,96.323,62755
2023-11-13,96.128,96.857,96.124,96.744,56894
2023-11-14,96.704,97.934,96.447,97.844,68857
2023-11-15,97.81,98.583,97.56,98.486,79618
2023-11-16,98.478,98.571,97.239,97.448,76715
2023-11-17,97.409,97.553,96.925,97.378,75541
2023-11-20,97.287,97.72,97.016,97.27,82601
2023-11-21,97.26,97.419,96.828,97.276,94692
2023-11-22,97.267,97.925,97.074,97.837,86778
2023-11-23,97.749,98.192,97.656,98.061,53074
2023-11-24,97.971,98.537,97.953,98.328,59785
2023-11-27,98.216,98.488,97.807,98.214,77196
2023-11-28,98.186,98.377,97.88,98.048,92181
2023-11-29,98.042,98.057,97.337,97.423,101477
2023-11-30,97.334,98.099,97.234,97.884,100627
2023-12-01,97.886,98.068,97.693,97.973,95261
2023-12-04,97.728,97.939,97.198,97.444,109082
2023-12-05,97.442,97.509,96.252,96.405,98950
2023-12-06,96.39,97.171,96.261,96.463,85002
2023-12-07,96.464,96.489,93.73,95.137,119408
2023-12-08,95.062,95.594,94.165,95.303,126417
2023-12-11,95.137,96.145,95.117,95.983,100462
2023-12-12,95.871,96.012,95.289,95.399,88114
2023-12-13,95.4,95.661,95.142,95.175,96680
2023-12-14,95.175,95.505,94.578,95.002,136417
2023-12-15,94.997,95.439,94.718,95.152,110469
2023-12-18,95.102,96.138,95.095,95.738,82770
2023-12-19,95.718,97.577,95.481,97.258,102279
2023-12-20,97.253,97.398,96.606,96.616,93132
2023-12-21,96.618,96.763,96.326,96.649,100858
2023-12-22,96.543,97.01,96.355,96.777,93779
2023-12-26,96.759,97.228,96.577,97.178,45748
2023-12-27,97.162,97.589,96.881,97.1,72191
2023-12-28,96.982,97.222,96.098,96.522,73295
2023-12-29,96.513,96.857,95.891,95.954,70517
2024-01-02,95.893,96.71,95.835,95.971,95206
2024-01-03,95.972,96.593,95.87,96.378,99146
2024-01-04,96.401,97.194,96.183,96.981,98060
2024-01-05,96.99,97.389,96.84,96.968,97950
2024-01-08,97.022,97.286,96.454,96.918,87089
2024-01-09,96.913,96.92,96.14,96.601,90053
2024-01-10,96.597,97.677,96.444,97.644,77316
2024-01-11,97.639,97.793,97.073,97.149,96742
2024-01-12,97.144,97.446,96.716,96.739,95199
2024-01-15,96.793,97.229,96.77,97.026,60887
2024-01-16,97.02,97.073,96.579,96.903,102436
2024-01-17,96.903,97.137,96.64,97.07,101491
2024-01-18,97.07,97.394,96.693,97.375,93209
2024-01-19,97.375,97.758,97.178,97.672,86341
2024-01-22,97.691,97.877,97.236,97.291,85945
2024-01-23,97.291,97.811,97.091,97.572,93221
2024-01-24,97.572,97.625,96.912,96.956,98328
2024-01-25,96.928,97.352,96.767,97.2,90043
2024-01-26,97.204,97.656,97.083,97.388,79683
2024-01-29,97.312,97.694,97.271,97.5,76294
2024-01-30,97.5,97.579,97.068,97.446,83490
2024-01-31,97.427,97.453,96.408,96.471,116627
2024-02-01,96.438,96.588,95.497,96.222,115546
2024-02-02,96.222,96.92,96.039,96.596,91863
2024-02-05,96.593,96.741,96.207,96.383,93446
2024-02-06,96.363,96.796,96.268,96.5,92074
2024-02-07,96.502,96.786,96.427,96.614,92231
2024-02-08,96.613,97.032,96.469,96.931,88292
2024-02-09,96.927,97.454,96.863,97.375,79960
2024-02-12,97.181,97.671,97.129,97.532,73448
2024-02-13,97.501,97.603,97.156,97.306,90259
2024-02-14,97.306,97.783,97.061,97.684,91631
2024-02-15,97.689,97.853,97.313,97.806,90911
2024-02-16,97.802,98.254,97.686,98.033,84963
2024-02-19,97.903,98.222,97.903,98.16,56729
2024-02-20,98.101,98.61,98.037,98.23,94376
2024-02-21,98.227,98.587,98.073,98.432,77457
2024-02-22,98.427,99.016,98.359,98.675,73541
2024-02-23,98.629,99.05,98.566,98.779,62571
2024-02-26,98.76,98.83,98.464,98.503,76138
2024-02-27,98.485,98.618,98.202,98.438,65188
2024-02-28,98.412,98.543,97.806,97.814,68079
2024-02-29,97.754,97.861,97.342,97.357,71972
2024-03-01,97.387,98.079,97.358,97.894,69464
2024-03-04,97.835,98.14,97.835,97.971,73187
2024-03-05,97.943,97.978,97.296,97.589,64401
2024-03-06,97.537,98.207,97.375,98.069,69779
2024-03-07,97.946,98.072,97.429,97.983,75914
2024-03-08,97.876,98.147,97.269,97.417,70153
2024-03-11,97.327,97.46,96.891,97.168,61342
2024-03-12,97.012,97.696,97.004,97.544,70416
2024-03-13,97.426,97.955,97.235,97.836,67093
2024-03-14,97.783,97.935,97.42,97.592,62986
2024-03-15,97.534,97.966,97.264,97.766,60512
2024-03-18,97.688,98.044,97.637,97.839,52022
2024-03-19,97.756,98.608,97.552,98.52,63738
2024-03-20,98.512,99.655,98.462,99.614,60149
2024-03-21,99.613,100.166,99.285,99.609,70922
2024-03-22,99.582,99.703,98.51,98.662,62662
2024-03-25,98.51,99.084,98.47,99.014,56199
2024-03-26,98.904,99.241,98.892,99.013,51288
2024-03-27,98.937,99.015,98.476,98.8,58081
2024-03-28,98.76,98.929,98.166,98.594,56328
2024-03-29,98.616,98.794,98.448,98.575,27193
2024-04-01,98.551,98.946,98.265,98.406,44400
2024-04-02,98.322,98.82,98.254,98.774,52804
2024-04-03,98.761,99.642,98.578,99.566,53591
2024-04-04,99.487,100.394,99.453,99.688,51166
2024-04-05,99.686,99.828,99.191,99.743,61677
2024-04-08,99.586,100.316,99.509,100.268,55579
2024-04-09,100.218,100.802,100.193,100.596,51296
2024-04-10,100.553,100.639,99.383,99.722,80363
2024-04-11,99.717,100.233,99.392,100.198,94215
2024-04-12,100.179,100.234,98.731,99.038,89211
2024-04-15,98.9,100.01,98.855,99.381,101737
2024-04-16,99.367,99.381,98.638,99.043,101367
2024-04-17,98.958,99.528,98.958,99.341,85853
2024-04-18,99.221,99.58,99.151,99.295,86702
2024-04-19,99.248,99.398,97.772,99.225,110538
2024-04-22,99.083,99.906,99.026,99.851,74268
2024-04-23,99.789,100.443,99.704,100.42,74560
2024-04-24,100.249,101.012,100.092,100.865,73352
2024-04-25,100.799,101.647,100.741,101.457,80854
2024-04-26,101.398,103.469,101.377,103.409,89127
2024-04-29,102.959,104.938,101.366,102.656,111285
2024-04-30,102.552,102.895,102.104,102.144,84244
2024-05-01,102.094,102.743,99.902,100.756,84349
2024-05-02,100.846,102.042,100.454,100.87,114415
2024-05-03,100.788,101.235,100.45,101.087,96705
2024-05-06,101.172,102.044,100.89,101.958,66637
2024-05-07,101.848,102.463,101.576,102.06,73963
2024-05-08,101.937,102.381,101.816,102.346,63843
2024-05-09,102.238,102.941,102.047,102.909,65824
2024-05-10,102.873,103.106,102.73,102.856,70060
2024-05-13,102.734,103.262,102.597,103.225,68035
2024-05-14,103.134,103.695,103.092,103.663,66439
2024-05-15,103.581,104.033,103.138,103.669,77950
2024-05-16,103.558,103.809,102.797,103.768,85612
2024-05-17,103.704,104.292,103.619,104.156,62777
2024-05-20,104.111,104.56,103.907,104.181,61573
2024-05-21,104.141,104.423,103.908,104.107,70802
2024-05-22,104.043,104.439,103.482,103.797,72345
2024-05-23,103.638,104.242,103.47,103.67,81367
2024-05-24,103.622,104.131,103.503,104.022,66261
2024-05-27,103.91,104.462,103.853,104.408,44140
