time,open,high,low,close,tick_volume
2023-07-23,95.336,95.854,91.798,93.831,482765
2023-07-30,93.872,95.827,92.963,92.99,527187
2023-08-06,93.021,94.933,92.897,94.148,490500
2023-08-13,94.048,94.861,92.786,93.09,515632
2023-08-20,93.043,94.172,92.826,93.73,469847
2023-08-27,93.761,95.058,93.737,94.289,467097
2023-09-03,94.108,94.715,93.587,94.239,416115
2023-09-10,93.848,95.541,93.602,95.059,455203
2023-09-17,95.11,96.062,94.531,95.556,362108
2023-09-24,95.578,96.918,94.718,96.016,422680
2023-10-01,96.115,96.411,93.033,95.294,423847
2023-10-08,94.684,95.823,94.048,94.157,353268
2023-10-15,94.124,95.663,94.042,94.582,384171
2023-10-22,94.698,95.895,94.244,94.757,388143
2023-10-29,94.837,97.318,94.651,97.253,414347
2023-11-05,97.166,97.583,96.034,96.323,350216
2023-11-12,96.128,98.583,96.124,97.378,357625
2023-11-19,97.287,98.537,96.828,98.328,376930
2023-11-26,98.216,98.488,97.234,97.973,466742
2023-12-03,97.728,97.939,93.73,95.303,538859
2023-12-10,95.137,96.145,94.578,95.152,532142
2023-12-17,95.102,97.577,95.095,96.777,472818
2023-12-24,96.759,97.589,95.891,95.954,261751
2023-12-31,95.893,97.389,95.835,96.968,390362
2024-01-07,97.022,97.793,96.14,96.739,446399
2024-01-14,96.793,97.758,96.579,97.672,444364
2024-01-21,97.691,97.877,96.767,97.388,447220
2024-01-28,97.312,97.694,95.497,96.596,483820
2024-02-04,96.593,97.454,96.207,97.375,446003
2024-02-11,97.181,98.254,97.061,98.033,431212
2024-02-18,97.903,99.05,97.903,98.779,364674
2024-02-25,98.76,98.83,97.342,97.894,350841
2024-03-03,97.835,98.207,97.269,97.417,353434
2024-03-10,97.327,97.966,96.891,97.766,322349
2024-03-17,97.688,100.166,97.552,98.662,309493
2024-03-24,98.51,99.241,98.166,98.575,249089
2024-03-31,98.551,100.394,98.254,99.743,263638
2024-04-07,99.586,100.802,98.731,99.038,370664
2024-04-14,98.9,100.01,97.772,99.225,486197
2024-04-21,99.083,103.469,99.026,103.409,392161
2024-04-28,102.959,104.938,99.902,101.087,490998
2024-05-05,101.172,103.106,100.89,102.856,340327
2024-05-12,102.734,104.292,102.597,104.156,360813
2024-05-19,104.111,104.56,103.47,104.022,352348
2024-05-26,103.91,104.857,103.355,104.627,371504
2024-06-02,104.47,104.719,102.609,103.134,467008
2024-06-09,103.043,104.798,102.992,104.109,462295
2024-06-16,103.929,106.15,103.584,106.107,362756
2024-06-23,105.987,107.457,105.59,107.274,424838
2024-06-30,107.334,108.594,107.237,108.475,374230
2024-07-07,108.232,109.369,106.746,107.11,416697
2024-07-14,107.003,107.228,104.519,105.275,509057
2024-07-21,105.259,105.419,99.208,100.661,585139
2024-07-28,100.587,101.77,95.325,95.35,715838
2024-08-04,95.3,97.441,90.131,96.341,862120
2024-08-11,96.203,98.904,96.2,98.431,595335
2024-08-18,98.32,99.028,96.982,98.139,586140
2024-08-25,97.89,98.968,97.258,98.867,503330
2024-09-01,98.944,99.86,94.772,94.892,530756
2024-09-08,94.764,95.707,93.584,94.418,568322
2024-09-15,94.267,98.299,93.871,97.942,576047
2024-09-22,97.873,100.72,97.621,98.095,575593
2024-09-29,98.1,101.268,98.012,101.009,591683
2024-10-06,100.889,101.416,99.078,100.673,521860
2024-10-13,100.341,100.942,99.431,100.254,425917
2024-10-20,100.172,101.684,99.939,100.587,448818
2024-10-27,101.228,101.52,99.532,100.282,474353
2024-11-03,100.606,102.399,100.005,100.453,583449
2024-11-10,100.488,101.35,99.41,99.747,505164
2024-11-17,99.666,101.555,99.481,100.628,535675
2024-11-24,100.76,101.025,97.437,97.437,522932
2024-12-01,97.371,98.012,95.515,95.84,498469
2024-12-08,95.787,98.057,95.61,97.731,448422
2024-12-15,97.542,98.731,95.796,97.768,479002
2024-12-22,97.707,98.436,97.707,98.089,263984
2024-12-29,98.015,98.729,96.927,97.779,313029
2025-01-05,97.566,99.162,96.79,96.887,503898
2025-01-12,96.903,97.952,96.057,96.718,527082
2025-01-19,96.778,98.76,96.664,98.456,534811
2025-01-26,98.063,98.244,95.594,96.333,586658
2025-02-02,95.205,96.752,94.488,94.936,604646
2025-02-09,94.307,97.327,94.244,96.765,500172
2025-02-16,96.588,96.84,94.64,94.91,488415
2025-02-23,94.894,95.447,92.721,93.47,650306
2025-03-02,93.791,94.713,91.852,93.33,851480
2025-03-09,93.313,94.097,91.817,94.046,742803
2025-03-16,94.071,95.744,93.141,93.634,541931
2025-03-23,93.569,95.392,93.449,94.15,492237
2025-03-30,94.089,95.306,87.405,88.671,740794
2025-04-06,87.137,91.317,86.036,90.147,1114846
2025-04-13,90.631,91.404,89.563,90.6,726776
2025-04-20,90.495,92.217,89.631,91.918,581442
2025-04-27,91.711,93.56,90.584,93.403,513504
2025-05-04,93.189,93.541,92.111,93.085,489116
2025-05-11,93.743,95.64,92.736,93.248,520325
2025-05-18,93.027,93.838,91.645,92.569,493156
2025-05-25,92.367,93.869,92.01,92.665,439128
2025-06-01,92.491,94.125,92.053,94.026,443581
2025-06-08,94.101,94.744,92.311,93.474,431698
2025-06-15,93.211,94.834,93.211,94.169,449119
2025-06-22,94.177,94.846,93.841,94.41,467700
2025-06-29,94.292,95.366,93.959,94.585,430989
2025-07-06,94.686,97.049,94.227,96.884,427759
2025-07-13,96.52,97.428,95.987,96.832,401430
2025-07-20,96.25,97.132,95.625,96.917,423340
2025-07-27,97.082,97.286,95.103,95.331,463442
2025-08-03,95.141,96.52,94.902,96.294,414340
2025-08-10,96.171,96.827,95.516,95.744,371143
2025-08-17,95.771,96.197,94.395,95.335,342996
2025-08-24,95.267,96.238,95.227,96.074,342426
2025-08-31,96.194,97.292,96.048,96.63,360156
2025-09-07,97.023,98.419,96.811,98.133,353546
2025-09-14,97.963,98.384,97.239,97.5,338488
2025-09-21,97.559,98.218,97.225,97.836,312224
2025-09-28,97.825,98.141,96.852,97.328,312401
2025-10-05,98.365,100.942,97.8,97.842,401120
2025-10-12,98.856,99.479,96.246,97.747,536618
2025-10-19,97.619,99.588,97.565,99.51,460997
2025-10-26,99.92,101.206,99.403,100.779,480556
2025-11-02,100.736,101.137,98.817,99.636,453366
2025-11-09,99.8,101.818,99.676,100.963,487332
2025-11-16,100.932,102.484,100.139,100.89,575514
2025-11-23,100.96,102.358,100.34,102.165,513299
2025-11-30,102.009,103.186,101.507,103.113,380798
2025-12-07,102.922,104.391,102.839,103.598,482992
2025-12-14,103.393,104.313,102.314,104.215,513497
2025-12-21,104.238,105.161,103.888,105.04,362535
2025-12-28,104.83,105.21,104.337,104.537,266199
2026-06-28,112.051,112.158,111.149,111.305,44816
2026-07-05,111.867,112.025,111.801,111.994,3189
2026-07-12,112.285,112.441,112.243,112.372,6081
2026-07-19,113.092,113.425,113.0,113.399,9007
2026-07-26,114.432,114.624,114.39,114.453,8422
2026-08-02,110.705,111.203,110.552,111.069,19197
2026-08-09,111.346,111.593,111.253,111.509,3918
2026-08-16,112.825,112.921,112.733,112.806,4341
