time,open,high,low,close,tick_volume
1993-04-05,1.3161,1.3161,1.3161,1.3161,1
1993-04-06,1.3255,1.3255,1.3255,1.3255,1
1993-04-07,1.3182,1.3182,1.3182,1.3182,1
1993-04-08,1.3179,1.3179,1.3179,1.3179,1
1993-04-09,1.3174000000000001,1.3174000000000001,1.3174000000000001,1.3174000000000001,1
1993-04-12,1.3176999999999999,1.3176999999999999,1.3176999999999999,1.3176999999999999,1
1993-04-13,1.3232,1.3232,1.3232,1.3232,1
1993-04-14,1.326,1.326,1.326,1.326,1
1993-04-15,1.3364,1.3364,1.3364,1.3364,1
1993-04-16,1.3314,1.3314,1.3314,1.3314,1
1993-04-19,1.3266,1.3266,1.3266,1.3266,1
1993-04-20,1.3243,1.3243,1.3243,1.3243,1
1993-04-21,1.321,1.321,1.321,1.321,1
1993-04-22,1.3148,1.3148,1.3148,1.3148,1
1993-04-23,1.3132,1.3132,1.3132,1.3132,1
1993-04-26,1.3189,1.3189,1.3189,1.3189,1
1993-04-27,1.3122,1.3122,1.3122,1.3122,1
1993-04-28,1.3117,1.3117,1.3117,1.3117,1
1993-04-29,1.3079,1.3079,1.3079,1.3079,1
1993-04-30,1.3047,1.3047,1.3047,1.3047,1
1993-05-03,1.3042,1.3042,1.3042,1.3042,1
1993-05-04,1.2908,1.2908,1.2908,1.2908,1
1993-05-05,1.292,1.292,1.292,1.292,1
1993-05-06,1.2933,1.2933,1.2933,1.2933,1
1993-05-07,1.2949,1.2949,1.2949,1.2949,1
1993-05-10,1.2898,1.2898,1.2898,1.2898,1
1993-05-11,1.2931,1.2931,1.2931,1.2931,1
1993-05-12,1.2933,1.2933,1.2933,1.2933,1
1993-05-13,1.2909,1.2909,1.2909,1.2909,1
1993-05-14,1.2932000000000001,1.2932000000000001,1.2932000000000001,1.2932000000000001,1
1993-05-17,1.2913999999999999,1.2913999999999999,1.2913999999999999,1.2913999999999999,1
1993-05-18,1.2838,1.2838,1.2838,1.2838,1
1993-05-19,1.2849,1.2849,1.2849,1.2849,1
1993-05-20,1.2831000000000001,1.2831000000000001,1.2831000000000001,1.2831000000000001,1
1993-05-21,1.2757,1.2757,1.2757,1.2757,1
1993-05-24,1.2763,1.2763,1.2763,1.2763,1
1993-05-25,1.2778,1.2778,1.2778,1.2778,1
1993-05-26,1.2765,1.2765,1.2765,1.2765,1
1993-05-27,1.2716,1.2716,1.2716,1.2716,1
1993-05-28,1.2673,1.2673,1.2673,1.2673,1
1993-05-31,1.2521,1.2521,1.2521,1.2521,1
1993-06-01,1.2535,1.2535,1.2535,1.2535,1
1993-06-02,1.2509000000000001,1.2509000000000001,1.2509000000000001,1.2509000000000001,1
1993-06-03,1.2521,1.2521,1.2521,1.2521,1
1993-06-04,1.256,1.256,1.256,1.256,1
1993-06-07,1.2526,1.2526,1.2526,1.2526,1
1993-06-08,1.2498,1.2498,1.2498,1.2498,1
1993-06-09,1.258,1.258,1.258,1.258,1
1993-06-10,1.2574,1.2574,1.2574,1.2574,1
1993-06-11,1.2523,1.2523,1.2523,1.2523,1
1993-06-14,1.2429000000000001,1.2429000000000001,1.2429000000000001,1.2429000000000001,1
1993-06-15,1.2456,1.2456,1.2456,1.2456,1
1993-06-16,1.2445,1.2445,1.2445,1.2445,1
1993-06-17,1.24,1.24,1.24,1.24,1
1993-06-18,1.2490999999999999,1.2490999999999999,1.2490999999999999,1.2490999999999999,1
1993-06-21,1.2614,1.2614,1.2614,1.2614,1
1993-06-22,1.2649,1.2649,1.2649,1.2649,1
1993-06-23,1.2515,1.2515,1.2515,1.2515,1
1993-06-24,1.2458,1.2458,1.2458,1.2458,1
1993-06-25,1.2481,1.2481,1.2481,1.2481,1
1993-06-28,1.2437,1.2437,1.2437,1.2437,1
1993-06-29,1.2423,1.2423,1.2423,1.2423,1
1993-06-30,1.2395,1.2395,1.2395,1.2395,1
1993-07-01,1.2375,1.2375,1.2375,1.2375,1
1993-07-02,1.2367,1.2367,1.2367,1.2367,1
1993-07-05,1.244,1.244,1.244,1.244,1
1993-07-06,1.244,1.244,1.244,1.244,1
1993-07-07,1.2431,1.2431,1.2431,1.2431,1
1993-07-08,1.228,1.228,1.228,1.228,1
1993-07-09,1.2382,1.2382,1.2382,1.2382,1
1993-07-12,1.237,1.237,1.237,1.237,1
1993-07-13,1.2316,1.2316,1.2316,1.2316,1
1993-07-14,1.2335,1.2335,1.2335,1.2335,1
1993-07-15,1.2376,1.2376,1.2376,1.2376,1
1993-07-16,1.2391,1.2391,1.2391,1.2391,1
1993-07-19,1.2363,1.2363,1.2363,1.2363,1
1993-07-20,1.2363,1.2363,1.2363,1.2363,1
1993-07-21,1.233,1.233,1.233,1.233,1
1993-07-22,1.2264,1.2264,1.2264,1.2264,1
1993-07-23,1.2325,1.2325,1.2325,1.2325,1
1993-07-26,1.2286,1.2286,1.2286,1.2286,1
1993-07-27,1.224,1.224,1.224,1.224,1
1993-07-28,1.2284,1.2284,1.2284,1.2284,1
1993-07-29,1.2339,1.2339,1.2339,1.2339,1
1993-07-30,1.2457,1.2457,1.2457,1.2457,1
1993-08-02,1.2556,1.2556,1.2556,1.2556,1
1993-08-03,1.2481,1.2481,1.2481,1.2481,1
1993-08-04,1.2464,1.2464,1.2464,1.2464,1
1993-08-05,1.2358,1.2358,1.2358,1.2358,1
1993-08-06,1.237,1.237,1.237,1.237,1
1993-08-09,1.2429000000000001,1.2429000000000001,1.2429000000000001,1.2429000000000001,1
1993-08-10,1.2471,1.2471,1.2471,1.2471,1
1993-08-11,1.2434,1.2434,1.2434,1.2434,1
1993-08-12,1.2273,1.2273,1.2273,1.2273,1
1993-08-13,1.226,1.226,1.226,1.226,1
1993-08-16,1.2267000000000001,1.2267000000000001,1.2267000000000001,1.2267000000000001,1
1993-08-17,1.2135,1.2135,1.2135,1.2135,1
1993-08-18,1.22,1.22,1.22,1.22,1
1993-08-19,1.2291,1.2291,1.2291,1.2291,1
1993-08-20,1.2204,1.2204,1.2204,1.2204,1
1993-08-23,1.2098,1.2098,1.2098,1.2098,1
1993-08-24,1.2112,1.2112,1.2112,1.2112,1
1993-08-25,1.2116,1.2116,1.2116,1.2116,1
1993-08-26,1.2036,1.2036,1.2036,1.2036,1
1993-08-27,1.2034,1.2034,1.2034,1.2034,1
1993-08-30,1.2154,1.2154,1.2154,1.2154,1
1993-08-31,1.2146,1.2146,1.2146,1.2146,1
1993-09-01,1.2063,1.2063,1.2063,1.2063,1
1993-09-02,1.1949,1.1949,1.1949,1.1949,1
1993-09-03,1.1924,1.1924,1.1924,1.1924,1
1993-09-06,1.1877,1.1877,1.1877,1.1877,1
1993-09-07,1.1847,1.1847,1.1847,1.1847,1
1993-09-08,1.1897,1.1897,1.1897,1.1897,1
1993-09-09,1.1859,1.1859,1.1859,1.1859,1
1993-09-10,1.176,1.176,1.176,1.176,1
1993-09-13,1.1794,1.1794,1.1794,1.1794,1
