time,open,high,low,close,tick_volume
1993-04-04,1.3161,1.3255,1.3161,1.3174000000000001,5
1993-04-11,1.3176999999999999,1.3364,1.3176999999999999,1.3314,5
1993-04-18,1.3266,1.3266,1.3132,1.3132,5
1993-04-25,1.3189,1.3189,1.3047,1.3047,5
1993-05-02,1.3042,1.3042,1.2908,1.2949,5
1993-05-09,1.2898,1.2933,1.2898,1.2932000000000001,5
1993-05-16,1.2913999999999999,1.2913999999999999,1.2757,1.2757,5
1993-05-23,1.2763,1.2778,1.2673,1.2673,5
1993-05-30,1.2521,1.256,1.2509000000000001,1.256,5
1993-06-06,1.2526,1.258,1.2498,1.2523,5
1993-06-13,1.2429000000000001,1.2490999999999999,1.24,1.2490999999999999,5
1993-06-20,1.2614,1.2649,1.2458,1.2481,5
1993-06-27,1.2437,1.2437,1.2367,1.2367,5
1993-07-04,1.244,1.244,1.228,1.2382,5
1993-07-11,1.237,1.2391,1.2316,1.2391,5
1993-07-18,1.2363,1.2363,1.2264,1.2325,5
1993-07-25,1.2286,1.2457,1.224,1.2457,5
1993-08-01,1.2556,1.2556,1.2358,1.237,5
1993-08-08,1.2429000000000001,1.2471,1.226,1.226,5
1993-08-15,1.2267000000000001,1.2291,1.2135,1.2204,5
1993-08-22,1.2098,1.2116,1.2034,1.2034,5
1993-08-29,1.2154,1.2154,1.1924,1.1924,5
1993-09-05,1.1877,1.1897,1.176,1.176,5
1993-09-12,1.1794,1.1815,1.167,1.1815,5
1993-09-19,1.1766,1.1838,1.1766,1.1791,5
1993-09-26,1.174,1.174,1.1726,1.174,5
1993-10-03,1.174,1.1942,1.174,1.1942,5
1993-10-10,1.1963,1.2033,1.1963,1.2033,5
1993-10-17,1.1959,1.206,1.1945999999999999,1.2026,5
1993-10-24,1.2041,1.2041,1.1982,1.2,5
1993-10-31,1.2147999999999999,1.2171,1.2111,1.2111,5
1993-11-07,1.2252,1.2336,1.2143,1.2236,6155
1993-11-14,1.2222,1.2262,1.1992,1.2075,10225
1993-11-21,1.2059,1.216,1.1987,1.2107999999999999,6785
1993-11-28,1.2118,1.2208,1.2006000000000001,1.2161,6125
1993-12-05,1.2166,1.2203,1.1987,1.2086999999999999,9495
1993-12-12,1.2101,1.2135,1.1949,1.2069,8885
1993-12-19,1.206,1.216,1.1992,1.2141,12315
1993-12-26,1.2154,1.2213,1.1998,1.2152,6925
1994-01-02,1.2142,1.2358,1.2116,1.233,9045
1994-01-09,1.2255,1.2428,1.2221,1.2299,6725
1994-01-16,1.2322,1.2503,1.2322,1.2407,7615
1994-01-23,1.2394,1.2523,1.2373,1.2490999999999999,8155
1994-01-30,1.2495,1.255,1.2387,1.2431,7825
1994-02-06,1.2469000000000001,1.2558,1.2422,1.2511,7885
1994-02-13,1.2479,1.2509000000000001,1.231,1.2465,8255
1994-02-20,1.2426,1.2599,1.2379,1.2461,9145
1994-02-27,1.2452,1.2508,1.2245,1.2508,9695
1994-03-06,1.2522,1.2535,1.2333,1.2458,8235
1994-03-13,1.2483,1.2513,1.2323,1.2409,7995
1994-03-20,1.2503,1.2568,1.224,1.2539,14115
1994-03-27,1.2511999999999999,1.2612,1.24,1.2508,9185
1994-04-03,1.2495,1.2775,1.2405,1.271,10385
1994-04-10,1.2684,1.2828,1.2639,1.2743,9325
1994-04-17,1.271,1.2738,1.2472,1.2528000000000001,9805
1994-04-24,1.25,1.2562,1.2333,1.2392,7425
1994-05-01,1.2409,1.2448,1.2206,1.2396,9965
1994-05-08,1.2367,1.2503,1.2278,1.2384,7645
1994-05-15,1.2397,1.2492,1.2333,1.2409,8045
1994-05-22,1.2398,1.2530000000000001,1.2392,1.2475,5185
1994-05-29,1.2448,1.25,1.2357,1.2436,6585
1994-06-05,1.2431,1.2574,1.2352,1.2471,7405
1994-06-12,1.2503,1.2503,1.2351,1.2397,6365
1994-06-19,1.2417,1.2542,1.2328999999999999,1.2366,9445
1994-06-26,1.2404,1.2404,1.2161,1.2235,9395
1994-07-03,1.2232,1.2278,1.1955,1.2151,9015
1994-07-10,1.2151,1.2336,1.2063,1.2217,8245
1994-07-17,1.2187000000000001,1.2308,1.2122,1.2296,7765
1994-07-24,1.232,1.2333,1.2238,1.228,5155
1994-07-31,1.2248999999999999,1.231,1.2136,1.2277,6265
1994-08-07,1.2306,1.2493,1.2221,1.2376,9305
1994-08-14,1.2277,1.2415,1.2247,1.2324,8865
1994-08-21,1.2303,1.236,1.221,1.2327,6355
1994-08-28,1.2345,1.2388,1.2238,1.2265,6145
1994-09-04,1.2247,1.2357,1.2196,1.2345,5755
1994-09-11,1.2334,1.2368000000000001,1.2284,1.2334,4345
1994-09-18,1.2348,1.2365,1.2215,1.2318,5995
1994-09-25,1.2338,1.2338,1.2241,1.229,4975
1994-10-02,1.2259,1.2323,1.2187000000000001,1.2202,5165
1994-10-09,1.2236,1.224,1.2106,1.2106,4525
1994-10-16,1.2046000000000001,1.2098,1.1929,1.1958,5885
1994-10-23,1.1959,1.2139,1.194,1.2083,6845
1994-10-30,1.2063,1.216,1.2001,1.2141,5125
1994-11-06,1.209,1.22,1.2053,1.2139,8255
1994-11-13,1.2126000000000001,1.2164,1.2031,1.2161,7105
1994-11-20,1.218,1.2282,1.2156,1.2234,6235
1994-11-27,1.2233,1.2281,1.2069,1.2234,8265
1994-12-04,1.2217,1.2256,1.206,1.2179,8575
1994-12-11,1.2174,1.2236,1.2104,1.2119,5735
1994-12-18,1.2132,1.2176,1.2041,1.208,5975
1994-12-25,1.208,1.2163,1.2055,1.2137,4805
1995-01-01,1.213,1.213,1.1981,1.2031,6085
1995-01-08,1.1999,1.2053,1.1835,1.1863,8655
1995-01-15,1.1864,1.2001,1.1815,1.1965,7015
1995-01-22,1.1972,1.2005,1.1849,1.1873,7875
1995-01-29,1.1883,1.1907,1.1764999999999999,1.1803,6655
1995-02-05,1.1795,1.1914,1.1717,1.1734,6655
1995-02-12,1.1764999999999999,1.1797,1.1653,1.1702,6195
1995-02-19,1.1689,1.1736,1.1589,1.1668,6845
1995-02-26,1.1665,1.1703000000000001,1.151,1.1521,7495
1995-03-05,1.1518,1.1572,1.1366,1.1514,7885
1995-03-12,1.1517,1.1532,1.1309,1.1360000000000001,8275
1995-03-19,1.1316,1.1325,1.116,1.1211,5845
1995-03-26,1.1197,1.1282,1.1121,1.1219,8615
1995-04-02,1.1194,1.1291,1.1147,1.1188,5905
1995-04-09,1.1162,1.1211,1.0954,1.1023,8505
1995-04-16,1.1017,1.1065,1.0829,1.0829,7085
1995-04-23,1.0843,1.0935,1.0743,1.0832,9905
1995-04-30,1.084,1.1009,1.0744,1.1009,7855
1995-05-07,1.097,1.1226,1.0748,1.1176,11065
1995-05-14,1.1123,1.1193,1.0825,1.0901,10895
1995-05-21,1.0893,1.0963,1.074,1.077,7725
1995-05-28,1.0747,1.0875,1.0676,1.0707,10255
1995-06-04,1.0721,1.086,1.0657,1.0781,7865
1995-06-11,1.0763,1.0905,1.0713,1.0866,8775
1995-06-18,1.0838,1.0856,1.0678,1.0748,8995
1995-06-25,1.0721,1.0793,1.0594,1.0605,8355
1995-07-02,1.0597,1.0618,1.0495,1.0563,6615
1995-07-09,1.0574,1.0946,1.0569,1.0809,9375
1995-07-16,1.0801,1.0912,1.0784,1.0887,6815
1995-07-23,1.0889,1.1019,1.0874,1.0944,5925
1995-07-30,1.0936,1.1102,1.0924,1.1095,6995
1995-08-06,1.1073,1.1285,1.1058,1.1222,7945
1995-08-13,1.1239,1.1394,1.1143,1.1360999999999999,9605
1995-08-20,1.1353,1.1543,1.1291,1.1428,9525
1995-08-27,1.1411,1.1707,1.1346,1.1496,8535
1995-09-03,1.1461000000000001,1.1609,1.1451,1.1554,7025
1995-09-10,1.1534,1.1706,1.1522000000000001,1.1555,7155
1995-09-17,1.1587,1.1601,1.1238,1.1265,11375
1995-09-24,1.1297,1.1552,1.127,1.1493,9345
1995-10-01,1.1502,1.1762,1.1432,1.1489,13005
1995-10-08,1.1542,1.1609,1.1437,1.1481,8895
1995-10-15,1.1455,1.1592,1.1338,1.1354,12265
1995-10-22,1.1337,1.1522999999999999,1.1277,1.1485,9315
1995-10-29,1.154,1.166,1.1421000000000001,1.1601,10365
1995-11-05,1.1602999999999999,1.1602999999999999,1.1251,1.1293,8075
1995-11-12,1.1316,1.1463,1.1296,1.146,6365
1995-11-19,1.1415,1.1464,1.1218,1.1351,10375
1995-11-26,1.1365,1.1469,1.1308,1.1364,3585
1995-12-03,1.1391,1.1423,1.1391,1.1409,125
1995-12-10,1.1398,1.1474,1.1347,1.1393,5
1995-12-17,1.1344,1.1385,1.1344,1.1365,5
1995-12-24,1.1376,1.1419,1.1360999999999999,1.1360999999999999,5
1995-12-31,1.1369,1.1396,1.1301,1.1376,5
1996-01-07,1.1349,1.1354,1.1221,1.1221,5
1996-01-14,1.1202,1.1214,1.1094,1.1094,5
1996-01-21,1.1056,1.113,1.1051,1.1051,5
1996-01-28,1.1081,1.1195,1.1071,1.1195,5
1996-02-04,1.1171,1.1254,1.1171,1.1194,5
1996-02-11,1.1226,1.1226,1.1126,1.1126,5
1996-02-18,1.1049,1.1197,1.1049,1.1182,665
1996-02-25,1.1176,1.1364,1.1173,1.1304,2215
1996-03-03,1.1292,1.1344,1.1261,1.134,2305
1996-03-10,1.1356,1.1381000000000001,1.1206,1.1219999999999999,3805
1996-03-17,1.1303,1.1373,1.1276,1.1288,1705
1996-03-24,1.125,1.1509,1.1233,1.1498,1825
1996-03-31,1.144,1.1484,1.1438,1.1484,605
1996-04-07,1.1505,1.1699,1.1496,1.1669,5185
1996-04-14,1.1685,1.1696,1.1417,1.1446,3085
1996-04-21,1.147,1.1597,1.143,1.1578,3935
1996-04-28,1.1539,1.1564,1.1438,1.153,2895
1996-05-05,1.1536,1.1623,1.1534,1.1623,1425
1996-05-12,1.165,1.1672,1.1604,1.1644,425
1996-05-19,1.1631,1.1636,1.1586,1.1607,645
1996-05-26,1.1579,1.1703000000000001,1.1569,1.1703000000000001,1155
1996-06-02,1.1766,1.1789,1.1742,1.1754,5
1996-06-09,1.1822,1.1822,1.1732,1.1756,295
1996-06-16,1.172,1.1737,1.1594,1.161,2855
1996-06-23,1.161,1.1672,1.1593,1.1599,1115
1996-06-30,1.1458,1.1557,1.144,1.1557,4
1996-07-07,1.153,1.1606,1.153,1.1598,5
1996-07-14,1.1599,1.1599,1.139,1.1509,2315
1996-07-21,1.1506,1.155,1.1433,1.1448,2685
1996-07-28,1.1448,1.1474,1.1298,1.1298,1595
1996-08-04,1.1326,1.1333,1.1278,1.1317,5
1996-08-11,1.1338,1.1396,1.1338,1.1376,5
1996-08-18,1.1447,1.1461000000000001,1.1408,1.1408,5
1996-08-25,1.1404,1.1442,1.1386,1.1442,5
1996-09-01,1.1465,1.1481,1.1428,1.1481,5
1996-09-08,1.1498,1.1528,1.1407,1.1407,5
1996-09-15,1.1345,1.1345,1.125,1.1315,5
1996-09-22,1.1343,1.1343,1.1277,1.1282,5
1996-09-29,1.1273,1.1441,1.1273,1.1288,1625
1996-10-06,1.1396,1.1447,1.1356,1.1421999999999999,2245
1996-10-13,1.1302,1.1403,1.1302,1.1329,2805
1996-10-20,1.1401,1.1402,1.1179999999999999,1.1308,1845
1996-10-27,1.1243,1.1383,1.1204,1.1266,6015
1996-11-03,1.1336,1.1386,1.1078000000000001,1.1143,4975
1996-11-10,1.1327,1.1352,1.1111,1.1196,3555
1996-11-17,1.1166,1.1591,1.1163,1.1591,10505
1996-11-24,1.1362,1.1661,1.1243,1.1661,12235
1996-12-01,1.1395,1.1769,1.1216,1.1375,13145
1996-12-08,1.1360999999999999,1.1566,1.1268,1.1392,3295
1996-12-15,1.1236,1.1436,1.1214,1.1223,3795
1996-12-22,1.1231,1.1454,1.1217,1.1273,2665
1996-12-29,1.1238,1.1464,1.1158,1.1165,4725
1997-01-05,1.1145,1.1238,1.098,1.098,4815
1997-01-12,1.1093,1.1222,1.0993,1.0993,1525
1997-01-19,1.1041,1.1202,1.0521,1.1138,15905
1997-01-26,1.1186,1.1192,1.0965,1.1032,7325
1997-02-02,1.1076,1.1221,1.0959,1.1221,6105
1997-02-09,1.1098,1.1192,1.0865,1.1014,15525
1997-02-16,1.0983,1.1285,1.0983,1.1285,10185
1997-02-23,1.1161,1.1335,1.1111,1.1205,11785
1997-03-02,1.1225,1.1376,1.1139000000000001,1.1334,11955
1997-03-09,1.1308,1.145,1.1198,1.1436,10485
1997-03-16,1.1415,1.1439,1.1269,1.1344,5965
1997-03-23,1.1320000000000001,1.1369,1.1214,1.1276,5465
1997-03-30,1.1280000000000001,1.1328,1.116,1.1203,4975
1997-04-06,1.1146,1.1372,1.1094,1.1317,11525
1997-04-13,1.1288,1.1341,1.1088,1.1174,12605
1997-04-20,1.1242,1.1242,1.1122,1.1212,8165
1997-04-27,1.1202,1.1395,1.1113,1.1343,8135
1997-05-04,1.1317,1.1411,1.1185,1.1302,11965
1997-05-11,1.1208,1.1347,1.1112,1.119,7385
1997-05-18,1.1171,1.1288,1.1107,1.1107,1115
1997-05-25,1.1032,1.1121,1.0979,1.1091,5175
1997-06-01,1.1013,1.1028,1.0877,1.1021,3605
1997-06-08,1.1022,1.1033,1.0799,1.0897000000000001,5635
1997-06-15,1.0904,1.1097,1.0285,1.1062,15145
1997-06-22,1.1122,1.1173,1.0762,1.0955,11455
1997-06-29,1.0722,1.1219,1.049,1.1047,31025
1997-07-06,1.0756000000000001,1.1245,1.0661,1.0998,37995
1997-07-13,1.1113,1.141,1.0526,1.1378,20365
1997-07-20,1.1381000000000001,1.1507,1.1195,1.1328,11235
1997-07-27,1.1357,1.15,1.1283,1.148,7825
1997-08-03,1.1360000000000001,1.1413,1.1205,1.1347,7155
1997-08-10,1.1320000000000001,1.1643,1.1283,1.1592,8525
1997-08-17,1.1524,1.1677,1.1524,1.1579,5
1997-08-24,1.1552,1.1669,1.1322,1.1322,9135
1997-08-31,1.1515,1.1515,1.1165,1.1425,6915
