time,open,high,low,close,tick_volume
2022-01-03,0.72036,0.72214,0.71871,0.72096,32529
2022-01-04,0.72076,0.72234,0.71925,0.72051,32952
2022-01-05,0.72041,0.72181,0.71811,0.71836,35306
2022-01-06,0.71811,0.7246,0.71691,0.72346,41337
2022-01-07,0.72326,0.72731,0.72281,0.72631,40451
2022-01-10,0.72582,0.73161,0.72547,0.73106,48585
2022-01-11,0.73106,0.73507,0.7302,0.73411,44243
2022-01-12,0.73391,0.73682,0.72991,0.73081,45737
2022-01-13,0.73086,0.73234,0.72751,0.72761,42981
2022-01-14,0.72766,0.73059,0.72664,0.72766,50739
2022-01-17,0.7268,0.73126,0.72644,0.72956,29109
2022-01-18,0.72936,0.73336,0.72886,0.73291,52939
2022-01-19,0.73291,0.73477,0.73115,0.73176,49258
2022-01-20,0.73171,0.73636,0.73088,0.73311,45802
2022-01-21,0.73311,0.73357,0.72391,0.72436,57962
2022-01-24,0.72399,0.72778,0.71957,0.72196,68967
2022-01-25,0.72181,0.72916,0.72181,0.72686,65870
2022-01-26,0.72671,0.73306,0.72529,0.72876,70104
2022-01-27,0.72866,0.73551,0.72661,0.73011,73303
2022-01-28,0.72996,0.73168,0.7277,0.72801,62968
2022-01-31,0.72695,0.7336,0.72695,0.72946,55430
2022-02-01,0.72946,0.72999,0.72481,0.72591,50924
2022-02-02,0.72591,0.72672,0.72322,0.72471,43823
2022-02-03,0.72451,0.72696,0.72361,0.72506,63485
2022-02-04,0.72491,0.72648,0.72246,0.72486,63287
2022-02-07,0.72477,0.72956,0.72465,0.72911,47839
2022-02-08,0.72911,0.72997,0.72627,0.72706,46447
2022-02-09,0.72701,0.72961,0.72635,0.72921,39800
2022-02-10,0.72926,0.73186,0.72715,0.72736,70606
2022-02-11,0.72721,0.73098,0.72506,0.72621,88989
2022-02-14,0.7251,0.72803,0.72262,0.72586,80468
2022-02-15,0.72561,0.72894,0.72424,0.72671,59524
2022-02-16,0.72656,0.73045,0.72584,0.72661,55642
2022-02-17,0.72656,0.72681,0.72364,0.72396,76319
2022-02-18,0.72391,0.72721,0.72176,0.72206,55851
2022-02-21,0.72168,0.72336,0.71771,0.71786,43917
2022-02-22,0.71786,0.72491,0.71701,0.72121,76810
2022-02-23,0.72101,0.72517,0.71986,0.72051,51675
2022-02-24,0.72056,0.723,0.7171,0.72197,155601
2022-02-25,0.72197,0.72915,0.72117,0.72751,86227
2022-02-28,0.72493,0.72741,0.72137,0.72321,100844
2022-03-01,0.72301,0.7264,0.72046,0.72046,79669
2022-03-02,0.72045,0.72899,0.72011,0.72843,82194
2022-03-03,0.72821,0.73096,0.72294,0.72321,66187
2022-03-04,0.7228,0.72485,0.7186,0.71946,93605
2022-03-07,0.71909,0.72831,0.7188,0.72171,112507
2022-03-08,0.72181,0.72432,0.72006,0.72006,109637
2022-03-09,0.71986,0.72474,0.71912,0.72296,79233
2022-03-10,0.72276,0.72951,0.72149,0.72711,79265
2022-03-11,0.72691,0.73542,0.72691,0.7318,69225
2022-03-14,0.73251,0.73477,0.7304,0.73191,67054
2022-03-15,0.73171,0.73766,0.72887,0.73721,66710
2022-03-16,0.73706,0.74216,0.7357,0.74144,83241
2022-03-17,0.74144,0.74351,0.73866,0.74191,60794
2022-03-18,0.74191,0.74402,0.73817,0.73906,54981
2022-03-21,0.73856,0.74166,0.73674,0.74126,46578
2022-03-22,0.74117,0.74425,0.73886,0.74206,54766
2022-03-23,0.74206,0.74401,0.74,0.74066,52209
2022-03-24,0.74061,0.74431,0.73956,0.74256,57066
2022-03-25,0.74239,0.74656,0.73807,0.74576,56200
2022-03-28,0.74463,0.75115,0.74259,0.74581,70621
2022-03-29,0.74561,0.75001,0.74287,0.74492,78330
2022-03-30,0.74494,0.74515,0.73849,0.73956,71471
2022-03-31,0.73931,0.7399,0.73596,0.73778,69530
2022-04-01,0.73807,0.74188,0.73628,0.73896,53560
2022-04-04,0.73745,0.74274,0.73745,0.74171,43016
2022-04-05,0.74161,0.74731,0.74093,0.74426,49195
2022-04-06,0.74431,0.74764,0.74327,0.74386,63819
2022-04-07,0.74371,0.74417,0.73961,0.74061,53454
2022-04-08,0.74051,0.74352,0.74046,0.74216,44737
2022-04-11,0.74108,0.74354,0.73641,0.73646,50824
2022-04-12,0.73641,0.73908,0.73582,0.73766,59851
2022-04-13,0.73761,0.74404,0.7366,0.74256,55657
2022-04-14,0.74256,0.74971,0.74221,0.74721,60456
2022-04-15,0.74708,0.74893,0.74571,0.74726,91739
2022-04-18,0.74675,0.74926,0.7454,0.747,38764
2022-04-19,0.74693,0.75479,0.74693,0.75386,59711
2022-04-20,0.75386,0.75978,0.75364,0.75856,66974
2022-04-21,0.75856,0.76206,0.75696,0.75736,71490
2022-04-22,0.75716,0.75869,0.75171,0.75235,68086
2022-04-25,0.75146,0.75387,0.74805,0.75261,82057
2022-04-26,0.75241,0.75582,0.74711,0.75041,66204
2022-04-27,0.75031,0.75684,0.74922,0.75551,75707
2022-04-28,0.75536,0.75964,0.75273,0.75871,84993
2022-04-29,0.75866,0.76459,0.75594,0.75696,76916
2022-05-02,0.75468,0.75978,0.75422,0.75856,58184
2022-05-03,0.75856,0.76272,0.75624,0.76096,54372
2022-05-04,0.76136,0.76848,0.76043,0.76221,67704
2022-05-05,0.76211,0.77044,0.76108,0.76706,80412
2022-05-06,0.76711,0.76943,0.76332,0.76555,93347
2022-05-09,0.76576,0.76901,0.76308,0.76361,82275
2022-05-10,0.76361,0.76753,0.7613,0.76401,85506
2022-05-11,0.76396,0.76596,0.76156,0.76506,98940
2022-05-12,0.76506,0.77014,0.76281,0.76871,94995
2022-05-13,0.76861,0.7768,0.76825,0.7742,79242
2022-05-16,0.77443,0.78061,0.7726,0.77938,83248
2022-05-17,0.77948,0.78119,0.77201,0.77501,90634
2022-05-18,0.77501,0.77884,0.76581,0.7662,85989
2022-05-19,0.76635,0.76896,0.75619,0.7567,92044
2022-05-20,0.75663,0.76179,0.75608,0.75901,120671
2022-05-23,0.75866,0.76097,0.75303,0.75602,76263
2022-05-24,0.75602,0.75611,0.7457,0.74796,91249
2022-05-25,0.74801,0.75138,0.74646,0.74946,73801
2022-05-26,0.74946,0.75204,0.74731,0.75051,86822
2022-05-27,0.75041,0.75345,0.74925,0.75236,85448
2022-05-30,0.7512,0.75773,0.74969,0.75555,63684
2022-05-31,0.75553,0.75994,0.75468,0.75796,105681
2022-06-01,0.75781,0.76442,0.75675,0.76001,97107
2022-06-02,0.76001,0.76279,0.75604,0.76121,72197
2022-06-03,0.76115,0.76639,0.76052,0.76426,74278
2022-06-06,0.76262,0.77331,0.76243,0.77126,66897
2022-06-07,0.77111,0.77678,0.77071,0.77571,90990
2022-06-08,0.77568,0.77991,0.775,0.77846,87162
2022-06-09,0.77841,0.77987,0.77114,0.77141,112559
2022-06-10,0.77131,0.77483,0.7688,0.77261,120529
2022-06-13,0.77183,0.77617,0.77084,0.77286,174573
2022-06-14,0.77281,0.77525,0.7649,0.77311,161205
2022-06-15,0.77294,0.77419,0.76942,0.77076,186308
2022-06-16,0.77076,0.77454,0.74516,0.74581,155227
2022-06-17,0.74578,0.74974,0.73952,0.74391,193021
2022-06-20,0.74262,0.74625,0.74043,0.74436,94298
2022-06-21,0.74382,0.74872,0.74319,0.74681,110838
2022-06-22,0.74667,0.74774,0.74081,0.74206,124041
2022-06-23,0.74201,0.74568,0.73755,0.73775,147683
2022-06-24,0.73775,0.74386,0.73571,0.74286,111547
2022-06-27,0.74255,0.74512,0.74034,0.74201,109751
2022-06-28,0.74201,0.74633,0.74181,0.74306,118415
2022-06-29,0.74265,0.74382,0.73781,0.74011,121343
2022-06-30,0.74021,0.74351,0.73875,0.74141,153788
2022-07-01,0.74171,0.74618,0.73864,0.74336,150298
2022-07-04,0.74538,0.74789,0.74281,0.74621,90070
2022-07-05,0.74625,0.74821,0.74029,0.74206,127754
2022-07-06,0.74206,0.74685,0.74098,0.74316,137393
2022-07-07,0.74316,0.75124,0.74241,0.74956,98173
2022-07-08,0.74956,0.75547,0.7478,0.75386,126552
2022-07-11,0.75369,0.75628,0.75251,0.75511,107773
2022-07-12,0.75506,0.75653,0.75249,0.75386,125005
2022-07-13,0.75391,0.75858,0.74978,0.75363,138074
2022-07-14,0.75355,0.7569,0.74656,0.74881,141003
2022-07-15,0.74873,0.75259,0.74698,0.74911,118237
2022-07-18,0.74953,0.75593,0.74873,0.75325,118556
2022-07-19,0.7532,0.75399,0.74652,0.75181,114974
2022-07-20,0.75181,0.75588,0.75055,0.75371,103092
2022-07-21,0.75371,0.75576,0.74966,0.75101,106576
