time,open,high,low,close,tick_volume
2022-01-02,0.72036,0.72731,0.71691,0.72631,182575
2022-01-09,0.72582,0.73682,0.72547,0.72766,232285
2022-01-16,0.7268,0.73636,0.72391,0.72436,235070
2022-01-23,0.72399,0.73551,0.71957,0.72801,341212
2022-01-30,0.72695,0.7336,0.72246,0.72486,276949
2022-02-06,0.72477,0.73186,0.72465,0.72621,293681
2022-02-13,0.7251,0.73045,0.72176,0.72206,327804
2022-02-20,0.72168,0.72915,0.71701,0.72751,414230
2022-02-27,0.72493,0.73096,0.7186,0.71946,422499
2022-03-06,0.71909,0.73542,0.7188,0.7318,449867
2022-03-13,0.73251,0.74402,0.72887,0.73906,332780
2022-03-20,0.73856,0.74656,0.73674,0.74576,266819
2022-03-27,0.74463,0.75115,0.73596,0.73896,343512
2022-04-03,0.73745,0.74764,0.73745,0.74216,254221
2022-04-10,0.74108,0.74971,0.73582,0.74726,318527
2022-04-17,0.74675,0.76206,0.7454,0.75235,305025
2022-04-24,0.75146,0.76459,0.74711,0.75696,385877
2022-05-01,0.75468,0.77044,0.75422,0.76555,354019
2022-05-08,0.76576,0.7768,0.7613,0.7742,440958
2022-05-15,0.77443,0.78119,0.75608,0.75901,472586
2022-05-22,0.75866,0.76097,0.7457,0.75236,413583
2022-05-29,0.7512,0.76639,0.74969,0.76426,412947
2022-06-05,0.76262,0.77991,0.76243,0.77261,478137
2022-06-12,0.77183,0.77617,0.73952,0.74391,870334
2022-06-19,0.74262,0.74872,0.73571,0.74286,588407
2022-06-26,0.74255,0.74633,0.73781,0.74336,653595
2022-07-03,0.74538,0.75547,0.74029,0.75386,579942
2022-07-10,0.75369,0.75858,0.74656,0.74911,630092
2022-07-17,0.74953,0.75593,0.74357,0.74376,544058
2022-07-24,0.74289,0.75263,0.74144,0.74361,462521
2022-07-31,0.74276,0.75031,0.73751,0.74301,418556
2022-08-07,0.74306,0.74505,0.73101,0.73666,334781
2022-08-14,0.73535,0.74085,0.72903,0.73781,367782
2022-08-21,0.73776,0.74671,0.73584,0.74081,394491
2022-08-28,0.74011,0.75029,0.73901,0.74681,479878
2022-09-04,0.74666,0.7507,0.7352,0.73691,464821
2022-09-11,0.73381,0.73775,0.72333,0.72701,483851
2022-09-18,0.72706,0.73073,0.71159,0.72176,651890
2022-09-25,0.72171,0.72702,0.7109,0.71321,835135
2022-10-02,0.7126,0.72944,0.7113,0.72321,761266
2022-10-09,0.72278,0.72872,0.71934,0.72411,888103
2022-10-16,0.72365,0.7339,0.72178,0.73066,794172
2022-10-23,0.72956,0.73348,0.72408,0.73171,853881
2022-10-30,0.73153,0.74231,0.73001,0.73716,756083
2022-11-06,0.73736,0.73781,0.70803,0.70901,698744
2022-11-13,0.70985,0.71561,0.70692,0.71306,382571
