time,open,high,low,close,tick_volume
2025-10-16,107.538,107.853,106.883,107.071,101901
2025-10-17,106.957,107.489,106.231,107.36,112560
2025-10-20,107.264,107.922,107.079,107.366,82304
2025-10-21,107.288,108.559,107.242,108.323,94723
2025-10-22,108.29,108.702,108.127,108.551,94414
2025-10-23,108.566,109.217,108.519,109.055,74518
2025-10-24,109.028,109.285,108.617,109.178,77144
2025-10-27,109.024,109.553,108.994,109.269,80205
2025-10-28,109.265,109.275,108.454,109.039,88008
2025-10-29,109.047,109.778,108.723,109.52,94443
2026-01-02,114.109,114.556,113.997,114.223,71762
2026-01-05,114.036,114.379,113.447,113.562,101122
2026-01-06,113.476,113.835,113.379,113.399,85567
2026-01-07,113.357,113.476,113.077,113.079,77666
2026-01-08,113.057,113.385,112.745,113.134,76628
2026-01-09,113.105,113.847,113.02,113.456,84023
2026-01-12,113.56,114.026,113.421,113.94,84604
2026-01-13,113.858,114.653,113.786,114.585,88863
2026-01-14,114.474,114.749,113.914,114.133,88473
2026-01-15,114.072,114.26,113.856,114.176,77979
2026-01-16,114.136,114.24,113.472,113.594,79547
2026-01-19,113.446,114.08,113.292,113.995,70900
2026-01-20,113.95,114.477,113.768,114.288,98908
2026-01-21,114.26,114.689,114.076,114.451,89350
2026-01-22,114.376,114.999,114.351,114.903,86503
2026-01-23,114.834,115.426,113.595,113.663,100090
2026-01-26,112.865,113.378,112.053,112.473,122728
2026-01-27,112.445,112.75,111.741,112.095,113547
2026-01-28,112.03,113.284,111.974,113.146,128464
2026-01-29,113.132,113.575,112.605,113.511,131045
2026-01-30,113.368,114.45,113.178,113.598,148588
2026-02-02,113.768,114.12,113.105,113.73,144751
2026-02-03,113.735,114.242,113.631,114.18,113372
2026-02-04,114.093,114.887,114.093,114.826,101823
2026-02-05,114.771,114.913,114.472,114.522,115791
2026-02-06,114.374,115.188,114.124,115.019,96247
2026-02-09,115.168,115.318,114.421,114.996,112384
2026-02-10,114.839,115.212,113.822,113.928,95843
2026-02-11,113.868,114.028,112.505,112.877,111054
2026-02-12,112.779,113.264,111.773,112.226,116831
2026-02-13,112.14,112.966,112.054,112.091,107498
2026-02-16,112.128,112.872,111.998,112.559,58077
2026-02-17,112.472,112.737,111.9,112.398,99637
2026-02-18,112.343,113.065,112.219,113.043,80287
2026-02-19,112.98,113.41,112.883,113.297,90076
2026-02-20,113.249,113.688,113.08,113.304,103128
2026-02-23,113.11,113.281,112.685,112.884,96382
2026-02-24,112.854,114.04,112.815,113.782,90363
2026-02-25,113.704,114.501,113.517,114.358,86063
2026-02-26,114.251,114.331,113.75,114.106,89526
2026-02-27,114.041,114.54,113.81,114.358,94791
2026-03-02,114.158,115.275,114.156,115.012,135176
2026-03-03,115.01,115.498,114.721,115.271,148365
2026-03-04,115.261,115.393,114.782,115.095,124700
2026-03-05,115.044,115.714,114.772,115.216,130061
2026-03-06,115.157,116.342,115.064,116.286,116265
2026-03-09,116.148,117.197,115.976,116.01,144429
2026-03-10,115.988,116.606,115.833,116.368,116379
2026-03-11,116.361,117.063,116.297,116.925,97421
2026-03-12,116.92,117.109,116.675,116.848,98926
