time,open,high,low,close,tick_volume
2025-10-16 00:00:00,107.538,107.617,107.202,107.357,9457
2025-10-16 04:00:00,107.356,107.676,107.322,107.633,12457
2025-10-16 08:00:00,107.636,107.853,107.561,107.748,17260
2025-10-16 12:00:00,107.749,107.833,107.473,107.542,15326
2025-10-16 16:00:00,107.541,107.677,106.937,107.097,26879
2025-10-16 20:00:00,107.102,107.184,106.883,107.071,20522
2025-10-17 00:00:00,106.957,107.051,106.817,106.997,10218
2025-10-17 04:00:00,106.999,107.062,106.719,106.812,13450
2025-10-17 08:00:00,106.81,106.832,106.231,106.601,24586
2025-10-17 12:00:00,106.6,107.203,106.551,107.116,24176
2025-10-17 16:00:00,107.115,107.245,106.911,107.134,26643
2025-10-17 20:00:00,107.133,107.489,107.09,107.36,13487
2025-10-20 00:00:00,107.264,107.734,107.198,107.693,10216
2025-10-20 04:00:00,107.691,107.922,107.407,107.479,11910
2025-10-20 08:00:00,107.48,107.561,107.305,107.312,17221
2025-10-20 12:00:00,107.311,107.477,107.079,107.276,16147
2025-10-20 16:00:00,107.28,107.439,107.135,107.402,18230
2025-10-20 20:00:00,107.408,107.451,107.325,107.366,8580
2025-10-21 00:00:00,107.288,107.483,107.242,107.37,7422
2025-10-21 04:00:00,107.369,107.622,107.26,107.534,12925
2025-10-21 08:00:00,107.535,107.862,107.372,107.821,21301
2025-10-21 12:00:00,107.82,108.559,107.82,108.377,18809
2025-10-21 16:00:00,108.378,108.448,107.876,108.336,24420
2025-10-21 20:00:00,108.335,108.425,108.283,108.323,9846
2025-10-22 00:00:00,108.29,108.383,108.183,108.197,8163
2025-10-22 04:00:00,108.19,108.461,108.127,108.388,10988
2025-10-22 08:00:00,108.386,108.563,108.254,108.287,18480
2025-10-22 12:00:00,108.288,108.365,108.133,108.342,18822
2025-10-22 16:00:00,108.341,108.644,108.285,108.566,24163
2025-10-22 20:00:00,108.568,108.702,108.343,108.551,13798
2025-10-23 00:00:00,108.566,108.827,108.519,108.768,8317
2025-10-23 04:00:00,108.767,108.971,108.749,108.889,9440
2025-10-23 08:00:00,108.89,109.109,108.824,109.058,14627
2025-10-23 12:00:00,109.06,109.169,108.974,109.014,14398
2025-10-23 16:00:00,109.015,109.217,108.993,109.109,18523
2025-10-23 20:00:00,109.11,109.162,109.014,109.055,9213
2025-10-24 00:00:00,109.028,109.164,108.981,109.128,6658
2025-10-24 04:00:00,109.133,109.285,108.938,109.118,10530
2025-10-24 08:00:00,109.118,109.194,109.001,109.091,15744
2025-10-24 12:00:00,109.087,109.127,108.617,108.9,14956
2025-10-24 16:00:00,108.9,109.124,108.8,109.115,20806
2025-10-24 20:00:00,109.115,109.217,109.056,109.178,8450
2025-10-27 00:00:00,109.024,109.49,108.994,109.32,10776
2025-10-27 04:00:00,109.321,109.469,109.195,109.462,11325
2025-10-27 08:00:00,109.461,109.553,109.307,109.331,16014
2025-10-27 12:00:00,109.329,109.355,109.157,109.312,15602
2025-10-27 16:00:00,109.314,109.466,109.249,109.311,17876
2025-10-27 20:00:00,109.31,109.369,109.185,109.269,8612
2025-10-28 00:00:00,109.265,109.265,108.978,109.038,7362
2025-10-28 04:00:00,109.039,109.046,108.604,108.618,13670
2025-10-28 08:00:00,108.617,108.801,108.454,108.507,18948
2025-10-28 12:00:00,108.507,108.744,108.479,108.662,16224
2025-10-28 16:00:00,108.661,109.275,108.659,109.107,21848
2025-10-28 20:00:00,109.106,109.171,109.013,109.039,9956
2025-10-29 00:00:00,109.047,109.131,108.723,108.787,9778
2025-10-29 04:00:00,108.785,109.13,108.724,109.07,11743
2025-10-29 08:00:00,109.071,109.413,109.068,109.23,14862
2025-10-29 12:00:00,109.236,109.32,109.121,109.285,14368
2025-10-29 16:00:00,109.285,109.524,109.025,109.479,19557
2025-10-29 20:00:00,109.478,109.778,109.432,109.52,24135
2026-01-02 00:00:00,114.109,114.335,114.109,114.261,6427
2026-01-02 04:00:00,114.262,114.409,114.228,114.392,7164
2026-01-02 08:00:00,114.391,114.556,114.286,114.359,12911
2026-01-02 12:00:00,114.359,114.366,114.184,114.199,12618
2026-01-02 16:00:00,114.198,114.213,113.997,114.097,21009
2026-01-02 20:00:00,114.096,114.255,114.091,114.223,11633
2026-01-05 00:00:00,114.036,114.379,113.995,114.218,15024
2026-01-05 04:00:00,114.218,114.319,114.113,114.157,14307
2026-01-05 08:00:00,114.159,114.183,113.739,113.897,16992
2026-01-05 12:00:00,113.898,113.931,113.585,113.652,18683
2026-01-05 16:00:00,113.651,113.979,113.566,113.601,24496
2026-01-05 20:00:00,113.603,113.637,113.447,113.562,11620
2026-01-06 00:00:00,113.476,113.835,113.432,113.666,10604
2026-01-06 04:00:00,113.667,113.678,113.503,113.651,11095
2026-01-06 08:00:00,113.652,113.7,113.486,113.579,16531
2026-01-06 12:00:00,113.578,113.683,113.496,113.549,16426
2026-01-06 16:00:00,113.548,113.694,113.505,113.626,21349
2026-01-06 20:00:00,113.625,113.634,113.379,113.399,9562
2026-01-07 00:00:00,113.357,113.473,113.269,113.399,10086
2026-01-07 04:00:00,113.398,113.467,113.203,113.209,10044
2026-01-07 08:00:00,113.211,113.328,113.122,113.267,12808
2026-01-07 12:00:00,113.268,113.423,113.261,113.378,13364
2026-01-07 16:00:00,113.379,113.476,113.232,113.238,20495
2026-01-07 20:00:00,113.236,113.264,113.077,113.079,10869
2026-01-08 00:00:00,113.057,113.215,113.018,113.199,7969
2026-01-08 04:00:00,113.198,113.229,112.963,112.991,9693
2026-01-08 08:00:00,112.99,112.991,112.745,112.953,15201
2026-01-08 12:00:00,112.955,113.232,112.919,113.232,12972
2026-01-08 16:00:00,113.232,113.385,113.019,113.08,19958
2026-01-08 20:00:00,113.08,113.262,113.041,113.134,10835
2026-01-09 00:00:00,113.105,113.307,113.02,113.298,8476
2026-01-09 04:00:00,113.297,113.467,113.256,113.466,9854
2026-01-09 08:00:00,113.467,113.689,113.457,113.673,13191
2026-01-09 12:00:00,113.674,113.703,113.445,113.485,15853
2026-01-09 16:00:00,113.484,113.847,113.419,113.699,25609
2026-01-09 20:00:00,113.699,113.7,113.435,113.456,11040
2026-01-12 00:00:00,113.56,113.704,113.421,113.538,13899
2026-01-12 04:00:00,113.536,113.831,113.522,113.749,11613
2026-01-12 08:00:00,113.75,113.786,113.669,113.751,16056
2026-01-12 12:00:00,113.75,113.835,113.678,113.794,14844
2026-01-12 16:00:00,113.793,114.012,113.693,113.959,18641
2026-01-12 20:00:00,113.96,114.026,113.903,113.94,9551
2026-01-13 00:00:00,113.858,114.19,113.786,114.175,11690
2026-01-13 04:00:00,114.176,114.55,114.116,114.468,12867
2026-01-13 08:00:00,114.467,114.583,114.4,114.508,15181
2026-01-13 12:00:00,114.507,114.55,114.304,114.544,16028
2026-01-13 16:00:00,114.542,114.61,114.393,114.451,22240
2026-01-13 20:00:00,114.45,114.653,114.43,114.585,10857
2026-01-14 00:00:00,114.474,114.749,114.474,114.669,9409
2026-01-14 04:00:00,114.67,114.74,114.555,114.736,10424
2026-01-14 08:00:00,114.734,114.748,114.237,114.282,17110
2026-01-14 12:00:00,114.281,114.404,113.964,114.271,16939
2026-01-14 16:00:00,114.272,114.337,113.914,114.062,22230
2026-01-14 20:00:00,114.06,114.27,114.035,114.133,12361
2026-01-15 00:00:00,114.072,114.194,113.939,114.024,11063
2026-01-15 04:00:00,114.025,114.173,113.971,113.992,10078
2026-01-15 08:00:00,113.99,114.182,113.856,113.929,15392
2026-01-15 12:00:00,113.929,114.198,113.889,114.187,13394
2026-01-15 16:00:00,114.186,114.204,113.999,114.071,18032
2026-01-15 20:00:00,114.072,114.26,114.051,114.176,10020
2026-01-16 00:00:00,114.136,114.24,114.041,114.13,8900
2026-01-16 04:00:00,114.131,114.141,113.744,114.004,11850
2026-01-16 08:00:00,114.005,114.039,113.713,113.844,14016
2026-01-16 12:00:00,113.844,113.91,113.645,113.68,14476
2026-01-16 16:00:00,113.678,113.739,113.472,113.563,20161
2026-01-16 20:00:00,113.563,113.629,113.544,113.594,10144
2026-01-19 00:00:00,113.446,113.526,113.292,113.467,16471
2026-01-19 04:00:00,113.467,113.681,113.466,113.656,11611
2026-01-19 08:00:00,113.655,113.86,113.578,113.726,15044
2026-01-19 12:00:00,113.726,113.818,113.651,113.743,11548
2026-01-19 16:00:00,113.745,114.08,113.732,113.966,11468
2026-01-19 20:00:00,113.966,114.031,113.957,113.995,4758
2026-01-20 00:00:00,113.95,114.078,113.768,113.89,10534
2026-01-20 04:00:00,113.888,114.164,113.858,114.131,11429
2026-01-20 08:00:00,114.129,114.477,113.942,114.068,21761
2026-01-20 12:00:00,114.069,114.228,113.93,114.146,20013
2026-01-20 16:00:00,114.149,114.329,114.053,114.201,22661
2026-01-20 20:00:00,114.201,114.422,114.193,114.288,12510
2026-01-21 00:00:00,114.26,114.388,114.179,114.244,10592
2026-01-21 04:00:00,114.243,114.361,114.156,114.336,9111
2026-01-21 08:00:00,114.334,114.375,114.076,114.157,13740
2026-01-21 12:00:00,114.157,114.487,114.15,114.46,14604
2026-01-21 16:00:00,114.461,114.689,114.361,114.461,25331
2026-01-21 20:00:00,114.462,114.638,114.399,114.451,15972
2026-01-22 00:00:00,114.376,114.546,114.351,114.53,10502
2026-01-22 04:00:00,114.531,114.844,114.525,114.844,11660
2026-01-22 08:00:00,114.845,114.964,114.736,114.793,15428
2026-01-22 12:00:00,114.794,114.997,114.682,114.941,15669
2026-01-22 16:00:00,114.942,114.999,114.657,114.844,20988
2026-01-22 20:00:00,114.843,114.935,114.782,114.903,12256
2026-01-23 00:00:00,114.834,115.066,114.802,115.058,9984
2026-01-23 04:00:00,115.057,115.093,114.919,115.036,10316
2026-01-23 08:00:00,115.037,115.426,114.08,114.561,22027
2026-01-23 12:00:00,114.561,114.979,114.549,114.969,13787
2026-01-23 16:00:00,114.968,115.143,113.926,114.016,23882
2026-01-23 20:00:00,114.017,114.128,113.595,113.663,20094
2026-01-26 00:00:00,112.865,113.378,112.525,112.848,22206
2026-01-26 04:00:00,112.847,112.885,112.43,112.644,18402
2026-01-26 08:00:00,112.645,112.831,112.098,112.359,23359
2026-01-26 12:00:00,112.36,112.586,112.053,112.425,20217
2026-01-26 16:00:00,112.423,112.523,112.174,112.36,22463
2026-01-26 20:00:00,112.358,112.519,112.181,112.473,16081
2026-01-27 00:00:00,112.445,112.608,112.354,112.512,11680
2026-01-27 04:00:00,112.512,112.608,112.384,112.484,12856
2026-01-27 08:00:00,112.483,112.75,111.741,112.157,17605
2026-01-27 12:00:00,112.162,112.432,111.947,112.099,24408
2026-01-27 16:00:00,112.093,112.657,112.07,112.343,26364
2026-01-27 20:00:00,112.342,112.359,111.937,112.095,20634
2026-01-28 00:00:00,112.03,112.408,111.974,112.389,19764
2026-01-28 04:00:00,112.392,112.437,112.169,112.35,15899
2026-01-28 08:00:00,112.351,112.583,112.208,112.58,22456
2026-01-28 12:00:00,112.581,112.78,112.378,112.737,19683
2026-01-28 16:00:00,112.736,113.284,112.655,113.107,28086
2026-01-28 20:00:00,113.108,113.263,113.054,113.146,22576
2026-01-29 00:00:00,113.132,113.187,112.906,113.102,18608
2026-01-29 04:00:00,113.103,113.289,113.002,113.138,18181
2026-01-29 08:00:00,113.137,113.443,113.126,113.281,20407
2026-01-29 12:00:00,113.282,113.468,113.132,113.422,18676
2026-01-29 16:00:00,113.421,113.539,112.605,113.142,35115
2026-01-29 20:00:00,113.143,113.575,113.122,113.511,20058
2026-01-30 00:00:00,113.368,113.727,113.178,113.65,18004
2026-01-30 04:00:00,113.651,113.974,113.532,113.866,21752
2026-01-30 08:00:00,113.865,113.946,113.645,113.896,24694
2026-01-30 12:00:00,113.894,114.038,113.807,113.955,24460
2026-01-30 16:00:00,113.96,114.45,113.694,113.701,32097
2026-01-30 20:00:00,113.704,113.813,113.527,113.598,27581
2026-02-02 00:00:00,113.768,114.12,113.645,113.783,24272
2026-02-02 04:00:00,113.782,113.823,113.311,113.372,24181
2026-02-02 08:00:00,113.373,113.711,113.105,113.539,26270
2026-02-02 12:00:00,113.54,113.672,113.487,113.608,22748
2026-02-02 16:00:00,113.606,113.975,113.565,113.632,30163
2026-02-02 20:00:00,113.631,113.837,113.619,113.73,17117
2026-02-03 00:00:00,113.735,113.882,113.632,113.803,13559
2026-02-03 04:00:00,113.804,113.856,113.631,113.742,16967
2026-02-03 08:00:00,113.74,113.938,113.708,113.906,20004
2026-02-03 12:00:00,113.905,114.169,113.875,114.066,17386
2026-02-03 16:00:00,114.067,114.197,113.964,114.086,26263
2026-02-03 20:00:00,114.089,114.242,113.973,114.18,19193
2026-02-04 00:00:00,114.093,114.519,114.093,114.488,10838
2026-02-04 04:00:00,114.488,114.654,114.463,114.628,11368
2026-02-04 08:00:00,114.629,114.806,114.6,114.784,15431
2026-02-04 12:00:00,114.783,114.832,114.632,114.64,17463
2026-02-04 16:00:00,114.641,114.662,114.403,114.59,29484
2026-02-04 20:00:00,114.59,114.887,114.537,114.826,17239
2026-02-05 00:00:00,114.771,114.881,114.682,114.778,11349
2026-02-05 04:00:00,114.779,114.81,114.476,114.722,16425
2026-02-05 08:00:00,114.723,114.871,114.617,114.854,19539
2026-02-05 12:00:00,114.844,114.913,114.533,114.58,22492
2026-02-05 16:00:00,114.579,114.897,114.472,114.684,30609
2026-02-05 20:00:00,114.683,114.766,114.516,114.522,15377
2026-02-06 00:00:00,114.374,114.569,114.124,114.315,17062
2026-02-06 04:00:00,114.315,114.504,114.309,114.499,12763
2026-02-06 08:00:00,114.499,114.804,114.421,114.776,17595
2026-02-06 12:00:00,114.776,115.083,114.625,114.911,15161
2026-02-06 16:00:00,114.91,115.188,114.874,115.101,22038
2026-02-06 20:00:00,115.101,115.172,115.003,115.019,11628
2026-02-09 00:00:00,115.168,115.318,114.421,114.666,20142
2026-02-09 04:00:00,114.667,114.899,114.626,114.694,13524
2026-02-09 08:00:00,114.694,114.908,114.549,114.81,20916
2026-02-09 12:00:00,114.811,115.004,114.62,114.63,23011
2026-02-09 16:00:00,114.629,115.051,114.487,114.932,21986
2026-02-09 20:00:00,114.933,115.045,114.805,114.996,12805
2026-02-10 00:00:00,114.839,115.212,114.712,114.863,12600
2026-02-10 04:00:00,114.862,114.976,114.413,114.563,13274
2026-02-10 08:00:00,114.562,114.748,114.455,114.486,14988
2026-02-10 12:00:00,114.486,114.504,114.148,114.225,17284
2026-02-10 16:00:00,114.226,114.258,113.88,113.999,25352
2026-02-10 20:00:00,114.0,114.055,113.822,113.928,12345
2026-02-11 00:00:00,113.868,114.028,113.594,113.724,11406
2026-02-11 04:00:00,113.723,113.726,113.167,113.184,13792
2026-02-11 08:00:00,113.184,113.494,113.04,113.388,17680
2026-02-11 12:00:00,113.388,113.728,112.505,113.246,22188
2026-02-11 16:00:00,113.246,113.364,112.526,112.743,31386
2026-02-11 20:00:00,112.744,112.93,112.545,112.877,14602
2026-02-12 00:00:00,112.779,113.003,112.604,112.663,13529
2026-02-12 04:00:00,112.667,112.785,112.235,112.752,16688
2026-02-12 08:00:00,112.751,112.961,112.56,112.748,20280
2026-02-12 12:00:00,112.746,113.264,112.683,112.983,17107
2026-02-12 16:00:00,112.984,113.032,111.773,112.192,31773
2026-02-12 20:00:00,112.194,112.4,112.085,112.226,17454
2026-02-13 00:00:00,112.14,112.624,112.076,112.575,14054
2026-02-13 04:00:00,112.573,112.598,112.236,112.499,13652
2026-02-13 08:00:00,112.501,112.966,112.394,112.831,18105
2026-02-13 12:00:00,112.83,112.872,112.256,112.528,20343
2026-02-13 16:00:00,112.527,112.555,112.134,112.316,28686
2026-02-13 20:00:00,112.315,112.387,112.054,112.091,12658
2026-02-16 00:00:00,112.128,112.476,111.998,112.394,12074
2026-02-16 04:00:00,112.393,112.544,112.37,112.499,9691
2026-02-16 08:00:00,112.501,112.792,112.481,112.767,12143
2026-02-16 12:00:00,112.767,112.872,112.489,112.525,10853
2026-02-16 16:00:00,112.525,112.64,112.442,112.527,10271
2026-02-16 20:00:00,112.528,112.594,112.527,112.559,3045
2026-02-17 00:00:00,112.472,112.737,112.237,112.252,11738
2026-02-17 04:00:00,112.25,112.343,112.056,112.13,13709
2026-02-17 08:00:00,112.129,112.266,111.9,112.062,16141
2026-02-17 12:00:00,112.064,112.272,112.015,112.117,17818
2026-02-17 16:00:00,112.117,112.56,112.101,112.445,28297
2026-02-17 20:00:00,112.445,112.465,112.328,112.398,11934
2026-02-18 00:00:00,112.343,112.46,112.219,112.444,9968
2026-02-18 04:00:00,112.443,112.6,112.397,112.399,8746
2026-02-18 08:00:00,112.4,112.608,112.366,112.573,12797
2026-02-18 12:00:00,112.573,112.74,112.531,112.629,13917
2026-02-18 16:00:00,112.629,113.001,112.616,112.962,20098
2026-02-18 20:00:00,112.961,113.065,112.761,113.043,14761
2026-02-19 00:00:00,112.98,113.218,112.894,113.203,9666
2026-02-19 04:00:00,113.205,113.367,113.055,113.356,11725
2026-02-19 08:00:00,113.358,113.41,113.102,113.23,15107
2026-02-19 12:00:00,113.23,113.241,112.883,113.207,16436
2026-02-19 16:00:00,113.208,113.348,113.101,113.199,25432
2026-02-19 20:00:00,113.198,113.308,113.08,113.297,11710
