time,open,high,low,close,tick_volume
2024-01-02,167.467,167.919,166.793,166.92,120460
2024-01-03,166.882,168.855,166.761,168.733,122461
2024-01-04,168.504,170.424,168.212,170.077,114002
2024-01-05,170.065,170.802,169.716,169.935,107426
2024-01-08,169.94,170.263,169.326,170.055,85141
2024-01-09,170.055,170.148,168.864,169.488,93294
2024-01-10,169.49,171.334,169.276,171.291,85547
2024-01-11,171.263,171.483,170.389,170.514,105437
2024-01-12,170.519,170.618,169.645,169.88,100299
2024-01-15,170.008,170.886,169.797,170.223,61774
2024-01-16,170.209,171.02,169.87,170.817,113245
2024-01-17,170.817,171.577,170.574,171.383,108833
2024-01-18,171.383,171.457,170.381,170.661,107704
2024-01-19,170.631,171.194,170.169,170.515,104245
2024-01-22,170.585,170.885,169.992,170.398,94006
2024-01-23,170.4,171.17,169.735,170.405,109384
2024-01-24,170.412,171.059,169.916,170.942,102424
2024-01-25,170.929,171.172,169.942,170.276,104701
2024-01-26,170.279,171.667,170.086,171.375,99905
2024-01-29,170.929,171.822,170.814,171.231,90222
2024-01-30,171.226,171.376,170.508,171.265,98266
2024-01-31,171.229,171.417,170.004,170.522,134231
2024-02-01,170.489,170.756,169.653,170.677,120430
2024-02-02,170.617,171.484,170.474,171.019,99805
2024-02-05,171.15,171.407,170.486,170.741,94773
2024-02-06,170.73,170.825,169.883,170.07,94619
2024-02-07,170.073,170.258,169.271,169.419,94009
2024-02-08,169.419,170.948,169.273,170.901,94385
2024-02-09,170.876,171.007,170.471,170.656,84235
2024-02-12,170.405,170.814,170.061,170.522,86445
2024-02-13,170.527,170.881,169.394,169.955,97125
2024-02-14,169.918,170.073,169.45,169.844,101446
2024-02-15,169.813,170.584,169.546,170.344,101031
2024-02-16,170.323,170.699,170.182,170.343,84668
2024-02-19,170.484,170.514,169.979,170.06,57906
2024-02-20,170.06,170.518,169.953,170.08,90883
2024-02-21,170.08,170.929,169.886,170.81,83847
2024-02-22,170.832,171.692,170.626,171.007,84556
2024-02-23,171.0,171.314,170.615,170.753,73569
2024-02-26,170.836,171.389,170.446,171.229,75007
