time,open,high,low,close,tick_volume
2023-12-31,167.467,170.802,166.761,169.935,464349
2024-01-07,169.94,171.483,168.864,169.88,469718
2024-01-14,170.008,171.577,169.797,170.515,495801
2024-01-21,170.585,171.667,169.735,171.375,510420
2024-01-28,170.929,171.822,169.653,171.019,542954
2024-02-04,171.15,171.407,169.271,170.656,462021
2024-02-11,170.405,170.881,169.394,170.343,470715
2024-02-18,170.484,171.692,169.886,170.753,390761
2024-02-25,170.836,171.505,169.327,169.702,396441
2024-03-03,169.493,170.709,167.474,167.531,404590
2024-03-10,167.622,168.821,167.074,168.656,382470
2024-03-17,168.433,170.801,167.783,168.766,375714
2024-03-24,168.472,168.77,166.564,167.672,320265
2024-03-31,167.724,168.475,166.752,168.009,319849
2024-04-07,168.009,168.475,167.221,167.57,417826
2024-04-14,167.704,170.718,167.261,169.87,522398
2024-04-21,169.646,173.202,169.167,173.112,424555
2024-04-28,172.543,175.038,167.338,169.001,529035
2024-05-05,168.871,172.046,168.622,171.816,363928
2024-05-12,171.632,172.709,170.81,171.126,415232
2024-05-19,171.059,171.957,170.973,171.565,395288
2024-05-26,171.516,174.358,171.335,174.271,426959
2024-06-02,173.918,175.366,173.206,174.811,509663
2024-06-09,174.571,176.908,174.453,176.792,512725
2024-06-16,176.524,179.06,176.452,178.652,418602
2024-06-23,178.576,179.249,177.917,178.984,444087
2024-06-30,178.802,179.527,178.4,179.425,406645
2024-07-07,179.211,180.063,176.049,176.522,440884
2024-07-14,176.619,177.51,175.867,177.157,529860
2024-07-21,176.943,177.337,172.317,173.993,645765
2024-07-28,173.677,174.866,169.488,170.721,797161
2024-08-04,170.52,172.176,166.808,169.422,921052
2024-08-11,169.347,171.362,169.092,170.413,690263
2024-08-18,170.177,171.851,168.349,170.325,665324
2024-08-25,169.987,172.267,169.493,171.953,557931
2024-09-01,171.76,172.811,168.559,168.734,588149
2024-09-08,168.207,169.416,165.574,165.874,636584
2024-09-15,165.925,169.966,165.295,169.231,637017
2024-09-22,168.951,172.523,168.511,169.164,622837
