time,open,high,low,close,tick_volume
2025-06-18,0.93482,0.94225,0.93261,0.93994,72236
2025-06-19,0.93886,0.94185,0.93609,0.93854,60280
2025-06-20,0.93646,0.94253,0.93646,0.94177,55828
2025-06-23,0.93497,0.94101,0.93478,0.94079,84619
2025-06-24,0.93998,0.94275,0.93394,0.93479,70501
2025-06-25,0.93346,0.93839,0.93327,0.93836,56440
2025-06-26,0.93561,0.94014,0.93555,0.93641,67989
2025-06-27,0.93436,0.93804,0.9338,0.93539,60186
2025-06-30,0.93614,0.93733,0.93348,0.93465,61479
2025-07-01,0.93437,0.93476,0.93059,0.93395,61426
2025-07-02,0.93112,0.93439,0.9292,0.93434,52598
2026-01-02,0.93092,0.93158,0.92803,0.92826,39423
2026-01-05,0.9266,0.93061,0.92658,0.92778,50673
2026-01-06,0.92675,0.93023,0.92655,0.92999,40961
2026-01-07,0.92884,0.93182,0.92798,0.93143,46337
2026-01-08,0.92855,0.93191,0.92794,0.9311,41304
2026-01-09,0.93116,0.93258,0.92953,0.93174,49461
2026-01-12,0.92949,0.93224,0.92948,0.9303,46809
2026-01-13,0.92853,0.93286,0.92853,0.93251,46256
2026-01-14,0.93221,0.93493,0.93078,0.93145,45634
2026-01-15,0.9298,0.93282,0.92789,0.93239,42618
2026-01-16,0.93142,0.9328,0.92944,0.93088,38993
2026-01-19,0.92742,0.92973,0.92637,0.92837,48146
2026-01-20,0.92701,0.92913,0.92542,0.9261,62617
2026-01-21,0.92458,0.93073,0.92292,0.92964,56659
2026-01-22,0.9289,0.93004,0.92723,0.92736,45946
2026-01-23,0.92716,0.92868,0.92151,0.9226,56135
2026-01-26,0.9194,0.92317,0.91833,0.92297,72436
2026-01-27,0.92156,0.92356,0.9162,0.91645,71746
2026-01-28,0.91567,0.92115,0.91505,0.91834,80948
2026-01-29,0.91805,0.91886,0.91448,0.91487,77315
2026-01-30,0.91378,0.91737,0.91318,0.91605,93186
2026-02-02,0.91469,0.92172,0.91455,0.91907,79011
2026-02-03,0.91896,0.91977,0.91485,0.91616,57699
2026-02-04,0.91502,0.91831,0.9146,0.91764,55853
2026-02-05,0.91601,0.9181,0.91395,0.91646,59297
2026-02-06,0.91451,0.9181,0.91451,0.91625,45459
2026-02-09,0.91414,0.9179,0.91261,0.91286,55284
2026-02-10,0.91238,0.91395,0.90945,0.91334,47939
2026-02-11,0.91223,0.91688,0.90856,0.91599,59480
2026-02-12,0.91345,0.91608,0.91123,0.91325,55666
2026-02-13,0.91103,0.9145,0.90862,0.91058,48826
2026-02-16,0.9104,0.91364,0.91027,0.91188,25982
2026-02-17,0.90973,0.914,0.90973,0.91274,43608
2026-02-18,0.91192,0.91408,0.91055,0.91075,38661
2026-02-19,0.9091,0.91294,0.90478,0.91239,46746
2026-02-20,0.91117,0.91425,0.91066,0.91358,59442
2026-02-23,0.91156,0.91491,0.91128,0.91295,50960
2026-02-24,0.91192,0.91415,0.91095,0.91125,49541
2026-02-25,0.90977,0.91324,0.90946,0.91246,48401
2026-02-26,0.9063,0.91507,0.9063,0.91299,52375
2026-02-27,0.91239,0.91365,0.90606,0.90881,55404
2026-03-02,0.9032,0.91305,0.90213,0.91102,88853
2026-03-03,0.90965,0.91275,0.90664,0.90773,105652
2026-03-04,0.90736,0.90987,0.9053,0.90648,89270
2026-03-05,0.90598,0.90764,0.90491,0.90641,91551
2026-03-06,0.9056,0.90704,0.90077,0.90132,73368
2026-03-09,0.89919,0.90434,0.89703,0.90434,92623
2026-03-10,0.90371,0.90559,0.90229,0.90389,71337
2026-03-11,0.90304,0.90468,0.89991,0.90261,62597
2026-03-12,0.9014,0.90514,0.89998,0.90477,61485
2026-03-13,0.90469,0.90545,0.90197,0.90312,63162
2026-03-16,0.9008,0.90655,0.89774,0.90621,57691
2026-03-17,0.90494,0.9071,0.90487,0.90553,43447
2026-03-18,0.90504,0.91024,0.90377,0.90836,54163
2026-03-19,0.90792,0.9141,0.90653,0.91316,77865
2026-03-20,0.91298,0.91358,0.9091,0.91157,60483
2026-03-23,0.90763,0.91459,0.90732,0.91301,93674
2026-03-24,0.91263,0.91675,0.91169,0.91469,73866
2026-03-25,0.91476,0.91686,0.91402,0.915,57418
2026-03-26,0.91451,0.91701,0.91376,0.91659,48754
2026-03-27,0.91566,0.91997,0.91367,0.91913,54293
2026-03-30,0.91434,0.92,0.91354,0.91631,52693
2026-03-31,0.91422,0.92664,0.91309,0.92343,64319
2026-04-01,0.92301,0.92537,0.91795,0.92044,63144
2026-04-02,0.91955,0.92286,0.9181,0.92148,61839
2026-04-03,0.91961,0.92261,0.91932,0.91964,32369
2026-04-06,0.9204,0.92311,0.91922,0.92102,45447
2026-04-07,0.92006,0.92654,0.91912,0.92506,53334
2026-04-08,0.9236,0.92618,0.92057,0.92284,80731
2026-04-09,0.92148,0.92495,0.92086,0.92465,48792
2026-04-10,0.92336,0.92603,0.92186,0.92525,48061
2026-04-13,0.92192,0.92629,0.92056,0.92155,52822
2026-04-14,0.92154,0.92176,0.91911,0.9211,49228
2026-04-15,0.92054,0.92262,0.9197,0.92253,48505
2026-04-16,0.9223,0.92357,0.92109,0.92301,50682
2026-04-17,0.92116,0.92322,0.91896,0.91918,55446
2026-04-20,0.91673,0.92054,0.91572,0.91734,55160
2026-04-21,0.91647,0.91829,0.91527,0.91671,55997
2026-04-22,0.91536,0.91875,0.91509,0.91863,47905
2026-04-23,0.91815,0.91919,0.91564,0.9186,60174
2026-04-24,0.91704,0.92148,0.91568,0.91962,49037
2026-04-27,0.91957,0.92166,0.91843,0.92063,45793
2026-04-28,0.91909,0.925,0.91811,0.92434,56300
2026-04-29,0.92363,0.92504,0.92235,0.92398,54183
2026-04-30,0.92199,0.92411,0.91496,0.91663,81338
2026-05-01,0.91611,0.91776,0.9151,0.91602,57547
2026-05-04,0.91456,0.91781,0.91283,0.91644,62135
2026-05-05,0.91535,0.91677,0.91405,0.91554,47160
2026-05-06,0.91348,0.91757,0.91323,0.91488,64211
2026-05-07,0.91304,0.91573,0.91304,0.91516,61215
2026-05-08,0.91438,0.91608,0.91274,0.9149,48103
2026-05-11,0.91209,0.91665,0.91181,0.91662,43150
2026-05-12,0.91414,0.91748,0.91381,0.91626,51538
2026-05-13,0.91592,0.91661,0.915,0.91563,42227
2026-05-14,0.91498,0.91596,0.91422,0.9145,43751
2026-05-15,0.91222,0.91517,0.91222,0.91456,54911
2026-05-18,0.91268,0.91532,0.91247,0.91416,56684
2026-05-19,0.91408,0.91687,0.913,0.91554,51214
2026-05-20,0.91509,0.91698,0.9134,0.91505,56549
2026-05-21,0.91262,0.9153,0.91262,0.91379,60544
2026-05-22,0.91362,0.91397,0.91036,0.91089,45560
2026-05-25,0.91201,0.91223,0.90962,0.91115,31805
2026-05-26,0.9105,0.91403,0.91026,0.91375,42120
2026-05-27,0.91281,0.91556,0.91121,0.915,45288
2026-05-28,0.91265,0.9169,0.91265,0.9131,53168
2026-05-29,0.91243,0.91338,0.9097,0.91021,52790
2026-06-01,0.90833,0.91544,0.9083,0.91488,52267
2026-06-02,0.91428,0.91599,0.91295,0.91561,40706
2026-06-03,0.91518,0.91918,0.91388,0.91861,45590
2026-06-04,0.91834,0.91901,0.91601,0.91661,46197
2026-06-05,0.91611,0.91906,0.91433,0.91714,52810
2026-06-08,0.91493,0.92047,0.91301,0.92006,59187
2026-06-09,0.91982,0.9218,0.91919,0.9215,52963
2026-06-10,0.9209,0.92342,0.9198,0.92288,60182
2026-06-11,0.92238,0.92288,0.91972,0.92016,68157
2026-06-12,0.91981,0.92253,0.91862,0.92163,59802
2026-06-15,0.92066,0.92197,0.91999,0.92094,48599
2026-06-16,0.92017,0.92261,0.91826,0.92064,43978
2026-06-17,0.92029,0.92092,0.9175,0.91968,54232
2026-06-18,0.91967,0.92323,0.91851,0.92171,62240
2026-06-19,0.92143,0.92642,0.92002,0.92519,44954
2026-06-22,0.92501,0.9266,0.92373,0.92401,53760
2026-06-23,0.9231,0.92433,0.92015,0.92113,52662
2026-06-24,0.91989,0.92295,0.91989,0.92259,55911
2026-06-25,0.92183,0.92267,0.91996,0.92106,56162
2026-06-26,0.92013,0.92275,0.91951,0.92157,56072
2026-06-29,0.92234,0.9235,0.9213,0.92244,47905
2026-06-30,0.92188,0.92328,0.92127,0.9231,52047
2026-07-01,0.9224,0.92349,0.92013,0.92094,50930
2026-07-02,0.91958,0.92107,0.91834,0.91892,21482
2026-07-03,0.91639,0.9189,0.91639,0.91876,2993
2026-07-06,0.91802,0.9193,0.9174,0.91924,2741
2026-07-07,0.92031,0.92133,0.91969,0.92116,2437
2026-07-08,0.91839,0.92248,0.91793,0.92245,2375
2026-07-09,0.92144,0.92322,0.92031,0.92293,2026
2026-07-10,0.92091,0.92248,0.92021,0.92212,1649
2026-07-13,0.91959,0.92336,0.91926,0.92301,4054
2026-07-14,0.92664,0.92741,0.92599,0.92731,2647
2026-07-15,0.92313,0.92524,0.92106,0.92514,7816
2026-07-16,0.92275,0.92319,0.92167,0.92292,2026
2026-07-17,0.92515,0.92538,0.92243,0.92526,1836
2026-07-20,0.92301,0.92433,0.92281,0.92387,5586
2026-07-21,0.92466,0.92483,0.92337,0.92469,2324
2026-07-22,0.92596,0.9268,0.92502,0.92666,1483
2026-07-23,0.92919,0.92951,0.92844,0.92918,1656
2026-07-24,0.92852,0.92941,0.92788,0.92939,2452
2026-07-27,0.92943,0.93036,0.92887,0.93009,2870
2026-07-28,0.93045,0.93168,0.92924,0.93167,2312
