time,open,high,low,close,tick_volume
2025-06-15,0.93482,0.94253,0.93261,0.94177,188344
2025-06-22,0.93497,0.94275,0.93327,0.93539,339735
2025-06-29,0.93614,0.93733,0.9292,0.93434,175503
2025-12-28,0.93092,0.93158,0.92803,0.92826,39423
2026-01-04,0.9266,0.93258,0.92655,0.93174,228736
2026-01-11,0.92949,0.93493,0.92789,0.93088,220310
2026-01-18,0.92742,0.93073,0.92151,0.9226,269503
2026-01-25,0.9194,0.92356,0.91318,0.91605,395631
2026-02-01,0.91469,0.92172,0.91395,0.91625,297319
2026-02-08,0.91414,0.9179,0.90856,0.91058,267195
2026-02-15,0.9104,0.91425,0.90478,0.91358,214439
2026-02-22,0.91156,0.91507,0.90606,0.90881,256681
2026-03-01,0.9032,0.91305,0.90077,0.90132,448694
2026-03-08,0.89919,0.90559,0.89703,0.90312,351204
2026-03-15,0.9008,0.9141,0.89774,0.91157,293649
2026-03-22,0.90763,0.91997,0.90732,0.91913,328005
2026-03-29,0.91434,0.92664,0.91309,0.91964,274364
2026-04-05,0.9204,0.92654,0.91912,0.92525,276365
2026-04-12,0.92192,0.92629,0.91896,0.91918,256683
2026-04-19,0.91673,0.92148,0.91509,0.91962,268273
2026-04-26,0.91957,0.92504,0.91496,0.91602,295161
2026-05-03,0.91456,0.91781,0.91274,0.9149,282824
2026-05-10,0.91209,0.91748,0.91181,0.91456,235577
2026-05-17,0.91268,0.91698,0.91036,0.91089,270551
2026-05-24,0.91201,0.9169,0.90962,0.91021,225171
2026-05-31,0.90833,0.91918,0.9083,0.91714,237570
2026-06-07,0.91493,0.92342,0.91301,0.92163,300291
2026-06-14,0.92066,0.92642,0.9175,0.92519,254003
2026-06-21,0.92501,0.9266,0.91951,0.92157,274567
2026-06-28,0.92234,0.9235,0.91834,0.91892,172364
2026-07-05,0.91802,0.9193,0.9174,0.91924,2741
2026-07-12,0.91959,0.92336,0.91926,0.92301,4054
2026-07-19,0.92301,0.92433,0.92281,0.92387,5586
2026-07-26,0.92943,0.93036,0.92887,0.93009,2870
