time,open,high,low,close,tick_volume
2010-03-11 22:00:00,90.545,90.55,90.482,90.496,745
2010-03-11 23:00:00,90.495,90.615,90.493,90.604,638
2010-03-12 00:00:00,90.6,90.736,90.592,90.656,1038
2010-03-12 01:00:00,90.657,90.695,90.595,90.597,1020
2010-03-12 02:00:00,90.598,90.636,90.467,90.602,1267
2010-03-12 03:00:00,90.601,90.636,90.557,90.591,788
2010-03-12 04:00:00,90.592,90.648,90.591,90.647,691
2010-03-12 05:00:00,90.649,90.669,90.593,90.611,732
2010-03-12 06:00:00,90.612,90.64,90.559,90.627,689
2010-03-12 07:00:00,90.628,90.665,90.553,90.622,1246
2010-03-12 08:00:00,90.621,90.678,90.54,90.62,1261
2010-03-12 09:00:00,90.621,90.637,90.498,90.517,1432
2010-03-12 10:00:00,90.515,90.563,90.278,90.298,1469
2010-03-12 11:00:00,90.299,90.388,90.166,90.33,2133
2010-03-12 12:00:00,90.331,90.452,90.325,90.378,1139
2010-03-12 13:00:00,90.375,90.468,90.342,90.417,998
2010-03-12 14:00:00,90.413,90.964,90.407,90.939,2501
2010-03-12 15:00:00,90.94,91.08,90.86,90.948,1999
2010-03-12 16:00:00,90.955,90.972,90.634,90.715,2578
2010-03-12 17:00:00,90.716,90.752,90.343,90.467,1913
2010-03-12 18:00:00,90.468,90.518,90.283,90.428,1499
2010-03-12 19:00:00,90.429,90.55,90.429,90.533,789
2010-03-12 20:00:00,90.534,90.543,90.42,90.506,705
2010-03-12 21:00:00,90.507,90.527,90.436,90.459,749
2010-03-12 22:00:00,90.458,90.565,90.429,90.548,725
2010-03-15 00:00:00,90.597,90.714,90.581,90.701,709
2010-03-15 01:00:00,90.698,90.788,90.61,90.738,1710
2010-03-15 02:00:00,90.74,90.749,90.62,90.666,1362
2010-03-15 03:00:00,90.661,90.716,90.646,90.676,965
2010-03-15 04:00:00,90.675,90.699,90.628,90.645,837
2010-03-15 05:00:00,90.647,90.653,90.573,90.597,784
2010-03-15 06:00:00,90.596,90.638,90.551,90.589,1008
2010-03-15 07:00:00,90.593,90.689,90.568,90.689,890
2010-03-15 08:00:00,90.687,90.746,90.599,90.744,1263
2010-03-15 09:00:00,90.742,90.742,90.609,90.663,1457
2010-03-15 10:00:00,90.661,90.771,90.647,90.667,1308
2010-03-15 11:00:00,90.668,90.741,90.642,90.699,987
2010-03-15 12:00:00,90.697,90.732,90.625,90.658,1017
2010-03-15 13:00:00,90.66,90.787,90.646,90.691,1260
2010-03-15 14:00:00,90.692,90.717,90.638,90.662,1574
2010-03-15 15:00:00,90.66,90.736,90.638,90.72,1584
2010-03-15 16:00:00,90.721,90.75,90.401,90.436,2532
2010-03-15 17:00:00,90.438,90.543,90.361,90.509,1366
2010-03-15 18:00:00,90.51,90.529,90.413,90.496,884
2010-03-15 19:00:00,90.495,90.501,90.352,90.466,1018
2010-03-15 20:00:00,90.465,90.495,90.442,90.478,674
2010-03-15 21:00:00,90.477,90.53,90.474,90.519,772
2010-03-15 22:00:00,90.52,90.529,90.461,90.479,681
2010-03-15 23:00:00,90.481,90.484,90.37,90.418,952
2010-03-16 00:00:00,90.421,90.458,90.275,90.344,901
2010-03-16 01:00:00,90.346,90.363,90.184,90.207,1889
2010-03-16 02:00:00,90.211,90.264,90.128,90.237,1629
2010-03-16 03:00:00,90.235,90.287,90.204,90.238,981
2010-03-16 04:00:00,90.239,90.24,90.029,90.082,1105
2010-03-16 05:00:00,90.085,90.098,89.974,90.097,1282
2010-03-16 06:00:00,90.098,90.123,90.01,90.084,1243
2010-03-16 07:00:00,90.087,90.145,90.073,90.142,985
2010-03-16 08:00:00,90.141,90.326,90.126,90.277,1774
2010-03-16 09:00:00,90.28,90.475,90.267,90.461,1783
2010-03-16 10:00:00,90.464,90.582,90.448,90.579,1414
2010-03-16 11:00:00,90.578,90.68,90.568,90.624,1346
2010-03-16 12:00:00,90.623,90.731,90.603,90.661,1444
2010-03-16 13:00:00,90.66,90.712,90.46,90.46,1402
2010-03-16 14:00:00,90.466,90.516,90.27,90.309,1779
2010-03-16 15:00:00,90.308,90.47,90.242,90.462,2020
2010-03-16 16:00:00,90.459,90.528,90.378,90.424,1788
2010-03-16 17:00:00,90.425,90.488,90.353,90.484,1329
2010-03-16 18:00:00,90.482,90.581,90.482,90.569,979
2010-03-16 19:00:00,90.57,90.684,90.155,90.254,3113
2010-03-16 20:00:00,90.256,90.385,90.231,90.231,1458
2010-03-16 21:00:00,90.228,90.329,90.217,90.294,773
2010-03-16 22:00:00,90.296,90.31,90.209,90.248,804
2010-03-16 23:00:00,90.247,90.4,90.236,90.32,514
2010-03-17 00:00:00,90.328,90.357,90.288,90.307,420
2010-03-17 01:00:00,90.305,90.444,90.302,90.428,1326
2010-03-17 02:00:00,90.423,90.427,90.289,90.38,1046
2010-03-17 03:00:00,90.377,90.435,90.356,90.368,783
2010-03-17 04:00:00,90.367,90.387,90.027,90.147,1140
2010-03-17 05:00:00,90.148,90.463,90.148,90.454,1604
2010-03-17 06:00:00,90.453,90.662,90.44,90.597,1496
2010-03-17 07:00:00,90.598,90.651,90.549,90.569,1293
2010-03-17 08:00:00,90.568,90.572,90.411,90.444,1839
2010-03-17 09:00:00,90.446,90.679,90.379,90.627,2173
2010-03-17 10:00:00,90.628,90.705,90.572,90.603,1731
2010-03-17 11:00:00,90.602,90.642,90.479,90.502,1606
2010-03-17 12:00:00,90.5,90.619,90.445,90.603,1415
2010-03-17 13:00:00,90.602,90.607,90.366,90.574,1789
2010-03-17 14:00:00,90.577,90.589,90.438,90.528,1738
2010-03-17 15:00:00,90.53,90.54,90.42,90.521,1609
2010-03-17 16:00:00,90.519,90.538,90.386,90.418,1666
2010-03-17 17:00:00,90.417,90.45,90.124,90.148,2232
2010-03-17 18:00:00,90.147,90.274,90.126,90.133,1323
2010-03-17 19:00:00,90.134,90.199,90.108,90.18,1078
2010-03-17 20:00:00,90.179,90.274,90.166,90.256,969
2010-03-17 21:00:00,90.255,90.332,90.236,90.295,795
2010-03-17 22:00:00,90.296,90.337,90.262,90.305,686
2010-03-17 23:00:00,90.306,90.379,90.256,90.375,750
2010-03-18 00:00:00,90.373,90.441,90.339,90.398,903
2010-03-18 01:00:00,90.396,90.425,90.3,90.303,1466
2010-03-18 02:00:00,90.3,90.329,90.185,90.233,1266
2010-03-18 03:00:00,90.234,90.286,90.153,90.165,1048
2010-03-18 04:00:00,90.166,90.227,90.135,90.192,1019
2010-03-18 05:00:00,90.193,90.294,90.185,90.237,1042
2010-03-18 06:00:00,90.238,90.284,90.104,90.117,2260
2010-03-18 07:00:00,90.119,90.208,90.061,90.159,1556
2010-03-18 08:00:00,90.161,90.325,89.967,90.034,2329
2010-03-18 09:00:00,90.032,90.194,89.984,90.063,2099
2010-03-18 10:00:00,90.061,90.161,89.762,90.117,2504
2010-03-18 11:00:00,90.118,90.194,90.075,90.185,1440
2010-03-18 12:00:00,90.187,90.329,90.172,90.199,1369
2010-03-18 13:00:00,90.2,90.29,90.038,90.231,2012
2010-03-18 14:00:00,90.23,90.321,90.2,90.266,1743
2010-03-18 15:00:00,90.27,90.444,90.27,90.386,2129
2010-03-18 16:00:00,90.387,90.794,90.375,90.46,2675
2010-03-18 17:00:00,90.456,90.456,90.208,90.301,2245
2010-03-18 18:00:00,90.302,90.344,90.157,90.217,1346
2010-03-18 19:00:00,90.218,90.303,90.204,90.297,897
2010-03-18 20:00:00,90.295,90.352,90.255,90.351,777
2010-03-18 21:00:00,90.348,90.381,90.269,90.376,928
2010-03-18 22:00:00,90.375,90.448,90.329,90.347,842
2010-03-18 23:00:00,90.349,90.476,90.33,90.469,653
2010-03-19 00:00:00,90.459,90.506,90.401,90.474,956
2010-03-19 01:00:00,90.476,90.484,90.352,90.466,1279
2010-03-19 02:00:00,90.467,90.588,90.437,90.439,1444
2010-03-19 03:00:00,90.438,90.502,90.431,90.474,940
2010-03-19 04:00:00,90.476,90.477,90.391,90.452,675
2010-03-19 05:00:00,90.453,90.467,90.422,90.437,872
2010-03-19 06:00:00,90.438,90.479,90.429,90.469,652
2010-03-19 07:00:00,90.468,90.51,90.416,90.418,964
2010-03-19 08:00:00,90.415,90.546,90.415,90.502,1119
2010-03-19 09:00:00,90.5,90.527,90.433,90.45,1177
2010-03-19 10:00:00,90.449,90.486,90.391,90.444,1196
2010-03-19 11:00:00,90.443,90.501,90.404,90.466,1226
2010-03-19 12:00:00,90.467,90.53,90.4,90.521,1207
2010-03-19 13:00:00,90.52,90.71,90.494,90.657,1779
2010-03-19 14:00:00,90.662,90.675,90.488,90.569,1590
2010-03-19 15:00:00,90.577,90.59,90.441,90.577,1722
2010-03-19 16:00:00,90.578,90.62,90.495,90.501,1390
2010-03-19 17:00:00,90.504,90.519,90.331,90.369,1473
2010-03-19 18:00:00,90.367,90.468,90.349,90.349,983
2010-03-19 19:00:00,90.341,90.498,90.339,90.48,743
2010-03-19 20:00:00,90.479,90.551,90.425,90.542,664
2010-03-19 21:00:00,90.539,90.586,90.478,90.533,853
2010-03-19 22:00:00,90.534,90.542,90.534,90.535,4
2010-03-22 00:00:00,90.505,90.511,90.425,90.436,281
2010-03-22 01:00:00,90.438,90.518,90.421,90.47,731
2010-03-22 02:00:00,90.472,90.498,90.423,90.437,460
2010-03-22 03:00:00,90.435,90.459,90.413,90.437,475
2010-03-22 04:00:00,90.438,90.515,90.424,90.47,465
2010-03-22 05:00:00,90.474,90.497,90.44,90.482,392
2010-03-22 06:00:00,90.487,90.527,90.453,90.509,467
2010-03-22 07:00:00,90.508,90.677,90.45,90.661,663
2010-03-22 08:00:00,90.664,90.766,90.508,90.56,1532
2010-03-22 09:00:00,90.561,90.621,90.52,90.52,1150
2010-03-22 10:00:00,90.521,90.602,90.462,90.525,1028
2010-03-22 11:00:00,90.524,90.572,90.504,90.56,797
2010-03-22 12:00:00,90.561,90.62,90.458,90.502,940
2010-03-22 13:00:00,90.502,90.564,90.403,90.457,1634
2010-03-22 14:00:00,90.451,90.455,89.83,90.06,3238
2010-03-22 15:00:00,90.052,90.189,90.029,90.133,2014
2010-03-22 16:00:00,90.131,90.143,89.982,90.019,1748
2010-03-22 17:00:00,90.017,90.082,90.0,90.043,1243
2010-03-22 18:00:00,90.042,90.081,89.954,89.954,899
2010-03-22 19:00:00,89.958,90.127,89.957,90.127,893
2010-03-22 20:00:00,90.129,90.196,90.124,90.152,718
2010-03-22 21:00:00,90.155,90.173,90.118,90.124,725
2010-03-22 22:00:00,90.125,90.13,90.057,90.066,757
2010-03-22 23:00:00,90.064,90.168,90.052,90.14,475
2010-03-23 00:00:00,90.144,90.371,90.136,90.317,1048
2010-03-23 01:00:00,90.318,90.366,90.243,90.243,1945
2010-03-23 02:00:00,90.239,90.338,90.239,90.323,856
2010-03-23 03:00:00,90.322,90.359,90.299,90.32,761
2010-03-23 04:00:00,90.317,90.358,90.265,90.301,779
2010-03-23 05:00:00,90.299,90.303,90.246,90.28,603
2010-03-23 06:00:00,90.279,90.319,90.235,90.318,735
2010-03-23 07:00:00,90.321,90.348,90.264,90.28,1010
2010-03-23 08:00:00,90.278,90.337,90.127,90.17,1520
2010-03-23 09:00:00,90.171,90.277,90.147,90.27,1521
2010-03-23 10:00:00,90.269,90.456,90.247,90.316,1552
2010-03-23 11:00:00,90.321,90.434,90.31,90.342,1201
2010-03-23 12:00:00,90.343,90.418,90.313,90.331,1226
2010-03-23 13:00:00,90.33,90.397,90.304,90.309,1046
2010-03-23 14:00:00,90.306,90.43,90.297,90.378,1573
2010-03-23 15:00:00,90.38,90.466,90.227,90.254,2099
2010-03-23 16:00:00,90.256,90.303,90.19,90.238,1574
2010-03-23 17:00:00,90.248,90.283,90.187,90.239,1740
2010-03-23 18:00:00,90.235,90.385,90.234,90.368,1045
2010-03-23 19:00:00,90.366,90.429,90.35,90.415,837
2010-03-23 20:00:00,90.416,90.436,90.358,90.39,1020
2010-03-23 21:00:00,90.389,90.415,90.349,90.389,861
2010-03-23 22:00:00,90.388,90.449,90.377,90.441,564
2010-03-23 23:00:00,90.444,90.45,90.379,90.392,465
2010-03-24 00:00:00,90.394,90.445,90.346,90.398,751
2010-03-24 01:00:00,90.399,90.455,90.376,90.423,1072
2010-03-24 02:00:00,90.425,90.474,90.417,90.446,993
2010-03-24 03:00:00,90.447,90.561,90.445,90.519,1081
2010-03-24 04:00:00,90.516,90.535,90.467,90.474,548
2010-03-24 05:00:00,90.473,90.559,90.469,90.552,741
2010-03-24 06:00:00,90.55,90.653,90.54,90.608,1557
2010-03-24 07:00:00,90.612,90.632,90.519,90.544,1190
2010-03-24 08:00:00,90.543,90.64,90.536,90.637,1124
2010-03-24 09:00:00,90.638,91.05,90.618,90.964,2466
2010-03-24 10:00:00,90.96,91.281,90.957,91.24,2231
2010-03-24 11:00:00,91.238,91.275,91.156,91.206,1910
2010-03-24 12:00:00,91.205,91.396,91.16,91.387,1588
2010-03-24 13:00:00,91.386,91.95,91.329,91.801,3016
2010-03-24 14:00:00,91.815,91.945,91.801,91.841,2339
2010-03-24 15:00:00,91.839,91.902,91.696,91.898,1931
2010-03-24 16:00:00,91.897,91.966,91.723,91.887,1944
2010-03-24 17:00:00,91.885,92.179,91.869,92.028,2231
2010-03-24 18:00:00,92.029,92.226,91.99,92.009,2056
2010-03-24 19:00:00,92.008,92.107,91.94,92.087,1237
2010-03-24 20:00:00,92.083,92.159,92.046,92.154,851
2010-03-24 21:00:00,92.15,92.388,92.144,92.295,1361
