time,open,high,low,close,tick_volume,spread,real_volume
2010-01-04,1096.7,1123.65,1093.05,1121.0,3691,0,0
2010-01-05,1121.0,1128.5,1115.05,1117.7,2361,0,0
2010-01-06,1117.65,1140.3,1117.1,1137.7,2636,0,0
2010-01-07,1137.75,1138.85,1128.3,1131.45,1481,0,0
2010-01-08,1131.5,1139.3,1119.3,1136.0,3551,0,0
2010-01-11,1137.45,1161.85,1137.45,1151.5,3476,0,0
2010-01-12,1151.5,1158.0,1124.8,1127.7,4261,0,0
2010-01-13,1127.8,1138.6,1118.2,1137.75,3086,0,0
2010-01-14,1137.8,1145.9,1130.6,1142.3,2611,0,0
2010-01-15,1142.3,1145.65,1126.6,1131.15,2696,0,0
2010-01-18,1127.15,1137.1,1127.1,1133.65,1351,0,0
2010-01-19,1133.6,1140.5,1128.65,1137.9,1941,0,0
2010-01-20,1137.95,1141.35,1106.95,1111.05,4191,0,0
2010-01-21,1111.1,1117.45,1088.35,1093.75,4086,0,0
2010-01-22,1093.65,1098.55,1082.0,1093.3,3276,0,0
2010-01-25,1092.15,1103.95,1092.15,1098.1,1766,0,0
2010-01-26,1098.05,1103.3,1085.35,1097.2,3506,0,0
2010-01-27,1097.2,1102.25,1083.1,1087.6,2871,0,0
2010-01-28,1087.63,1096.0,1073.8,1086.7,4348,0,0
2010-01-29,1086.75,1090.45,1074.4,1081.3,2666,0,0
2010-02-01,1082.4,1107.55,1076.5,1104.95,3956,0,0
2010-02-02,1104.95,1118.5,1098.75,1114.15,3031,0,0
2010-02-03,1114.2,1124.9,1106.95,1109.45,3116,0,0
2010-02-04,1109.5,1111.0,1059.35,1062.8,5661,0,0
2010-02-05,1062.8,1068.45,1044.05,1067.05,4456,0,0
2010-02-08,1065.8,1073.65,1061.45,1062.5,2111,0,0
2010-02-09,1062.65,1083.0,1061.9,1077.75,2711,0,0
2010-02-10,1077.8,1082.2,1063.05,1071.75,3226,0,0
2010-02-11,1071.8,1097.8,1071.6,1095.15,2906,0,0
2010-02-12,1095.1,1095.75,1077.55,1092.05,3336,0,0
2010-02-15,1092.75,1102.2,1091.5,1100.5,1366,0,0
2010-02-16,1098.95,1121.0,1097.85,1118.85,2641,0,0
2010-02-17,1118.85,1127.3,1105.0,1106.5,3226,0,0
2010-02-18,1106.45,1123.95,1097.65,1108.25,5081,0,0
2010-02-19,1108.2,1126.7,1099.1,1117.6,4581,0,0
2010-02-22,1125.1,1130.85,1109.85,1114.05,3096,0,0
2010-02-23,1114.08,1121.05,1099.2,1103.15,3278,0,0
2010-02-24,1103.2,1108.05,1089.85,1097.4,3061,0,0
2010-02-25,1097.35,1109.1,1088.1,1106.15,3321,0,0
2010-02-26,1106.15,1118.8,1104.1,1116.6,1896,0,0
2010-03-01,1117.25,1123.35,1111.75,1118.6,2186,0,0
2010-03-02,1118.6,1137.5,1114.8,1134.4,2961,0,0
2010-03-03,1134.4,1144.85,1132.05,1139.6,2041,0,0
2010-03-04,1139.6,1141.45,1125.55,1131.9,2411,0,0
2010-03-05,1131.95,1140.45,1127.2,1131.45,2601,0,0
2010-03-08,1136.4,1137.5,1118.35,1123.3,2521,0,0
2010-03-09,1123.35,1124.35,1108.35,1121.55,3021,0,0
2010-03-10,1121.55,1127.85,1103.1,1108.1,3606,0,0
2010-03-11,1108.15,1111.53,1100.4,1109.2,2122,0,0
2010-03-12,1109.15,1119.1,1098.2,1102.25,3491,0,0
2010-03-15,1100.6,1108.7,1100.6,1108.1,871,0,0
2010-03-16,1108.15,1128.6,1108.0,1127.42,2194,0,0
2010-03-17,1127.42,1133.2,1118.25,1120.1,2259,0,0
2010-03-18,1120.15,1129.25,1117.95,1127.05,1571,0,0
2010-03-19,1127.1,1127.1,1101.2,1105.65,3036,0,0
2010-03-22,1106.75,1108.55,1092.2,1101.85,2781,0,0
2010-03-23,1102.55,1107.85,1094.3,1104.85,2481,0,0
2010-03-24,1104.85,1105.2,1084.95,1086.4,2206,0,0
2010-03-25,1086.4,1095.6,1085.45,1090.15,1656,0,0
2010-03-26,1090.15,1109.55,1088.55,1108.6,2356,0,0
2010-03-29,1110.1,1114.55,1103.35,1109.45,2176,0,0
2010-03-30,1109.45,1113.2,1101.45,1103.35,1741,0,0
2010-03-31,1103.4,1117.95,1102.25,1112.85,2196,0,0
2010-04-01,1112.95,1127.9,1111.3,1126.5,1966,0,0
2010-04-02,1126.5,1126.75,1114.6,1125.0,2281,0,0
2010-04-05,1119.85,1133.25,1119.85,1131.6,1506,0,0
2010-04-06,1131.55,1138.5,1122.6,1133.95,2941,0,0
2010-04-07,1133.9,1153.1,1132.3,1149.05,2646,0,0
2010-04-08,1149.1,1153.6,1143.5,1150.25,1906,0,0
2010-04-09,1150.25,1164.65,1149.3,1160.35,2061,0,0
2010-04-12,1160.15,1169.4,1154.05,1156.05,2661,0,0
2010-04-13,1156.05,1157.05,1144.8,1150.35,1881,0,0
2010-04-14,1150.4,1161.9,1150.15,1155.05,1886,0,0
2010-04-15,1155.0,1161.35,1149.8,1158.95,1916,0,0
2010-04-16,1158.9,1160.2,1129.85,1136.25,3806,0,0
2010-04-19,1135.4,1137.9,1123.75,1135.5,2821,0,0
2010-04-20,1135.98,1145.93,1133.43,1140.53,2046,0,0
2010-04-21,1140.55,1150.5,1137.63,1146.45,1985,0,0
2010-04-22,1146.48,1149.28,1131.58,1141.38,3031,0,0
2010-04-23,1140.95,1156.98,1134.84,1155.9,2934,0,0
2010-04-26,1157.8,1159.86,1150.65,1153.53,1416,0,0
2010-04-27,1153.48,1172.6,1145.98,1167.76,3897,0,0
2010-04-28,1167.71,1174.38,1160.45,1165.55,2571,0,0
2010-04-29,1165.58,1171.13,1161.9,1166.68,1737,0,0
2010-04-30,1166.73,1181.63,1166.48,1178.25,1879,0,0
2010-05-03,1176.85,1187.63,1176.0,1182.13,1799,0,0
2010-05-04,1182.22,1192.13,1166.6,1170.98,3983,0,0
2010-05-05,1171.03,1176.58,1156.35,1174.95,3655,0,0
2010-05-06,1174.93,1211.53,1172.43,1208.18,4496,0,0
2010-05-07,1207.98,1213.77,1192.6,1207.78,4215,0,0
2010-05-10,1195.85,1205.65,1183.88,1202.65,3675,0,0
2010-05-11,1202.8,1234.3,1200.94,1232.48,3705,0,0
2010-05-12,1232.43,1248.43,1226.66,1238.65,3733,0,0
2010-05-13,1238.67,1242.95,1227.15,1232.53,2547,0,0
2010-05-14,1232.55,1249.28,1217.6,1230.03,6085,0,0
2010-05-17,1230.65,1242.28,1219.08,1222.28,3804,0,0
2010-05-18,1222.33,1229.13,1206.68,1224.85,4239,0,0
2010-05-19,1224.86,1227.65,1186.6,1193.51,5076,0,0
2010-05-20,1193.55,1197.95,1174.98,1182.15,3455,0,0
2010-05-21,1182.26,1187.63,1166.05,1177.06,3797,0,0
2010-05-24,1181.5,1196.75,1179.3,1191.45,2496,0,0
2010-05-25,1191.48,1204.1,1185.2,1204.0,2529,0,0
2010-05-26,1204.05,1216.5,1200.7,1211.5,2416,0,0
2010-05-27,1211.55,1218.28,1205.7,1212.4,2432,0,0
2010-05-28,1212.05,1215.3,1202.0,1214.45,2421,0,0
2010-05-31,1213.95,1217.9,1209.7,1216.0,1436,0,0
2010-06-01,1216.05,1228.75,1214.43,1225.43,1927,0,0
2010-06-02,1225.44,1226.93,1213.51,1223.25,2466,0,0
2010-06-03,1223.4,1224.6,1200.73,1206.45,3080,0,0
2010-06-04,1206.47,1219.68,1196.75,1217.45,3489,0,0
2010-06-07,1218.65,1244.53,1210.45,1240.03,4679,0,0
2010-06-08,1240.08,1251.84,1233.3,1236.35,3336,0,0
2010-06-09,1236.38,1240.8,1221.43,1233.25,3562,0,0
2010-06-10,1233.2,1233.95,1214.63,1216.3,2175,0,0
2010-06-11,1216.33,1230.45,1216.08,1226.6,1848,0,0
2010-06-14,1230.4,1233.97,1216.2,1221.0,2615,0,0
2010-06-15,1221.05,1236.65,1219.7,1233.95,2101,0,0
2010-06-16,1233.9,1237.78,1226.85,1228.98,1695,0,0
2010-06-17,1229.0,1251.03,1228.9,1244.83,2844,0,0
2010-06-18,1244.75,1262.18,1241.58,1255.63,3033,0,0
2010-06-21,1259.05,1265.05,1230.6,1233.53,4339,0,0
2010-06-22,1233.55,1242.63,1231.55,1239.85,1587,0,0
2010-06-23,1239.8,1246.25,1224.6,1237.15,4066,0,0
2010-06-24,1237.2,1248.33,1227.63,1243.23,3538,0,0
2010-06-25,1243.2,1258.2,1240.95,1254.48,2323,0,0
2010-06-28,1253.95,1262.54,1235.55,1238.75,3879,0,0
2010-06-29,1238.8,1244.98,1227.15,1240.4,3407,0,0
2010-06-30,1240.38,1247.49,1234.55,1242.08,2419,0,0
2010-07-01,1242.13,1243.74,1196.38,1198.78,5138,0,0
2010-07-02,1198.8,1213.23,1198.25,1211.15,1762,0,0
2010-07-05,1211.6,1214.35,1205.81,1208.65,1414,0,0
2010-07-06,1208.45,1213.54,1189.15,1192.5,3284,0,0
2010-07-07,1192.48,1203.85,1184.79,1202.35,2826,0,0
2010-07-08,1202.4,1207.8,1187.3,1197.85,3646,0,0
2010-07-09,1197.9,1213.6,1194.33,1209.6,2685,0,0
2010-07-12,1211.45,1212.55,1196.2,1196.6,1786,0,0
2010-07-13,1196.68,1217.78,1196.0,1212.14,2811,0,0
2010-07-14,1212.16,1217.88,1202.5,1208.08,2669,0,0
2010-07-15,1208.13,1217.15,1203.63,1208.05,2697,0,0
2010-07-16,1208.03,1210.7,1185.98,1192.65,3407,0,0
2010-07-19,1193.6,1194.9,1177.38,1182.7,2415,0,0
2010-07-20,1182.68,1193.65,1175.55,1191.88,2701,0,0
2010-07-21,1191.85,1197.9,1183.28,1184.7,2210,0,0
2010-07-22,1184.65,1201.08,1181.03,1194.73,3003,0,0
2010-07-23,1194.78,1203.85,1183.99,1187.18,3213,0,0
2010-07-26,1187.6,1194.53,1179.7,1183.38,2545,0,0
2010-07-27,1183.33,1186.95,1158.0,1161.5,3608,0,0
2010-07-28,1161.4,1165.93,1156.85,1163.35,1622,0,0
2010-07-29,1163.28,1169.4,1159.33,1168.08,1535,0,0
2010-07-30,1168.05,1183.5,1165.73,1180.7,2290,0,0
2010-08-02,1180.25,1190.3,1174.38,1182.62,2948,0,0
2010-08-03,1182.67,1190.54,1179.32,1185.94,1918,0,0
2010-08-04,1185.92,1202.84,1185.62,1194.78,2559,0,0
2010-08-05,1194.81,1199.69,1189.8,1194.75,1973,0,0
2010-08-06,1194.72,1210.82,1192.3,1205.16,2661,0,0
2010-08-09,1204.1,1209.72,1198.9,1201.15,1870,0,0
2010-08-10,1201.12,1207.37,1190.57,1204.04,3069,0,0
2010-08-11,1204.07,1207.87,1192.3,1197.85,2493,0,0
2010-08-12,1197.87,1215.23,1197.25,1213.64,2020,0,0
2010-08-13,1213.55,1217.45,1210.55,1214.72,1264,0,0
2010-08-16,1214.7,1227.3,1213.85,1224.96,1665,0,0
2010-08-17,1225.02,1228.94,1222.4,1224.64,1271,0,0
2010-08-18,1224.61,1232.37,1217.35,1229.2,2546,0,0
2010-08-19,1229.23,1237.3,1227.7,1231.96,1648,0,0
2010-08-20,1231.94,1233.12,1221.95,1227.3,1771,0,0
2010-08-23,1226.7,1231.86,1221.74,1225.9,1945,0,0
2010-08-24,1225.8,1235.4,1210.12,1230.4,4597,0,0
