time,open,high,low,close,tick_volume
2012-08-12,2738.0,2779.0,2737.0,2776.0,5291
2012-08-19,2777.0,2801.0,2750.0,2775.0,16494
2012-08-26,2783.0,2795.0,2744.0,2771.0,15075
2012-09-02,2768.0,2835.0,2742.0,2823.0,15426
2012-09-09,2821.0,2864.0,2774.0,2856.0,16659
2012-09-16,2855.0,2876.0,2842.0,2859.0,11620
2012-09-23,2858.0,2862.0,2768.0,2796.0,17205
2012-09-30,2793.0,2846.0,2778.0,2810.0,18928
2012-10-07,2813.0,2813.0,2712.0,2718.0,19123
2012-10-14,2720.0,2784.0,2671.0,2671.0,18190
2012-10-21,2673.0,2700.0,2611.0,2667.0,24071
2012-10-28,2662.0,2700.0,2632.0,2648.0,13980
2012-11-04,2644.0,2697.0,2559.0,2586.0,24139
2012-11-11,2588.0,2600.0,2493.0,2536.0,25538
2012-11-18,2537.0,2639.0,2536.0,2639.0,13253
2012-11-25,2631.0,2691.0,2613.0,2679.0,17020
2012-12-02,2678.0,2699.0,2621.0,2635.0,19295
2012-12-09,2637.0,2696.0,2619.0,2628.0,15791
2012-12-16,2639.0,2715.0,2614.0,2664.0,17779
2012-12-23,2662.0,2666.0,2588.0,2590.0,9732
2012-12-30,2589.0,2750.0,2584.0,2716.0,11744
2013-01-06,2720.0,2749.0,2703.0,2748.0,13965
2013-01-13,2747.0,2756.0,2709.0,2739.0,14078
2013-01-20,2738.0,2773.0,2713.0,2733.0,12556
2013-01-27,2732.0,2768.0,2720.0,2761.0,13090
2013-02-03,2759.0,2780.0,2713.0,2775.0,13632
2013-02-10,2776.0,2784.0,2754.0,2763.0,10219
2013-02-17,2759.0,2786.0,2699.0,2735.0,44054
2013-02-24,2737.0,2764.0,2688.0,2747.0,71647
2013-03-03,2748.0,2813.0,2732.0,2800.0,47859
2013-03-10,2800.0,2813.0,2785.0,2791.0,34029
2013-03-17,2791.0,2805.0,2747.0,2795.0,56127
2013-03-24,2796.0,2814.0,2770.0,2812.0,40707
2013-03-31,2813.0,2823.0,2737.0,2764.0,54044
2013-04-07,2764.0,2858.0,2756.0,2847.0,49615
2013-04-14,2845.0,2850.0,2723.0,2771.0,77494
2013-04-21,2771.0,2854.0,2770.0,2833.0,66827
2013-04-28,2833.0,2947.0,2827.0,2937.0,49699
2013-05-05,2937.0,2978.0,2935.0,2976.0,45295
2013-05-12,2969.0,3028.0,2960.0,3024.0,50739
2013-05-19,3020.0,3053.0,2960.0,2992.0,72075
2013-05-26,2991.0,3037.0,2976.0,2976.0,61294
2013-06-02,2980.0,3007.0,2909.0,2984.0,91075
2013-06-09,2980.0,3003.0,2897.0,2941.0,79543
2013-06-16,2940.0,3003.0,2846.0,2864.0,102544
2013-06-23,2865.0,2920.0,2817.0,2900.0,84096
2013-06-30,2905.0,2971.0,2893.0,2962.0,61213
2013-07-07,2960.0,3070.0,2948.0,3064.0,60727
2013-07-14,3063.0,3086.0,3030.0,3043.0,49311
2013-07-21,3045.0,3073.0,3022.0,3072.0,49059
2013-07-28,3070.0,3137.0,3056.0,3136.0,51619
2013-08-04,3135.0,3140.0,3090.0,3115.0,45048
2013-08-11,3113.0,3148.0,3066.0,3068.0,43023
2013-08-18,3065.0,3125.0,3053.0,3120.0,42170
2013-08-25,3118.0,3145.0,3051.0,3076.0,47003
2013-09-01,3087.0,3148.0,3074.0,3133.0,42661
2013-09-08,3130.0,3187.0,3130.0,3179.0,40571
2013-09-15,3198.0,3244.0,3161.0,3218.0,37095
2013-09-22,3221.0,3235.0,3193.0,3221.0,39892
2013-09-29,3209.0,3249.0,3176.0,3233.0,48684
2013-10-06,3221.0,3230.0,3109.0,3227.0,53165
2013-10-13,3198.0,3346.0,3195.0,3344.0,50861
2013-10-20,3343.0,3391.0,3321.0,3374.0,46490
2013-10-27,3373.0,3400.0,3356.0,3366.0,45355
2013-11-03,3365.0,3396.0,3308.0,3358.0,46377
2013-11-10,3359.0,3420.0,3336.0,3416.0,41605
2013-11-17,3415.0,3424.0,3356.0,3419.0,44145
2013-11-24,3420.0,3494.0,3418.0,3489.0,24558
2013-12-01,3492.0,3509.0,3451.0,3505.0,39631
2013-12-08,3507.0,3523.0,3448.0,3456.0,37842
2013-12-15,3456.0,3535.0,3420.0,3529.0,36725
2013-12-22,3540.0,3585.0,3539.0,3568.0,17135
2013-12-29,3568.0,3586.0,3530.0,3530.0,19818
2014-01-05,3529.0,3575.0,3504.0,3559.0,37083
2014-01-12,3561.0,3608.0,3491.0,3584.0,37309
2014-01-19,3582.0,3634.0,3529.0,3529.0,40628
2014-01-26,3529.0,3543.0,3452.0,3515.0,73902
2014-02-02,3515.0,3557.0,3410.0,3557.0,121611
2014-02-09,3560.0,3666.0,3548.0,3659.0,79737
2014-02-16,3658.0,3685.0,3636.0,3663.0,66971
2014-02-23,3664.0,3720.0,3653.0,3697.0,80017
2014-03-02,3675.0,3739.0,3635.0,3703.0,89013
2014-03-09,3698.0,3724.0,3624.0,3626.0,90750
2014-03-16,3627.0,3711.0,3607.0,3638.0,82368
2014-03-23,3636.0,3655.0,3533.0,3562.0,116897
2014-03-30,3575.0,3667.0,3520.0,3537.0,95092
2014-04-06,3539.0,3598.0,3429.0,3442.0,140633
2014-04-13,3431.0,3540.0,3403.0,3522.0,116434
2014-04-20,3525.0,3617.0,3514.0,3529.0,92161
2014-04-27,3532.0,3604.0,3479.0,3578.0,108921
2014-05-04,3579.0,3602.0,3496.0,3548.0,107954
2014-05-11,3547.0,3622.0,3539.0,3581.0,93972
2014-05-18,3588.0,3675.0,3583.0,3673.0,61847
2014-05-25,3677.0,3738.0,3676.0,3729.0,50454
2014-06-01,3733.0,3797.0,3706.0,3796.0,65375
2014-06-08,3797.0,3805.0,3750.0,3775.0,54287
2014-06-15,3773.0,3809.0,3755.0,3791.0,59640
2014-06-22,3791.0,3835.0,3780.0,3830.0,64493
2014-06-29,3829.0,3916.0,3825.0,3911.0,39417
2014-07-06,3911.0,3914.0,3830.0,3896.0,75566
