time,open,high,low,close,tick_volume
2012-08-12,1405.4,1418.4,1403.6,1417.1,6987
2012-08-19,1417.6,1426.4,1397.1,1411.4,21326
2012-08-26,1413.1,1417.6,1397.1,1407.4,19698
2012-09-02,1405.1,1439.1,1396.4,1438.9,22076
2012-09-09,1437.6,1474.9,1422.4,1466.1,23594
2012-09-16,1465.9,1467.9,1450.4,1458.6,23254
2012-09-23,1457.9,1463.6,1430.9,1440.1,22132
2012-09-30,1438.6,1471.6,1433.6,1460.1,24433
2012-10-07,1461.4,1461.6,1424.9,1426.6,23699
2012-10-14,1427.8,1464.4,1421.4,1429.9,22675
2012-10-21,1430.4,1437.9,1397.1,1412.6,27887
2012-10-28,1410.6,1436.1,1397.9,1410.6,20901
2012-11-04,1407.8,1435.4,1367.4,1379.9,30727
2012-11-11,1380.9,1389.9,1342.1,1361.9,29006
2012-11-18,1362.4,1408.6,1362.1,1408.6,15458
2012-11-25,1403.8,1421.1,1384.9,1416.1,20390
2012-12-02,1415.3,1425.6,1398.6,1417.1,22918
2012-12-09,1418.4,1439.4,1411.4,1414.9,18439
2012-12-16,1421.1,1450.1,1387.8,1431.1,28554
2012-12-23,1427.1,1429.4,1389.9,1389.9,11443
2012-12-30,1391.9,1467.6,1389.5,1462.9,13689
2013-01-06,1464.9,1475.6,1450.9,1471.9,14091
2013-01-13,1471.3,1485.6,1461.8,1483.6,14766
2013-01-20,1483.1,1503.4,1479.9,1500.4,13597
2013-01-27,1500.6,1515.1,1495.9,1511.9,14451
2013-02-03,1511.6,1518.6,1495.1,1516.9,16765
2013-02-10,1517.1,1525.6,1511.9,1519.4,12015
2013-02-17,1515.5,1529.5,1494.8,1513.0,14435
2013-02-24,1514.8,1524.0,1481.5,1515.5,25339
2013-03-03,1514.5,1552.3,1506.8,1549.3,16553
2013-03-10,1549.5,1564.5,1545.3,1553.0,23223
2013-03-17,1543.0,1555.3,1529.3,1551.5,19840
2013-03-24,1552.0,1564.0,1539.0,1563.5,14443
2013-03-31,1562.5,1567.5,1533.0,1546.8,17780
2013-04-07,1546.8,1592.5,1542.8,1582.3,15655
2013-04-14,1582.0,1582.5,1530.5,1547.8,27891
2013-04-21,1548.0,1587.8,1542.5,1577.0,22093
2013-04-28,1575.8,1613.8,1573.5,1609.0,16843
2013-05-05,1607.8,1631.8,1607.0,1629.0,14239
2013-05-12,1625.3,1665.3,1621.3,1663.3,15896
2013-05-19,1662.3,1685.3,1632.5,1649.5,28704
2013-05-26,1649.8,1672.3,1626.3,1627.0,26336
2013-06-02,1629.5,1645.0,1596.3,1639.5,43904
2013-06-09,1636.0,1648.0,1597.3,1623.8,37131
2013-06-16,1624.3,1654.5,1570.3,1582.8,60757
2013-06-23,1582.8,1614.0,1553.0,1596.8,35910
2013-06-30,1600.5,1630.3,1593.0,1628.5,25708
2013-07-07,1628.0,1673.8,1625.8,1670.3,25498
2013-07-14,1669.8,1690.0,1665.5,1689.5,18489
2013-07-21,1690.5,1695.0,1670.3,1686.5,17227
2013-07-28,1686.0,1704.5,1676.3,1703.0,19457
2013-08-04,1702.5,1704.5,1680.3,1685.5,15407
2013-08-11,1684.8,1694.0,1649.5,1650.3,17332
2013-08-18,1650.5,1662.3,1631.3,1661.0,17056
2013-08-25,1660.3,1667.0,1624.8,1631.8,18256
2013-09-01,1639.3,1663.5,1630.5,1653.8,17077
2013-09-08,1652.0,1690.3,1652.0,1689.3,16238
2013-09-15,1700.5,1733.0,1694.5,1703.8,15442
2013-09-22,1705.3,1707.0,1679.8,1685.0,13331
2013-09-29,1674.5,1691.8,1663.0,1682.5,18604
2013-10-06,1675.5,1699.5,1639.8,1699.0,20240
2013-10-13,1683.8,1739.8,1680.5,1737.3,18141
2013-10-20,1737.0,1755.3,1734.3,1753.8,14064
2013-10-27,1753.3,1772.8,1747.0,1753.8,14296
2013-11-03,1753.3,1774.0,1736.3,1765.3,16646
2013-11-10,1766.3,1795.5,1754.0,1793.3,14392
2013-11-17,1793.5,1802.8,1774.3,1801.0,17448
2013-11-24,1801.3,1812.0,1798.3,1803.8,8525
2013-12-01,1806.0,1808.5,1777.5,1802.8,14833
2013-12-08,1806.5,1811.0,1771.5,1774.5,13015
2013-12-15,1774.3,1817.3,1760.8,1813.8,15909
2013-12-22,1817.0,1839.3,1816.5,1836.0,4694
2013-12-29,1835.8,1843.0,1820.3,1825.0,6032
2014-01-05,1823.5,1841.8,1817.3,1837.3,12818
2014-01-12,1838.0,1845.0,1809.3,1833.8,11401
2014-01-19,1834.0,1843.5,1781.0,1781.3,13871
2014-01-26,1781.0,1800.8,1761.0,1777.5,30543
2014-02-02,1777.8,1793.5,1731.8,1793.5,38816
2014-02-09,1793.3,1838.3,1786.0,1834.5,20828
2014-02-16,1833.3,1844.0,1817.0,1833.8,18820
2014-02-23,1835.5,1866.0,1829.0,1860.3,24530
2014-03-02,1845.0,1887.0,1832.0,1877.5,29994
2014-03-09,1874.8,1881.8,1838.8,1839.5,28166
2014-03-16,1839.8,1876.3,1830.3,1856.8,31378
2014-03-23,1855.3,1868.3,1833.8,1850.0,31332
2014-03-30,1855.8,1892.0,1854.8,1860.5,23394
2014-04-06,1860.8,1867.0,1807.0,1811.5,34788
2014-04-13,1806.3,1863.3,1803.0,1857.3,30250
2014-04-20,1859.0,1882.0,1852.8,1860.0,21130
2014-04-27,1861.3,1885.3,1843.8,1874.3,27204
2014-05-04,1874.5,1884.3,1854.3,1873.5,27932
2014-05-11,1874.3,1898.0,1858.8,1874.5,22554
2014-05-18,1876.0,1898.8,1864.5,1896.8,19810
2014-05-25,1897.3,1921.8,1896.8,1919.8,10830
2014-06-01,1921.0,1949.0,1913.3,1948.8,15585
2014-06-08,1949.0,1954.3,1924.5,1935.5,12014
2014-06-15,1935.0,1959.8,1926.3,1952.5,18875
2014-06-22,1952.3,1959.5,1936.0,1952.0,17135
2014-06-29,1951.3,1977.8,1947.8,1975.3,10511
2014-07-06,1975.5,1977.0,1945.0,1961.0,17617
2014-07-13,1962.3,1977.5,1942.3,1971.8,20537
2014-07-20,1970.0,1985.3,1958.8,1972.0,17304
2014-07-27,1970.8,1979.0,1910.0,1918.0,30214
2014-08-03,1919.8,1937.0,1890.3,1923.3,33547
2014-08-10,1923.5,1960.5,1923.3,1952.3,20717
2014-08-17,1958.3,1991.5,1956.5,1987.5,13682
2014-08-24,1987.8,2003.3,1987.3,1998.3,12279
2014-08-31,1998.5,2010.5,1988.0,2006.8,17877
2014-09-07,2005.3,2005.8,1979.3,1984.0,18193
2014-09-14,1969.8,2014.0,1969.8,2001.0,22805
2014-09-21,2001.8,2002.5,1956.3,1975.5,25835
2014-09-28,1974.3,1977.8,1918.0,1959.8,32948
2014-10-05,1960.0,1970.5,1893.0,1893.8,50265
2014-10-12,1891.5,1905.5,1812.8,1881.3,91749
2014-10-19,1885.0,1960.0,1872.0,1960.0,51506
2014-10-26,1959.8,2016.3,1944.3,2009.0,39286
2014-11-02,2010.5,2032.8,1995.0,2025.8,32743
2014-11-09,2024.8,2043.3,2020.8,2038.3,21864
2014-11-16,2037.5,2071.8,2025.0,2061.3,21041
2014-11-23,2061.5,2074.8,2060.5,2066.3,12945
2014-11-30,2062.8,2078.5,2048.0,2076.0,23563
2014-12-07,2075.5,2077.0,1998.0,1998.2,34663
2014-12-14,1998.4,2079.8,1968.6,2068.8,61273
