time,open,high,low,close,tick_volume
2012-01-26,5754.0,5806.0,5736.0,5770.0,7996
2012-01-27,5759.0,5792.0,5721.0,5733.0,8878
2012-01-30,5696.0,5709.0,5649.0,5678.0,6689
2012-01-31,5708.0,5729.0,5677.0,5702.0,7980
2012-02-01,5708.0,5799.0,5704.0,5776.0,7502
2012-02-02,5795.0,5807.0,5762.0,5794.0,6645
2012-02-03,5785.0,5917.0,5781.0,5914.0,7397
2012-02-06,5885.0,5894.0,5859.0,5891.0,5877
2012-02-07,5890.0,5901.0,5848.0,5883.0,6311
2012-02-08,5902.0,5913.0,5868.0,5900.0,5887
2012-02-09,5885.0,5916.0,5868.0,5907.0,8103
2012-02-10,5865.0,5886.0,5837.0,5857.0,6674
2012-02-13,5887.0,5920.0,5887.0,5911.0,5398
2012-02-14,5889.0,5919.0,5875.0,5905.0,6166
2012-02-15,5933.0,5941.0,5855.0,5858.0,7922
2012-02-16,5849.0,5914.0,5829.0,5908.0,7977
2012-02-17,5916.0,5926.0,5897.0,5922.0,5159
2012-02-20,5940.0,5956.0,5930.0,5943.0,3833
2012-02-21,5939.0,5948.0,5907.0,5914.0,6048
2012-02-22,5933.0,5935.0,5893.0,5912.0,5812
2012-02-23,5910.0,5953.0,5898.0,5945.0,6859
2012-02-24,5957.0,5964.0,5921.0,5922.0,5116
2012-02-27,5912.0,5921.0,5864.0,5911.0,5937
2012-02-28,5924.0,5935.0,5897.0,5932.0,6137
2012-02-29,5929.0,5946.0,5861.0,5874.0,8297
2012-03-01,5859.0,5943.0,5857.0,5939.0,7918
2012-03-02,5929.0,5939.0,5891.0,5908.0,5093
2012-03-05,5885.0,5909.0,5863.0,5883.0,5931
2012-03-06,5853.0,5860.0,5736.0,5747.0,7746
2012-03-07,5758.0,5801.0,5756.0,5791.0,5840
2012-03-08,5816.0,5875.0,5812.0,5861.0,6277
2012-03-09,5853.0,5899.0,5842.0,5886.0,6837
2012-03-12,5874.0,5905.0,5860.0,5897.0,4910
2012-03-13,5921.0,5997.0,5914.0,5997.0,5698
2012-03-14,5978.0,5989.0,5931.0,5944.0,5869
2012-03-15,5942.0,5959.0,5919.0,5947.0,6116
2012-03-16,5945.0,5974.0,5942.0,5967.0,5502
2012-03-19,5955.0,5970.0,5926.0,5955.0,4343
2012-03-20,5934.0,5939.0,5874.0,5893.0,4677
2012-03-21,5906.0,5921.0,5879.0,5881.0,4614
2012-03-22,5873.0,5881.0,5823.0,5847.0,6089
2012-03-23,5853.0,5876.0,5799.0,5864.0,5413
2012-03-26,5871.0,5913.0,5853.0,5910.0,4896
2012-03-27,5918.0,5941.0,5854.0,5857.0,4254
