time,open,high,low,close,tick_volume
2012-01-22,5754.0,5806.0,5721.0,5733.0,16874
2012-01-29,5696.0,5917.0,5649.0,5914.0,36213
2012-02-05,5885.0,5916.0,5837.0,5857.0,32852
2012-02-12,5887.0,5941.0,5829.0,5922.0,32622
2012-02-19,5940.0,5964.0,5893.0,5922.0,27668
2012-02-26,5912.0,5946.0,5857.0,5908.0,33382
2012-03-04,5885.0,5909.0,5736.0,5886.0,32631
2012-03-11,5874.0,5997.0,5860.0,5967.0,28095
2012-03-18,5955.0,5970.0,5799.0,5864.0,25136
2012-03-25,5871.0,5941.0,5723.0,5771.0,26914
2012-04-01,5781.0,5902.0,5660.0,5716.0,26680
2012-04-08,5668.0,5728.0,5541.0,5643.0,31006
2012-04-15,5652.0,5792.0,5641.0,5760.0,41453
2012-04-22,5736.0,5789.0,5637.0,5780.0,33854
2012-04-29,5787.0,5820.0,5637.0,5649.0,30524
2012-05-06,5654.0,5667.0,5462.0,5532.0,38054
2012-05-13,5529.0,5529.0,5225.0,5232.0,48180
2012-05-20,5261.0,5408.0,5247.0,5334.0,45253
2012-05-27,5406.0,5413.0,5228.0,5253.0,47494
2012-06-03,5296.0,5496.0,5296.0,5456.0,27534
2012-06-10,5530.0,5537.0,5400.0,5503.0,46782
2012-06-17,5547.0,5644.0,5458.0,5533.0,43864
2012-06-24,5499.0,5620.0,5433.0,5591.0,38381
2012-07-01,5574.0,5726.0,5570.0,5678.0,32582
2012-07-08,5667.0,5687.0,5585.0,5675.0,33142
2012-07-15,5654.0,5728.0,5619.0,5645.0,28886
2012-07-22,5600.0,5670.0,5453.0,5654.0,49210
2012-07-29,5626.0,5794.0,5619.0,5775.0,51235
2012-08-05,5817.0,5874.0,5784.0,5836.0,43056
2012-08-12,5863.0,5877.0,5811.0,5842.0,44886
2012-08-19,5858.0,5874.0,5752.0,5768.0,44923
2012-08-26,5772.0,5784.0,5702.0,5715.0,42753
2012-09-02,5718.0,5786.0,5634.0,5776.0,44728
2012-09-09,5793.0,5900.0,5753.0,5882.0,47580
2012-09-16,5895.0,5912.0,5823.0,5876.0,45249
2012-09-23,5839.0,5869.0,5749.0,5803.0,46973
2012-09-30,5732.0,5853.0,5722.0,5847.0,51994
2012-10-07,5837.0,5860.0,5754.0,5783.0,49636
2012-10-14,5771.0,5929.0,5768.0,5901.0,48735
2012-10-21,5861.0,5910.0,5773.0,5788.0,56221
2012-10-28,5797.0,5867.0,5762.0,5855.0,46831
2012-11-04,5831.0,5922.0,5753.0,5768.0,57767
2012-11-11,5760.0,5794.0,5655.0,5668.0,60170
2012-11-18,5655.0,5798.0,5644.0,5787.0,42548
2012-11-25,5810.0,5903.0,5753.0,5883.0,49343
2012-12-02,5873.0,5924.0,5847.0,5908.0,50458
2012-12-09,5918.0,5962.0,5891.0,5930.0,44039
2012-12-16,5935.0,5980.0,5880.0,5975.0,78350
2012-12-23,5945.0,5988.0,5924.0,5973.0,37725
2012-12-30,5859.0,6054.0,5858.0,6038.0,62202
2013-01-06,6093.0,6126.0,6049.0,6123.0,83513
2013-01-13,6121.0,6144.0,6075.0,6127.0,87976
2013-01-20,6168.0,6272.0,6148.0,6244.0,81294
2013-01-27,6284.0,6354.0,6276.0,6289.0,84531
2013-02-03,6349.0,6354.0,6215.0,6245.0,166904
2013-02-10,6256.0,6386.0,6252.0,6333.0,137343
2013-02-17,6313.0,6413.0,6276.0,6303.0,145843
2013-02-24,6363.0,6390.0,6234.0,6346.0,240955
2013-03-03,6376.0,6461.0,6332.0,6445.0,173931
2013-03-10,6479.0,6535.0,6436.0,6531.0,124299
2013-03-17,6432.0,6478.0,6342.0,6367.0,174380
2013-03-24,6392.0,6456.0,6341.0,6362.0,153708
2013-03-31,6417.0,6500.0,6334.0,6354.0,171888
2013-04-07,6279.0,6420.0,6258.0,6395.0,173456
2013-04-14,6398.0,6405.0,6212.0,6242.0,241703
2013-04-21,6293.0,6452.0,6256.0,6419.0,202183
2013-04-28,6420.0,6542.0,6407.0,6529.0,75617
2013-05-05,6528.0,6639.0,6514.0,6634.0,65476
2013-05-12,6621.0,6751.0,6602.0,6742.0,81103
2013-05-19,6744.0,6877.0,6637.0,6684.0,108312
2013-05-26,6685.0,6791.0,6534.0,6540.0,103437
2013-06-02,6543.0,6579.0,6284.0,6402.0,142791
2013-06-09,6395.0,6422.0,6198.0,6281.0,144765
2013-06-16,6283.0,6399.0,6099.0,6129.0,144817
2013-06-23,6128.0,6273.0,6002.0,6211.0,139210
2013-06-30,6219.0,6499.0,6181.0,6434.0,121732
2013-07-07,6435.0,6649.0,6410.0,6547.0,110025
2013-07-14,6547.0,6659.0,6516.0,6625.0,106263
2013-07-21,6627.0,6663.0,6532.0,6585.0,102983
2013-07-28,6583.0,6714.0,6541.0,6657.0,105437
