time,open,high,low,close,tick_volume
2012-08-05,13163.0,13211.0,13092.0,13211.0,11550
2012-08-12,13198.0,13278.0,13108.0,13267.0,54697
2012-08-19,13273.0,13330.0,13024.0,13164.0,60208
2012-08-26,13177.0,13198.0,12974.0,13092.0,57161
2012-09-02,13065.0,13326.0,12972.0,13299.0,60541
2012-09-09,13292.0,13650.0,13198.0,13587.0,62592
2012-09-16,13586.0,13656.0,13498.0,13572.0,46062
2012-09-23,13563.0,13619.0,13363.0,13436.0,63985
2012-09-30,13423.0,13665.0,13386.0,13601.0,70633
2012-10-07,13611.0,13611.0,13291.0,13313.0,66189
2012-10-14,13326.0,13588.0,13274.0,13317.0,64814
2012-10-21,13321.0,13373.0,13000.0,13114.0,82314
2012-10-28,13102.0,13288.0,12989.0,13056.0,57222
2012-11-04,13040.0,13298.0,12716.0,12812.0,85928
2012-11-11,12820.0,12898.0,12466.0,12602.0,88601
2012-11-18,12605.0,13004.0,12604.0,13004.0,49779
2012-11-25,12964.0,13071.0,12764.0,13025.0,65404
2012-12-02,13018.0,13154.0,12920.0,13145.0,69129
2012-12-09,13157.0,13327.0,13105.0,13149.0,56653
2012-12-16,13199.0,13376.0,13016.0,13198.0,57085
2012-12-23,13180.0,13193.0,12851.0,12851.0,33831
2012-12-30,12850.0,13444.0,12836.0,13414.0,41968
2013-01-06,13430.0,13495.0,13292.0,13493.0,51517
2013-01-13,13489.0,13642.0,13441.0,13631.0,50523
2013-01-20,13626.0,13885.0,13588.0,13866.0,45152
2013-01-27,13868.0,14018.0,13855.0,13990.0,46100
2013-02-03,13991.0,14023.0,13855.0,13979.0,51829
2013-02-10,13984.0,14034.0,13901.0,13974.0,35682
2013-02-17,13936.0,14033.0,13810.0,13970.0,64651
2013-02-24,13984.0,14131.0,13744.0,14068.0,106189
2013-03-03,14056.0,14409.0,14001.0,14374.0,72839
2013-03-10,14369.0,14551.0,14351.0,14440.0,46551
2013-03-17,14351.0,14472.0,14268.0,14459.0,75302
2013-03-24,14459.0,14515.0,14319.0,14508.0,58722
2013-03-31,14504.0,14608.0,14360.0,14489.0,72224
2013-04-07,14488.0,14821.0,14431.0,14783.0,67609
2013-04-14,14786.0,14795.0,14402.0,14475.0,110958
2013-04-21,14475.0,14709.0,14393.0,14653.0,86554
2013-04-28,14652.0,14951.0,14625.0,14902.0,67248
2013-05-05,14903.0,15109.0,14875.0,15064.0,60511
2013-05-12,15063.0,15332.0,15011.0,15316.0,68780
2013-05-19,15301.0,15521.0,15142.0,15300.0,106470
2013-05-26,15299.0,15506.0,15103.0,15103.0,89168
2013-06-02,15102.0,15295.0,14834.0,15219.0,143252
2013-06-09,15217.0,15291.0,14872.0,15054.0,124901
2013-06-16,15055.0,15347.0,14608.0,14705.0,122776
2013-06-23,14714.0,15000.0,14473.0,14818.0,134691
2013-06-30,14843.0,15110.0,14749.0,15083.0,100560
2013-07-07,15075.0,15431.0,15062.0,15370.0,102123
2013-07-14,15369.0,15531.0,15343.0,15503.0,81234
2013-07-21,15509.0,15562.0,15342.0,15499.0,78534
2013-07-28,15490.0,15597.0,15418.0,15586.0,85790
2013-08-04,15577.0,15595.0,15304.0,15370.0,66941
2013-08-11,15366.0,15473.0,15027.0,15037.0,89970
2013-08-18,15040.0,15077.0,14801.0,14988.0,102633
2013-08-25,14981.0,15031.0,14739.0,14803.0,107187
2013-09-01,14858.0,15000.0,14760.0,14911.0,96985
2013-09-08,14903.0,15394.0,14903.0,15392.0,83530
2013-09-15,15472.0,15727.0,15395.0,15418.0,74779
2013-09-22,15432.0,15453.0,15133.0,15190.0,92464
2013-09-29,15093.0,15138.0,14868.0,14989.0,115158
2013-10-06,14923.0,15187.0,14646.0,15185.0,110968
2013-10-13,15067.0,15350.0,15036.0,15319.0,100328
2013-10-20,15321.0,15512.0,15296.0,15498.0,84107
2013-10-27,15495.0,15674.0,15467.0,15539.0,85092
2013-11-03,15536.0,15777.0,15455.0,15699.0,90599
2013-11-10,15708.0,15928.0,15611.0,15914.0,72996
2013-11-17,15912.0,16041.0,15833.0,16031.0,85425
2013-11-24,16036.0,16160.0,16027.0,16082.0,40652
2013-12-01,16095.0,16112.0,15783.0,15988.0,74583
2013-12-08,16027.0,16053.0,15701.0,15759.0,68440
2013-12-15,15750.0,16223.0,15663.0,16176.0,71904
2013-12-22,16209.0,16463.0,16204.0,16419.0,21568
2013-12-29,16413.0,16506.0,16335.0,16405.0,29354
2014-01-05,16395.0,16494.0,16312.0,16379.0,61662
2014-01-12,16384.0,16442.0,16178.0,16395.0,59814
2014-01-19,16397.0,16487.0,15805.0,15808.0,67819
2014-01-26,15801.0,15981.0,15548.0,15649.0,126124
2014-02-02,15645.0,15741.0,15273.0,15739.0,121466
2014-02-09,15741.0,16145.0,15673.0,16125.0,76902
2014-02-16,16119.0,16198.0,15946.0,16088.0,66243
2014-02-23,16097.0,16385.0,16038.0,16326.0,81292
2014-03-02,16201.0,16504.0,16056.0,16445.0,93440
2014-03-09,16423.0,16457.0,16044.0,16059.0,87792
2014-03-16,16055.0,16375.0,15977.0,16220.0,73910
2014-03-23,16209.0,16389.0,16110.0,16238.0,101503
2014-03-30,16289.0,16572.0,16278.0,16355.0,77971
2014-04-06,16351.0,16382.0,15937.0,15978.0,107379
2014-04-13,15935.0,16382.0,15910.0,16335.0,88611
2014-04-20,16348.0,16510.0,16262.0,16320.0,69744
2014-04-27,16332.0,16547.0,16240.0,16445.0,80261
