time,open,high,low,close,tick_volume
2022-12-01,105.52,105.818,104.51,104.608,41877
2022-12-02,104.765,105.523,104.283,104.395,37307
2022-12-05,104.405,105.318,104.02,105.193,36007
2022-12-06,105.035,105.538,104.803,105.485,33246
2022-12-07,105.533,105.755,104.778,105.12,34656
2022-12-08,105.193,105.368,104.638,104.745,29141
2022-12-09,104.705,105.15,104.403,104.868,31596
2022-12-12,104.825,105.188,104.6,104.938,28399
2022-12-13,104.9,105.043,103.485,103.938,36708
2022-12-14,103.93,104.115,103.353,103.538,37657
2022-12-15,103.2,104.453,102.97,104.13,37086
2024-01-02,101.03,101.89,100.98,101.89,5816
2024-01-03,101.81,102.38,101.72,102.13,6739
2024-01-04,102.12,102.2,101.82,102.1,5884
2024-01-05,102.08,102.79,101.57,102.11,7621
2024-01-08,102.07,102.3,101.74,101.97,5807
2024-01-09,101.9,102.34,101.79,102.19,5626
2024-01-10,102.2,102.32,102.02,102.04,4811
2024-01-11,101.98,102.47,101.68,102.03,7374
2024-01-12,101.98,102.28,101.77,102.04,5993
2024-01-15,102.16,102.37,102.01,102.27,3949
2024-01-16,102.53,103.13,102.45,103.04,6765
2024-01-17,103.04,103.4,102.98,103.1,6251
2024-01-18,103.01,103.36,102.88,103.14,5945
2024-01-19,103.11,103.28,102.98,102.99,5266
2024-01-22,102.98,103.11,102.86,103.09,4871
2024-01-23,103.08,103.56,102.73,103.32,5296
2024-01-24,103.26,103.3,102.51,103.0,5851
2024-01-25,103.13,103.44,102.87,103.24,6128
2024-01-26,103.29,103.5,102.89,103.24,5188
2024-01-29,103.25,103.59,103.17,103.23,4685
2024-01-30,103.16,103.39,103.08,103.17,4960
2024-01-31,103.19,103.52,102.71,103.29,8524
2024-02-01,103.34,103.61,102.8,102.85,6550
2024-02-02,102.84,103.85,102.69,103.72,5839
2024-02-05,103.83,104.42,103.79,104.27,5760
2024-02-06,104.25,104.41,103.94,103.97,5024
2024-02-07,103.95,103.98,103.76,103.88,4994
2024-02-08,103.84,104.26,103.79,103.97,4429
2024-02-09,104.02,104.09,103.78,103.9,4448
2024-02-12,103.93,104.11,103.72,103.95,3981
2024-02-13,103.97,104.81,103.76,104.72,5164
2024-02-14,104.71,104.83,104.5,104.5,4606
2024-02-15,104.51,104.58,104.04,104.13,4570
2024-02-16,104.23,104.54,104.02,104.1,4390
2024-02-19,104.14,104.23,104.0,104.1,3059
2024-02-20,104.21,104.28,103.65,103.92,4450
2024-02-21,103.92,104.08,103.81,103.89,4400
2024-02-22,103.8,104.01,103.15,103.83,5129
2024-02-23,103.83,103.93,103.65,103.86,4267
2024-02-26,103.78,103.9,103.59,103.65,4008
2024-02-27,103.68,103.81,103.49,103.7,3912
2024-02-28,103.7,104.13,103.7,103.82,4305
2024-02-29,103.84,104.1,103.55,104.03,5425
2024-03-01,104.01,104.2,103.74,103.79,4910
2024-03-04,103.76,103.87,103.63,103.74,4171
2024-03-05,103.75,103.85,103.48,103.69,4609
2024-03-06,103.75,103.8,103.11,103.28,4850
2024-03-07,103.21,103.28,102.72,102.73,5367
2024-03-08,102.67,102.82,102.25,102.66,5928
2024-03-11,102.63,102.87,102.56,102.78,4486
