time,open,high,low,close,tick_volume
2022-11-27,105.52,105.818,104.283,104.395,79184
2022-12-04,104.405,105.755,104.02,104.868,164646
2022-12-11,104.825,105.188,102.97,104.13,139850
2023-12-31,101.03,102.79,100.98,102.11,26060
2024-01-07,102.07,102.47,101.68,102.04,29611
2024-01-14,102.16,103.4,102.01,102.99,28176
2024-01-21,102.98,103.56,102.51,103.24,27334
2024-01-28,103.25,103.85,102.69,103.72,30558
2024-02-04,103.83,104.42,103.76,103.9,24655
2024-02-11,103.93,104.83,103.72,104.1,22711
2024-02-18,104.14,104.28,103.15,103.86,21305
2024-02-25,103.78,104.2,103.49,103.79,22560
2024-03-03,103.76,103.87,102.25,102.66,24925
2024-03-10,102.63,103.34,102.56,103.028,27944
2024-03-17,103.008,104.158,102.788,104.065,54981
2024-03-24,104.085,104.408,103.663,104.173,36570
2024-03-31,104.22,104.798,103.633,104.028,48559
2024-04-07,104.023,105.858,103.6,105.75,62946
2024-04-14,105.74,106.278,105.528,105.83,77550
2024-04-21,105.84,106.188,105.228,105.88,63452
2024-04-28,105.85,106.33,104.363,104.913,79076
2024-05-05,104.86,105.593,104.698,105.138,52525
2024-05-12,105.128,105.333,103.918,104.3,52323
2024-05-19,104.35,105.003,104.243,104.605,49213
2024-05-26,104.608,105.088,104.208,104.53,50229
2024-06-02,104.528,104.873,103.748,104.745,57397
2024-06-09,105.083,105.388,104.188,105.1,60056
2024-06-16,105.128,105.513,104.688,105.435,52455
2024-06-23,105.44,105.753,104.973,105.473,51923
2024-06-30,105.33,105.698,104.45,104.495,51066
2024-07-07,104.625,104.848,103.68,103.703,53367
2024-07-14,103.848,104.153,103.298,104.005,55059
2024-07-21,103.96,104.24,103.78,104.01,67402
2024-07-28,103.985,104.51,102.86,102.95,85923
2024-08-04,102.865,103.31,101.915,102.925,127761
2024-08-11,102.885,103.08,102.05,102.185,57827
2024-08-18,102.165,102.28,100.44,100.505,68150
2024-08-25,100.525,101.665,100.335,101.615,69833
2024-09-01,101.585,101.81,100.475,101.095,81042
2024-09-08,101.09,101.78,100.485,100.725,79897
2024-09-15,100.735,101.13,99.835,100.405,89052
2024-09-22,100.44,100.895,99.82,100.095,86899
2024-09-29,100.09,102.4,99.855,102.185,93139
2024-10-06,102.21,102.92,102.005,102.67,74290
2024-10-13,102.655,103.645,102.655,103.245,56539
2024-10-20,103.225,104.36,103.195,104.145,53821
