time,open,high,low,close,tick_volume
2024-11-08 00:00:00,196.35,200.98,194.15,198.35,12760
2024-11-08 04:00:00,198.34,200.21,195.71,199.18,8607
2024-11-08 08:00:00,199.24,202.89,197.43,202.35,9804
2024-11-08 12:00:00,202.33,205.05,201.1,204.61,11425
2024-11-08 16:00:00,204.63,205.05,196.26,199.12,18039
2024-11-08 20:00:00,199.12,202.13,197.12,198.87,11704
2024-11-09 00:00:00,198.78,200.13,197.63,199.36,7389
2024-11-09 04:00:00,199.33,201.7,197.23,200.69,7195
2024-11-09 08:00:00,200.68,202.54,199.53,201.58,7482
2024-11-09 12:00:00,201.59,203.39,199.34,199.53,6058
2024-11-09 16:00:00,199.52,199.54,194.91,197.98,8748
2024-11-09 20:00:00,197.97,199.54,196.84,198.46,6467
2024-11-10 00:00:00,198.28,201.9,198.1,200.08,10886
2024-11-10 04:00:00,200.07,208.98,199.98,206.76,15907
2024-11-10 08:00:00,206.77,207.14,204.09,204.96,5349
2024-11-10 12:00:00,205.29,207.52,203.5,206.33,12060
2024-11-10 16:00:00,206.31,215.19,204.35,212.92,19009
2024-11-10 20:00:00,212.9,214.96,198.79,207.9,18487
2024-11-11 00:00:00,207.05,212.58,206.39,210.48,17705
2024-11-11 04:00:00,210.48,211.67,204.17,206.16,15080
2024-11-11 08:00:00,206.14,211.21,205.05,211.08,15279
2024-11-11 12:00:00,211.08,219.42,210.95,217.03,18452
2024-11-11 16:00:00,217.02,222.16,216.39,219.27,24852
2024-11-11 20:00:00,219.24,223.26,216.37,219.15,20456
2024-11-12 00:00:00,219.04,224.13,215.14,219.12,23025
2024-11-12 04:00:00,219.1,221.66,215.64,217.83,17992
2024-11-12 08:00:00,217.82,225.26,215.81,215.81,18390
2024-11-12 12:00:00,215.83,217.55,204.76,209.61,29861
2024-11-12 16:00:00,209.56,213.66,206.61,209.72,25830
2024-11-12 20:00:00,209.73,215.55,209.73,212.79,17973
2024-11-13 00:00:00,212.82,215.46,207.98,210.55,19951
2024-11-13 04:00:00,210.53,210.88,200.92,204.72,20440
2024-11-13 08:00:00,204.72,208.09,201.66,206.41,20284
2024-11-13 12:00:00,206.41,215.53,205.78,212.76,19597
2024-11-13 16:00:00,212.76,220.72,210.09,219.18,30572
2024-11-13 20:00:00,219.22,220.38,205.97,210.43,27642
2024-11-14 00:00:00,210.04,216.15,209.43,216.09,16762
2024-11-14 04:00:00,216.08,220.25,212.78,218.89,16437
2024-11-14 08:00:00,218.89,222.4,215.06,221.66,17403
2024-11-14 12:00:00,221.65,222.05,213.5,214.24,19578
2024-11-14 16:00:00,214.24,217.87,208.98,215.35,23375
2024-11-14 20:00:00,215.34,216.74,211.96,214.46,14670
2024-11-15 00:00:00,214.39,214.67,206.66,209.87,21067
2024-11-15 04:00:00,209.88,210.61,204.43,208.42,16240
2024-11-15 08:00:00,208.41,213.35,207.8,212.96,12985
2024-11-15 12:00:00,212.98,214.97,212.11,214.63,12775
2024-11-15 16:00:00,214.63,215.2,206.59,210.65,21892
2024-11-15 20:00:00,210.66,219.36,208.88,218.75,16486
2024-11-16 00:00:00,218.75,220.39,215.85,218.42,10012
2024-11-16 04:00:00,218.43,221.82,218.1,220.85,8635
2024-11-16 08:00:00,220.83,220.88,217.4,217.49,8518
2024-11-16 12:00:00,217.49,221.71,216.17,217.78,14167
2024-11-16 16:00:00,217.73,219.07,213.31,215.46,13888
2024-11-16 20:00:00,215.51,217.03,214.71,216.96,7972
2024-11-17 00:00:00,216.98,219.42,213.99,216.07,12150
2024-11-17 04:00:00,216.08,239.24,212.04,236.43,26213
2024-11-17 08:00:00,236.42,239.51,235.28,236.77,9433
2024-11-17 12:00:00,237.95,241.54,229.37,231.33,19132
2024-11-17 16:00:00,231.3,235.05,230.89,233.76,15786
2024-11-17 20:00:00,233.75,237.14,231.12,234.07,15838
2024-11-18 00:00:00,232.9,239.69,231.48,237.45,18690
2024-11-18 04:00:00,237.45,245.09,237.14,243.0,14565
2024-11-18 08:00:00,243.0,245.38,238.88,244.58,14617
2024-11-18 12:00:00,244.54,248.31,238.01,238.55,20231
2024-11-18 16:00:00,238.56,244.92,237.37,239.78,21329
2024-11-18 20:00:00,239.79,241.69,234.27,238.39,18043
2024-11-19 00:00:00,238.42,240.91,237.54,238.65,12483
2024-11-19 04:00:00,238.63,243.35,238.33,240.97,9984
2024-11-19 08:00:00,240.94,246.12,240.66,244.89,10859
2024-11-19 12:00:00,244.85,247.53,239.87,239.98,13460
2024-11-19 16:00:00,239.99,243.29,238.04,243.07,16144
2024-11-19 20:00:00,243.08,244.7,234.58,236.99,16653
2024-11-20 00:00:00,236.63,238.12,233.66,235.04,12514
2024-11-20 04:00:00,235.06,235.27,230.6,235.09,12139
2024-11-20 08:00:00,235.07,238.85,234.08,237.62,9554
2024-11-20 12:00:00,237.63,238.85,234.95,238.58,13237
2024-11-20 16:00:00,238.61,242.54,231.9,231.9,22498
2024-11-20 20:00:00,231.9,238.13,231.06,236.78,16372
2024-11-21 00:00:00,236.65,238.83,234.91,236.47,9043
2024-11-21 04:00:00,236.46,241.98,229.55,239.09,19618
2024-11-21 08:00:00,239.11,243.41,236.8,241.72,11763
2024-11-21 12:00:00,241.73,248.43,239.79,245.19,18191
2024-11-21 16:00:00,245.23,258.96,242.56,257.09,27513
2024-11-21 20:00:00,257.09,259.72,253.0,253.31,17097
2024-11-22 00:00:00,253.24,258.83,252.52,255.19,10707
2024-11-22 04:00:00,255.19,264.36,255.16,260.68,18315
2024-11-22 08:00:00,260.66,261.25,257.99,258.54,10585
2024-11-22 12:00:00,258.53,260.44,253.06,255.03,14676
2024-11-22 16:00:00,255.03,257.08,252.56,254.54,17204
2024-11-22 20:00:00,254.55,257.98,251.52,257.98,13916
2024-11-23 00:00:00,257.46,257.9,254.71,256.76,10246
2024-11-23 04:00:00,256.75,264.08,253.51,260.01,14322
2024-11-23 08:00:00,258.13,259.2,257.03,258.33,1888
2024-11-23 12:00:00,258.3,260.41,256.0,259.99,6773
2024-11-23 16:00:00,260.03,263.92,255.1,257.58,17887
2024-11-23 20:00:00,257.5,257.55,252.87,255.65,9981
2024-11-24 00:00:00,255.54,259.88,253.12,258.83,8358
2024-11-24 04:00:00,258.83,259.68,254.25,255.3,6390
2024-11-24 08:00:00,255.31,256.83,254.29,256.76,3088
2024-11-24 12:00:00,254.58,254.73,241.08,247.72,19614
2024-11-24 16:00:00,247.69,248.59,243.6,247.38,18927
2024-11-24 20:00:00,247.34,251.39,246.89,250.7,8459
2024-11-25 00:00:00,251.02,254.88,245.84,248.67,14032
2024-11-25 04:00:00,248.66,254.2,248.51,253.34,8774
2024-11-25 08:00:00,253.34,256.61,251.83,254.92,8608
2024-11-25 12:00:00,254.9,255.74,246.66,248.06,12622
2024-11-25 16:00:00,248.06,249.0,234.85,239.75,24833
2024-11-25 20:00:00,239.78,241.95,235.28,237.84,17940
2024-11-26 00:00:00,238.4,238.55,230.73,237.46,18434
