time,open,high,low,close,tick_volume
2024-11-03,196.35,205.05,194.15,198.46,115678
2024-11-10,198.28,225.26,198.1,216.96,737941
2024-11-17,216.98,264.36,212.04,255.65,621649
2024-11-24,255.54,259.88,221.36,240.49,500429
2024-12-01,240.52,246.89,214.89,237.99,466469
2024-12-29,192.125,219.515,187.515,215.845,173748
2025-01-05,215.735,223.055,181.865,190.845,401207
2025-01-12,190.425,270.115,168.525,252.205,531604
2025-01-19,252.185,295.155,228.875,257.825,794536
2025-01-26,258.015,259.825,215.625,216.655,482469
2025-02-02,215.935,219.985,175.785,198.705,666536
2025-02-09,198.765,208.955,188.345,194.135,384864
2025-02-16,194.185,196.125,160.675,172.885,372241
2025-02-23,172.865,173.435,125.325,142.565,557085
2025-03-02,142.455,179.525,130.525,137.185,647082
2025-03-09,137.195,139.765,111.915,135.295,447779
2025-03-16,135.365,136.605,121.675,129.105,253558
2025-03-23,129.015,147.385,123.575,123.825,259442
2025-03-30,123.895,136.025,112.125,119.095,377167
2025-04-06,119.115,133.985,95.099,132.895,574119
2025-04-13,132.665,140.365,123.385,138.815,419536
2025-04-20,138.665,156.975,133.755,148.495,359676
2025-04-27,148.305,153.905,140.305,147.385,279433
2025-05-04,147.445,175.975,141.265,172.635,366880
2025-05-11,172.595,184.735,164.105,167.385,593397
2025-05-18,167.455,187.555,159.355,177.785,539495
2025-05-25,177.695,179.355,152.105,157.325,398545
2025-06-01,157.355,163.645,141.235,150.795,451612
2025-06-08,150.835,168.285,140.565,142.775,477482
2025-06-15,142.865,158.705,135.645,138.375,416163
2025-06-22,138.335,152.595,125.945,150.155,392923
2025-06-29,150.015,159.855,144.755,147.095,248803
2025-07-06,147.155,168.095,146.665,158.975,311870
2025-07-13,158.935,184.135,157.115,177.585,602444
2025-07-20,177.425,206.385,175.065,185.875,1151046
2025-07-27,185.805,195.245,155.565,158.675,970495
2025-08-03,158.825,183.525,156.045,182.985,970472
2025-08-10,183.005,209.925,173.395,189.175,1047294
2025-08-17,189.105,208.335,175.575,203.655,926963
2025-08-24,203.585,217.895,184.965,200.445,1144678
2025-08-31,200.565,213.005,194.135,200.525,625658
2025-09-07,200.828,244.24,199.93,240.4,302295
2025-09-14,240.353,253.59,230.12,239.782,275623
2025-09-21,239.849,241.914,190.81,202.484,361230
2025-09-28,202.669,237.233,197.97,227.518,292052
2025-10-05,227.495,237.921,173.932,175.346,556988
2025-10-12,175.726,211.33,172.56,186.783,1039869
2025-10-19,186.519,197.59,176.455,194.049,407545
2025-10-26,194.01,205.167,178.321,186.281,839672
2025-11-02,186.201,188.841,145.613,157.672,1321965
2025-11-09,157.752,171.661,135.571,138.843,882195
2025-11-16,138.805,144.587,121.362,126.452,663752
2025-11-23,126.472,144.674,126.044,136.466,953822
2025-11-30,136.417,146.901,123.001,132.428,1501182
2025-12-07,132.371,144.818,127.641,132.62,2064328
2025-12-14,132.63,135.327,116.759,126.145,1929207
2025-12-21,126.091,128.633,119.077,124.308,1515646
2025-12-28,124.366,133.017,122.125,132.775,1457027
2026-01-04,132.667,143.334,132.221,135.502,1772832
2026-01-11,135.454,148.435,135.098,144.09,1675792
2026-01-18,144.094,144.103,124.39,126.859,1698995
2026-01-25,126.85,128.075,96.14,103.352,1709356
2026-02-01,103.227,106.474,67.232,88.028,2726610
2026-02-08,88.059,88.887,76.418,87.845,1688890
2026-02-15,87.901,90.85,79.488,85.715,1552852
2026-02-22,85.701,92.032,75.568,84.415,1660759
2026-03-01,84.394,94.011,81.618,83.167,2473084
2026-03-08,83.175,92.926,80.133,87.039,2042672
2026-03-15,86.983,97.567,86.79,90.105,1761919
2026-03-22,90.034,93.36,81.668,83.253,1467673
2026-03-29,83.217,86.526,76.595,80.679,1257928
2026-04-05,80.659,86.928,78.278,85.387,1195508
2026-04-12,85.317,90.736,81.211,86.168,1164518
2026-04-19,86.11,89.299,82.866,85.839,1052406
2026-04-26,85.85,88.065,81.291,84.085,758461
2026-05-03,84.091,94.097,83.182,93.181,958269
2026-05-10,93.163,98.301,85.426,86.576,593585
2026-05-17,86.537,87.84,81.27,86.718,657044
2026-05-24,86.859,87.308,79.815,82.745,581997
2026-05-31,82.745,83.18,60.025,61.803,1206707
2026-06-07,61.733,68.693,61.38,68.178,1040121
2026-06-14,68.157,75.985,66.845,71.908,961915
2026-06-21,71.863,74.863,63.87,71.063,1227620
2026-06-28,71.113,76.26,69.573,73.91,437017
