timestamp,datetime,open,high,low,close,volume
-3121580038,"1871-01-30 14:26:02",4.5,4.5,4.5,4.5,0
-3119160838,"1871-02-27 14:26:02",4.61,4.61,4.61,4.61,0
-3113717638,"1871-05-01 14:26:02",4.86,4.86,4.86,4.86,0
-3111298438,"1871-05-29 14:26:02",4.82,4.82,4.82,4.82,0
-3105855238,"1871-07-31 14:26:02",4.79,4.79,4.79,4.79,0
-3103436038,"1871-08-28 14:26:02",4.84,4.84,4.84,4.84,0
-3097992838,"1871-10-30 14:26:02",4.64,4.64,4.64,4.64,0
-3095573638,"1871-11-27 14:26:02",4.74,4.74,4.74,4.74,0
-3092549638,"1872-01-01 14:26:02",4.86,4.86,4.86,4.86,0
-3090130438,"1872-01-29 14:26:02",4.88,4.88,4.88,4.88,0
-3087711238,"1872-02-26 14:26:02",5.04,5.04,5.04,5.04,0
-3084687238,"1872-04-01 14:26:02",5.18,5.18,5.18,5.18,0
-3082268038,"1872-04-29 14:26:02",5.18,5.18,5.18,5.18,0
-3076824838,"1872-07-01 14:26:02",5.1,5.1,5.1,5.1,0
-3074405638,"1872-07-29 14:26:02",5.04,5.04,5.04,5.04,0
-3068962438,"1872-09-30 14:26:02",4.97,4.97,4.97,4.97,0
-3066543238,"1872-10-28 14:26:02",4.95,4.95,4.95,4.95,0
-3061100038,"1872-12-30 14:26:02",5.11,5.11,5.11,5.11,0
-3053237638,"1873-03-31 14:26:02",5.04,5.04,5.04,5.04,0
-3050818438,"1873-04-28 14:26:02",5.05,5.05,5.05,5.05,0
-3045375238,"1873-06-30 14:26:02",4.97,4.97,4.97,4.97,0
-3042956038,"1873-07-28 14:26:02",4.97,4.97,4.97,4.97,0
-3039932038,"1873-09-01 14:26:02",4.59,4.59,4.59,4.59,0
-3037512838,"1873-09-29 14:26:02",4.19,4.19,4.19,4.19,0
-3032069638,"1873-12-01 14:26:02",4.42,4.42,4.42,4.42,0
-3029650438,"1873-12-29 14:26:02",4.66,4.66,4.66,4.66,0
-3021788038,"1874-03-30 14:26:02",4.6,4.6,4.6,4.6,0
-3019368838,"1874-04-27 14:26:02",4.48,4.48,4.48,4.48,0
-3016344838,"1874-06-01 14:26:02",4.46,4.46,4.46,4.46,0
-3013925638,"1874-06-29 14:26:02",4.46,4.46,4.46,4.46,0
-3008482438,"1874-08-31 14:26:02",4.54,4.54,4.54,4.54,0
-3006063238,"1874-09-28 14:26:02",4.53,4.53,4.53,4.53,0
-3000620038,"1874-11-30 14:26:02",4.54,4.54,4.54,4.54,0
-2998200838,"1874-12-28 14:26:02",4.54,4.54,4.54,4.54,0
-2995176838,"1875-02-01 14:26:02",4.53,4.53,4.53,4.53,0
-2992757638,"1875-03-01 14:26:02",4.59,4.59,4.59,4.59,0
-2990338438,"1875-03-29 14:26:02",4.65,4.65,4.65,4.65,0
-2984895238,"1875-05-31 14:26:02",4.38,4.38,4.38,4.38,0
-2982476038,"1875-06-28 14:26:02",4.39,4.39,4.39,4.39,0
-2977032838,"1875-08-30 14:26:02",4.37,4.37,4.37,4.37,0
-2974613638,"1875-09-27 14:26:02",4.3,4.3,4.3,4.3,0
-2971589638,"1875-11-01 14:26:02",4.37,4.37,4.37,4.37,0
-2969170438,"1875-11-29 14:26:02",4.37,4.37,4.37,4.37,0
-2963727238,"1876-01-31 14:26:02",4.52,4.52,4.52,4.52,0
-2961308038,"1876-02-28 14:26:02",4.51,4.51,4.51,4.51,0
-2955864838,"1876-05-01 14:26:02",4.18,4.18,4.18,4.18,0
-2953445638,"1876-05-29 14:26:02",4.15,4.15,4.15,4.15,0
-2948002438,"1876-07-31 14:26:02",3.93,3.93,3.93,3.93,0
-2945583238,"1876-08-28 14:26:02",3.69,3.69,3.69,3.69,0
-2940140038,"1876-10-30 14:26:02",3.6,3.6,3.6,3.6,0
-2937720838,"1876-11-27 14:26:02",3.58,3.58,3.58,3.58,0
-2934696838,"1877-01-01 14:26:02",3.55,3.55,3.55,3.55,0
-2932277638,"1877-01-29 14:26:02",3.34,3.34,3.34,3.34,0
-2929858438,"1877-02-26 14:26:02",3.17,3.17,3.17,3.17,0
-2924415238,"1877-04-30 14:26:02",2.94,2.94,2.94,2.94,0
-2921996038,"1877-05-28 14:26:02",2.73,2.73,2.73,2.73,0
-2916552838,"1877-07-30 14:26:02",3.05,3.05,3.05,3.05,0
-2911109638,"1877-10-01 14:26:02",3.31,3.31,3.31,3.31,0
-2908690438,"1877-10-29 14:26:02",3.26,3.26,3.26,3.26,0
-2903247238,"1877-12-31 14:26:02",3.25,3.25,3.25,3.25,0
-2900828038,"1878-01-28 14:26:02",3.18,3.18,3.18,3.18,0
-2898408838,"1878-02-25 14:26:02",3.24,3.24,3.24,3.24,0
-2895384838,"1878-04-01 14:26:02",3.33,3.33,3.33,3.33,0
-2892965638,"1878-04-29 14:26:02",3.34,3.34,3.34,3.34,0
-2887522438,"1878-07-01 14:26:02",3.48,3.48,3.48,3.48,0
-2885103238,"1878-07-29 14:26:02",3.45,3.45,3.45,3.45,0
-2879660038,"1878-09-30 14:26:02",3.48,3.48,3.48,3.48,0
-2877240838,"1878-10-28 14:26:02",3.47,3.47,3.47,3.47,0
-2871797638,"1878-12-30 14:26:02",3.58,3.58,3.58,3.58,0
-2863935238,"1879-03-31 14:26:02",3.77,3.77,3.77,3.77,0
-2861516038,"1879-04-28 14:26:02",3.94,3.94,3.94,3.94,0
-2856072838,"1879-06-30 14:26:02",4.04,4.04,4.04,4.04,0
-2853653638,"1879-07-28 14:26:02",4.07,4.07,4.07,4.07,0
-2850629638,"1879-09-01 14:26:02",4.22,4.22,4.22,4.22,0
-2848210438,"1879-09-29 14:26:02",4.68,4.68,4.68,4.68,0
-2842767238,"1879-12-01 14:26:02",4.92,4.92,4.92,4.92,0
-2840348038,"1879-12-29 14:26:02",5.11,5.11,5.11,5.11,0
-2834904838,"1880-03-01 14:26:02",5.3,5.3,5.3,5.3,0
-2832485638,"1880-03-29 14:26:02",5.18,5.18,5.18,5.18,0
-2827042438,"1880-05-31 14:26:02",4.79,4.79,4.79,4.79,0
-2824623238,"1880-06-28 14:26:02",5.01,5.01,5.01,5.01,0
-2819180038,"1880-08-30 14:26:02",5.18,5.18,5.18,5.18,0
-2816760838,"1880-09-27 14:26:02",5.33,5.33,5.33,5.33,0
-2813736838,"1880-11-01 14:26:02",5.61,5.61,5.61,5.61,0
-2811317638,"1880-11-29 14:26:02",5.84,5.84,5.84,5.84,0
-2805874438,"1881-01-31 14:26:02",6.17,6.17,6.17,6.17,0
-2803455238,"1881-02-28 14:26:02",6.24,6.24,6.24,6.24,0
-2801036038,"1881-03-28 14:26:02",6.22,6.22,6.22,6.22,0
-2795592838,"1881-05-30 14:26:02",6.58,6.58,6.58,6.58,0
-2793173638,"1881-06-27 14:26:02",6.35,6.35,6.35,6.35,0
-2790149638,"1881-08-01 14:26:02",6.2,6.2,6.2,6.2,0
-2787730438,"1881-08-29 14:26:02",6.25,6.25,6.25,6.25,0
-2782287238,"1881-10-31 14:26:02",6.19,6.19,6.19,6.19,0
-2779868038,"1881-11-28 14:26:02",6.01,6.01,6.01,6.01,0
-2774424838,"1882-01-30 14:26:02",5.79,5.79,5.79,5.79,0
-2772005638,"1882-02-27 14:26:02",5.78,5.78,5.78,5.78,0
-2766562438,"1882-05-01 14:26:02",5.71,5.71,5.71,5.71,0
-2764143238,"1882-05-29 14:26:02",5.68,5.68,5.68,5.68,0
-2758700038,"1882-07-31 14:26:02",6.18,6.18,6.18,6.18,0
-2756280838,"1882-08-28 14:26:02",6.24,6.24,6.24,6.24,0
-2750837638,"1882-10-30 14:26:02",5.81,5.81,5.81,5.81,0
-2748418438,"1882-11-27 14:26:02",5.84,5.84,5.84,5.84,0
-2745394438,"1883-01-01 14:26:02",5.81,5.81,5.81,5.81,0
-2742975238,"1883-01-29 14:26:02",5.68,5.68,5.68,5.68,0
-2740556038,"1883-02-26 14:26:02",5.75,5.75,5.75,5.75,0
-2735112838,"1883-04-30 14:26:02",5.77,5.77,5.77,5.77,0
-2732693638,"1883-05-28 14:26:02",5.82,5.82,5.82,5.82,0
-2727250438,"1883-07-30 14:26:02",5.47,5.47,5.47,5.47,0
-2721807238,"1883-10-01 14:26:02",5.38,5.38,5.38,5.38,0
-2719388038,"1883-10-29 14:26:02",5.46,5.46,5.46,5.46,0
-2713944600,"1883-12-31 14:30:00",5.18,5.18,5.18,5.18,0
-2711525400,"1884-01-28 14:30:00",5.32,5.32,5.32,5.32,0
-2706082200,"1884-03-31 14:30:00",5.06,5.06,5.06,5.06,0
-2703663000,"1884-04-28 14:30:00",4.65,4.65,4.65,4.65,0
-2698219800,"1884-06-30 14:30:00",4.46,4.46,4.46,4.46,0
-2695800600,"1884-07-28 14:30:00",4.74,4.74,4.74,4.74,0
-2692776600,"1884-09-01 14:30:00",4.59,4.59,4.59,4.59,0
-2690357400,"1884-09-29 14:30:00",4.44,4.44,4.44,4.44,0
-2684914200,"1884-12-01 14:30:00",4.34,4.34,4.34,4.34,0
-2682495000,"1884-12-29 14:30:00",4.24,4.24,4.24,4.24,0
-2674632600,"1885-03-30 14:30:00",4.37,4.37,4.37,4.37,0
-2672213400,"1885-04-27 14:30:00",4.32,4.32,4.32,4.32,0
-2669189400,"1885-06-01 14:30:00",4.3,4.3,4.3,4.3,0
-2666770200,"1885-06-29 14:30:00",4.46,4.46,4.46,4.46,0
-2661327000,"1885-08-31 14:30:00",4.65,4.65,4.65,4.65,0
-2658907800,"1885-09-28 14:30:00",4.92,4.92,4.92,4.92,0
-2653464600,"1885-11-30 14:30:00",5.2,5.2,5.2,5.2,0
-2651045400,"1885-12-28 14:30:00",5.2,5.2,5.2,5.2,0
-2648021400,"1886-02-01 14:30:00",5.3,5.3,5.3,5.3,0
-2645602200,"1886-03-01 14:30:00",5.19,5.19,5.19,5.19,0
-2643183000,"1886-03-29 14:30:00",5.12,5.12,5.12,5.12,0
-2637739800,"1886-05-31 14:30:00",5.25,5.25,5.25,5.25,0
-2635320600,"1886-06-28 14:30:00",5.33,5.33,5.33,5.33,0
-2629877400,"1886-08-30 14:30:00",5.51,5.51,5.51,5.51,0
-2627458200,"1886-09-27 14:30:00",5.65,5.65,5.65,5.65,0
-2624434200,"1886-11-01 14:30:00",5.79,5.79,5.79,5.79,0
-2622015000,"1886-11-29 14:30:00",5.64,5.64,5.64,5.64,0
