time,open,high,low,close,tick_volume
2015-03-29,56.91,58.4,54.84,55.99,74546
2015-04-05,58.81,60.14,56.48,58.97,82905
2015-04-12,59.28,64.99,59.03,63.84,83359
2015-04-19,63.71,66.06,61.67,65.69,73881
2015-04-26,65.1,67.4,64.34,67.01,65917
2015-05-03,66.98,70.22,64.95,66.2,81811
2015-05-10,65.51,68.53,65.39,66.99,76080
2015-05-17,66.32,67.02,64.08,65.74,56471
2015-05-24,65.93,66.17,61.62,65.86,62221
2015-05-31,65.27,66.29,61.55,63.76,85022
2015-06-07,63.27,66.92,63.25,64.7,83048
2015-06-14,63.88,65.6,62.57,63.07,69508
2015-06-21,63.49,65.31,62.79,63.46,58595
2015-06-28,62.27,64.14,60.48,60.65,45389
2015-07-05,57.22,59.86,55.49,58.97,76540
2015-07-12,57.86,58.98,56.45,57.14,65266
2015-07-19,56.59,57.52,54.45,54.76,47612
2015-07-26,53.22,54.74,52.02,52.19,49328
2015-08-02,50.18,51.4,48.98,49.06,42672
2015-08-09,50.83,51.67,48.75,48.82,54650
2015-08-16,48.73,49.28,45.35,45.55,46874
2015-08-23,43.1,51.42,43.01,50.35,89382
2015-08-30,53.15,53.97,48.3,49.97,128132
2015-09-06,48.72,50.81,47.71,49.08,78204
2015-09-13,47.72,50.28,47.11,47.91,62638
2015-09-20,48.76,50.53,47.7,48.67,62084
2015-09-27,47.71,50.26,47.4,48.64,57640
2015-10-04,49.78,54.32,49.34,52.77,73700
2015-10-11,50.69,51.14,48.78,50.55,66024
2015-10-18,49.04,49.35,47.74,48.3,55006
2015-10-25,47.86,50.48,46.78,49.95,54849
2015-11-01,49.51,51.5,47.95,48.32,59447
2015-11-08,47.97,48.5,44.25,44.56,48883
2015-11-15,44.79,45.74,43.55,44.64,49279
2015-11-22,45.44,46.81,45.14,45.17,42176
2015-11-29,44.97,45.55,42.88,43.58,57864
2015-12-06,41.22,41.75,37.7,38.02,53946
2015-12-13,38.12,39.73,36.53,36.74,53375
2015-12-20,36.52,38.33,36.14,38.16,25306
2015-12-27,36.83,38.21,36.36,37.67,21497
2016-01-03,37.59,37.84,32.47,33.66,58987
2016-01-10,31.88,32.74,29.08,29.47,61950
2016-01-17,29.1,32.81,27.54,32.68,67183
2016-01-24,30.84,36.81,30.1,36.0,93666
2016-01-31,34.19,36.02,32.41,34.36,88989
2016-02-07,33.33,33.85,30.32,33.14,85618
2016-02-14,34.83,36.16,32.29,33.62,84005
2016-02-21,35.05,37.3,33.08,35.48,77661
2016-02-28,36.6,39.12,36.06,39.1,63067
2016-03-06,40.93,41.7,39.52,40.67,65914
2016-03-13,40.0,42.94,38.71,41.9,49651
2016-03-20,42.13,42.7,39.81,40.96,36059
2016-03-27,40.79,41.36,38.61,38.68,49827
2016-04-03,37.54,42.01,37.32,41.86,45706
2016-04-10,42.64,44.88,42.25,43.04,48952
2016-04-17,42.99,45.98,42.46,45.06,60432
2016-04-24,44.51,48.3,44.14,47.41,56224
2016-05-01,45.84,46.88,44.29,45.46,64635
2016-05-08,43.76,48.34,43.56,48.03,64319
2016-05-15,58.91,58.91,58.91,58.91,1
2016-05-22,48.66,50.94,48.5,50.1,43167
2016-05-29,50.31,50.89,48.71,49.89,45475
2016-06-05,50.55,53.02,50.4,50.63,47662
2016-06-12,50.06,50.31,47.3,49.76,59504
2016-06-19,50.92,51.74,48.16,48.95,87591
2016-06-26,48.17,51.46,48.04,50.7,65905
2016-07-03,50.16,50.16,46.36,46.79,81923
2016-07-10,46.42,48.85,46.38,48.28,79896
2016-07-17,47.24,47.93,45.54,46.06,56587
2016-07-24,45.15,45.32,42.55,43.4,53777
2016-07-31,42.34,44.59,41.58,44.49,68706
2016-08-07,45.33,47.38,43.65,47.32,85510
2016-08-14,48.32,51.4,48.05,51.0,87551
2016-08-21,49.32,50.97,48.82,49.88,84261
2016-08-28,49.47,49.91,45.38,46.68,74644
2016-09-04,47.55,50.29,46.4,48.04,85022
2016-09-11,48.4,48.45,45.79,46.3,102042
2016-09-18,46.22,48.71,45.45,46.55,84895
2016-09-25,47.63,50.42,46.16,50.07,87200
2016-10-02,50.95,53.06,50.48,51.88,70225
2016-10-09,53.34,53.57,51.3,52.41,65613
2016-10-16,52.2,53.7,51.79,52.64,48625
2016-10-23,52.35,52.75,50.39,50.71,52498
2016-10-30,48.79,49.36,46.23,46.47,49910
2016-11-13,45.43,48.34,45.3,47.65,76125
2016-11-20,50.24,50.85,48.11,48.11,56629
2016-11-27,49.11,54.65,46.98,54.55,93188
2016-12-04,54.69,55.15,53.14,54.67,67091
2016-12-11,56.06,56.82,53.62,55.75,66298
2016-12-18,55.48,56.43,54.78,55.66,38085
2016-12-25,55.93,57.35,55.75,56.69,24775
2017-01-01,57.36,58.5,55.45,57.02,69211
2017-01-08,55.28,56.66,53.84,55.83,63527
2017-01-15,56.04,57.22,54.12,55.85,64146
2017-01-22,55.72,56.75,55.08,55.69,52655
2017-01-29,55.4,57.5,55.01,56.86,52396
2017-02-05,55.99,57.05,54.55,56.84,49270
2017-02-12,55.94,56.66,55.37,55.94,49108
2017-02-19,56.25,57.45,55.81,56.3,41883
2017-02-26,56.51,57.08,55.08,55.83,41647
2017-03-05,56.02,56.7,51.26,51.4,62172
2017-03-12,51.36,52.71,50.33,51.79,57128
2017-03-19,51.81,52.32,49.91,51.06,48703
2017-03-26,50.93,53.78,50.91,53.7,39883
2017-04-02,53.24,56.16,52.8,55.33,42617
2017-04-09,56.2,56.83,55.62,55.89,25353
2017-04-16,55.73,55.84,52.01,52.28,50879
2017-04-23,52.05,52.93,51.02,51.84,54056
2017-04-30,51.35,52.2,46.73,49.53,68843
2017-05-07,49.51,51.28,48.55,50.94,60905
2017-05-14,51.88,53.9,51.19,53.89,69167
2017-05-21,53.96,54.9,51.04,52.58,70829
2017-05-28,52.56,52.67,49.01,50.07,58464
2017-06-04,49.61,50.36,47.59,48.39,66072
2017-06-11,48.43,48.98,46.87,47.46,49111
2017-06-18,47.05,47.38,44.55,45.82,52398
