time,open,high,low,close,tick_volume
2012-01-02,1.0201,1.021,1.01723,1.01872,63777
2012-01-03,1.01873,1.01916,1.00756,1.01123,38000
2012-01-04,1.01117,1.01611,1.0108,1.01308,39563
2012-01-05,1.01308,1.02243,1.01196,1.01955,44843
2012-01-06,1.01952,1.02848,1.01686,1.0283,41167
2012-01-09,1.0294,1.03178,1.02249,1.02355,45139
2012-01-10,1.02359,1.02372,1.01507,1.01665,39495
2012-01-11,1.01664,1.02091,1.01382,1.01864,39245
2012-01-12,1.01871,1.02094,1.01385,1.01873,39253
2012-01-13,1.01873,1.02822,1.01626,1.023,42357
2012-01-16,1.02405,1.02522,1.01646,1.01846,34846
2012-01-17,1.01847,1.01872,1.01121,1.01523,40045
2012-01-18,1.01532,1.01755,1.01093,1.01205,41671
2012-01-19,1.01203,1.01267,1.00694,1.01115,36245
2012-01-20,1.01118,1.01595,1.01093,1.01301,33485
2012-01-23,1.01513,1.01566,1.00517,1.00823,38779
2012-01-24,1.00824,1.01394,1.00711,1.00942,38970
2012-01-25,1.00943,1.01457,1.00271,1.00458,38724
2012-01-26,1.00456,1.00467,0.99807,1.00167,35435
2012-01-27,1.00167,1.00396,0.99863,1.00159,38461
2012-01-30,1.00141,1.00689,1.00094,1.00189,40224
2012-01-31,1.00188,1.00521,0.99647,1.002,35804
2012-02-01,1.002,1.00469,0.99626,0.99742,36698
2012-02-02,0.99744,1.00088,0.9967,0.99915,35389
2012-02-03,0.99914,1.00313,0.99262,0.99329,33332
2012-02-06,0.99348,0.99927,0.99276,0.99596,38039
2012-02-07,0.99598,0.99934,0.99394,0.99457,38280
2012-02-08,0.99458,0.99885,0.99334,0.99621,31256
2012-02-09,0.9962,0.99785,0.99249,0.99508,37220
2012-02-10,0.99509,1.00378,0.99485,1.0013,34271
2012-02-13,1.00011,1.00095,0.99705,1.0005,36277
2012-02-14,1.00051,1.00253,0.99774,0.99877,33618
2012-02-15,0.99877,1.00029,0.99375,1.00015,38009
2012-02-16,1.00014,1.00504,0.99519,0.99659,40106
2012-02-17,0.9966,0.99835,0.99399,0.99663,28426
2012-02-20,0.99308,0.99419,0.99053,0.99412,32004
2012-02-21,0.99409,0.99751,0.9923,0.99703,34822
2012-02-22,0.99705,1.00188,0.9953,0.99986,33664
2012-02-23,0.99986,1.00089,0.99523,0.99677,36523
2012-02-24,0.99685,1.00017,0.99647,0.9993,33533
2012-02-27,0.9994,1.00487,0.99752,0.99878,36660
2012-02-28,0.99879,0.99879,0.99407,0.99502,29568
2012-02-29,0.99501,0.99503,0.9844,0.98899,37629
2012-03-01,0.98898,0.98992,0.98408,0.98517,36615
2012-03-02,0.98518,0.98955,0.9847,0.98886,31875
2012-03-05,0.99005,0.9959,0.98843,0.9945,37187
2012-03-06,0.9945,1.00275,0.99354,1.00155,35652
2012-03-07,1.00154,1.00235,0.99727,0.9976,34163
2012-03-08,0.99758,0.99889,0.98916,0.99005,34820
2012-03-09,0.99007,0.99312,0.98716,0.99033,31803
2012-03-12,0.99043,0.99462,0.98984,0.9922,35450
2012-03-13,0.99221,0.99257,0.98794,0.98825,29779
2012-03-14,0.98823,0.99433,0.98812,0.993,29621
2012-03-15,0.99298,0.99473,0.99045,0.99215,31696
2012-03-16,0.99213,0.99394,0.98994,0.99144,26919
2012-03-19,0.99116,0.99298,0.98594,0.98694,33416
2012-03-20,0.98694,0.99675,0.98691,0.9913,30463
2012-03-21,0.9913,0.99345,0.98733,0.99212,34966
2012-03-22,0.99212,1.00075,0.99105,0.99915,35499
2012-03-23,0.99914,1.00331,0.99704,0.99757,29085
2012-03-26,0.99818,0.99982,0.99047,0.99094,36272
2012-03-27,0.99093,0.99551,0.9899,0.99535,27337
2012-03-28,0.99533,0.99985,0.99453,0.99843,29807
2012-03-29,0.99837,1.0018,0.99614,0.99662,30673
2012-03-30,0.9966,0.99977,0.99512,0.99854,30066
2012-04-02,0.99568,0.99897,0.98874,0.99057,34306
2012-04-03,0.99058,0.9928,0.98871,0.99088,35865
2012-04-04,0.99088,0.99726,0.99064,0.99611,35564
2012-04-05,0.99611,0.99976,0.99054,0.99301,34202
2012-04-06,0.993,0.9984,0.99158,0.99685,26196
2012-04-09,0.99721,1.00009,0.99435,0.99691,30015
2012-04-10,0.99692,1.0044,0.99495,1.004,35541
2012-04-11,1.00398,1.0051,1.00078,1.0035,36514
2012-04-12,1.00351,1.00366,0.99395,0.99445,36474
2012-04-13,0.99445,0.99951,0.99253,0.99951,36005
2012-04-16,0.99916,1.00319,0.99733,0.9997,36336
