time,open,high,low,close,tick_volume
2012-01-01,1.0201,1.02848,1.00756,1.0283,227350
2012-01-08,1.0294,1.03178,1.01382,1.023,205489
2012-01-15,1.02405,1.02522,1.00694,1.01301,186292
2012-01-22,1.01513,1.01566,0.99807,1.00159,190369
2012-01-29,1.00141,1.00689,0.99262,0.99329,181447
2012-02-05,0.99348,1.00378,0.99249,1.0013,179066
2012-02-12,1.00011,1.00504,0.99375,0.99663,176436
2012-02-19,0.99308,1.00188,0.99053,0.9993,170546
2012-02-26,0.9994,1.00487,0.98408,0.98886,172347
2012-03-04,0.99005,1.00275,0.98716,0.99033,173625
2012-03-11,0.99043,0.99473,0.98794,0.99144,153465
2012-03-18,0.99116,1.00331,0.98594,0.99757,163429
2012-03-25,0.99818,1.0018,0.9899,0.99854,154155
2012-04-01,0.99568,0.99976,0.98871,0.99685,166133
2012-04-08,0.99721,1.0051,0.99253,0.99951,174549
2012-04-15,0.99916,1.00319,0.98648,0.99188,175246
2012-04-22,0.99247,0.9978,0.97988,0.98029,163428
2012-04-29,0.98066,0.99623,0.98029,0.99586,153240
2012-05-06,0.99501,1.00615,0.99224,1.00034,178434
2012-05-13,1.00156,1.02264,0.99894,1.02203,194997
2012-05-20,1.02135,1.03108,1.01509,1.0292,209381
2012-05-27,1.02677,1.04406,1.02063,1.04091,209062
2012-06-03,1.03909,1.04449,1.02098,1.02595,216783
2012-06-10,1.02226,1.03242,1.01995,1.0215,205359
2012-06-17,1.02014,1.02987,1.01585,1.02436,201722
2012-06-24,1.0254,1.0360800000000001,1.0164,1.0164,195139
2012-07-01,1.01612,1.02066,1.00999,1.01948,177640
2012-07-08,1.01993,1.02486,1.01287,1.01381,185772
2012-07-15,1.01355,1.01719,1.00648,1.01254,174930
2012-07-22,1.01353,1.02303,1.00299,1.00308,188806
2012-07-29,1.00429,1.00833,0.99789,1.0012,179103
2012-08-05,1.00119,1.00194,0.9905,0.99088,162588
2012-08-12,0.99101,0.99404,0.98587,0.98901,153296
2012-08-19,0.98851,0.99477,0.98415,0.99215,158737
2012-08-26,0.99166,0.99308,0.98417,0.98609,152806
2012-09-02,0.98662,0.99183,0.97645,0.97858,156853
2012-09-09,0.97756,0.97876,0.96319,0.97133,163047
2012-09-16,0.97018,0.98155,0.96923,0.97622,168233
2012-09-23,0.97641,0.98589,0.97557,0.98363,171301
2012-09-30,0.98399,0.98839,0.97343,0.97852,174205
2012-10-07,0.97809,0.98336,0.97431,0.98003,171736
2012-10-14,0.97867,0.99382,0.97633,0.9935,168225
2012-10-21,0.99423,0.99927,0.98879,0.99684,170743
2012-10-28,0.99934,1.00177,0.99207,0.99571,129846
2012-11-04,0.9957,1.00327,0.98736,1.00154,176999
2012-11-11,1.00038,1.00552,0.99843,1.00112,171602
2012-11-18,1.00109,1.00165,0.99143,0.99271,163590
2012-11-25,0.99243,0.99602,0.99046,0.99417,163565
2012-12-02,0.99378,0.99535,0.98754,0.98826,155124
2012-12-09,0.98711,0.98877,0.98239,0.98544,152185
2012-12-16,0.98561,0.99525,0.98312,0.99309,151794
2012-12-23,0.99326,0.997,0.99075,0.99678,110444
2012-12-30,0.99532,0.99698,0.9836,0.98708,141131
2013-01-06,0.98613,0.98844,0.98151,0.98472,174012
2013-01-13,0.98443,0.99461,0.98306,0.99147,183954
2013-01-20,0.99213,1.00996,0.99026,1.00565,184922
2013-01-27,1.00664,1.00997,0.99565,0.99633,180672
2013-02-03,0.99657,1.00348,0.99318,1.00197,175178
2013-02-10,1.003,1.00875,0.99988,1.00619,167122
2013-02-17,1.00752,1.02559,1.00568,1.02119,190195
2013-02-24,1.02199,1.03414,1.02163,1.02657,197379
2013-03-03,1.0273,1.03366,1.0234,1.02814,116910
2013-03-10,1.02869,1.02947,1.01805,1.01935,106458
2013-03-17,1.02256,1.02837,1.01994,1.0232,115377
2013-03-24,1.02323,1.02323,1.01445,1.0169,106961
2013-03-31,1.01671,1.02355,1.01037,1.01748,109154
2013-04-07,1.0167,1.0213700000000001,1.00828,1.01313,108972
2013-04-14,1.01409,1.02928,1.01329,1.02639,145998
2013-04-21,1.02559,1.02852,1.01572,1.01625,118387
2013-04-28,1.01662,1.01683,1.00507,1.00737,111946
2013-05-05,1.00767,1.01518,1.00133,1.00987,108000
2013-05-12,1.0112,1.0313,1.00815,1.02788,134002
2013-05-19,1.02749,1.0393,1.02165,1.03151,162877
2013-05-26,1.03148,1.04203,1.02945,1.03736,154521
2013-06-02,1.03625,1.03798,1.01666,1.0193,185117
2013-06-09,1.02185,1.02509,1.01369,1.01675,161300
2013-06-16,1.01722,1.04883,1.01489,1.04538,160082
2013-06-23,1.0478,1.05557,1.04237,1.05164,198068
2013-06-30,1.05217,1.06089,1.04721,1.05805,166485
2013-07-07,1.05801,1.05851,1.03258,1.03925,171847
2013-07-14,1.03896,1.0441799999999999,1.03553,1.03656,145851
2013-07-21,1.03659,1.03671,1.02552,1.02746,128369
2013-07-28,1.02822,1.04022,1.02458,1.0387,141934
2013-08-04,1.0388,1.04451,1.02751,1.02858,128690
2013-08-11,1.0294,1.03693,1.0279,1.03346,119550
2013-08-18,1.03305,1.0568,1.03156,1.04944,133916
2013-08-25,1.05127,1.05579,1.04719,1.05324,117413
2013-09-01,1.05284,1.05593,1.03817,1.04042,116002
2013-09-08,1.04029,1.04182,1.03056,1.03489,97515
2013-09-15,1.0315,1.03343,1.01822,1.03026,112357
2013-09-22,1.03059,1.034,1.02693,1.0304,94194
2013-09-29,1.0316,1.03562,1.0275,1.02917,102719
2013-10-06,1.02992,1.04192,1.02956,1.03467,100586
2013-10-13,1.0361,1.0391,1.0277,1.02852,97051
2013-10-20,1.02887,1.04603,1.02707,1.04444,97469
2013-10-27,1.04467,1.04963,1.04114,1.04161,99325
2013-11-03,1.04195,1.0503,1.03977,1.04767,103828
2013-11-10,1.04845,1.05256,1.04365,1.04366,98055
2013-11-17,1.04366,1.05683,1.04146,1.05115,104387
2013-11-24,1.0523,1.06281,1.052,1.06046,109265
2013-12-01,1.06185,1.07078,1.06136,1.06378,128313
2013-12-08,1.06458,1.06696,1.05607,1.05832,107413
2013-12-15,1.05908,1.07369,1.05721,1.06337,120041
2013-12-22,1.06412,1.07183,1.05812,1.0703,75189
2013-12-29,1.07068,1.07271,1.05884,1.06297,93624
2014-01-05,1.06327,1.09457,1.06084,1.08856,149861
2014-01-12,1.09055,1.09909,1.08422,1.09594,137908
2014-01-19,1.09661,1.11731,1.09292,1.10862,164696
2014-01-26,1.10662,1.1224,1.10313,1.11271,165873
2014-02-02,1.11222,1.11331,1.09674,1.10321,156264
2014-02-09,1.10396,1.10903,1.09401,1.09775,125705
2014-02-16,1.09732,1.1195,1.09101,1.1109499999999999,140214
2014-02-23,1.11042,1.11596,1.10403,1.10606,135833
2014-03-02,1.10795,1.11176,1.0955,1.10868,138769
2014-03-09,1.1092,1.11534,1.10432,1.11043,134580
2014-03-16,1.10971,1.12782,1.1025,1.12199,148364
2014-03-23,1.1226099999999999,1.12459,1.10007,1.106,141976
2014-03-30,1.10561,1.10697,1.09565,1.09799,121679
2014-04-06,1.09808,1.10094,1.08579,1.09801,114643
2014-04-13,1.09743,1.10333,1.09421,1.10199,105176
2014-04-20,1.1023,1.10529,1.10003,1.1039,86045
2014-04-27,1.10341,1.10392,1.09354,1.09713,106448
2014-05-04,1.09762,1.09887,1.0814,1.08947,96521
2014-05-11,1.0899,1.09261,1.08515,1.08602,92323
2014-05-18,1.08621,1.09414,1.08494,1.08603,108690
2014-05-25,1.08707,1.08858,1.08219,1.08438,78176
2014-06-01,1.08424,1.09599,1.08417,1.09316,93797
2014-06-08,1.09281,1.09405,1.08412,1.08551,77832
2014-06-15,1.08544,1.08933,1.07514,1.07576,83375
2014-06-22,1.0754299999999999,1.07572,1.06595,1.06618,74995
2014-06-29,1.06624,1.06962,1.06199,1.0653,131900
2014-07-06,1.06526,1.07369,1.06303,1.07338,138807
2014-07-13,1.07317,1.07943,1.0708,1.07318,85679
2014-07-20,1.07343,1.08211,1.07097,1.08025,84617
2014-07-27,1.08144,1.09435,1.07942,1.09034,103275
2014-08-03,1.09181,1.09856,1.0903100000000001,1.0971,84325
2014-08-10,1.09711,1.09771,1.08598,1.08966,77940
2014-08-17,1.08883,1.0985800000000001,1.0875,1.09412,82391
2014-08-24,1.09667,1.09972,1.08103,1.08785,100172
2014-08-31,1.08725,1.09423,1.08209,1.0881,93508
2014-09-07,1.08834,1.10979,1.08824,1.10908,143110
2014-09-14,1.1087,1.10988,1.0887,1.09621,144456
2014-09-21,1.09612,1.1169,1.09257,1.11541,144397
2014-09-28,1.11553,1.12703,1.10716,1.1244399999999999,159227
2014-10-05,1.12542,1.12652,1.10818,1.11986,181773
2014-10-12,1.12027,1.13853,1.1182,1.1274,194717
2014-10-19,1.12828,1.12959,1.11837,1.12299,140859
2014-10-26,1.12399,1.1332,1.11215,1.12642,143202
2014-11-02,1.1278,1.14661,1.12629,1.13275,174947
2014-11-09,1.13254,1.14013,1.12639,1.1285,162897
2014-11-16,1.12924,1.13687,1.11904,1.12314,159950
2014-11-23,1.12333,1.14435,1.12244,1.1415,154938
2014-11-30,1.14284,1.14756,1.13127,1.14335,168000
2014-12-07,1.1434,1.15911,1.13971,1.15767,175683
2014-12-14,1.15838,1.16732,1.15481,1.16009,189781
2014-12-21,1.15984,1.16665,1.15777,1.16197,81742
2014-12-28,1.1614,1.17848,1.15644,1.17826,89121
2015-01-04,1.17802,1.18891,1.17307,1.18638,185787
2015-01-11,1.18619,1.20457,1.18027,1.19824,227960
2015-01-18,1.19787,1.24556,1.19333,1.2416800000000001,232477
2015-01-25,1.24406,1.2797399999999999,1.23791,1.27263,235848
2015-02-01,1.2699099999999999,1.2772700000000001,1.23518,1.25182,290692
2015-02-08,1.25378,1.2697,1.24218,1.24426,231790
2015-02-15,1.24429,1.25644,1.23626,1.2530000000000001,210677
2015-02-22,1.25309,1.26634,1.23877,1.2509299999999999,234126
2015-03-01,1.24987,1.26268,1.2407,1.26219,213622
2015-03-08,1.26175,1.28232,1.25729,1.27796,260276
2015-03-15,1.27893,1.28345,1.24485,1.2547,291856
2015-03-22,1.25415,1.26201,1.24101,1.26064,264926
2015-03-29,1.26064,1.27835,1.24289,1.24832,216490
2015-04-05,1.24832,1.26668,1.23868,1.25606,218504
2015-04-12,1.25606,1.26458,1.20873,1.22407,273540
2015-04-19,1.22407,1.23052,1.21026,1.21776,222165
2015-04-26,1.21837,1.22046,1.19443,1.21665,238312
2015-05-03,1.21533,1.21806,1.1942300000000001,1.20786,193385
2015-05-10,1.20842,1.21434,1.19197,1.20152,217817
2015-05-17,1.20101,1.23215,1.20086,1.2281,242855
2015-05-24,1.2285,1.25376,1.22747,1.24402,251724
2015-05-31,1.24378,1.25625,1.23666,1.2428,251890
2015-06-07,1.24384,1.24724,1.22017,1.23047,255939
2015-06-14,1.23129,1.23598,1.21275,1.22692,217725
2015-06-21,1.22589,1.24225,1.22178,1.23133,212192
2015-06-28,1.23346,1.26329,1.23037,1.25699,227777
2015-07-05,1.25972,1.27794,1.25625,1.2671299999999999,240714
2015-07-12,1.26997,1.30066,1.2679,1.29721,220577
2015-07-19,1.29756,1.31024,1.29163,1.3042500000000001,215014
2015-07-26,1.30368,1.30961,1.28609,1.3085499999999999,233672
2015-08-02,1.30868,1.32131,1.3047900000000001,1.3134000000000001,224458
2015-08-09,1.31164,1.31819,1.29517,1.30948,246011
2015-08-16,1.3087900000000001,1.31932,1.30239,1.31854,232893
2015-08-23,1.31789,1.3353,1.31416,1.31986,330345
2015-08-30,1.32084,1.33266,1.31165,1.32772,292027
2015-09-06,1.3250600000000001,1.33094,1.31541,1.32616,227094
2015-09-13,1.32467,1.32796,1.30118,1.32217,222824
2015-09-20,1.3218,1.3416000000000001,1.31756,1.333,239116
2015-09-27,1.33313,1.34568,1.31512,1.31524,227113
2015-10-04,1.31478,1.3175,1.29007,1.29431,223497
2015-10-11,1.29543,1.308,1.28314,1.2916,226894
2015-10-18,1.29041,1.31976,1.28978,1.3166,221453
2015-10-25,1.31661,1.32794,1.30552,1.30741,209058
2015-11-01,1.30697,1.33173,1.30377,1.33034,199078
2015-11-08,1.32935,1.33488,1.32239,1.33243,192378
2015-11-15,1.32985,1.33703,1.32463,1.33477,203628
2015-11-22,1.33263,1.34355,1.32796,1.33669,196300
2015-11-29,1.3366799999999999,1.34157,1.32929,1.33601,232188
2015-12-06,1.33685,1.37576,1.3364500000000001,1.37544,232225
2015-12-13,1.37146,1.4001000000000001,1.36728,1.39524,264479
2015-12-20,1.39328,1.39933,1.3817599999999999,1.38449,140736
