time,open,high,low,close,tick_volume
1971-01-04,357.73,357.73,357.73,357.73,1
1971-01-05,357.81,357.81,357.81,357.81,1
1971-01-06,357.86,357.86,357.86,357.86,1
1971-01-07,357.87,357.87,357.87,357.87,1
1971-01-08,357.82,357.82,357.82,357.82,1
1971-01-11,357.95,357.95,357.95,357.95,1
1971-01-12,358.06,358.06,358.06,358.06,1
1971-01-13,358.44,358.44,358.44,358.44,1
1971-01-14,358.4,358.4,358.4,358.4,1
1971-01-15,358.4,358.4,358.4,358.4,1
1971-01-18,358.29,358.29,358.29,358.29,1
1971-01-19,358.35,358.35,358.35,358.35,1
1971-01-20,358.4,358.4,358.4,358.4,1
1971-01-21,358.27,358.27,358.27,358.27,1
1971-01-22,357.9,357.9,357.9,357.9,1
1971-01-25,357.73,357.73,357.73,357.73,1
1971-01-26,357.78,357.78,357.78,357.78,1
1971-01-27,357.79,357.79,357.79,357.79,1
1971-01-28,357.83,357.83,357.83,357.83,1
1971-01-29,357.72,357.72,357.72,357.72,1
1971-02-01,357.67,357.67,357.67,357.67,1
1971-02-02,357.55,357.55,357.55,357.55,1
1971-02-03,357.54,357.54,357.54,357.54,1
1971-02-04,357.51,357.51,357.51,357.51,1
1971-02-05,357.53,357.53,357.53,357.53,1
1971-02-08,357.49,357.49,357.49,357.49,1
1971-02-09,357.5,357.5,357.5,357.5,1
1971-02-10,357.5,357.5,357.5,357.5,1
1971-02-11,357.5,357.5,357.5,357.5,1
1971-02-16,357.53,357.53,357.53,357.53,1
1971-02-17,357.53,357.53,357.53,357.53,1
1971-02-18,357.53,357.53,357.53,357.53,1
1971-02-19,357.56,357.56,357.56,357.56,1
1971-02-22,357.6,357.6,357.6,357.6,1
1971-02-23,357.55,357.55,357.55,357.55,1
1971-02-24,357.6,357.6,357.6,357.6,1
1971-02-25,357.56,357.56,357.56,357.56,1
1971-02-26,357.56,357.56,357.56,357.56,1
1971-03-01,357.63,357.63,357.63,357.63,1
1971-03-02,357.56,357.56,357.56,357.56,1
1971-03-03,357.49,357.49,357.49,357.49,1
1971-03-04,357.45,357.45,357.45,357.45,1
1971-03-05,357.59,357.59,357.59,357.59,1
1971-03-08,357.55,357.55,357.55,357.55,1
1971-03-09,357.46,357.46,357.46,357.46,1
1971-03-10,357.59,357.59,357.59,357.59,1
1971-03-11,357.56,357.56,357.56,357.56,1
1971-03-12,357.58,357.58,357.58,357.58,1
1971-03-15,357.54,357.54,357.54,357.54,1
1971-03-16,357.49,357.49,357.49,357.49,1
1971-03-17,357.53,357.53,357.53,357.53,1
1971-03-18,357.56,357.56,357.56,357.56,1
1971-03-19,357.56,357.56,357.56,357.56,1
1971-03-22,357.44,357.44,357.44,357.44,1
1971-03-23,357.53,357.53,357.53,357.53,1
1971-03-24,357.53,357.53,357.53,357.53,1
1971-03-25,357.47,357.47,357.47,357.47,1
1971-03-26,357.47,357.47,357.47,357.47,1
1971-03-29,357.44,357.44,357.44,357.44,1
1971-03-30,357.49,357.49,357.49,357.49,1
1971-03-31,357.42,357.42,357.42,357.42,1
1971-04-01,357.49,357.49,357.49,357.49,1
