time,open,high,low,close,tick_volume
1971-01-03,357.73,357.87,357.73,357.82,5
1971-01-10,357.95,358.44,357.95,358.4,5
1971-01-17,358.29,358.4,357.9,357.9,5
1971-01-24,357.73,357.83,357.72,357.72,5
1971-01-31,357.67,357.67,357.51,357.53,5
1971-02-07,357.49,357.5,357.49,357.5,4
1971-02-14,357.53,357.56,357.53,357.56,4
1971-02-21,357.6,357.6,357.55,357.56,5
1971-02-28,357.63,357.63,357.45,357.59,5
1971-03-07,357.55,357.59,357.46,357.58,5
1971-03-14,357.54,357.56,357.49,357.56,5
1971-03-21,357.44,357.53,357.44,357.47,5
1971-03-28,357.44,357.53,357.42,357.53,5
1971-04-04,357.5,357.55,357.46,357.5,5
1971-04-11,357.5,357.62,357.5,357.54,5
1971-04-18,357.49,357.49,357.49,357.49,5
1971-04-25,357.5,357.5,357.4,357.4,5
1971-05-02,357.41,357.41,357.4,357.41,5
1971-05-09,357.14,357.53,357.14,357.49,5
1971-05-16,357.4,357.46,357.4,357.4,5
1971-05-23,357.4,357.44,357.4,357.4,5
1971-05-30,357.46,357.46,357.4,357.4,4
1971-06-06,357.4,357.4,357.4,357.4,5
1971-06-13,357.4,357.46,357.4,357.4,5
1971-06-20,357.4,357.4,357.4,357.4,5
1971-06-27,357.37,357.4,357.37,357.4,5
1971-07-04,357.45,357.46,357.4,357.4,4
1971-07-11,357.41,357.44,357.4,357.4,5
1971-07-18,357.39,357.4,357.36,357.36,5
1971-07-25,357.4,357.4,357.37,357.39,5
1971-08-01,357.41,357.41,357.37,357.37,5
1971-08-08,357.35,357.4,357.35,357.35,5
1971-08-29,339.85,341.01,338.98,340.14,4
1971-09-05,339.79,339.79,338.81,338.81,4
1971-09-12,338.98,338.98,337.84,337.95,5
1971-09-19,337.27,337.44,336.98,336.98,5
1971-09-26,336.25,336.36,333.39,333.39,5
1971-10-03,333.17,333.17,332.37,332.37,5
1971-10-10,330.52,331.4,330.52,330.58,4
1971-10-17,329.6,331.07,329.6,330.36,5
1971-10-24,329.0,329.71,329.0,329.5,4
1971-10-31,329.45,330.87,329.16,329.16,4
1971-11-07,329.22,329.49,329.11,329.49,5
1971-11-14,328.73,328.8,328.4,328.4,5
1971-11-21,328.41,328.41,327.6,327.6,4
1971-11-28,327.06,327.6,325.1,325.1,5
1971-12-05,326.53,326.53,323.1,323.1,5
1971-12-12,322.79,322.79,320.0,320.36,5
1971-12-19,314.98,315.21,314.96,315.21,4
1971-12-26,314.96,315.21,314.96,315.01,5
1972-01-02,314.86,314.96,312.01,312.5,5
1972-01-09,312.99,314.47,312.99,312.99,5
1972-01-16,313.38,313.38,312.01,312.3,5
1972-01-23,312.21,312.21,310.08,310.46,5
1972-01-30,310.56,310.56,308.55,308.64,5
1972-02-06,308.17,308.17,304.69,304.69,5
1972-02-13,304.23,304.23,303.49,303.49,5
1972-02-20,302.85,302.85,302.11,302.48,4
1972-02-27,303.95,303.95,302.66,302.66,5
1972-03-05,302.75,302.75,301.66,301.93,5
1972-03-12,302.3,302.3,302.02,302.11,5
1972-03-19,302.3,302.3,301.93,302.3,5
1972-03-26,302.57,304.32,302.57,304.32,5
1972-04-02,304.14,305.16,303.21,303.21,5
1972-04-09,302.11,302.94,302.11,302.94,5
1972-04-16,302.57,303.21,302.39,303.21,5
1972-04-23,305.16,305.16,303.77,304.88,5
1972-04-30,304.41,304.41,304.23,304.32,5
1972-05-07,305.06,305.06,303.58,303.86,5
1972-05-14,304.32,304.6,304.04,304.04,5
1972-05-21,304.41,304.41,304.23,304.41,5
1972-05-28,305.34,305.34,304.23,304.23,4
1972-06-04,304.69,304.69,304.23,304.23,5
1972-06-11,304.51,304.51,303.95,303.95,5
1972-06-18,303.86,303.86,294.12,294.12,5
1972-06-25,298.51,300.93,296.74,300.93,5
1972-07-02,300.84,300.93,300.03,300.93,4
1972-07-09,301.3,301.57,301.02,301.2,5
1972-07-16,301.02,301.2,300.75,301.11,5
1972-07-23,301.2,301.2,300.75,301.2,5
1972-07-30,301.39,301.39,300.93,300.93,5
1972-08-06,301.11,301.2,301.11,301.11,5
1972-08-13,301.11,301.2,301.11,301.2,5
1972-08-20,301.11,301.2,301.11,301.2,5
1972-08-27,301.2,301.2,301.11,301.11,5
1972-09-03,301.2,301.2,301.11,301.11,4
1972-09-10,301.2,301.2,301.11,301.11,5
1972-09-17,301.11,301.11,301.11,301.11,5
1972-09-24,301.11,301.11,301.02,301.11,5
1972-10-01,301.11,301.11,300.93,300.93,5
1972-10-08,300.93,301.11,300.93,301.11,4
1972-10-15,301.11,301.11,300.75,300.75,5
1972-10-22,301.02,301.2,300.48,300.48,4
1972-10-29,301.02,301.11,299.94,299.94,5
1972-11-05,301.02,301.02,300.93,300.93,4
1972-11-12,301.02,301.11,301.02,301.02,5
1972-11-19,301.11,301.11,301.02,301.02,4
1972-11-26,301.11,301.2,301.11,301.11,5
1972-12-03,301.11,301.11,301.11,301.11,5
1972-12-10,301.07,301.11,301.07,301.11,5
1972-12-17,301.11,301.11,301.11,301.11,5
1972-12-24,301.39,302.02,301.39,301.66,4
1972-12-31,301.39,301.43,301.2,301.3,4
1973-01-07,302.21,302.21,301.48,301.66,5
1973-01-14,301.66,302.57,301.66,302.57,5
1973-01-21,302.48,302.48,301.66,301.75,5
1973-01-28,301.66,301.66,299.58,299.58,5
1973-02-04,300.75,300.75,293.26,293.26,5
1973-02-11,266.67,266.67,263.02,263.85,4
1973-02-18,265.96,265.96,264.9,264.9,4
1973-02-25,265.6,265.96,262.12,262.12,5
1973-03-04,259.07,261.92,259.07,260.42,5
1973-03-11,257.07,260.08,254.45,260.08,5
1973-03-18,263.16,266.03,263.16,266.03,5
1973-03-25,265.53,265.96,265.39,265.96,5
1973-04-01,266.03,266.03,264.55,264.76,5
1973-04-08,265.53,266.03,265.53,265.89,5
1973-04-15,265.6,265.6,265.46,265.6,5
1973-04-22,265.6,265.6,265.46,265.6,5
1973-04-29,265.53,265.53,265.53,265.53,5
1973-05-06,265.53,265.67,265.04,265.46,5
1973-05-13,264.76,264.76,262.47,264.27,5
1973-05-20,262.95,264.83,262.95,264.83,5
1973-05-27,264.9,264.9,264.06,264.06,4
1973-06-03,262.88,264.41,262.88,264.41,5
1973-06-10,264.69,264.69,264.62,264.69,5
1973-06-17,264.69,265.04,264.69,265.04,5
1973-06-24,265.18,265.18,263.16,263.16,5
1973-07-01,265.25,265.25,262.12,262.12,4
1973-07-08,259.4,265.04,259.4,265.04,5
1973-07-15,265.11,265.6,265.11,265.6,5
1973-07-22,266.17,266.17,264.76,264.76,5
1973-07-29,263.57,265.39,263.44,265.39,5
1973-08-05,265.11,265.25,265.11,265.25,5
1973-08-12,265.46,265.53,265.39,265.53,5
1973-08-19,265.6,265.6,265.18,265.25,5
1973-08-26,265.32,265.39,265.32,265.39,5
1973-09-02,265.46,265.46,265.39,265.39,4
1973-09-09,265.39,265.6,265.39,265.6,5
1973-09-16,265.53,265.53,265.25,265.25,5
1973-09-23,265.39,265.6,265.39,265.6,5
1973-09-30,265.6,266.17,265.6,266.17,5
1973-10-07,266.31,266.31,266.24,266.24,4
1973-10-14,266.45,266.45,266.31,266.38,5
1973-10-21,266.45,266.67,266.38,266.67,4
