time,open,high,low,close,tick_volume
2023-07-14,77.085,77.25,75.065,75.23,42247
2023-07-17,74.989,76.054,73.819,74.114,48489
2023-07-18,74.171,75.948,73.892,75.791,36010
2023-07-19,75.824,76.914,75.074,75.429,39096
2023-07-20,75.371,76.201,74.561,75.761,38712
2023-07-21,75.798,77.337,75.768,76.865,36699
2023-07-24,76.96,79.315,76.475,78.955,42352
2023-07-25,78.867,79.933,78.317,79.367,36953
2023-07-26,79.359,79.784,78.574,78.969,39932
2023-07-27,78.902,80.633,78.902,79.842,43539
2023-07-28,79.789,80.719,79.099,80.704,41793
2023-07-31,80.616,82.021,80.156,81.771,37548
2023-08-01,81.768,82.237,80.623,82.183,37471
2023-08-02,82.115,82.445,79.065,79.75,50796
2023-08-03,79.737,81.872,78.707,81.737,49663
2023-08-04,81.685,83.235,81.52,82.645,40347
2023-08-07,82.871,83.291,81.541,82.481,36100
2023-08-08,82.479,83.069,79.92,82.82,44637
2023-08-09,82.841,84.636,82.676,84.226,43372
2023-08-10,84.173,84.887,82.613,82.853,48003
2023-08-11,82.9,83.793,82.215,83.055,46212
2023-08-14,82.987,83.167,81.752,82.462,51080
2023-08-15,82.499,82.891,80.379,81.049,51124
2023-08-16,81.162,81.392,79.037,79.252,48299
2023-08-17,79.209,80.924,78.934,79.919,43242
2023-08-18,79.913,81.263,79.338,81.053,46850
2023-08-21,80.859,82.014,80.249,80.489,42332
2023-08-22,80.518,80.638,79.729,79.913,33749
2023-08-23,79.931,80.166,77.881,78.826,38708
2024-01-02,71.677,73.477,69.902,70.332,54371
2024-01-03,70.395,73.076,69.13,72.855,47241
2024-01-04,72.924,73.849,70.934,72.244,48182
2024-01-05,72.263,74.098,72.088,73.828,45342
2024-01-08,73.675,73.845,70.025,70.815,44841
2024-01-09,70.833,72.823,70.369,72.118,42988
2024-01-10,72.112,73.487,70.922,71.217,45062
2024-01-11,71.256,73.711,71.101,72.776,50735
2024-01-12,72.97,75.172,72.33,72.68,53866
2024-01-15,72.576,72.903,71.234,72.387,46261
2024-01-16,72.555,73.508,71.698,71.854,91829
2024-01-17,71.885,72.699,70.474,72.582,80092
2024-01-18,72.587,74.029,71.969,73.685,84004
2024-01-19,73.735,74.448,72.83,73.254,78710
2024-01-22,73.284,75.321,72.431,74.526,37978
2024-01-23,74.546,75.116,73.286,74.381,35000
2024-01-24,74.415,75.71,73.841,75.225,37918
2024-01-25,75.22,77.375,75.045,76.985,32658
2024-01-26,76.994,78.139,75.954,78.069,40833
2024-01-29,78.928,79.168,76.323,76.888,43811
2024-01-30,76.847,78.038,75.757,77.672,39416
2024-01-31,77.727,77.997,75.462,75.747,49814
2024-02-01,75.851,76.851,73.616,73.811,60857
2024-02-02,73.831,74.416,71.731,72.311,51953
2024-02-05,72.729,73.204,71.334,72.734,45104
2024-02-06,72.684,73.739,72.319,73.399,38782
2024-02-07,73.408,74.143,73.173,74.013,36680
2024-02-08,74.013,76.523,73.508,76.408,30181
2024-02-09,76.337,77.222,75.882,76.552,34148
2024-02-12,76.416,77.051,75.511,76.906,31286
2024-02-13,77.005,78.44,76.84,77.77,34704
2024-02-14,77.745,78.745,76.355,76.53,36470
2024-02-15,76.519,78.294,75.754,77.794,28849
2024-02-16,77.846,78.736,76.916,78.446,30606
2024-02-19,78.471,78.751,77.831,78.386,18387
2024-02-20,78.383,78.733,77.013,77.393,32731
2024-02-21,77.325,78.255,76.505,78.23,32121
2024-02-22,78.266,79.086,77.406,78.516,29510
2024-02-23,78.503,78.548,76.518,76.733,31120
2024-02-26,76.649,78.164,75.984,77.739,23339
2024-02-27,77.755,79.09,77.305,78.635,25487
2024-02-28,78.607,79.732,77.912,78.417,28601
2024-02-29,78.289,79.389,78.054,78.389,30494
2024-03-01,78.396,80.951,78.161,79.906,25131
2024-03-04,80.031,80.486,78.646,78.836,30069
2024-03-05,78.808,79.568,77.598,78.213,35836
2024-03-06,78.239,80.734,78.059,79.169,28012
2024-03-07,79.171,79.581,78.091,79.526,38014
2024-03-08,79.493,80.033,77.608,77.893,36087
2024-03-11,77.893,78.488,76.818,78.158,34691
2024-03-12,78.095,78.735,77.36,78.065,32802
2024-03-13,78.062,79.902,77.592,79.612,26657
2024-03-14,79.649,81.614,79.574,81.064,27312
2024-03-15,81.015,81.385,80.511,81.07,31196
2024-03-18,81.073,82.948,81.018,82.653,27691
2024-03-19,82.632,83.552,82.252,82.947,25020
2024-03-20,82.971,83.071,81.256,81.851,29660
2024-03-21,81.865,82.315,80.71,81.22,26209
2024-03-22,81.219,81.844,80.804,81.199,24202
2024-03-25,81.186,82.806,80.936,82.326,22625
2024-03-26,82.29,82.67,81.55,81.6,22080
2024-03-27,81.609,82.044,80.864,82.004,23958
2024-03-28,81.943,83.498,81.808,83.423,23101
2024-04-01,83.559,84.714,82.849,84.214,24416
2024-04-02,84.213,85.703,84.068,85.663,27181
2024-04-03,85.617,86.392,85.042,85.842,25257
2024-04-04,85.836,87.386,84.826,87.031,27918
2024-04-05,86.96,87.79,86.49,86.905,32824
2024-04-08,86.013,87.213,84.818,86.693,40905
2024-04-09,86.667,87.077,85.197,85.442,30206
2024-04-10,85.431,86.461,84.641,86.351,37620
2024-04-11,86.39,86.705,84.915,85.635,34930
2024-04-12,85.644,87.689,85.349,85.484,38028
2024-04-15,85.531,85.831,84.061,85.656,49422
2024-04-16,85.67,86.165,84.735,85.275,42307
2024-04-17,85.384,85.479,82.479,82.779,43209
2024-04-18,82.777,83.282,81.512,82.347,43114
2024-04-19,82.45,86.04,81.595,82.53,63495
2024-04-22,82.355,82.665,81.095,82.505,39713
2024-04-23,82.488,83.798,81.248,83.758,40610
2024-04-24,83.711,84.021,82.781,83.176,35685
2024-04-25,83.149,84.144,82.334,84.124,32580
2024-04-26,84.117,84.762,83.667,83.997,28752
2024-04-29,83.666,84.167,82.666,82.991,31950
2024-04-30,83.024,83.539,81.199,81.769,37035
2024-05-01,81.667,81.792,79.052,79.357,41597
2024-05-02,79.346,80.106,78.616,79.291,38717
2024-05-03,79.264,79.809,78.149,78.179,31744
2024-05-06,78.258,79.228,78.058,78.828,31426
2024-05-07,78.916,79.266,77.681,78.496,31220
2024-05-08,78.419,79.37,77.014,79.344,29772
2024-05-09,79.327,79.888,79.007,79.667,25039
2024-05-10,79.675,80.041,78.22,78.255,23861
2024-05-13,78.165,79.52,77.81,79.23,22924
2024-05-14,79.178,79.393,77.616,78.448,26032
2024-05-15,78.446,78.906,76.691,78.861,32578
2024-05-16,78.829,79.724,78.185,79.314,29509
2024-05-17,79.31,80.07,79.0,79.94,22503
2024-05-20,79.932,80.477,79.058,79.567,30739
2024-05-21,79.573,79.653,78.013,78.548,29463
2024-05-22,78.454,78.749,77.594,77.599,29385
2024-05-23,77.594,78.989,76.764,77.31,30872
2024-05-24,77.31,78.351,76.47,78.126,26890
2024-05-27,77.998,79.068,77.973,78.938,13322
2024-05-28,78.903,80.553,78.773,80.539,27471
2024-05-29,80.509,80.86,79.239,79.495,26827
2024-05-30,79.525,79.625,77.865,78.11,33042
2024-05-31,78.046,78.831,76.881,77.341,32632
2024-06-03,76.863,77.689,74.154,74.168,37507
2024-06-04,74.024,74.279,72.634,73.064,32823
2024-06-05,72.995,74.47,72.97,74.46,26655
2024-06-06,74.46,75.915,74.195,75.78,26678
2024-06-07,75.791,76.361,75.331,75.506,26272
2024-06-10,75.399,78.359,75.339,78.324,25929
2024-06-11,78.194,78.414,77.299,78.234,30909
2024-06-12,78.205,79.36,77.94,78.345,31205
2024-06-13,78.396,78.916,77.706,77.931,26575
2024-06-14,77.937,79.162,77.742,78.502,28346
2024-06-17,78.394,80.41,77.959,80.349,23591
2024-06-18,80.305,81.235,79.555,81.165,24856
2024-06-19,81.06,81.531,80.68,80.99,17664
2024-06-20,80.941,81.876,80.766,81.602,24772
2024-06-21,81.637,82.132,80.702,80.927,23079
2024-06-24,80.844,82.074,80.539,82.044,19089
2024-06-25,82.094,82.184,80.849,81.054,22999
2024-06-26,81.04,81.911,80.465,81.16,24822
2024-06-27,81.101,82.296,80.776,82.076,23494
2024-06-28,82.121,82.961,81.221,81.746,25832
2024-07-01,81.693,83.838,81.628,83.593,25029
2024-07-02,83.599,84.564,82.914,83.359,26377
2024-07-03,83.18,84.11,82.63,83.785,23797
2024-07-04,83.75,84.256,83.185,84.251,14531
2024-07-05,84.196,84.661,83.221,83.486,24326
2024-07-08,83.178,83.423,82.198,82.368,27962
2024-07-09,82.334,82.564,81.344,81.914,24185
2024-07-10,81.809,82.729,80.879,82.519,26029
2024-07-11,82.445,83.186,81.695,82.96,27997
2024-07-12,82.951,83.786,82.151,82.236,25192
2024-07-15,82.293,82.573,81.468,81.993,26423
2024-07-16,81.898,81.913,80.213,80.809,27311
2024-07-17,80.784,82.72,80.439,82.709,28835
2024-07-18,82.68,83.326,81.67,81.88,26105
2024-07-19,81.907,82.352,79.607,79.637,26118
2024-07-22,79.736,80.036,78.471,79.156,24964
2024-07-23,79.117,79.587,77.257,78.333,25404
2024-07-24,78.259,79.009,77.799,78.319,26160
2024-07-25,78.255,79.255,76.82,79.12,30384
2024-07-26,79.061,79.341,76.941,77.176,31070
2024-07-29,78.031,78.316,75.986,76.556,34893
2024-07-30,76.472,76.567,75.207,75.867,32853
2024-07-31,75.768,79.208,75.733,79.168,36815
2024-08-01,79.07,79.39,76.75,77.44,37374
2024-08-02,77.336,77.771,73.441,74.606,47937
2024-08-05,74.595,74.82,72.035,74.29,75491
2024-08-06,74.327,74.877,72.527,73.322,54364
2024-08-07,73.213,76.118,72.868,75.733,45762
2024-08-08,75.699,76.759,74.849,76.319,47794
2024-08-09,76.171,77.291,76.061,77.26,30883
2024-08-12,76.965,80.255,76.8,79.745,29405
2024-08-13,79.711,80.187,78.226,78.706,36594
2024-08-14,78.683,79.118,76.838,77.203,35339
2024-08-15,77.344,78.589,76.909,78.13,34119
2024-08-16,78.141,78.146,75.701,76.656,36050
2024-08-19,76.594,76.789,74.519,74.859,39511
2024-08-20,74.786,75.391,73.571,74.131,39744
2024-08-21,74.129,75.134,72.464,72.924,34302
2024-08-22,72.886,74.466,72.536,73.916,33236
2024-08-23,73.838,75.989,73.748,75.879,30429
2024-08-26,76.021,78.396,75.846,77.936,28731
2024-08-27,77.998,78.239,76.168,76.523,32801
2024-08-28,76.471,76.681,74.571,75.111,39739
2024-08-29,75.108,77.593,74.753,76.718,38391
2024-08-30,76.55,77.225,74.015,74.295,44346
2024-09-02,74.068,74.943,73.423,74.558,24679
2024-09-03,74.475,74.785,70.605,70.705,49664
2024-09-04,70.712,71.917,69.282,69.707,55436
2024-09-05,69.685,71.23,69.2,69.755,43987
2024-09-06,69.777,70.522,67.557,68.532,50049
2024-09-09,68.43,69.23,67.59,69.085,47369
2024-09-10,68.997,69.322,65.512,66.538,52044
2024-09-11,66.519,68.159,65.829,67.539,54631
2024-09-12,67.487,69.967,67.397,69.347,44215
2024-09-13,69.559,70.439,68.609,69.39,41182
2024-09-16,69.237,70.697,68.667,70.517,36423
2024-09-17,70.469,71.779,69.579,71.044,34533
2024-09-18,71.046,71.396,69.666,70.231,49662
2024-09-19,70.228,72.573,70.202,72.177,42219
2024-09-20,72.159,72.455,71.384,72.254,35990
2024-09-23,72.199,72.704,70.389,71.624,43439
2024-09-24,71.621,73.251,71.301,72.411,36978
2024-09-25,72.362,72.538,70.082,70.658,48850
2024-09-26,70.564,70.774,67.734,68.224,67118
2024-09-27,68.226,69.386,67.806,69.381,50793
2024-09-30,69.136,69.999,68.201,68.926,55594
2024-10-01,68.962,72.517,66.932,71.317,66313
2024-10-02,71.264,73.035,70.424,71.55,50622
2024-10-03,71.456,74.596,71.046,74.201,52999
2024-10-04,74.372,76.017,73.937,74.902,53503
2024-10-07,74.407,77.752,73.982,77.668,48781
2024-10-08,77.674,78.774,73.024,74.239,71028
2024-10-09,74.101,74.721,71.846,73.631,67972
2024-10-10,73.547,76.477,73.547,75.832,53198
2024-10-11,75.924,76.239,74.734,75.704,49212
2024-10-14,74.969,75.004,71.914,71.979,53492
2024-10-15,71.621,72.171,69.756,71.071,59061
2024-10-16,70.977,71.297,69.667,70.697,48302
2024-10-17,70.614,71.084,69.484,70.744,44339
2024-10-18,70.734,71.23,68.734,69.394,46853
2024-10-21,69.315,70.896,68.98,70.275,38969
2024-10-22,70.411,72.571,69.841,71.781,45724
2024-10-23,71.806,72.186,70.601,71.506,37906
2024-10-24,71.436,72.781,70.211,70.791,41105
2024-10-25,70.757,72.342,70.382,72.117,35607
2024-10-28,68.708,69.238,67.293,68.383,43864
2024-10-29,68.328,68.863,67.073,67.828,39264
2024-10-30,67.708,69.494,67.633,69.423,40681
2024-10-31,69.354,71.079,68.604,70.824,42547
2024-11-01,70.779,71.719,69.614,69.629,43153
2024-11-04,70.835,72.04,70.49,71.94,35071
2024-11-05,71.875,72.873,71.51,72.2,32255
2024-11-06,72.215,72.81,69.94,72.045,56242
2024-11-07,71.966,73.036,70.866,72.341,41974
2024-11-08,72.321,72.406,70.146,70.556,37899
2024-11-11,70.302,70.647,68.017,68.217,38622
2024-11-12,68.187,69.207,67.827,68.022,37568
2024-11-13,68.018,68.918,66.998,68.103,40009
2024-11-14,68.108,69.418,67.958,68.663,39554
2024-11-15,68.583,68.698,66.903,67.063,41275
2024-11-18,66.898,69.528,66.703,69.263,35390
2024-11-19,69.206,69.891,68.641,69.436,39988
2024-11-20,69.435,70.105,68.795,69.17,29144
2024-11-21,69.193,70.518,69.008,70.268,30729
2024-11-22,70.271,71.641,69.431,71.331,35240
2024-11-25,71.326,71.551,68.861,69.191,38037
2024-11-26,69.154,70.409,68.164,69.089,36172
2024-11-27,68.987,69.467,68.282,68.877,36200
2024-11-28,68.821,69.381,68.371,68.991,18695
2024-11-29,68.969,69.774,67.979,68.224,32697
2024-12-02,68.054,69.174,67.779,68.234,34610
2024-12-03,68.177,70.287,67.977,70.032,28192
2024-12-04,70.03,70.57,68.56,68.745,34132
2024-12-05,68.773,69.203,68.033,68.458,35878
2024-12-06,68.472,68.537,67.027,67.202,28948
2024-12-09,67.216,68.902,67.111,68.171,29419
2024-12-10,68.17,69.07,67.73,68.485,26746
2024-12-11,68.508,70.533,68.453,70.378,27417
