time,open,high,low,close,tick_volume
2023-07-14 01:00:00,77.085,77.25,77.07,77.175,325
2023-07-14 02:00:00,77.17,77.23,77.155,77.195,184
2023-07-14 03:00:00,77.2,77.245,77.065,77.065,833
2023-07-14 04:00:00,77.055,77.17,76.99,77.105,1771
2023-07-14 05:00:00,77.11,77.13,76.869,77.01,1071
2023-07-14 06:00:00,77.005,77.025,76.905,76.945,542
2023-07-14 07:00:00,76.95,76.97,76.88,76.925,253
2023-07-14 08:00:00,76.93,77.04,76.865,77.025,881
2023-07-14 09:00:00,77.035,77.035,76.532,76.611,1654
2023-07-14 10:00:00,76.641,76.829,76.505,76.771,2350
2023-07-14 11:00:00,76.781,76.936,76.601,76.711,2338
2023-07-14 12:00:00,76.706,76.935,76.541,76.859,2086
2023-07-14 13:00:00,76.849,76.983,76.677,76.735,1750
2023-07-14 14:00:00,76.74,76.926,76.624,76.72,1593
2023-07-14 15:00:00,76.719,76.829,76.618,76.798,1693
2023-07-14 16:00:00,76.788,76.855,76.225,76.466,4851
2023-07-14 17:00:00,76.436,76.436,75.065,75.295,5823
2023-07-14 18:00:00,75.29,75.877,75.205,75.835,4214
2023-07-14 19:00:00,75.825,75.876,75.378,75.398,2344
2023-07-14 20:00:00,75.388,75.622,75.266,75.465,2692
2023-07-14 21:00:00,75.47,75.617,75.275,75.325,2000
2023-07-14 22:00:00,75.315,75.375,75.245,75.295,523
2023-07-14 23:00:00,75.29,75.29,75.125,75.23,476
2023-07-17 01:00:00,74.989,75.114,74.596,74.864,849
2023-07-17 02:00:00,74.869,74.904,74.744,74.889,305
2023-07-17 03:00:00,74.894,74.954,74.839,74.898,476
2023-07-17 04:00:00,74.908,75.06,74.64,74.714,2082
2023-07-17 05:00:00,74.699,74.804,74.669,74.709,974
2023-07-17 06:00:00,74.704,74.784,74.704,74.769,419
2023-07-17 07:00:00,74.764,74.769,74.642,74.694,205
2023-07-17 08:00:00,74.689,74.734,74.583,74.614,621
2023-07-17 09:00:00,74.619,74.634,74.296,74.416,1586
2023-07-17 10:00:00,74.426,74.704,74.294,74.335,2293
2023-07-17 11:00:00,74.354,74.464,73.994,74.085,2980
2023-07-17 12:00:00,74.09,76.054,73.819,74.014,6670
2023-07-17 13:00:00,74.029,74.386,73.974,74.294,2253
2023-07-17 14:00:00,74.3,74.604,74.29,74.452,1880
2023-07-17 15:00:00,74.447,74.634,74.234,74.359,3268
2023-07-17 16:00:00,74.354,74.804,74.269,74.669,6941
2023-07-17 17:00:00,74.664,75.029,74.559,74.949,4364
2023-07-17 18:00:00,74.959,75.099,74.194,74.279,3548
2023-07-17 19:00:00,74.299,74.55,74.204,74.233,2210
2023-07-17 20:00:00,74.228,74.301,74.029,74.049,1856
2023-07-17 21:00:00,74.044,74.37,74.011,74.064,1712
2023-07-17 22:00:00,74.059,74.199,74.047,74.119,685
2023-07-17 23:00:00,74.114,74.174,74.064,74.114,312
2023-07-18 01:00:00,74.171,74.176,74.061,74.096,219
2023-07-18 02:00:00,74.086,74.216,74.056,74.21,180
2023-07-18 03:00:00,74.2,74.336,74.174,74.296,566
2023-07-18 04:00:00,74.301,74.466,74.266,74.341,1484
2023-07-18 05:00:00,74.346,74.356,74.236,74.346,916
2023-07-18 06:00:00,74.351,74.486,74.316,74.416,515
2023-07-18 07:00:00,74.426,74.426,74.391,74.396,280
2023-07-18 08:00:00,74.401,74.456,74.311,74.336,770
2023-07-18 09:00:00,74.341,74.346,74.206,74.226,1047
2023-07-18 10:00:00,74.231,74.329,73.892,74.099,2053
2023-07-18 11:00:00,74.089,74.436,73.966,74.319,2720
2023-07-18 12:00:00,74.329,74.713,74.226,74.668,2039
2023-07-18 13:00:00,74.663,74.692,74.405,74.516,1428
2023-07-18 14:00:00,74.511,74.546,74.382,74.386,1146
2023-07-18 15:00:00,74.396,74.509,74.066,74.101,2430
2023-07-18 16:00:00,74.096,75.196,74.046,75.116,4630
2023-07-18 17:00:00,75.126,75.416,74.791,75.226,3870
2023-07-18 18:00:00,75.221,75.517,75.116,75.34,2973
2023-07-18 19:00:00,75.33,75.843,75.259,75.626,1943
2023-07-18 20:00:00,75.621,75.9,75.518,75.85,1786
2023-07-18 21:00:00,75.86,75.948,75.488,75.666,2149
2023-07-18 22:00:00,75.656,75.736,75.556,75.736,416
2023-07-18 23:00:00,75.731,75.806,75.536,75.791,450
2023-07-19 01:00:00,75.824,75.854,75.734,75.834,239
2023-07-19 02:00:00,75.824,75.824,75.759,75.799,111
2023-07-19 03:00:00,75.804,75.814,75.629,75.664,536
2023-07-19 04:00:00,75.659,75.774,75.634,75.669,1141
2023-07-19 05:00:00,75.674,75.684,75.434,75.454,781
2023-07-19 06:00:00,75.464,75.544,75.384,75.414,525
2023-07-19 07:00:00,75.404,75.454,75.384,75.414,154
2023-07-19 08:00:00,75.419,75.676,75.414,75.649,698
2023-07-19 09:00:00,75.65,75.724,75.56,75.694,1455
2023-07-19 10:00:00,75.704,75.704,75.38,75.589,1975
2023-07-19 11:00:00,75.594,76.274,75.479,76.135,2822
2023-07-19 12:00:00,76.125,76.209,75.933,75.944,1767
2023-07-19 13:00:00,75.949,76.034,75.791,75.859,1347
2023-07-19 14:00:00,75.864,75.974,75.733,75.853,1417
2023-07-19 15:00:00,75.863,76.291,75.832,76.24,2193
2023-07-19 16:00:00,76.245,76.884,75.934,76.804,3828
2023-07-19 17:00:00,76.799,76.914,75.694,76.164,5481
2023-07-19 18:00:00,76.159,76.644,75.954,76.044,4377
2023-07-19 19:00:00,76.039,76.084,75.604,75.906,2909
2023-07-19 20:00:00,75.901,76.105,75.234,75.254,2202
2023-07-19 21:00:00,75.259,75.463,75.074,75.414,2255
2023-07-19 22:00:00,75.404,75.419,75.224,75.324,463
2023-07-19 23:00:00,75.329,75.464,75.294,75.429,420
2023-07-20 01:00:00,75.371,75.381,75.251,75.271,210
2023-07-20 02:00:00,75.266,75.291,75.211,75.241,109
2023-07-20 03:00:00,75.231,75.361,75.191,75.3,676
2023-07-20 04:00:00,75.305,75.608,75.305,75.486,1731
2023-07-20 05:00:00,75.491,75.561,75.391,75.521,946
2023-07-20 06:00:00,75.516,75.531,75.421,75.441,498
2023-07-20 07:00:00,75.446,75.461,75.351,75.361,158
2023-07-20 08:00:00,75.366,75.421,75.301,75.391,944
2023-07-20 09:00:00,75.386,75.435,75.231,75.417,1730
2023-07-20 10:00:00,75.422,75.504,75.223,75.261,2326
2023-07-20 11:00:00,75.256,75.745,75.181,75.687,2738
2023-07-20 12:00:00,75.697,75.728,75.388,75.394,1688
2023-07-20 13:00:00,75.399,75.656,75.337,75.647,1580
2023-07-20 14:00:00,75.657,75.795,75.583,75.681,1443
2023-07-20 15:00:00,75.691,75.702,75.461,75.676,2173
2023-07-20 16:00:00,75.676,76.201,75.621,75.916,4195
2023-07-20 17:00:00,75.921,76.186,75.411,75.611,3844
2023-07-20 18:00:00,75.606,75.831,74.561,75.141,3961
2023-07-20 19:00:00,75.151,75.965,75.021,75.791,2855
2023-07-20 20:00:00,75.801,75.862,75.455,75.706,2167
2023-07-20 21:00:00,75.716,75.915,75.411,75.871,2007
2023-07-20 22:00:00,75.876,75.921,75.731,75.791,418
2023-07-20 23:00:00,75.796,75.831,75.741,75.761,315
2023-07-21 01:00:00,75.798,75.863,75.798,75.818,192
2023-07-21 02:00:00,75.813,75.908,75.798,75.888,185
2023-07-21 03:00:00,75.868,75.898,75.768,75.828,419
2023-07-21 04:00:00,75.818,76.198,75.818,76.193,1451
2023-07-21 05:00:00,76.198,76.518,76.145,76.398,1270
2023-07-21 06:00:00,76.408,76.418,76.248,76.298,501
2023-07-21 07:00:00,76.293,76.368,76.258,76.368,246
2023-07-21 08:00:00,76.373,76.388,76.268,76.328,798
2023-07-21 09:00:00,76.323,76.507,76.294,76.445,1332
2023-07-21 10:00:00,76.45,76.567,76.348,76.506,2162
2023-07-21 11:00:00,76.496,76.506,76.128,76.226,2776
2023-07-21 12:00:00,76.231,76.671,76.211,76.627,2154
2023-07-21 13:00:00,76.632,76.747,76.503,76.513,1540
2023-07-21 14:00:00,76.508,76.733,76.409,76.523,1620
2023-07-21 15:00:00,76.528,76.89,76.499,76.77,2393
2023-07-21 16:00:00,76.765,76.79,75.968,75.998,4421
2023-07-21 17:00:00,75.993,76.798,75.938,76.378,3738
2023-07-21 18:00:00,76.368,76.864,76.343,76.701,3085
2023-07-21 19:00:00,76.711,77.123,76.4,77.093,2095
2023-07-21 20:00:00,77.083,77.118,76.696,76.815,1800
2023-07-21 21:00:00,76.82,77.337,76.746,77.128,1670
2023-07-21 22:00:00,77.133,77.138,76.948,76.968,442
2023-07-21 23:00:00,76.963,77.023,76.842,76.865,409
2023-07-24 01:00:00,76.96,76.985,76.655,76.66,439
2023-07-24 02:00:00,76.65,76.73,76.615,76.63,245
2023-07-24 03:00:00,76.62,76.76,76.6,76.76,508
2023-07-24 04:00:00,76.77,76.82,76.615,76.699,1942
2023-07-24 05:00:00,76.704,76.95,76.663,76.94,988
2023-07-24 06:00:00,76.935,77.082,76.868,77.0,965
2023-07-24 07:00:00,77.01,77.05,76.93,76.96,315
2023-07-24 08:00:00,76.965,76.995,76.867,76.91,873
2023-07-24 09:00:00,76.92,76.937,76.727,76.772,1312
2023-07-24 10:00:00,76.767,76.831,76.475,76.688,2642
2023-07-24 11:00:00,76.683,77.155,76.634,77.073,2771
2023-07-24 12:00:00,77.073,77.753,76.83,77.723,2715
2023-07-24 13:00:00,77.683,77.87,77.48,77.544,2283
2023-07-24 14:00:00,77.534,77.65,77.44,77.533,1761
2023-07-24 15:00:00,77.538,77.971,77.43,77.822,2583
2023-07-24 16:00:00,77.832,78.16,77.27,78.08,5048
2023-07-24 17:00:00,78.07,78.78,77.98,78.66,4829
2023-07-24 18:00:00,78.65,79.182,78.37,79.11,3296
2023-07-24 19:00:00,79.12,79.315,78.84,79.184,2131
2023-07-24 20:00:00,79.174,79.274,78.804,78.884,1958
2023-07-24 21:00:00,78.889,78.98,78.7,78.97,1818
2023-07-24 22:00:00,78.965,79.03,78.897,78.96,577
2023-07-24 23:00:00,78.97,79.0,78.91,78.955,353
2023-07-25 01:00:00,78.867,78.942,78.847,78.877,193
2023-07-25 02:00:00,78.882,78.927,78.877,78.902,122
2023-07-25 03:00:00,78.887,78.967,78.857,78.967,431
2023-07-25 04:00:00,78.962,79.077,78.784,78.902,1794
2023-07-25 05:00:00,78.907,79.057,78.862,79.002,914
2023-07-25 06:00:00,79.007,79.022,78.902,79.007,583
2023-07-25 07:00:00,79.002,79.027,78.982,79.007,230
2023-07-25 08:00:00,78.997,79.107,78.937,79.012,989
2023-07-25 09:00:00,79.017,79.127,78.927,78.997,1365
2023-07-25 10:00:00,79.002,79.102,78.623,78.652,2514
2023-07-25 11:00:00,78.657,78.863,78.317,78.601,3144
2023-07-25 12:00:00,78.591,78.836,78.509,78.665,2018
2023-07-25 13:00:00,78.675,78.947,78.637,78.877,1333
2023-07-25 14:00:00,78.867,79.086,78.679,78.747,1526
2023-07-25 15:00:00,78.752,78.838,78.368,78.498,2026
2023-07-25 16:00:00,78.503,78.787,78.357,78.663,4245
2023-07-25 17:00:00,78.668,79.347,78.633,79.047,3676
2023-07-25 18:00:00,79.052,79.85,79.037,79.785,3546
2023-07-25 19:00:00,79.77,79.85,79.37,79.491,2096
2023-07-25 20:00:00,79.481,79.893,79.481,79.867,1732
2023-07-25 21:00:00,79.877,79.933,79.563,79.607,1474
2023-07-25 22:00:00,79.617,79.687,79.577,79.647,332
2023-07-25 23:00:00,79.637,79.702,79.327,79.367,670
2023-07-26 01:00:00,79.359,79.444,79.274,79.294,357
2023-07-26 02:00:00,79.289,79.354,79.254,79.339,186
2023-07-26 03:00:00,79.344,79.449,79.264,79.334,568
2023-07-26 04:00:00,79.329,79.474,79.209,79.454,1480
2023-07-26 05:00:00,79.449,79.454,79.274,79.394,862
2023-07-26 06:00:00,79.384,79.444,79.233,79.314,640
2023-07-26 07:00:00,79.304,79.349,79.184,79.214,297
2023-07-26 08:00:00,79.219,79.234,79.134,79.174,841
2023-07-26 09:00:00,79.184,79.334,79.164,79.289,1237
2023-07-26 10:00:00,79.284,79.611,79.257,79.509,2154
2023-07-26 11:00:00,79.514,79.549,79.089,79.185,2857
2023-07-26 12:00:00,79.175,79.214,78.799,78.829,2158
2023-07-26 13:00:00,78.839,78.94,78.739,78.884,1783
2023-07-26 14:00:00,78.889,78.894,78.644,78.701,1425
2023-07-26 15:00:00,78.706,79.039,78.684,78.828,2147
2023-07-26 16:00:00,78.818,79.374,78.674,79.264,3565
2023-07-26 17:00:00,79.274,79.609,79.064,79.314,3792
2023-07-26 18:00:00,79.324,79.784,78.904,78.924,3435
2023-07-26 19:00:00,78.914,79.315,78.825,79.285,2299
2023-07-26 20:00:00,79.29,79.29,78.816,78.939,1783
2023-07-26 21:00:00,78.934,79.074,78.574,78.837,3983
2023-07-26 22:00:00,78.842,79.015,78.719,78.964,1692
