time,open,high,low,close,tick_volume
2023-07-09,77.085,77.25,75.065,75.23,42247
2023-07-16,74.989,77.337,73.819,76.865,199006
2023-07-23,76.96,80.719,76.475,80.704,204569
2023-07-30,80.616,83.235,78.707,82.645,215825
2023-08-06,82.871,84.887,79.92,83.055,218324
2023-08-13,82.987,83.167,78.934,81.053,240595
2023-08-20,80.859,82.014,77.881,78.826,114789
2023-12-31,71.677,74.098,69.13,73.828,195136
2024-01-07,73.675,75.172,70.025,72.68,237492
2024-01-14,72.576,74.448,70.474,73.254,380896
2024-01-21,73.284,78.139,72.431,78.069,184387
2024-01-28,78.928,79.168,71.731,72.311,245851
2024-02-04,72.729,77.222,71.334,76.552,184895
2024-02-11,76.416,78.745,75.511,78.446,161915
2024-02-18,78.471,79.086,76.505,76.733,143869
2024-02-25,76.649,80.951,75.984,79.906,133052
2024-03-03,80.031,80.734,77.598,77.893,168018
2024-03-10,77.893,81.614,76.818,81.07,152658
2024-03-17,81.073,83.552,80.71,81.199,132782
2024-03-24,81.186,83.498,80.864,83.423,91764
2024-03-31,83.559,87.79,82.849,86.905,137596
2024-04-07,86.013,87.689,84.641,85.484,181689
2024-04-14,85.531,86.165,81.512,82.53,241547
2024-04-21,82.355,84.762,81.095,83.997,177340
2024-04-28,83.666,84.167,78.149,78.179,181043
2024-05-05,78.258,80.041,77.014,78.255,141318
2024-05-12,78.165,80.07,76.691,79.94,133546
2024-05-19,79.932,80.477,76.47,78.126,147349
2024-05-26,77.998,80.86,76.881,77.341,133294
2024-06-02,76.863,77.689,72.634,75.506,149935
2024-06-09,75.399,79.36,75.339,78.502,142964
2024-06-16,78.394,82.132,77.959,80.927,113962
2024-06-23,80.844,82.961,80.465,81.746,116236
2024-06-30,81.693,84.661,81.628,83.486,114060
2024-07-07,83.178,83.786,80.879,82.236,131365
2024-07-14,82.293,83.326,79.607,79.637,134792
2024-07-21,79.736,80.036,76.82,77.176,137982
2024-07-28,78.031,79.39,73.441,74.606,189872
2024-08-04,74.595,77.291,72.035,77.26,254294
2024-08-11,76.965,80.255,75.701,76.656,171507
2024-08-18,76.594,76.789,72.464,75.879,177222
2024-08-25,76.021,78.396,74.015,74.295,184008
2024-09-01,74.068,74.943,67.557,68.532,223815
2024-09-08,68.43,70.439,65.512,69.39,239441
2024-09-15,69.237,72.573,68.667,72.254,198827
2024-09-22,72.199,73.251,67.734,69.381,247178
2024-09-29,69.136,76.017,66.932,74.902,279031
2024-10-06,74.407,78.774,71.846,75.704,290191
2024-10-13,74.969,75.004,68.734,69.394,252047
2024-10-20,69.315,72.781,68.98,72.117,199311
2024-10-27,68.708,71.719,67.073,69.629,209509
2024-11-03,70.835,73.036,69.94,70.556,203441
2024-11-10,70.302,70.647,66.903,67.063,197028
2024-11-17,66.898,71.641,66.703,71.331,170491
2024-11-24,71.326,71.551,67.979,68.224,161801
2024-12-01,68.054,70.57,67.027,67.202,161760
2024-12-08,67.216,71.409,67.111,71.084,142782
2024-12-15,71.094,71.174,68.787,69.892,139008
2024-12-22,69.769,70.98,68.879,70.468,78899
2024-12-29,70.378,74.487,70.323,74.202,102276
2025-01-05,74.188,77.871,72.91,76.622,169756
2025-01-12,76.943,80.752,76.943,78.623,242174
2025-01-19,78.486,78.966,74.968,75.548,178199
2025-01-26,75.33,75.965,72.607,74.472,162164
2025-02-02,75.475,75.715,70.848,71.437,195691
2025-02-09,71.179,73.884,70.362,70.642,142169
2025-02-16,70.679,73.108,70.114,70.218,113142
2025-02-23,70.098,71.228,68.352,69.957,122968
2025-03-02,69.851,70.571,65.201,67.026,183529
2025-03-09,67.075,67.915,65.27,67.155,152089
2025-03-16,67.394,68.862,66.33,68.517,108699
2025-03-23,68.604,70.375,68.149,69.186,94550
2025-03-30,69.633,72.37,60.561,62.411,214275
2025-04-06,60.723,63.938,55.174,61.531,486469
2025-04-13,61.783,64.611,60.317,64.181,152301
2025-04-20,64.06,65.198,61.873,63.485,175077
2025-04-27,64.061,64.066,56.597,58.566,198924
2025-05-04,56.317,61.517,55.497,61.122,171230
2025-05-11,61.438,63.902,60.439,62.35,148594
2025-05-18,62.328,64.524,60.371,62.096,151799
2025-05-25,61.939,63.302,60.048,60.998,123704
2025-06-01,61.585,64.93,61.545,64.9,134784
2025-06-08,64.837,77.625,64.282,73.21,231069
2025-06-15,76.098,77.062,69.423,75.304,306883
2025-06-22,78.433,78.433,65.094,66.014,257057
2025-06-29,65.784,68.287,65.319,67.03,118569
2025-07-06,66.204,69.316,65.999,68.99,132609
2025-07-13,68.999,69.765,65.587,67.151,132451
2025-07-20,67.031,67.552,65.669,65.922,113030
2025-07-27,65.882,71.181,65.842,67.863,119386
2025-08-03,67.258,68.218,63.115,63.69,109746
2025-08-10,63.559,64.639,62.073,63.241,92220
2025-08-17,62.779,64.652,62.303,64.507,82308
2025-08-24,64.444,65.739,63.556,64.538,71240
2025-08-31,64.4,66.432,61.789,62.294,81093
2025-09-07,62.386,64.253,61.815,62.715,78659
2025-09-14,62.652,64.758,62.539,62.684,73973
2025-09-21,62.651,66.631,61.901,65.396,70934
2025-09-28,65.208,65.583,60.545,60.833,87061
2025-10-05,61.44,62.99,58.275,58.34,103685
2025-10-12,59.282,60.187,56.574,57.654,146319
2025-10-19,57.605,62.912,56.355,61.766,133249
2025-10-26,62.142,62.448,59.883,61.094,129500
2025-11-02,61.49,61.68,58.971,59.941,114752
2025-11-09,60.012,61.337,58.158,59.958,116188
2025-11-16,59.534,60.939,57.475,58.08,141688
2025-11-23,58.181,59.683,57.177,58.538,90202
2025-11-30,59.124,60.52,58.334,60.16,92761
2025-12-07,60.186,60.316,57.012,57.523,92398
2025-12-14,57.474,57.779,54.974,56.623,107843
2025-12-21,56.806,58.921,56.701,56.976,62866
2025-12-28,57.042,58.577,56.639,57.349,68496
2026-01-04,56.992,59.772,55.775,58.772,126697
2026-01-11,59.091,62.333,58.42,59.319,177319
2026-01-18,58.875,61.422,58.647,61.382,137375
2026-01-25,61.201,66.52,60.197,65.757,209958
2026-02-01,64.03,65.547,61.146,63.511,279307
2026-02-08,62.859,65.831,62.119,62.789,187577
2026-02-15,63.048,67.161,61.909,66.441,160761
2026-02-22,65.658,67.903,63.694,67.399,204215
2026-03-01,72.79,92.546,69.3,91.366,718943
2026-03-08,100.033,119.463,76.791,99.258,715222
2026-03-15,101.73,101.995,91.921,98.506,484989
2026-03-22,100.473,102.048,84.991,101.472,471855
2026-03-29,102.564,114.134,96.734,112.241,388447
2026-04-05,113.024,117.706,91.208,95.688,515001
2026-04-12,104.78,105.627,81.934,84.129,339230
2026-04-19,91.056,92.183,88.091,91.167,110998
2026-04-26,97.475,99.49,96.425,98.895,64274
