time,open,high,low,close,tick_volume
2007-04-15,13.89,14.05,13.54,13.92,1353
2007-04-22,13.93,14.08,13.18,13.52,2465
2007-04-29,13.53,13.58,13.02,13.44,2135
2007-05-06,13.43,13.57,12.94,13.2,2215
2007-05-13,13.19,13.25,12.68,12.92,2175
2007-05-20,12.93,13.11,12.77,12.92,1665
2007-05-27,12.93,13.69,12.89,13.68,1735
2007-06-03,13.67,13.8,12.93,13.08,2066
2007-06-10,13.09,13.25,12.82,13.22,1916
2007-06-17,13.21,13.38,12.96,13.05,1956
2007-06-24,13.03,13.06,12.12,12.39,2485
2007-07-01,12.4,12.75,12.33,12.7,1816
2007-07-08,12.72,13.13,12.65,13.02,1745
2007-07-15,13.03,13.4,12.84,13.29,1545
2007-07-22,13.3,13.49,12.6,12.68,2425
2007-07-29,12.69,13.14,12.63,13.04,1735
2007-08-05,13.07,13.18,12.59,12.83,1935
2007-08-12,12.84,12.87,11.05,11.7,4335
2007-08-19,11.75,11.98,11.45,11.94,2705
2007-08-26,11.93,12.11,11.66,12.04,1755
2007-09-02,12.05,12.65,12.0,12.47,1986
2007-09-09,12.49,12.76,12.36,12.55,2425
2007-09-16,12.54,13.63,12.52,13.49,2565
2007-09-23,13.5,13.85,13.21,13.73,2975
2007-09-30,13.76,13.85,13.06,13.37,3055
2007-10-07,13.38,13.89,13.06,13.8,2015
2007-10-14,13.8,13.99,13.28,13.52,3055
2007-10-21,13.51,14.22,13.25,14.21,2375
2007-10-28,14.22,14.66,13.93,14.6,2775
2007-11-04,14.61,16.19,14.39,15.43,6805
2007-11-11,15.41,15.49,14.11,14.44,5215
2007-11-18,14.45,14.86,14.08,14.76,3315
2007-11-25,14.27,14.67,13.53,13.71,3435
2007-12-02,13.68,14.28,13.54,14.1,3285
2007-12-09,14.11,14.55,13.48,13.58,3215
2007-12-16,13.53,14.19,13.35,14.08,3115
2007-12-23,14.09,14.6,14.06,14.49,1645
2007-12-30,14.54,15.18,14.42,15.03,2165
2008-01-06,15.02,16.28,14.89,16.22,4395
2008-01-13,16.22,16.58,15.61,16.17,4035
2008-01-20,16.15,16.59,15.17,16.41,4435
2008-01-27,16.43,17.27,16.32,16.79,3385
2008-02-03,16.75,17.14,16.19,17.12,3245
2008-02-10,17.13,17.59,16.9,17.07,3675
2008-02-17,17.05,18.12,16.92,17.99,3415
2008-02-24,18.01,19.93,17.84,19.79,5115
2008-03-02,19.78,21.19,19.37,20.16,8435
2008-03-09,20.13,20.87,19.19,20.61,7256
2008-03-16,20.63,21.33,16.49,16.81,8935
2008-03-23,16.84,18.61,16.74,17.87,5775
2008-03-30,17.85,18.15,16.3,17.71,6445
2008-04-06,17.71,18.39,17.36,17.71,5635
2008-04-13,17.61,18.7,17.23,17.81,5825
2008-04-20,17.86,17.94,16.38,16.81,4965
2008-04-27,16.83,17.11,15.97,16.36,4145
2008-05-04,16.38,17.04,16.36,16.77,3855
2008-05-11,16.82,17.28,16.48,16.95,3825
2008-05-18,16.99,18.27,16.81,18.2,4035
2008-05-25,18.2,18.29,16.4,16.85,4365
2008-06-01,16.86,17.52,16.42,17.52,4235
2008-06-08,17.52,17.6,16.21,16.47,3625
2008-06-15,16.52,17.69,16.38,17.33,5015
2008-06-22,17.36,17.62,16.46,17.47,4265
2008-06-29,17.53,18.44,17.17,18.05,4365
2008-07-06,18.05,18.85,17.35,18.76,5205
2008-07-13,18.8,19.43,18.02,18.12,5906
2008-07-20,18.14,18.66,16.97,17.36,4575
2008-07-27,17.33,17.88,16.78,17.43,4375
2008-08-03,17.48,17.59,15.22,15.3,4155
2008-08-10,15.27,15.41,12.07,12.72,7395
2008-08-17,12.92,13.92,12.39,13.32,5175
2008-08-24,13.26,14.0,12.95,13.56,4485
2008-08-31,13.56,13.78,12.02,12.18,5855
2008-09-07,12.46,12.71,10.22,10.88,5795
2008-09-14,10.69,12.97,10.27,12.53,8795
2008-09-21,12.58,13.75,12.47,13.27,6265
2008-09-28,13.16,13.34,10.72,11.07,8185
2008-10-05,10.79,12.26,9.33,9.89,8085
2008-10-12,9.73,11.12,9.06,9.33,6725
2008-10-19,9.3,10.17,8.63,9.22,5895
2008-10-26,9.35,10.59,8.4,9.67,8196
2008-11-02,9.68,10.75,9.64,10.0,5565
2008-11-09,9.91,10.51,8.77,9.49,4955
2008-11-16,9.47,9.82,8.8,9.61,4185
2008-11-23,9.58,10.65,9.46,10.24,3585
2008-11-30,10.26,10.28,9.11,9.49,4185
2008-12-07,9.49,10.49,9.46,10.23,3955
2008-12-14,10.24,11.58,10.23,10.79,4405
2008-12-21,10.87,11.04,10.08,10.71,2384
2008-12-28,10.76,11.52,10.62,11.51,3335
2009-01-04,11.66,11.67,10.53,11.2,6275
2009-01-11,11.23,11.26,10.3,11.22,3925
2009-01-18,11.27,12.06,10.9,11.93,3545
2009-01-25,11.84,12.64,11.64,12.62,3575
2009-02-01,12.56,13.17,12.14,13.05,3385
2009-02-08,13.07,13.72,12.73,13.65,3275
2009-02-15,13.63,14.59,13.47,14.39,3255
2009-02-22,14.4,14.6,12.81,13.07,5285
2009-03-01,13.12,13.5,12.44,13.28,3826
2009-03-08,13.26,13.38,12.45,13.18,3395
2009-03-15,12.94,13.83,11.89,13.74,5335
2009-03-22,13.68,13.85,12.96,13.28,3825
2009-03-29,13.26,13.33,12.56,12.73,3875
2009-04-05,12.64,12.65,12.02,12.28,2265
2009-04-12,12.38,12.91,11.78,11.82,2805
2009-04-19,11.82,12.92,11.78,12.83,2725
2009-04-26,12.81,13.18,12.02,12.41,4025
2009-05-03,12.44,14.13,12.42,13.96,3785
2009-05-10,13.99,14.33,13.66,13.97,3365
2009-05-17,13.94,14.8,13.61,14.66,3255
2009-05-24,14.53,15.66,14.27,15.64,3485
2009-05-31,15.72,16.21,15.04,15.19,4845
2009-06-07,15.23,15.52,14.71,14.8,4545
2009-06-14,14.8,14.82,13.92,14.17,2945
2009-06-21,14.18,14.29,13.59,14.06,2555
2009-06-28,14.05,14.12,13.25,13.4,2805
2009-07-05,13.4,13.41,12.51,12.64,2655
2009-07-12,12.65,13.44,12.42,13.35,2615
2009-07-19,13.3,13.87,13.3,13.86,2275
2009-07-26,13.86,14.07,13.16,13.9,3145
2009-08-02,13.89,15.01,13.83,14.57,4355
2009-08-09,14.57,15.16,14.1,14.65,3355
2009-08-16,14.68,14.68,13.48,14.12,4235
2009-08-23,14.16,14.84,14.03,14.71,3145
2009-08-30,14.73,16.3,14.51,16.2,4315
2009-09-06,16.2,16.96,16.0,16.73,3835
2009-09-13,16.69,17.63,16.29,16.96,3515
2009-09-20,16.98,17.28,15.91,15.98,4085
2009-09-27,16.05,16.71,15.71,16.07,3935
2009-10-04,16.1,17.89,15.98,17.68,3225
2009-10-11,17.67,18.06,17.16,17.42,3465
2009-10-18,17.41,17.92,17.22,17.65,4045
2009-10-25,17.63,17.75,16.0,16.33,4535
2009-11-01,16.3,17.58,16.21,17.33,4165
2009-11-08,17.44,17.74,17.0,17.4,3265
2009-11-15,17.41,18.81,17.41,18.49,4545
2009-11-22,18.47,18.91,17.65,18.25,4025
2009-11-29,18.21,19.42,18.07,18.46,4195
2009-12-06,18.45,18.51,16.87,17.14,5395
2009-12-13,17.12,17.75,17.03,17.23,3145
2009-12-20,17.25,17.47,16.73,17.44,2614
2009-12-27,17.43,17.62,16.71,16.83,2014
2010-01-03,16.87,18.47,16.8,18.43,3205
2010-01-10,18.42,18.86,18.05,18.39,3435
2010-01-17,18.35,18.81,16.84,17.05,4095
2010-01-24,16.99,17.22,15.98,16.16,4535
2010-01-31,16.17,16.91,14.62,15.15,4915
2010-02-07,15.1,15.7,14.92,15.48,3805
2010-02-14,15.5,16.48,15.42,16.25,4175
2010-02-21,16.38,16.53,15.59,16.41,3795
2010-02-28,16.62,17.46,16.3,17.29,3345
2010-03-07,17.36,17.61,16.79,17.06,4135
2010-03-14,17.02,17.56,16.92,16.96,2115
2010-03-21,16.91,17.11,16.51,16.9,3075
2010-03-28,16.92,17.96,16.9,17.58,2585
2010-04-04,17.77,18.4,17.77,18.34,2095
2010-04-11,18.43,18.58,17.59,17.72,3265
2010-04-18,17.63,18.22,17.46,18.21,2955
2010-04-25,18.33,18.74,17.8,18.61,2725
2010-05-02,18.58,18.84,17.04,18.34,5325
2010-05-09,18.21,19.79,18.17,19.27,5175
2010-05-16,19.27,19.37,17.39,17.61,5085
2010-05-23,17.63,18.6,17.5,18.36,3545
2010-05-30,18.36,18.68,17.27,17.38,3585
2010-06-06,17.36,18.5,17.15,18.18,4425
2010-06-13,18.26,19.24,18.18,19.12,3205
2010-06-20,19.16,19.43,18.16,19.02,4555
2010-06-27,19.0,19.21,17.59,17.79,3945
2010-07-04,17.8,18.21,17.55,18.1,3535
2010-07-11,18.05,18.52,17.74,17.87,3415
2010-07-18,17.83,18.26,17.43,18.09,2915
2010-07-25,18.1,18.25,17.33,17.96,3075
2010-08-01,17.97,18.68,17.96,18.45,3145
2010-08-08,18.44,18.57,17.78,18.12,2995
2010-08-15,18.09,18.61,17.85,17.96,2845
2010-08-22,17.98,19.32,17.74,19.07,4025
2010-08-29,19.04,19.93,18.82,19.83,2875
2010-09-05,19.89,20.13,19.53,19.85,2825
2010-09-12,19.87,20.99,19.79,20.72,3115
2010-09-19,20.73,21.45,20.51,21.45,2845
2010-09-26,21.43,22.15,21.02,22.11,3725
2010-10-03,22.09,23.51,21.81,23.22,4855
2010-10-10,23.34,24.91,22.93,24.26,5776
2010-10-17,24.24,24.5,22.84,23.27,6316
2010-10-24,23.31,24.72,23.17,24.71,5536
2010-10-31,24.72,26.92,23.93,26.77,7116
2010-11-07,26.83,29.35,25.8,26.08,13326
2010-11-14,26.01,27.4,24.99,27.33,8286
2010-11-21,27.57,27.91,26.43,26.71,6196
2010-11-28,26.76,29.39,26.49,29.26,7096
2010-12-05,29.62,30.7,27.98,28.63,9616
2010-12-12,28.62,29.94,28.31,29.15,7126
2010-12-19,29.17,29.56,28.76,29.27,4136
2010-12-26,29.13,30.9,28.77,30.88,5016
2011-01-02,30.87,31.24,28.33,28.75,8876
2011-01-09,28.71,29.81,28.09,28.4,5456
2011-01-16,28.44,29.48,27.1,27.47,6786
2011-01-23,27.51,28.03,26.39,27.93,7566
2011-01-30,28.04,29.3,27.54,29.07,6636
2011-02-06,29.17,30.51,29.0,29.91,5016
2011-02-13,29.92,32.87,29.8,32.53,6266
2011-02-20,32.63,34.32,31.73,33.31,10586
2011-02-27,33.33,35.55,33.27,35.52,6486
2011-03-06,35.62,36.73,34.04,35.85,11656
2011-03-13,35.78,36.48,33.55,35.1,11846
2011-03-20,35.42,38.16,35.24,37.25,8416
2011-03-27,37.27,37.94,36.43,37.73,7346
2011-04-03,37.79,40.86,37.75,40.81,6326
2011-04-10,41.05,42.88,39.69,42.86,10716
2011-04-17,43.02,46.82,42.18,46.74,8666
2011-04-24,47.47,49.78,44.6,48.01,22936
2011-05-01,43.83,48.0,33.04,34.89,33116
2011-05-08,35.64,39.48,32.32,34.99,23866
