time,open,high,low,close,tick_volume
2007-06-22,651.3,656.3,650.6,653.9,881
2007-06-24,654.05,654.45,652.2,652.2,266
2007-06-25,653.9,654.2,648.5,651.1,1727
2007-06-26,651.1,651.85,638.85,641.85,2892
2007-06-27,640.6,644.7,638.3,643.0,1802
2007-06-28,643.1,649.8,642.6,648.35,1692
2007-06-29,648.8,652.35,646.2,649.35,2212
2007-07-01,650.85,651.1,650.2,650.35,131
2007-07-02,650.2,658.6,648.3,656.2,2732
2007-07-03,657.1,658.05,651.7,653.55,1712
2007-07-04,652.6,654.8,652.5,654.05,577
2007-07-05,654.1,656.5,645.4,649.1,3372
2007-07-06,648.9,656.0,645.0,655.65,3037
2007-07-08,656.0,656.4,654.8,655.0,221
2007-07-09,655.2,663.1,653.3,659.9,2847
2007-07-10,660.0,664.9,658.4,663.55,1787
2007-07-11,662.6,665.95,659.5,661.3,2007
2007-07-12,660.4,669.3,660.4,666.3,2227
2007-07-13,666.8,668.5,663.1,666.6,2067
2007-07-15,666.35,667.3,666.3,666.9,146
2007-07-16,666.1,668.7,663.2,665.45,1852
2007-07-17,664.8,667.3,662.25,664.8,1902
2007-07-18,664.4,674.15,664.1,673.2,2167
2007-07-19,672.6,677.6,671.0,676.55,1727
2007-07-20,677.5,686.75,674.9,683.1,3467
2007-07-22,683.75,684.7,682.55,682.85,341
2007-07-23,682.8,684.95,679.8,682.1,1632
2007-07-24,681.2,687.75,679.8,681.25,2887
2007-07-25,681.0,681.8,670.5,675.65,3277
2007-07-26,675.4,676.85,654.5,662.65,5227
2007-07-27,662.7,666.8,656.5,660.9,3622
2007-07-29,661.1,661.95,660.0,661.15,386
2007-07-30,660.7,665.7,659.6,665.15,1537
2007-07-31,664.5,668.7,662.9,663.75,2027
2007-08-01,663.4,667.5,658.8,665.35,2817
2007-08-02,666.9,667.1,662.3,665.35,1587
2007-08-03,665.1,675.35,664.6,673.45,2627
2007-08-05,673.25,675.4,672.5,672.75,531
2007-08-06,672.6,674.8,668.7,671.55,2177
2007-08-07,671.5,672.5,665.8,671.35,2537
2007-08-08,671.7,676.7,669.3,673.55,2357
2007-08-09,674.4,674.5,658.9,661.8,3662
2007-08-10,661.2,676.15,657.7,672.6,5077
2007-08-12,672.5,672.5,670.45,670.6,221
2007-08-13,671.4,672.7,668.1,668.9,1267
2007-08-14,668.9,671.3,665.2,669.65,2212
2007-08-15,668.9,670.9,661.7,667.9,3202
2007-08-16,666.5,667.9,641.6,648.9,7082
2007-08-17,651.2,664.05,645.3,657.5,5967
2007-08-19,657.05,657.05,653.65,653.85,361
2007-08-20,656.4,660.4,652.7,657.05,2567
2007-08-21,657.4,659.9,653.9,657.35,2207
2007-08-22,657.2,661.75,654.2,660.3,2312
2007-08-23,660.2,664.95,658.2,659.5,2402
2007-08-24,659.6,668.75,657.2,667.95,2892
2007-08-26,668.05,668.25,667.05,667.45,181
2007-08-27,667.7,668.4,665.3,666.1,982
2007-08-28,666.6,668.3,661.65,662.35,1737
2007-08-29,663.1,668.85,660.7,666.4,2422
2007-08-30,667.1,668.05,663.1,665.6,1512
