time,open,high,low,close,tick_volume
2007-06-17,651.3,656.3,650.6,653.9,881
2007-06-24,654.05,654.45,638.3,649.35,10591
2007-07-01,650.85,658.6,645.0,655.65,11561
2007-07-08,656.0,669.3,653.3,666.6,11156
2007-07-15,666.35,686.75,662.25,683.1,11261
2007-07-22,683.75,687.75,654.5,660.9,16986
2007-07-29,661.1,675.35,658.8,673.45,10981
2007-08-05,673.25,676.7,657.7,672.6,16341
2007-08-12,672.5,672.7,641.6,657.5,19951
2007-08-19,657.05,668.75,652.7,667.95,12741
2007-08-26,668.05,674.5,660.7,672.3,8105
2007-09-02,672.5,706.5,671.1,699.9,7325
2007-09-09,699.0,717.0,698.8,707.2,8325
2007-09-16,707.3,739.1,705.9,730.4,9955
2007-09-23,731.0,745.5,721.7,742.6,8845
2007-09-30,743.7,747.5,720.3,741.6,11395
2007-10-07,740.9,753.4,726.2,749.2,8785
2007-10-14,749.0,770.8,747.2,765.7,10255
2007-10-21,766.2,785.6,745.0,784.7,9095
2007-10-28,784.2,807.8,776.5,807.1,9835
2007-11-04,806.9,845.4,800.5,830.7,14515
2007-11-11,829.9,832.2,782.2,785.9,17095
2007-11-18,786.0,825.4,772.4,823.0,13915
2007-11-25,823.6,836.5,778.7,781.8,15425
2007-12-02,782.9,806.5,776.6,795.6,13415
2007-12-09,795.7,816.8,787.4,794.1,12885
2007-12-16,793.7,812.1,784.9,809.6,9675
2007-12-23,810.6,839.7,807.8,838.9,6524
2007-12-30,841.0,868.9,829.2,860.6,10064
2008-01-06,860.4,898.0,854.9,895.7,14645
2008-01-13,895.0,914.1,870.0,884.35,17590
2008-01-20,882.4,923.45,849.2,913.3,18815
2008-01-27,911.3,936.75,903.6,903.95,14960
2008-02-03,905.4,920.55,884.0,920.2,13645
2008-02-10,921.75,927.1,896.05,902.05,13075
2008-02-17,902.45,953.85,900.05,945.15,14920
2008-02-24,945.45,975.95,926.0,973.05,14590
2008-03-02,973.1,992.9,956.35,972.65,18540
2008-03-09,972.9,1007.05,960.9,999.3,16840
2008-03-16,1001.8,1032.35,904.33,910.75,27839
2008-03-23,914.85,954.65,906.1,930.1,17520
2008-03-30,930.8,940.65,872.2,913.35,19560
2008-04-06,912.3,939.6,902.9,924.95,16355
2008-04-13,918.9,952.6,904.55,917.9,17581
2008-04-20,916.85,928.55,877.6,884.15,16755
2008-04-27,888.95,895.7,844.95,856.75,13500
2008-05-04,858.25,889.5,858.15,885.25,12950
2008-05-11,883.3,904.9,859.8,902.9,13780
2008-05-18,903.5,935.15,900.55,924.75,12615
