time,open,high,low,close,tick_volume
2022-06-14 00:00:00,123.581,123.799,123.349,123.571,98
2022-06-14 03:00:00,123.288,123.769,123.015,123.652,1169
2022-06-14 04:00:00,123.647,123.991,123.04,123.409,3413
2022-06-14 05:00:00,123.43,123.971,123.415,123.885,2133
2022-06-14 06:00:00,123.875,123.956,123.334,123.399,1332
2022-06-14 07:00:00,123.384,123.561,123.338,123.51,618
2022-06-14 08:00:00,123.48,124.269,123.43,124.188,1641
2022-06-14 09:00:00,124.188,124.871,124.188,124.507,2738
2022-06-14 10:00:00,124.527,125.205,124.376,124.76,2597
2022-06-14 11:00:00,124.75,124.77,124.406,124.593,2921
2022-06-14 12:00:00,124.598,124.79,124.052,124.669,2599
2022-06-14 13:00:00,124.674,125.003,124.396,124.851,2071
2022-06-14 14:00:00,124.841,124.902,124.214,124.244,2320
2022-06-14 15:00:00,124.234,125.402,124.052,125.281,3861
2022-06-14 16:00:00,125.286,126.457,125.005,126.3,7374
2022-06-14 17:00:00,126.321,126.609,125.716,126.371,7162
2022-06-14 18:00:00,126.366,126.543,125.172,125.572,6591
2022-06-14 19:00:00,125.582,125.582,124.919,125.026,4687
2022-06-14 20:00:00,124.995,125.167,122.891,123.642,7112
2022-06-14 21:00:00,123.64,123.796,121.667,121.748,8076
2022-06-14 22:00:00,121.732,122.355,120.273,122.023,5453
2022-06-14 23:00:00,122.003,122.454,121.73,122.408,1466
2022-06-15 00:00:00,122.242,122.369,122.172,122.172,32
2022-06-15 03:00:00,122.01,122.536,121.949,122.212,1135
2022-06-15 04:00:00,122.212,123.188,122.212,122.652,2868
2022-06-15 05:00:00,122.657,122.93,122.536,122.536,1328
2022-06-15 06:00:00,122.525,122.717,122.212,122.616,1153
2022-06-15 07:00:00,122.626,122.692,122.576,122.616,422
2022-06-15 08:00:00,122.616,123.097,122.606,122.915,1332
2022-06-15 09:00:00,122.92,123.061,122.637,122.637,2197
2022-06-15 10:00:00,122.622,122.793,122.066,122.738,2823
2022-06-15 11:00:00,122.753,122.975,121.757,121.934,3717
2022-06-15 12:00:00,121.959,121.959,120.842,121.231,3410
2022-06-15 13:00:00,121.241,121.484,120.701,121.024,2779
2022-06-15 14:00:00,120.964,122.288,120.964,122.111,2960
2022-06-15 15:00:00,122.116,122.622,121.797,122.222,3660
2022-06-15 16:00:00,122.222,122.571,121.254,122.05,7953
2022-06-15 17:00:00,122.058,122.326,120.554,121.451,7598
2022-06-15 18:00:00,121.451,122.356,121.209,121.3,6639
2022-06-15 19:00:00,121.34,121.906,120.956,121.391,4615
2022-06-15 20:00:00,121.401,121.747,120.501,121.524,5301
2022-06-15 21:00:00,121.524,122.556,119.02,120.129,10023
2022-06-15 22:00:00,120.139,121.284,119.93,119.988,4771
2022-06-15 23:00:00,119.968,120.387,119.771,120.089,1318
2022-06-16 00:00:00,120.026,120.137,119.845,120.077,54
2022-06-16 03:00:00,120.764,121.067,120.436,120.834,1645
2022-06-16 04:00:00,120.824,121.249,120.733,120.779,2721
2022-06-16 05:00:00,120.764,120.996,120.319,120.45,1513
2022-06-16 06:00:00,120.446,120.653,120.37,120.476,1149
2022-06-16 07:00:00,120.466,120.481,120.178,120.233,632
2022-06-16 08:00:00,120.238,120.42,119.951,120.067,1433
2022-06-16 09:00:00,120.067,120.799,120.056,120.638,2440
2022-06-16 10:00:00,120.632,120.915,119.961,120.243,3372
2022-06-16 11:00:00,120.258,120.45,119.43,119.476,3493
2022-06-16 12:00:00,119.486,119.597,118.597,119.496,3785
2022-06-16 13:00:00,119.511,119.567,118.081,118.248,3253
2022-06-16 14:00:00,118.243,118.753,117.263,117.733,3923
2022-06-16 15:00:00,117.738,119.248,117.167,118.9,4508
2022-06-16 16:00:00,118.905,119.304,116.983,117.538,7816
2022-06-16 17:00:00,117.531,119.67,116.74,119.054,8519
2022-06-16 18:00:00,119.056,119.925,118.41,119.42,7264
2022-06-16 19:00:00,119.428,120.438,119.054,120.4,5236
2022-06-16 20:00:00,120.39,121.413,120.36,121.064,5557
2022-06-16 21:00:00,121.069,121.489,120.41,121.256,5305
2022-06-16 22:00:00,121.246,121.418,120.297,120.367,2519
2022-06-16 23:00:00,120.35,120.683,120.183,120.355,946
2022-06-17 00:00:00,120.246,120.246,119.974,120.12,35
2022-06-17 03:00:00,120.216,120.327,119.686,120.029,1240
2022-06-17 04:00:00,119.999,120.69,119.802,120.509,2994
2022-06-17 05:00:00,120.509,120.64,120.13,120.317,1751
2022-06-17 06:00:00,120.327,120.342,119.908,120.08,1165
2022-06-17 07:00:00,120.105,120.418,120.105,120.216,618
