time,open,high,low,close,tick_volume
1971-01-03,0.5369,0.5371,0.5365,0.5371,5
1971-01-10,0.5371,0.5376,0.5371,0.5376,5
1971-01-17,0.5379,0.5386,0.5377,0.5386,5
1971-01-24,0.5385,0.5388,0.5385,0.5387,5
1971-01-31,0.5386,0.5389,0.5384,0.5384,5
1971-02-07,0.5385,0.5386,0.5381,0.5381,4
1971-02-14,0.5385,0.5387,0.5384,0.5385,4
1971-02-21,0.5388,0.5389,0.5379,0.5379,5
1971-02-28,0.5383,0.539,0.5382,0.5386,5
1971-03-07,0.5385,0.5388,0.5384,0.5385,5
1971-03-14,0.5384,0.5387,0.5384,0.5387,5
1971-03-21,0.5387,0.5387,0.5386,0.5387,5
1971-03-28,0.5384,0.5389,0.5384,0.5389,5
1971-04-04,0.5385,0.5387,0.5385,0.5387,5
1971-04-11,0.5381,0.5382,0.5377,0.5377,5
1971-04-18,0.5367,0.5381,0.5367,0.5373,5
1971-04-25,0.5375,0.5384,0.5375,0.5384,5
1971-05-02,0.5385,0.5479,0.5385,0.5479,5
1971-05-09,0.5525,0.5525,0.548,0.5515,5
1971-05-16,0.5513,0.5586,0.5513,0.5586,5
1971-05-23,0.5573,0.5573,0.5514,0.5514,5
1971-05-30,0.5478,0.5545,0.5478,0.5545,4
1971-06-06,0.5554,0.5577,0.5554,0.5577,5
1971-06-13,0.5577,0.5582,0.5577,0.5579,5
1971-06-20,0.558,0.5598,0.558,0.5586,5
1971-06-27,0.5582,0.5592,0.5582,0.5587,5
1971-07-04,0.5587,0.5588,0.5586,0.5588,4
1971-07-11,0.5586,0.5628,0.5586,0.5628,5
1971-07-18,0.5632,0.5646,0.5628,0.5646,5
1971-07-25,0.5644,0.5651,0.5644,0.5651,5
1971-08-01,0.5649,0.5676,0.5649,0.5676,5
1971-08-08,0.5737,0.5775,0.5736,0.5773,5
1971-08-22,0.5708,0.5773,0.5708,0.5751,5
1971-08-29,0.575,0.5772,0.575,0.5772,5
1971-09-05,0.5769,0.5777,0.5764,0.5777,4
1971-09-12,0.5778,0.5811,0.5778,0.5811,5
1971-09-19,0.5863,0.5907,0.5842,0.5901,5
1971-09-26,0.5903,0.5904,0.5889,0.5889,5
1971-10-03,0.5882,0.5901,0.5882,0.5899,5
1971-10-10,0.5883,0.5883,0.5859,0.5863,4
1971-10-17,0.5886,0.5895,0.5865,0.5865,5
1971-10-24,0.587,0.587,0.5858,0.5858,4
1971-10-31,0.5865,0.5865,0.5858,0.5859,4
1971-11-07,0.5852,0.5855,0.5841,0.5855,5
1971-11-14,0.5857,0.5865,0.5849,0.5865,5
1971-11-21,0.5874,0.5912,0.5874,0.5912,4
1971-11-28,0.5908,0.5981,0.5904,0.5981,5
1971-12-05,0.6016,0.6016,0.5967,0.5967,5
1971-12-12,0.5971,0.6011,0.5971,0.6,5
1971-12-19,0.6001,0.6001,0.5985,0.5985,4
1971-12-26,0.5971,0.5982,0.5961,0.5981,5
1972-01-02,0.5977,0.5994,0.5976,0.5994,5
1972-01-09,0.6012,0.6086,0.6012,0.6086,5
1972-01-16,0.6095,0.6095,0.6073,0.6075,5
1972-01-23,0.6093,0.6098,0.609,0.609,5
1972-01-30,0.6092,0.6143,0.6092,0.6107,5
1972-02-06,0.6111,0.6134,0.6111,0.6131,5
1972-02-13,0.6139,0.6197,0.6139,0.6164,5
1972-02-20,0.6156,0.6164,0.6124,0.6124,4
1972-02-27,0.6134,0.6149,0.6134,0.6143,5
1972-03-05,0.616,0.6196,0.616,0.6192,5
1972-03-12,0.6189,0.6189,0.5965,0.5965,5
1972-03-19,0.6163,0.617,0.6146,0.6146,5
1972-03-26,0.6165,0.6174,0.6165,0.6174,5
1972-04-02,0.6175,0.6175,0.6163,0.6163,5
1972-04-09,0.6163,0.6168,0.6155,0.6155,5
1972-04-16,0.6155,0.6155,0.612,0.6136,5
1972-04-23,0.6158,0.6158,0.615,0.615,5
1972-04-30,0.6151,0.6154,0.6145,0.6151,5
1972-05-07,0.6148,0.6163,0.6148,0.6153,5
1972-05-14,0.6145,0.6151,0.6139,0.6147,5
1972-05-21,0.6151,0.6156,0.6147,0.6153,55
1972-05-28,0.6159,0.6159,0.6155,0.6155,34
1972-06-04,0.6155,0.6165,0.6154,0.6163,135
1972-06-11,0.6175,0.6186,0.6172,0.6173,225
1972-06-18,0.6166,0.6221,0.6128,0.6212,515
1972-06-25,0.6214,0.6219,0.617,0.6206,745
1972-07-02,0.6208,0.6209,0.6198,0.6206,114
1972-07-09,0.6201,0.6213,0.6197,0.6207,265
1972-07-16,0.621,0.621,0.6166,0.6172,255
1972-07-23,0.6166,0.6167,0.6155,0.6159,205
1972-07-30,0.6159,0.6159,0.6147,0.6154,25
1972-08-06,0.6157,0.6157,0.6139,0.6142,55
1972-08-13,0.6145,0.6148,0.6119,0.612,245
1972-08-20,0.6114,0.614,0.6114,0.6123,285
1972-08-27,0.6129,0.6137,0.6125,0.6129,165
1972-09-03,0.6133,0.6144,0.6131,0.6138,114
1972-09-10,0.6132,0.6137,0.6125,0.6125,85
1972-09-17,0.6115,0.6126,0.6115,0.6125,85
1972-09-24,0.612,0.6121,0.6104,0.6104,65
1972-10-01,0.6086,0.6117,0.6084,0.6115,365
1972-10-08,0.6108,0.6112,0.6089,0.6089,154
1972-10-15,0.6093,0.6112,0.6091,0.61,475
1972-10-22,0.6083,0.6101,0.6083,0.6099,154
1972-10-29,0.6103,0.6112,0.6101,0.6112,95
1972-11-05,0.6104,0.6104,0.6095,0.6095,64
1972-11-12,0.6093,0.6098,0.6092,0.6094,165
1972-11-19,0.6101,0.6105,0.6101,0.6105,4
1972-11-26,0.6117,0.6134,0.6114,0.6133,225
1972-12-03,0.6123,0.6125,0.6116,0.6119,5
1972-12-10,0.6117,0.6119,0.6107,0.6109,75
1972-12-17,0.6104,0.6117,0.6102,0.6113,105
1972-12-24,0.6109,0.6109,0.6106,0.6108,4
1972-12-31,0.61,0.6106,0.61,0.6101,44
1973-01-07,0.6098,0.6111,0.6098,0.6099,145
