run,seg,pnl,sharpe,maxdd,trades,avg,costs
long_gated|engine(extreme-fill)|none,research,1166.0,1.14,-467.0,843,1.38,135.0
long_gated|engine(extreme-fill)|none,dev,-319.0,-0.89,-668.0,152,-2.1,24.0
long_gated|engine(extreme-fill)|stop2.5,research,-609.0,-0.92,-698.0,843,-0.72,135.0
long_gated|engine(extreme-fill)|stop2.5,dev,-210.0,-0.82,-501.0,152,-1.38,24.0
short_gated|engine(extreme-fill)|none,research,339.0,0.32,-566.0,410,0.83,66.0
short_gated|engine(extreme-fill)|none,dev,708.0,2.34,-475.0,72,9.83,12.0
short_gated|engine(extreme-fill)|stop2.5,research,-733.0,-0.93,-797.0,410,-1.79,66.0
short_gated|engine(extreme-fill)|stop2.5,dev,145.0,0.59,-442.0,72,2.01,12.0
combined|engine(extreme-fill)|none,research,1162.0,0.83,-902.0,1240,0.94,198.0
combined|engine(extreme-fill)|none,dev,632.0,1.39,-452.0,221,2.86,35.0
combined|engine(extreme-fill)|stop2.5,research,-1437.0,-1.41,-1488.0,1240,-1.16,198.0
combined|engine(extreme-fill)|stop2.5,dev,-52.0,-0.15,-608.0,221,-0.23,35.0
buy_hold_long(overnight),research,1823.0,1.09,-1165.0,641,2.84,103.0
buy_hold_long(overnight),dev,-1144.0,-2.03,-1501.0,131,-8.73,21.0
always_long@trend_up(intraday),research,1098.0,1.05,-350.0,3784,0.29,605.0
always_long@trend_up(intraday),dev,-75.0,-0.2,-643.0,656,-0.11,105.0
long_gated|fast(close-fill)|none,research,1807.0,1.94,-338.0,700,2.58,112.0
long_gated|fast(close-fill)|none,dev,-264.0,-0.76,-510.0,134,-1.97,21.0
long_gated|fast(close-fill)|stop2.5,research,1072.0,1.43,-261.0,844,1.27,135.0
long_gated|fast(close-fill)|stop2.5,dev,138.0,0.5,-468.0,163,0.85,26.0
short_gated|fast(close-fill)|none,research,205.0,0.2,-587.0,308,0.67,49.0
short_gated|fast(close-fill)|none,dev,782.0,2.65,-355.0,59,13.25,9.0
short_gated|fast(close-fill)|stop2.5,research,0.0,0.0,-634.0,372,0.0,60.0
short_gated|fast(close-fill)|stop2.5,dev,546.0,2.04,-314.0,69,7.91,11.0
