kind,factor,side,win,thr,hold,spec,res_sharpe,res_pnl,res_trades,res_avg,res_pf,res_maxdd,f1_train_sharpe,f1_train_trades,f1_train_avg,f1_test_sharpe,f1_test_pnl,f1_test_trades,f1_test_avg,f1_test_pf,f2_train_sharpe,f2_train_trades,f2_train_avg,f2_test_sharpe,f2_test_pnl,f2_test_trades,f2_test_avg,f2_test_pf,f3_train_sharpe,f3_train_trades,f3_train_avg,f3_test_sharpe,f3_test_pnl,f3_test_trades,f3_test_avg,f3_test_pf,f4_train_sharpe,f4_train_trades,f4_train_avg,f4_test_sharpe,f4_test_pnl,f4_test_trades,f4_test_avg,f4_test_pf
single,aroon_up_25,long,4032,1.25,24,single|aroon_up_25|long|W4032|T1.25|H24,-0.08,-8084.0,3339,-2.42,0.993,-71146.0,1.52,622,19.18,-0.78,-9983.0,710,-14.06,0.94,0.09,1332,1.46,-0.13,-1539.0,654,-2.35,0.99,0.01,1986,0.21,0.39,7409.0,708,10.46,1.029,0.15,2694,2.9,-0.4,-15901.0,645,-24.65,0.964
single,aroon_up_25,long,4032,1.25,36,single|aroon_up_25|long|W4032|T1.25|H36,0.3,34216.0,2717,12.59,1.032,-64926.0,0.28,509,4.66,-0.57,-8075.0,574,-14.07,0.951,-0.25,1083,-5.27,0.71,9160.0,538,17.03,1.063,0.1,1621,2.13,1.68,34172.0,567,60.27,1.15,0.65,2188,17.2,-0.08,-3412.0,529,-6.45,0.992
single,aroon_up_25,long,4032,1.25,84,single|aroon_up_25|long|W4032|T1.25|H84,0.55,72772.0,1618,44.98,1.078,-93544.0,1.32,305,40.39,0.34,5394.0,343,15.73,1.037,0.68,648,27.34,0.99,14154.0,319,44.37,1.112,0.79,967,32.96,1.46,33317.0,338,98.57,1.16,1.0,1305,49.95,0.15,7587.0,313,24.24,1.02
single,aroon_up_25,long,4032,1.25,120,single|aroon_up_25|long|W4032|T1.25|H120,0.59,84401.0,1223,69.01,1.094,-111334.0,1.39,230,59.09,-0.12,-1987.0,258,-7.7,0.987,0.43,488,23.78,1.01,15199.0,244,62.29,1.124,0.64,732,36.62,1.89,45561.0,254,179.37,1.238,1.06,986,73.39,0.22,12037.0,237,50.79,1.032
single,aroon_up_25,short,4032,1.25,24,single|aroon_up_25|short|W4032|T1.25|H24,-0.65,-82570.0,3294,-25.07,0.931,-143891.0,-2.7,564,-33.24,-1.07,-12575.0,687,-18.3,0.917,-1.63,1251,-25.04,-2.68,-31736.0,670,-47.37,0.821,-2.02,1921,-32.83,0.02,415.0,698,0.59,1.002,-1.19,2619,-23.92,-0.4,-19927.0,675,-29.52,0.962
single,aroon_up_25,short,4032,1.25,36,single|aroon_up_25|short|W4032|T1.25|H36,-0.94,-122448.0,2691,-45.5,0.895,-191105.0,-1.34,463,-21.97,-0.82,-10949.0,564,-19.41,0.932,-0.98,1027,-20.57,-1.44,-18807.0,557,-33.76,0.891,-1.15,1584,-25.21,-0.73,-14976.0,561,-26.7,0.941,-0.96,2145,-25.6,-1.32,-67543.0,546,-123.71,0.864
single,aroon_up_25,short,4032,1.25,84,single|aroon_up_25|short|W4032|T1.25|H84,-0.73,-106190.0,1647,-64.47,0.902,-175239.0,-0.46,283,-14.7,-1.12,-17403.0,342,-50.89,0.889,-0.85,625,-34.5,-0.87,-12892.0,341,-37.81,0.909,-0.86,966,-35.67,-2.39,-55500.0,345,-160.87,0.783,-1.37,1311,-68.62,-0.29,-16235.0,336,-48.32,0.963
single,aroon_up_25,short,4032,1.25,120,single|aroon_up_25|short|W4032|T1.25|H120,-0.92,-138250.0,1240,-111.49,0.862,-188251.0,-0.38,215,-15.63,-1.57,-24656.0,257,-95.94,0.823,-1.11,472,-59.36,-2.38,-36139.0,260,-139.0,0.759,-1.58,732,-87.64,-1.27,-30320.0,256,-118.44,0.865,-1.41,988,-95.62,-0.75,-43775.0,252,-173.71,0.896
single,aroon_up_25,long,4032,1.5,24,single|aroon_up_25|long|W4032|T1.5|H24,0.65,8705.0,172,50.61,1.291,-9988.0,2.39,113,67.62,-1.73,-5130.0,32,-160.31,0.47,0.41,145,17.32,1.51,600.0,1,600.0,inf,0.41,146,21.31,-1.86,-3648.0,8,-456.0,0.124,-0.06,154,-3.49,2.56,9242.0,18,513.44,6.059
single,aroon_up_25,long,4032,1.5,36,single|aroon_up_25|long|W4032|T1.5|H36,1.4,19841.0,138,143.78,1.871,-4449.0,2.52,92,92.01,1.22,3507.0,24,146.12,2.051,1.91,116,103.21,2.22,1242.0,1,1242.0,inf,1.71,117,112.94,-0.44,-935.0,6,-155.83,0.459,1.24,123,99.83,1.9,7562.0,15,504.13,2.625
