factor,win,thr,long_when,hold,is_sharpe,is_pnl,is_trades,is_avg_usd,is_pf,is_maxdd,oos_sharpe,oos_pnl,oos_trades,oos_avg_usd,oos_pf,all_trades,all_pnl,all_avg_usd,all_pf
close_vs_sma10,2016,1.5,high,12,-0.27,-16277.0,3423,-4.76,0.98,-51333.0,-0.21,-17122.0,1448,-11.82,0.984,4871,-33399.0,-6.86,0.982
close_vs_sma10,2016,1.5,high,84,-0.05,-3913.0,1195,-3.49,0.993,-91183.0,0.84,84797.0,523,162.63,1.109,1718,80884.0,47.08,1.057
close_vs_sma10,2016,1.5,low,12,-1.57,-93259.0,3423,-27.24,0.892,-125187.0,-0.35,-29214.0,1448,-20.18,0.973,4871,-122473.0,-25.14,0.937
close_vs_sma10,2016,1.5,low,84,-0.46,-34311.0,1195,-28.51,0.948,-100854.0,-1.0,-101549.0,523,-194.63,0.883,1718,-135860.0,-79.08,0.911
close_vs_sma10,2016,2.5,high,12,0.69,29338.0,1185,24.76,1.085,-24023.0,0.05,3047.0,502,6.07,1.006,1687,32385.0,19.2,1.04
close_vs_sma10,2016,2.5,high,84,-1.43,-86652.0,651,-133.11,0.796,-100572.0,1.5,127853.0,292,437.85,1.285,943,41201.0,43.69,1.047
close_vs_sma10,2016,2.5,low,12,-1.58,-67258.0,1185,-56.76,0.829,-80375.0,-0.3,-19111.0,502,-38.07,0.961,1687,-86369.0,-51.2,0.902
close_vs_sma10,2016,2.5,low,84,1.09,65820.0,651,101.11,1.19,-19947.0,-1.61,-137197.0,292,-469.85,0.764,943,-71377.0,-75.69,0.923
close_vs_sma10,6048,1.5,high,12,-1.07,-63559.0,3308,-19.21,0.925,-73906.0,-0.53,-44034.0,1365,-32.26,0.958,4673,-107593.0,-23.02,0.943
close_vs_sma10,6048,1.5,high,84,0.72,53389.0,1150,45.88,1.088,-51769.0,-0.42,-42799.0,499,-84.52,0.948,1649,10590.0,6.42,1.007
close_vs_sma10,6048,1.5,low,12,-0.71,-42297.0,3308,-12.79,0.95,-73269.0,0.0,354.0,1365,0.26,1.0,4673,-41943.0,-8.98,0.978
close_vs_sma10,6048,1.5,low,84,-1.22,-90173.0,1150,-77.88,0.867,-112991.0,0.26,26815.0,499,52.52,1.034,1649,-63358.0,-38.42,0.956
close_vs_sma10,6048,2.5,high,12,0.16,7047.0,1191,5.92,1.019,-29729.0,0.59,39037.0,517,75.51,1.079,1708,46084.0,26.98,1.054
close_vs_sma10,6048,2.5,high,84,-1.15,-70519.0,639,-110.36,0.831,-94972.0,2.26,198731.0,281,707.23,1.494,920,128212.0,139.36,1.156
close_vs_sma10,6048,2.5,low,12,-1.03,-45159.0,1191,-37.92,0.885,-65561.0,-0.83,-55581.0,517,-107.51,0.897,1708,-100740.0,-58.98,0.892
close_vs_sma10,6048,2.5,low,84,0.82,50071.0,639,78.36,1.14,-26709.0,-2.36,-207723.0,281,-739.23,0.657,920,-157652.0,-171.36,0.836
close_vs_sma20,2016,1.5,high,12,-0.43,-23706.0,2694,-8.8,0.965,-47380.0,0.33,25648.0,1145,22.4,1.029,3839,1942.0,0.51,1.001
close_vs_sma20,2016,1.5,high,84,0.12,8706.0,1051,8.28,1.016,-58162.0,0.64,62789.0,472,133.03,1.088,1523,71495.0,46.94,1.057
close_vs_sma20,2016,1.5,low,12,-1.14,-62502.0,2694,-23.2,0.911,-86333.0,-0.8,-62288.0,1145,-54.4,0.933,3839,-124790.0,-32.51,0.923
