factor,win,thr,long_when,hold,is_sharpe,is_pnl,is_trades,is_avg_usd,is_pf,is_maxdd,oos_sharpe,oos_pnl,oos_trades,oos_avg_usd,oos_pf,all_trades,all_pnl,all_avg_usd,all_pf
close_vs_sma10,672,1.5,high,4,-0.88,-329.0,1562,-0.21,0.919,-758.0,-0.34,-167.0,671,-0.25,0.959,2233,-496.0,-0.22,0.939
close_vs_sma10,672,1.5,high,28,-1.07,-556.0,708,-0.79,0.859,-773.0,1.19,799.0,336,2.38,1.238,1044,243.0,0.23,1.033
close_vs_sma10,672,1.5,low,4,-0.46,-171.0,1562,-0.11,0.957,-406.0,-0.1,-47.0,671,-0.07,0.988,2233,-218.0,-0.1,0.973
close_vs_sma10,672,1.5,low,28,0.64,329.0,708,0.47,1.094,-321.0,-1.35,-907.0,336,-2.7,0.785,1044,-578.0,-0.55,0.925
close_vs_sma10,672,2.5,high,4,0.09,24.0,501,0.05,1.016,-193.0,-1.05,-402.0,204,-1.97,0.796,705,-379.0,-0.54,0.891
close_vs_sma10,672,2.5,high,28,-0.71,-269.0,323,-0.83,0.859,-351.0,1.51,814.0,146,5.57,1.556,469,545.0,1.16,1.161
close_vs_sma10,672,2.5,low,4,-0.71,-184.0,501,-0.37,0.885,-300.0,0.88,337.0,204,1.65,1.211,705,153.0,0.22,1.048
close_vs_sma10,672,2.5,low,28,0.44,166.0,323,0.51,1.098,-284.0,-1.6,-861.0,146,-5.89,0.626,469,-695.0,-1.48,0.826
close_vs_sma10,2016,1.5,high,4,-1.08,-397.0,1487,-0.27,0.903,-663.0,-0.6,-316.0,679,-0.46,0.926,2166,-712.0,-0.33,0.914
close_vs_sma10,2016,1.5,high,28,-0.6,-311.0,677,-0.46,0.915,-661.0,0.38,261.0,318,0.82,1.068,995,-50.0,-0.05,0.993
close_vs_sma10,2016,1.5,low,4,-0.21,-79.0,1487,-0.05,0.98,-288.0,0.19,98.0,679,0.14,1.024,2166,19.0,0.01,1.002
close_vs_sma10,2016,1.5,low,28,0.18,95.0,677,0.14,1.027,-393.0,-0.53,-363.0,318,-1.14,0.913,995,-268.0,-0.27,0.965
close_vs_sma10,2016,2.5,high,4,-0.15,-39.0,490,-0.08,0.976,-236.0,-0.52,-222.0,214,-1.04,0.896,704,-261.0,-0.37,0.93
