factor,h,ic_mean,ic_std,icir,t,pos_pct,is_spr,oos_spr,months
close_vs_sma10,12,-0.02661,0.03063,-0.869,-4.43,0.115,-0.02109,-0.00439,26
close_vs_sma10,84,-0.00995,0.04162,-0.239,-1.22,0.5,0.00231,0.00296,26
close_vs_sma10,288,-0.00306,0.0264,-0.116,-0.59,0.346,0.01038,0.00966,26
close_vs_sma20,12,-0.0323,0.04181,-0.773,-3.94,0.192,-0.02399,-0.00841,26
close_vs_sma20,84,-0.01252,0.05989,-0.209,-1.07,0.462,0.00428,0.00191,26
close_vs_sma20,288,-0.00085,0.03984,-0.021,-0.11,0.385,0.01728,0.01241,26
close_vs_sma50,12,-0.02446,0.04649,-0.526,-2.68,0.269,-0.01346,-0.00876,26
close_vs_sma50,84,-0.01732,0.08777,-0.197,-1.01,0.462,0.00639,-0.0012,26
close_vs_sma50,288,0.00454,0.06163,0.074,0.38,0.5,0.02749,0.01637,26
close_vs_sma200,12,-0.02139,0.04567,-0.468,-2.39,0.346,-0.00754,-0.00275,26
close_vs_sma200,84,-0.0107,0.10181,-0.105,-0.54,0.423,0.01344,0.03382,26
close_vs_sma200,288,0.00744,0.125,0.06,0.3,0.577,0.03383,0.01745,26
close_vs_ema9,12,-0.02878,0.03285,-0.876,-4.47,0.154,-0.02234,-0.0064,26
close_vs_ema9,84,-0.01107,0.04721,-0.235,-1.2,0.462,0.00266,0.00292,26
close_vs_ema9,288,-0.00183,0.03042,-0.06,-0.31,0.462,0.01306,0.01062,26
close_vs_ema12,12,-0.03045,0.03675,-0.829,-4.23,0.192,-0.02293,-0.00782,26
close_vs_ema12,84,-0.01236,0.05428,-0.228,-1.16,0.462,0.00336,0.0027,26
close_vs_ema12,288,-0.0011,0.03581,-0.031,-0.16,0.462,0.01575,0.01191,26
close_vs_ema21,12,-0.03134,0.04193,-0.747,-3.81,0.115,-0.02201,-0.01051,26
close_vs_ema21,84,-0.01486,0.06969,-0.213,-1.09,0.462,0.00469,0.0003,26
close_vs_ema21,288,0.0015,0.04717,0.032,0.16,0.385,0.02172,0.01446,26
close_vs_ema26,12,-0.03073,0.0432,-0.711,-3.63,0.115,-0.02079,-0.01131,26
close_vs_ema26,84,-0.01569,0.07591,-0.207,-1.05,0.462,0.00543,-0.00048,26
close_vs_ema26,288,0.00261,0.05198,0.05,0.26,0.423,0.02403,0.01564,26
close_vs_ema50,12,-0.02839,0.04482,-0.634,-3.23,0.154,-0.01695,-0.01053,26
close_vs_ema50,84,-0.01699,0.09229,-0.184,-0.94,0.462,0.00731,-1e-05,26
close_vs_ema50,288,0.00535,0.0708,0.076,0.39,0.462,0.02899,0.01901,26
close_vs_ema200,12,-0.02258,0.04142,-0.545,-2.78,0.269,-0.00796,-0.00368,26
close_vs_ema200,84,-0.01361,0.09477,-0.144,-0.73,0.423,0.01378,0.01455,26
close_vs_ema200,288,-0.00126,0.13257,-0.009,-0.05,0.577,0.03326,0.00751,26
close_vs_wma20,12,-0.0305,0.03776,-0.808,-4.12,0.192,-0.02315,-0.00672,26
close_vs_wma20,84,-0.01177,0.05252,-0.224,-1.14,0.462,0.00335,0.00344,26
close_vs_wma20,288,-0.00206,0.03469,-0.059,-0.3,0.423,0.01436,0.01165,26
macd_dif_pct,12,-0.02414,0.04741,-0.509,-2.6,0.308,-0.0133,-0.01009,26
macd_dif_pct,84,-0.01676,0.08771,-0.191,-0.97,0.462,0.00646,-0.00119,26
macd_dif_pct,288,0.00548,0.06287,0.087,0.44,0.5,0.02882,0.01672,26
macd_dea_pct,12,-0.01793,0.0483,-0.371,-1.89,0.308,-0.00754,-0.00896,26
macd_dea_pct,84,-0.01679,0.08978,-0.187,-0.95,0.462,0.00646,-0.00247,26
macd_dea_pct,288,0.00648,0.06664,0.097,0.5,0.5,0.02922,0.01505,26
macd_hist_pct,12,-0.0244,0.04545,-0.537,-2.74,0.231,-0.02198,-0.00026,26
macd_hist_pct,84,-0.00344,0.03356,-0.103,-0.52,0.577,-0.00081,0.00367,26
macd_hist_pct,288,-0.00735,0.02163,-0.34,-1.73,0.385,-0.00291,0.00518,26
rsi_6,12,-0.02858,0.03568,-0.801,-4.08,0.192,-0.02261,-0.00631,26
rsi_6,84,-0.01129,0.05495,-0.206,-1.05,0.462,0.00149,-0.00118,26
rsi_6,288,0.00031,0.03768,0.008,0.04,0.5,0.01483,0.01146,26
rsi_14,12,-0.03025,0.04365,-0.693,-3.53,0.154,-0.02188,-0.00984,26
rsi_14,84,-0.01503,0.07755,-0.194,-0.99,0.462,0.00235,-0.00545,26
rsi_14,288,0.00519,0.05441,0.095,0.49,0.538,0.02462,0.01637,26
rsi_24,12,-0.02788,0.04578,-0.609,-3.11,0.192,-0.01826,-0.01126,26
rsi_24,84,-0.01604,0.09115,-0.176,-0.9,0.5,0.00354,-0.00428,26
rsi_24,288,0.00838,0.06834,0.123,0.62,0.538,0.03093,0.01968,26
stoch_k_14,12,-0.02792,0.03723,-0.75,-3.82,0.269,-0.02194,-0.0091,26
stoch_k_14,84,-0.01384,0.05423,-0.255,-1.3,0.462,0.00034,-0.00145,26
stoch_k_14,288,-0.00731,0.03509,-0.208,-1.06,0.423,0.00827,0.01085,26
stoch_d_14,12,-0.02791,0.0395,-0.707,-3.6,0.269,-0.0217,-0.00797,26
stoch_d_14,84,-0.01518,0.05865,-0.259,-1.32,0.462,-0.00025,-0.00233,26
stoch_d_14,288,-0.00733,0.03801,-0.193,-0.98,0.423,0.00917,0.01158,26
stochrsi_k,12,-0.01827,0.03567,-0.512,-2.61,0.308,-0.0163,0.00091,26
stochrsi_k,84,-0.00363,0.02795,-0.13,-0.66,0.5,0.00035,0.00326,26
stochrsi_k,288,-0.00884,0.02167,-0.408,-2.08,0.423,-0.00361,0.00296,26
stochrsi_d,12,-0.01753,0.03706,-0.473,-2.41,0.346,-0.01559,0.00143,26
stochrsi_d,84,-0.00404,0.02931,-0.138,-0.7,0.538,-0.00015,0.00321,26
stochrsi_d,288,-0.0087,0.02331,-0.373,-1.9,0.423,-0.00336,0.00316,26
kdj_k,12,-0.02696,0.03708,-0.727,-3.71,0.192,-0.0208,-0.00601,26
kdj_k,84,-0.01803,0.0554,-0.325,-1.66,0.462,-0.0036,-0.00286,26
