factor,h,ic_mean,ic_std,icir,t,pos_pct,is_spr,oos_spr,months
close_vs_sma10,12,-0.00264,0.05803,-0.045,-0.21,0.545,0.00555,-0.00169,22
close_vs_sma10,84,0.001,0.04704,0.021,0.1,0.545,0.01501,0.01402,22
close_vs_sma10,288,-0.01104,0.05428,-0.203,-0.95,0.364,0.01388,-0.0063,22
close_vs_sma20,12,-0.0063,0.06626,-0.095,-0.45,0.455,0.00443,-0.00012,22
close_vs_sma20,84,0.00235,0.06736,0.035,0.16,0.545,0.01715,0.03448,22
close_vs_sma20,288,-0.01481,0.07986,-0.185,-0.87,0.318,0.0175,-0.00639,22
close_vs_sma50,12,-0.01886,0.08336,-0.226,-1.06,0.455,-0.00297,-0.01574,22
close_vs_sma50,84,0.00643,0.1053,0.061,0.29,0.545,0.01694,0.05137,22
close_vs_sma50,288,-0.02552,0.13754,-0.186,-0.87,0.318,0.0213,-0.00416,22
close_vs_sma200,12,-0.02224,0.05752,-0.387,-1.81,0.318,0.00259,0.01632,22
close_vs_sma200,84,-0.02653,0.17925,-0.148,-0.69,0.409,0.00962,0.01479,22
close_vs_sma200,288,-0.07297,0.24067,-0.303,-1.42,0.273,0.01167,-0.02964,22
close_vs_ema9,12,-0.00448,0.05977,-0.075,-0.35,0.545,0.00411,-0.00502,22
close_vs_ema9,84,0.00283,0.05221,0.054,0.25,0.545,0.01724,0.01865,22
close_vs_ema9,288,-0.01119,0.06304,-0.177,-0.83,0.364,0.01655,-0.00587,22
close_vs_ema12,12,-0.00634,0.0647,-0.098,-0.46,0.5,0.00332,-0.00471,22
close_vs_ema12,84,0.00334,0.06001,0.056,0.26,0.545,0.01789,0.02554,22
close_vs_ema12,288,-0.01314,0.07386,-0.178,-0.83,0.318,0.01765,-0.00556,22
close_vs_ema21,12,-0.01199,0.07579,-0.158,-0.74,0.455,0.00018,-0.00691,22
close_vs_ema21,84,0.00478,0.07951,0.06,0.28,0.591,0.01797,0.03985,22
close_vs_ema21,288,-0.01793,0.10194,-0.176,-0.83,0.318,0.01916,-0.00453,22
close_vs_ema26,12,-0.01402,0.07894,-0.178,-0.83,0.455,-0.00091,-0.00743,22
close_vs_ema26,84,0.00471,0.088,0.053,0.25,0.545,0.0175,0.04455,22
