pair,exit,pnl,sharpe,maxdd,trades,wr,pf,avg_hold,med_hold,worst,n_trail,n_stop,n_be,n_tp,n_sess
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,none,2281.8,2.137,-271.41,1378,49.6,1.372,53.4,63,-120.84,0,0,0,0,4
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,stop2,-331.0,-0.389,-746.09,1378,31.3,0.947,25.2,11,-76.34,0,839,0,0,2
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,stop2_5,-188.83,-0.213,-647.38,1378,34.5,0.971,29.2,13,-83.62,0,740,0,0,3
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,trail3,-2046.31,-3.14,-2073.95,1378,32.7,0.613,13.7,10,-76.34,1139,0,0,0,0
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,trail4,-1209.89,-1.587,-1240.82,1378,37.6,0.794,22.1,13,-86.93,956,0,0,0,1
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,target3,-1483.29,-1.883,-1521.2,1378,57.7,0.707,27.5,13,-120.84,0,0,0,720,2
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,stop2_trail3,-1959.84,-3.127,-1965.93,1378,31.1,0.613,12.2,8,-76.34,634,540,0,0,0
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,stop1,-757.55,-1.111,-870.84,1378,19.2,0.842,14.3,4,-60.49,0,1094,0,0,1
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,stop1_5,-431.66,-0.546,-741.5,1378,26.3,0.922,20.3,9,-60.49,0,957,0,0,1
long:di_ratio:W2016:T1.5:H84:none:all + short:aroon_down_25:W2016:T1.5:H12:trend_not_choppy:overlap,trail1,-2994.16,-12.791,-2994.16,1378,6.5,0.039,0.8,0,-42.88,1369,0,0,0,0
