exit,pnl,sharpe,maxdd,trades,wr,pf,avg_hold,med_hold,worst,n_trail,n_stop,n_be,n_tp,n_sess,hold
none,1158.81,1.202,-421.13,350,55.7,1.482,23.2,27,-189.27,0,0,0,0,34,
stop2,121.39,0.147,-366.14,350,41.7,1.045,14.5,14,-153.53,0,172,0,0,19,
stop2_5,555.14,0.618,-370.54,350,46.9,1.208,16.7,18,-203.82,0,138,0,0,23,
trail3,-775.92,-1.217,-866.74,350,38.6,0.679,10.7,8,-203.82,247,0,0,0,16,
trail4,-302.53,-0.409,-562.15,350,46.0,0.886,15.3,16,-264.05,179,0,0,0,22,
target3,-651.83,-1.007,-856.08,350,58.3,0.712,16.3,17,-189.27,0,0,0,144,26,
stop2_trail3,-973.3,-1.79,-993.29,350,36.3,0.593,9.6,7,-153.53,144,113,0,0,15,
stop1,-113.94,-0.152,-571.79,350,24.0,0.948,8.3,3,-78.33,0,252,0,0,10,
stop1_5,-106.04,-0.135,-499.18,350,34.0,0.959,11.6,7,-123.25,0,207,0,0,18,
trail1,-1425.5,-6.307,-1435.08,350,10.6,0.043,0.9,0,-58.08,341,0,0,0,1,
trail1_5,-1640.5,-5.126,-1652.2,350,18.9,0.134,2.5,1,-95.33,329,0,0,0,4,
trail2,-1590.76,-3.822,-1609.95,350,24.3,0.272,5.2,3,-132.13,308,0,0,0,7,
trailtp05,-1426.84,-3.222,-1501.06,350,29.7,0.127,7.0,3,-189.27,273,0,0,0,12,
trailtp10,-1412.01,-3.171,-1486.23,350,27.4,0.142,7.3,3,-189.27,270,0,0,0,13,
be10,109.62,0.161,-421.13,350,13.7,1.086,9.9,6,-189.27,0,0,238,0,16,
be15,461.98,0.614,-421.13,350,24.3,1.289,14.7,15,-189.27,0,0,171,0,22,
stop1_5_trail2,-1612.82,-3.966,-1632.01,350,23.7,0.251,4.8,3,-123.25,191,120,0,0,7,
be10_trail3,-803.45,-1.45,-895.1,350,15.1,0.515,6.0,3,-203.82,116,0,187,0,7,
none,263.18,0.534,-204.42,479,47.0,1.148,4.5,3,-88.63,0,0,0,0,2,4.0
trail1,-1989.74,-7.585,-1999.32,479,10.2,0.052,0.7,0,-58.08,441,0,0,0,0,4.0
trail2,-1259.86,-3.19,-1290.81,479,35.1,0.43,2.9,3,-89.25,224,0,0,0,2,4.0
trailtp10,-1561.51,-4.996,-1579.76,479,24.8,0.155,2.3,3,-88.63,220,0,0,0,0,4.0
be10_trail3,-1160.69,-3.478,-1191.64,479,22.5,0.334,2.5,3,-88.63,56,0,164,0,1,4.0
stop1_5_trail2,-1341.33,-3.428,-1372.28,479,34.4,0.4,2.7,3,-89.25,123,122,0,0,2,4.0
none,898.04,1.29,-247.03,400,50.7,1.468,8.3,7,-186.67,0,0,0,0,5,8.0
trail1,-1676.04,-7.313,-1685.62,400,9.0,0.043,0.7,0,-58.08,391,0,0,0,1,8.0
trail2,-1343.57,-3.391,-1358.51,400,30.2,0.386,3.9,3,-132.13,282,0,0,0,2,8.0
trailtp10,-1491.39,-4.216,-1501.12,400,25.0,0.148,3.7,3,-186.67,247,0,0,0,3,8.0
be10_trail3,-1043.91,-2.492,-1058.85,400,18.2,0.385,3.8,3,-203.82,83,0,179,0,3,8.0
stop1_5_trail2,-1429.76,-3.682,-1444.55,400,29.2,0.355,3.6,3,-123.25,157,139,0,0,2,8.0
none,515.16,0.79,-280.55,365,53.4,1.239,11.9,11,-192.2,0,0,0,0,7,12.0
trail1,-1488.14,-6.83,-1497.72,365,9.3,0.038,0.7,0,-58.08,356,0,0,0,1,12.0
trail2,-1385.4,-3.429,-1400.74,365,28.5,0.342,4.4,3,-132.13,296,0,0,0,2,12.0
trailtp10,-1540.85,-4.52,-1558.14,365,24.4,0.109,4.6,3,-192.2,255,0,0,0,2,12.0
be10_trail3,-911.23,-2.02,-934.28,365,16.2,0.466,4.6,3,-203.82,99,0,179,0,2,12.0
stop1_5_trail2,-1394.21,-3.523,-1409.55,365,27.9,0.329,4.1,3,-123.25,170,129,0,0,2,12.0
