key,method,N,W,T,V,H,regime,session,exit,pnl,sharpe,trades,avg
vote:N5:W288:T1.5:V2:H6:none:all:none,vote,5,288,1.5,2,6,none,all,none,-2842.8399999999856,-2.4282495443970795,22096,-0.25731716147718914
vote:N5:W288:T1.5:V2:H6:none:all:stop1_5,vote,5,288,1.5,2,6,none,all,stop1_5,-2842.8399999999856,-2.4282495443970795,22096,-0.25731716147718914
vote:N5:W288:T1.5:V2:H6:none:all:trail2,vote,5,288,1.5,2,6,none,all,trail2,-2842.8399999999856,-2.4282495443970795,22096,-0.25731716147718914
vote:N5:W288:T1.5:V2:H6:none:london:none,vote,5,288,1.5,2,6,none,london,none,-1273.6199999999862,-1.4164783501985414,10872,-0.23429359823399307
vote:N5:W288:T1.5:V2:H6:none:london:stop1_5,vote,5,288,1.5,2,6,none,london,stop1_5,-1273.6199999999862,-1.4164783501985414,10872,-0.23429359823399307
vote:N5:W288:T1.5:V2:H6:none:london:trail2,vote,5,288,1.5,2,6,none,london,trail2,-1273.6199999999862,-1.4164783501985414,10872,-0.23429359823399307
vote:N5:W288:T1.5:V2:H6:none:new_york:none,vote,5,288,1.5,2,6,none,new_york,none,-997.179999999994,-1.164734987339067,8248,-0.24179922405431475
vote:N5:W288:T1.5:V2:H6:none:new_york:stop1_5,vote,5,288,1.5,2,6,none,new_york,stop1_5,-997.179999999994,-1.164734987339067,8248,-0.24179922405431475
vote:N5:W288:T1.5:V2:H6:none:new_york:trail2,vote,5,288,1.5,2,6,none,new_york,trail2,-997.179999999994,-1.164734987339067,8248,-0.24179922405431475
vote:N5:W288:T1.5:V2:H6:none:overlap:none,vote,5,288,1.5,2,6,none,overlap,none,-682.2999999999882,-0.9241763432242737,4522,-0.30176912870410805
vote:N5:W288:T1.5:V2:H6:none:overlap:stop1_5,vote,5,288,1.5,2,6,none,overlap,stop1_5,-682.2999999999882,-0.9241763432242737,4522,-0.30176912870410805
vote:N5:W288:T1.5:V2:H6:none:overlap:trail2,vote,5,288,1.5,2,6,none,overlap,trail2,-682.2999999999882,-0.9241763432242737,4522,-0.30176912870410805
vote:N5:W288:T1.5:V2:H6:trend:all:none,vote,5,288,1.5,2,6,trend,all,none,-944.1600000000016,-1.3269088501829596,10417,-0.18127291926658376
vote:N5:W288:T1.5:V2:H6:trend:all:stop1_5,vote,5,288,1.5,2,6,trend,all,stop1_5,-944.1600000000016,-1.3269088501829596,10417,-0.18127291926658376
vote:N5:W288:T1.5:V2:H6:trend:all:trail2,vote,5,288,1.5,2,6,trend,all,trail2,-944.1600000000016,-1.3269088501829596,10417,-0.18127291926658376
vote:N5:W288:T1.5:V2:H6:trend:london:none,vote,5,288,1.5,2,6,trend,london,none,-370.00999999999044,-0.7245768780313385,4756,-0.15559714045415915
vote:N5:W288:T1.5:V2:H6:trend:london:stop1_5,vote,5,288,1.5,2,6,trend,london,stop1_5,-370.00999999999044,-0.7245768780313385,4756,-0.15559714045415915
vote:N5:W288:T1.5:V2:H6:trend:london:trail2,vote,5,288,1.5,2,6,trend,london,trail2,-370.00999999999044,-0.7245768780313385,4756,-0.15559714045415915
vote:N5:W288:T1.5:V2:H6:trend:new_york:none,vote,5,288,1.5,2,6,trend,new_york,none,-55.069999999997464,-0.11048269665745518,3735,-0.029488621151270395
vote:N5:W288:T1.5:V2:H6:trend:new_york:stop1_5,vote,5,288,1.5,2,6,trend,new_york,stop1_5,-55.069999999997464,-0.11048269665745518,3735,-0.029488621151270395
vote:N5:W288:T1.5:V2:H6:trend:new_york:trail2,vote,5,288,1.5,2,6,trend,new_york,trail2,-55.069999999997464,-0.11048269665745518,3735,-0.029488621151270395
