entry_i,entry_time,side,oz,entry_px,signal_expiry_i,exit_time,exit_px,gross_pnl,costs,net_pnl,exit_reason,bars_held
6145,1697202000,1,1.0,1896.48,6228,1697227200,1928.72,32.24000000000001,0.16,32.08000000000001,signal,84
6425,1697462700,1,1.0,1923.42,6508,1697487900,1919.92,-3.5,0.16,-3.66,signal,84
6698,1697548500,1,1.0,1926.33,6781,1697573700,1923.93,-2.3999999999998636,0.16,-2.5599999999998637,signal,84
6971,1697634300,1,1.0,1948.37,7054,1697659500,1950.21,1.8400000000001455,0.16,1.6800000000001456,signal,84
7310,1697739900,1,1.0,1966.79,7393,1697748900,1975.81,9.019999999999982,0.16,8.859999999999982,session,29
7364,1697760000,1,1.0,1972.53,7393,1697769000,1973.92,1.3900000000001,0.16,1.2300000000001001,signal,30
7545,1697814300,1,1.0,1987.36,7628,1697834700,1980.74,-6.619999999999891,0.16,-6.779999999999891,session,67
8124,1698168900,1,1.0,1974.01,8207,1698180900,1972.12,-1.8900000000001,0.16,-2.0500000000001,session,39
8188,1698192000,1,1.0,1970.52,8207,1698198000,1973.26,2.740000000000009,0.16,2.580000000000009,signal,20
8367,1698245700,1,1.0,1986.4,8450,1698267300,1980.79,-5.610000000000127,0.16,-5.7700000000001275,session,71
8961,1698431700,1,1.0,1991.6,9044,1698439500,2007.0,15.400000000000091,0.16,15.24000000000009,session,25
9013,1698624000,1,1.0,2001.42,9044,1698633600,2003.53,2.1099999999999,0.16,1.9499999999999,signal,32
10276,1699018500,1,1.0,1999.83,10359,1699043700,1993.2,-6.629999999999882,0.16,-6.789999999999882,signal,84
11389,1699541100,1,1.0,1956.28,11472,1699563300,1957.53,1.25,0.16,1.09,session,73
11961,1699893300,1,1.0,1945.24,12044,1699908900,1946.27,1.0299999999999727,0.16,0.8699999999999727,session,51
12037,1699920000,1,1.0,1946.53,12044,1699922400,1946.21,-0.31999999999993634,0.16,-0.47999999999993637,signal,8
12200,1699968900,1,1.0,1956.96,12283,1699994100,1964.08,7.119999999999891,0.16,6.959999999999891,signal,84
12750,1700141700,1,1.0,1971.89,12833,1700166900,1981.52,9.629999999999882,0.16,9.469999999999882,signal,84
13353,1700503500,1,1.0,1978.06,13436,1700513700,1977.33,-0.7300000000000182,0.16,-0.8900000000000182,session,33
13411,1700524800,1,1.0,1981.28,13436,1700532600,1989.31,8.029999999999973,0.16,7.869999999999973,signal,26
13572,1700573100,1,1.0,1996.03,13655,1700598300,1999.05,3.019999999999982,0.16,2.8599999999999817,signal,84
